Date,CANADA SMID GROWTH SMID (Small+Mid Cap)
1998-05-29,237.878
1998-06-30,229.707
1998-07-31,212.637
1998-08-31,164.395
1998-09-30,174.989
1998-10-30,186.361
1998-11-30,194.245
1998-12-31,203.223
1999-01-29,217.041
1999-02-26,208.673
1999-03-31,228.363
1999-04-30,256.091
1999-05-31,248.491
1999-06-30,248.55
1999-07-30,252.673
1999-08-31,253.418
1999-09-30,252.468
1999-10-29,251.283
1999-11-30,267.958
1999-12-31,309.656
2000-01-31,336.017
2000-02-29,408.465
2000-03-31,374.813
2000-04-28,353.855
2000-05-31,342.156
2000-06-30,360.872
2000-07-31,348.694
2000-08-31,388.826
2000-09-29,377.704
2000-10-31,343.719
2000-11-30,295.407
2000-12-29,311.393
2001-01-31,328.622
2001-02-28,289.981
2001-03-30,263.864
2001-04-30,295.293
2001-05-31,300.01
2001-06-29,289.942
2001-07-31,277.462
2001-08-31,258.607
2001-09-28,235.094
2001-10-31,249.455
2001-11-30,269.688
2001-12-31,285.075
2002-01-31,285.786
2002-02-28,282.614
2002-03-29,297.36
2002-04-30,294.728
2002-05-31,308.073
2002-06-28,285.893
2002-07-31,251.006
2002-08-30,257.783
2002-09-30,239.641
2002-10-31,247.009
2002-11-29,258.261
2002-12-31,258.506
2003-01-31,263.088
2003-02-28,261.934
2003-03-31,257.053
2003-04-30,270.719
2003-05-30,300.946
2003-06-30,310.767
2003-07-31,318.193
2003-08-29,339.24
2003-09-30,349.091
2003-10-31,379.649
2003-11-28,393.923
2003-12-31,415.25
2004-01-30,410.961
2004-02-27,425.671
2004-03-31,432.752
2004-04-30,398.032
2004-05-31,424.904
2004-06-30,434.644
2004-07-30,418.219
2004-08-31,416.673
2004-09-30,455.951
2004-10-29,478.889
2004-11-30,514.155
2004-12-31,518.924
2005-01-31,504.893
2005-02-28,550.536
2005-03-31,542.983
2005-04-29,494.499
2005-05-31,509.666
2005-06-30,528.787
2005-07-29,563.855
2005-08-31,588.931
2005-09-30,637.129
2005-10-31,588.915
2005-11-30,623.598
2005-12-30,672.263
2006-01-31,761.761
2006-02-28,736.462
2006-03-31,761.633
2006-04-28,821.187
2006-05-31,788.871
2006-06-30,760.994
2006-07-31,765.31
2006-08-31,802.424
2006-09-29,748.962
2006-10-31,795.182
2006-11-30,832.713
2006-12-29,827.797
2007-01-31,839.545
2007-02-28,852.858
2007-03-30,882.27
2007-04-30,933.828
2007-05-31,1000.0
2007-06-29,994.834
2007-07-31,995.895
2007-08-31,955.626
