Date,CANADA SMID GROWTH SMID (Small+Mid Cap)
2001-01-01,308.213
2001-01-02,302.603
2001-01-03,307.25
2001-01-04,303.432
2001-01-05,298.787
2001-01-08,300.254
2001-01-09,300.527
2001-01-10,300.914
2001-01-11,309.285
2001-01-12,311.615
2001-01-15,313.383
2001-01-16,313.965
2001-01-17,314.95
2001-01-18,314.791
2001-01-19,319.073
2001-01-22,319.05
2001-01-23,321.13
2001-01-24,321.096
2001-01-25,318.824
2001-01-26,317.635
2001-01-29,320.395
2001-01-30,324.145
2001-01-31,325.323
2001-02-01,328.588
2001-02-02,325.773
2001-02-05,324.247
2001-02-06,324.15
2001-02-07,319.44
2001-02-08,322.161
2001-02-09,319.917
2001-02-12,319.447
2001-02-13,318.6
2001-02-14,315.039
2001-02-15,315.699
2001-02-16,306.058
2001-02-19,306.89
2001-02-20,300.525
2001-02-21,290.46
2001-02-22,289.462
2001-02-23,288.609
2001-02-26,293.099
2001-02-27,290.918
2001-02-28,287.122
2001-03-01,283.323
2001-03-02,282.097
2001-03-05,281.136
2001-03-06,286.585
2001-03-07,289.838
2001-03-08,288.077
2001-03-09,286.303
2001-03-12,278.006
2001-03-13,276.426
2001-03-14,273.085
2001-03-15,271.575
2001-03-16,264.145
2001-03-19,269.657
2001-03-20,266.407
2001-03-21,260.117
2001-03-22,254.778
2001-03-23,259.146
2001-03-26,264.849
2001-03-27,267.009
2001-03-28,260.68
2001-03-29,257.879
2001-03-30,261.321
2001-04-02,259.075
2001-04-03,249.201
2001-04-04,250.686
2001-04-05,256.719
2001-04-06,256.844
2001-04-09,259.279
2001-04-10,268.15
2001-04-11,268.522
2001-04-12,272.096
2001-04-13,272.096
2001-04-16,271.466
2001-04-17,276.003
2001-04-18,283.805
2001-04-19,289.617
2001-04-20,288.208
2001-04-23,282.75
2001-04-24,281.214
2001-04-25,284.851
2001-04-26,286.915
2001-04-27,288.983
2001-04-30,292.455
2001-05-01,292.583
2001-05-02,296.014
2001-05-03,295.198
2001-05-04,297.103
2001-05-07,297.549
2001-05-08,296.849
2001-05-09,296.67
2001-05-10,298.345
2001-05-11,294.598
2001-05-14,293.162
2001-05-15,294.112
2001-05-16,298.635
2001-05-17,301.761
2001-05-18,303.38
2001-05-21,303.78
2001-05-22,308.631
2001-05-23,305.555
2001-05-24,304.567
2001-05-25,302.854
2001-05-28,303.435
2001-05-29,302.882
2001-05-30,296.194
2001-05-31,297.197
2001-06-01,302.814
2001-06-04,303.341
2001-06-05,303.286
2001-06-06,301.069
2001-06-07,301.561
2001-06-08,298.046
2001-06-11,297.368
2001-06-12,297.893
2001-06-13,297.321
2001-06-14,293.905
2001-06-15,289.834
2001-06-18,285.385
2001-06-19,284.38
2001-06-20,284.812
2001-06-21,284.906
2001-06-22,283.257
2001-06-25,283.022
2001-06-26,282.437
2001-06-27,279.107
2001-06-28,281.28
2001-06-29,287.283
2001-07-02,287.693
2001-07-03,288.27
2001-07-04,287.311
2001-07-05,286.257
2001-07-06,281.898
2001-07-09,279.094
2001-07-10,276.522
2001-07-11,274.084
2001-07-12,277.451
2001-07-13,277.993
2001-07-16,275.425
2001-07-17,276.652
2001-07-18,274.287
2001-07-19,274.444
2001-07-20,274.414
2001-07-23,272.184
2001-07-24,272.361
2001-07-25,273.39
2001-07-26,272.492
2001-07-27,273.534
2001-07-30,273.657
2001-07-31,274.93
2001-08-01,276.353
2001-08-02,277.986
2001-08-03,277.591
2001-08-06,278.972
2001-08-07,275.831
2001-08-08,273.651
2001-08-09,273.56
2001-08-10,271.771
2001-08-13,271.119
2001-08-14,270.503
2001-08-15,270.373
2001-08-16,269.433
2001-08-17,265.357
2001-08-20,264.609
2001-08-21,263.622
2001-08-22,264.237
2001-08-23,263.983
2001-08-24,266.737
2001-08-27,265.684
2001-08-28,262.993
2001-08-29,260.48
2001-08-30,256.496
2001-08-31,256.279
2001-09-03,256.056
2001-09-04,259.074
2001-09-05,257.546
2001-09-06,255.268
2001-09-07,253.518
2001-09-10,251.512
2001-09-11,239.786
2001-09-12,241.935
2001-09-13,241.555
2001-09-14,232.71
2001-09-17,236.599
2001-09-18,234.711
2001-09-19,228.884
2001-09-20,223.994
2001-09-21,224.29
2001-09-24,229.146
2001-09-25,227.983
2001-09-26,227.201
2001-09-27,228.068
2001-09-28,233.051
2001-10-01,231.929
2001-10-02,232.534
2001-10-03,235.406
2001-10-04,238.323
2001-10-05,238.831
2001-10-08,239.21
2001-10-09,240.874
2001-10-10,241.72
2001-10-11,246.099
2001-10-12,246.163
2001-10-15,245.267
2001-10-16,248.803
2001-10-17,247.294
2001-10-18,244.529
2001-10-19,245.411
2001-10-22,245.563
2001-10-23,247.567
2001-10-24,248.352
2001-10-25,251.09
2001-10-26,251.991
2001-10-29,248.711
2001-10-30,245.546
2001-10-31,247.307
2001-11-01,249.641
2001-11-02,248.635
2001-11-05,250.677
2001-11-06,251.061
2001-11-07,253.732
2001-11-08,252.473
2001-11-09,252.65
2001-11-12,253.819
2001-11-13,255.75
2001-11-14,256.973
2001-11-15,255.293
2001-11-16,257.525
2001-11-19,262.34
2001-11-20,259.322
2001-11-21,257.666
2001-11-22,259.384
2001-11-23,260.719
