Date,WORLD ex USA SMALL CAP Small Cap
2001-01-01,100.0
2001-01-02,100.22
2001-01-03,99.585
2001-01-04,99.798
2001-01-05,100.165
2001-01-08,99.931
2001-01-09,98.761
2001-01-10,98.388
2001-01-11,98.252
2001-01-12,98.732
2001-01-15,98.829
2001-01-16,99.439
2001-01-17,99.712
2001-01-18,100.975
2001-01-19,101.72
2001-01-22,101.726
2001-01-23,102.007
2001-01-24,100.918
2001-01-25,101.389
2001-01-26,100.987
2001-01-29,101.444
2001-01-30,102.006
2001-01-31,102.947
2001-02-01,104.174
2001-02-02,103.837
2001-02-05,103.768
2001-02-06,103.399
2001-02-07,102.838
2001-02-08,101.737
2001-02-09,101.553
2001-02-12,101.759
2001-02-13,101.738
2001-02-14,101.482
2001-02-15,101.274
2001-02-16,101.58
2001-02-19,101.293
2001-02-20,101.06
2001-02-21,100.354
2001-02-22,99.545
2001-02-23,99.945
2001-02-26,100.485
2001-02-27,101.29
2001-02-28,100.676
2001-03-01,100.405
2001-03-02,99.961
2001-03-05,99.822
2001-03-06,100.98
2001-03-07,100.762
2001-03-08,101.175
2001-03-09,100.967
2001-03-12,99.011
2001-03-13,96.94
2001-03-14,95.585
2001-03-15,95.089
2001-03-16,94.009
2001-03-19,94.012
2001-03-20,94.271
2001-03-21,94.201
2001-03-22,91.466
2001-03-23,93.277
2001-03-26,95.134
2001-03-27,95.306
2001-03-28,95.286
2001-03-29,94.18
2001-03-30,93.575
2001-04-02,93.344
2001-04-03,93.223
2001-04-04,94.08
2001-04-05,95.298
2001-04-06,95.906
2001-04-09,95.546
2001-04-10,95.665
2001-04-11,96.312
2001-04-12,97.449
2001-04-13,97.665
2001-04-16,97.225
2001-04-17,97.075
2001-04-18,97.954
2001-04-19,99.586
2001-04-20,100.131
2001-04-23,99.892
2001-04-24,100.162
2001-04-25,100.69
2001-04-26,101.5
2001-04-27,101.173
2001-04-30,101.675
2001-05-01,103.269
2001-05-02,103.591
2001-05-03,104.204
2001-05-04,104.2
2001-05-07,104.047
2001-05-08,103.122
2001-05-09,102.575
2001-05-10,102.812
2001-05-11,102.493
2001-05-14,101.528
2001-05-15,102.006
2001-05-16,101.892
2001-05-17,102.923
2001-05-18,102.859
2001-05-21,103.629
2001-05-22,103.505
2001-05-23,103.743
2001-05-24,103.469
2001-05-25,103.356
2001-05-28,103.219
2001-05-29,102.977
2001-05-30,102.143
2001-05-31,101.804
2001-06-01,102.002
2001-06-04,102.102
2001-06-05,102.269
2001-06-06,102.278
2001-06-07,102.688
2001-06-08,102.739
2001-06-11,101.989
2001-06-12,100.911
2001-06-13,101.38
2001-06-14,101.381
2001-06-15,100.592
2001-06-18,99.985
2001-06-19,99.673
2001-06-20,98.564
2001-06-21,99.001
2001-06-22,99.597
2001-06-25,100.101
2001-06-26,99.867
2001-06-27,99.256
2001-06-28,98.233
2001-06-29,98.898
2001-07-02,98.568
2001-07-03,98.702
2001-07-04,98.258
2001-07-05,97.305
2001-07-06,96.386
2001-07-09,95.698
2001-07-10,96.424
2001-07-11,95.984
2001-07-12,96.383
2001-07-13,96.334
2001-07-16,96.172
2001-07-17,95.319
2001-07-18,95.835
2001-07-19,96.066
2001-07-20,96.202
2001-07-23,94.69
2001-07-24,95.006
2001-07-25,94.975
2001-07-26,94.918
2001-07-27,95.039
2001-07-30,94.324
2001-07-31,94.934
2001-08-01,95.771
2001-08-02,96.939
2001-08-03,96.872
2001-08-06,96.524
2001-08-07,96.245
2001-08-08,96.106
2001-08-09,95.678
2001-08-10,96.27
2001-08-13,95.94
2001-08-14,96.626
2001-08-15,97.856
2001-08-16,97.603
2001-08-17,97.577
2001-08-20,96.653
2001-08-21,97.24
2001-08-22,97.922
2001-08-23,97.363
2001-08-24,97.452
2001-08-27,97.7
2001-08-28,97.258
2001-08-29,97.123
2001-08-30,96.302
2001-08-31,95.802
2001-09-03,94.583
2001-09-04,94.112
2001-09-05,93.039
2001-09-06,92.559
2001-09-07,92.321
2001-09-10,90.052
2001-09-11,88.854
2001-09-12,85.678
2001-09-13,86.527
2001-09-14,86.835
2001-09-17,84.224
2001-09-18,84.441
2001-09-19,84.8
2001-09-20,82.841
2001-09-21,80.23
2001-09-24,81.094
2001-09-25,82.518
2001-09-26,82.784
2001-09-27,82.354
2001-09-28,83.412
2001-10-01,83.737
2001-10-02,83.93
2001-10-03,84.031
2001-10-04,85.479
2001-10-05,85.642
2001-10-08,85.301
2001-10-09,85.303
2001-10-10,85.207
2001-10-11,86.498
2001-10-12,86.98
2001-10-15,86.951
2001-10-16,87.821
2001-10-17,88.618
2001-10-18,87.378
2001-10-19,86.82
2001-10-22,86.714
2001-10-23,87.488
2001-10-24,87.98
2001-10-25,88.584
2001-10-26,88.58
2001-10-29,88.8
2001-10-30,87.737
2001-10-31,87.539
2001-11-01,87.737
2001-11-02,87.873
2001-11-05,88.005
2001-11-06,88.609
2001-11-07,88.792
2001-11-08,89.143
2001-11-09,88.847
2001-11-12,88.294
2001-11-13,88.239
2001-11-14,88.903
2001-11-15,89.336
2001-11-16,89.803
2001-11-19,90.491
2001-11-20,90.33
2001-11-21,89.708
2001-11-22,90.029
2001-11-23,89.813
2001-11-26,90.822
2001-11-27,90.886
2001-11-28,90.57
2001-11-29,90.268
2001-11-30,91.002
2001-12-03,89.761
2001-12-04,89.947
2001-12-05,91.055
2001-12-06,91.761
2001-12-07,91.516
2001-12-10,90.798
2001-12-11,90.344
2001-12-12,90.8
2001-12-13,89.864
2001-12-14,89.36
2001-12-17,89.009
2001-12-18,88.627
2001-12-19,87.803
2001-12-20,87.905
2001-12-21,87.44
2001-12-24,87.174
2001-12-25,87.229
2001-12-26,87.032
2001-12-27,88.198
2001-12-28,88.77
2001-12-31,89.374
2002-01-01,89.375
2002-01-02,89.954
2002-01-03,90.592
2002-01-04,91.285
2002-01-07,91.567
2002-01-08,90.764
2002-01-09,90.763
2002-01-10,90.509
2002-01-11,90.435
2002-01-14,90.104
2002-01-15,89.438
2002-01-16,88.648
2002-01-17,88.363
2002-01-18,88.764
2002-01-21,89.009
2002-01-22,88.694
2002-01-23,88.627
2002-01-24,88.595
2002-01-25,87.76
2002-01-28,87.941
2002-01-29,87.884
2002-01-30,87.323
2002-01-31,87.691
2002-02-01,87.673
2002-02-04,87.554
2002-02-05,86.721
2002-02-06,86.453
2002-02-07,86.516
2002-02-08,86.895
2002-02-11,87.719
2002-02-12,88.263
2002-02-13,88.476
2002-02-14,88.949
2002-02-15,88.933
2002-02-18,88.812
2002-02-19,88.011
2002-02-20,87.556
2002-02-21,88.107
2002-02-22,88.033
2002-02-25,87.816
2002-02-26,88.063
2002-02-27,88.71
2002-02-28,89.09
2002-03-01,90.019
2002-03-04,92.169
2002-03-05,92.2
2002-03-06,92.746
2002-03-07,94.851
2002-03-08,95.031
2002-03-11,95.607
2002-03-12,94.634
2002-03-13,94.038
2002-03-14,94.71
2002-03-15,95.131
2002-03-18,95.033
2002-03-19,95.538
2002-03-20,95.581
2002-03-21,95.344
2002-03-22,95.24
2002-03-25,94.737
2002-03-26,94.448
2002-03-27,94.908
2002-03-28,95.244
2002-03-29,94.931
2002-04-01,95.066
2002-04-02,95.254
2002-04-03,95.509
2002-04-04,95.801
2002-04-05,96.264
2002-04-08,95.786
2002-04-09,95.688
2002-04-10,96.25
2002-04-11,96.061
2002-04-12,95.545
2002-04-15,95.837
2002-04-16,96.741
2002-04-17,97.763
2002-04-18,98.082
2002-04-19,98.167
2002-04-22,98.335
2002-04-23,98.347
2002-04-24,98.469
2002-04-25,98.598
2002-04-26,98.588
2002-04-29,98.344
2002-04-30,98.062
2002-05-01,98.842
2002-05-02,98.886
2002-05-03,99.523
2002-05-06,99.383
2002-05-07,98.283
2002-05-08,98.87
2002-05-09,99.138
2002-05-10,99.375
2002-05-13,99.213
2002-05-14,98.76
2002-05-15,99.737
2002-05-16,100.373
2002-05-17,101.726
2002-05-20,101.967
2002-05-21,102.298
2002-05-22,102.746
2002-05-23,102.285
2002-05-24,102.606
2002-05-27,102.745
2002-05-28,103.181
2002-05-29,102.801
2002-05-30,102.719
2002-05-31,102.642
2002-06-03,103.087
2002-06-04,102.485
2002-06-05,102.09
2002-06-06,102.275
2002-06-07,101.337
2002-06-10,101.209
2002-06-11,101.022
2002-06-12,100.356
2002-06-13,99.407
2002-06-14,97.766
2002-06-17,97.139
2002-06-18,97.833
2002-06-19,96.924
2002-06-20,97.237
2002-06-21,97.409
2002-06-24,97.204
2002-06-25,97.039
2002-06-26,96.644
2002-06-27,97.011
2002-06-28,98.432
2002-07-01,98.735
2002-07-02,97.653
2002-07-03,97.27
2002-07-04,97.174
2002-07-05,98.042
2002-07-08,99.036
2002-07-09,99.763
2002-07-10,98.625
2002-07-11,97.159
2002-07-12,97.317
2002-07-15,96.689
2002-07-16,95.628
2002-07-17,95.364
2002-07-18,96.315
2002-07-19,95.406
2002-07-22,93.306
2002-07-23,91.316
2002-07-24,89.859
2002-07-25,90.634
2002-07-26,88.699
2002-07-29,89.364
2002-07-30,90.727
2002-07-31,90.435
2002-08-01,89.72
2002-08-02,89.171
2002-08-05,87.968
2002-08-06,85.666
2002-08-07,86.899
2002-08-08,87.123
2002-08-09,88.284
2002-08-12,87.806
2002-08-13,87.73
2002-08-14,88.526
2002-08-15,88.945
2002-08-16,89.387
2002-08-19,88.88
2002-08-20,88.784
2002-08-21,89.298
2002-08-22,89.686
2002-08-23,89.669
2002-08-26,90.214
2002-08-27,90.814
2002-08-28,90.017
2002-08-29,89.246
2002-08-30,89.384
2002-09-02,89.106
2002-09-03,88.292
2002-09-04,87.01
2002-09-05,86.749
2002-09-06,86.483
2002-09-09,86.6
2002-09-10,86.403
2002-09-11,86.732
2002-09-12,86.713
2002-09-13,85.804
2002-09-16,84.975
2002-09-17,85.458
2002-09-18,84.803
2002-09-19,84.869
2002-09-20,83.829
2002-09-23,82.663
2002-09-24,81.495
2002-09-25,81.526
2002-09-26,82.346
2002-09-27,82.915
2002-09-30,82.5
2002-10-01,81.466
2002-10-02,81.176
2002-10-03,80.571
2002-10-04,79.807
2002-10-07,77.744
2002-10-08,77.293
2002-10-09,76.611
2002-10-10,76.286
2002-10-11,77.63
2002-10-14,77.425
2002-10-15,79.377
2002-10-16,79.528
2002-10-17,80.256
2002-10-18,80.459
2002-10-21,80.989
2002-10-22,80.526
2002-10-23,80.607
2002-10-24,80.38
2002-10-25,80.847
2002-10-28,81.524
2002-10-29,81.053
2002-10-30,81.392
2002-10-31,81.823
2002-11-01,82.13
2002-11-04,82.975
2002-11-05,83.722
2002-11-06,83.712
2002-11-07,84.107
2002-11-08,83.906
2002-11-11,82.78
2002-11-12,82.822
2002-11-13,82.043
2002-11-14,81.455
2002-11-15,81.887
2002-11-18,81.594
2002-11-19,80.908
2002-11-20,80.727
2002-11-21,81.932
2002-11-22,82.467
2002-11-25,82.785
2002-11-26,82.307
2002-11-27,82.647
2002-11-28,83.917
2002-11-29,84.117
2002-12-02,83.864
2002-12-03,83.335
2002-12-04,82.699
2002-12-05,82.241
2002-12-06,82.113
2002-12-09,81.557
2002-12-10,81.562
2002-12-11,81.643
2002-12-12,81.52
2002-12-13,81.559
2002-12-16,81.18
2002-12-17,81.472
2002-12-18,80.573
2002-12-19,80.772
2002-12-20,80.978
2002-12-23,80.973
2002-12-24,81.228
2002-12-25,81.311
2002-12-26,81.87
2002-12-27,82.145
2002-12-30,82.453
2002-12-31,82.745
2003-01-01,82.745
2003-01-02,82.993
2003-01-03,83.693
2003-01-06,84.748
2003-01-07,84.016
2003-01-08,83.088
2003-01-09,83.545
2003-01-10,84.045
2003-01-13,84.462
2003-01-14,85.229
2003-01-15,85.224
2003-01-16,85.315
2003-01-17,85.31
2003-01-20,85.017
2003-01-21,85.078
2003-01-22,84.532
2003-01-23,85.236
2003-01-24,85.31
2003-01-27,83.574
2003-01-28,82.907
2003-01-29,82.265
2003-01-30,82.056
2003-01-31,81.855
2003-02-03,82.536
2003-02-04,83.016
2003-02-05,82.969
2003-02-06,82.669
2003-02-07,82.26
2003-02-10,81.66
2003-02-11,81.626
2003-02-12,81.713
2003-02-13,81.846
2003-02-14,81.959
2003-02-17,82.54
2003-02-18,82.758
2003-02-19,82.868
2003-02-20,82.89
2003-02-21,82.311
2003-02-24,82.225
2003-02-25,80.82
2003-02-26,80.912
2003-02-27,80.624
2003-02-28,81.255
2003-03-03,82.029
2003-03-04,81.944
2003-03-05,81.933
2003-03-06,81.415
2003-03-07,80.577
2003-03-10,79.432
2003-03-11,78.647
2003-03-12,78.018
2003-03-13,77.988
2003-03-14,78.376
2003-03-17,78.062
2003-03-18,78.882
2003-03-19,78.997
2003-03-20,79.603
2003-03-21,79.749
2003-03-24,80.223
2003-03-25,80.108
2003-03-26,80.72
2003-03-27,80.711
2003-03-28,80.764
2003-03-31,80.469
2003-04-01,80.501
2003-04-02,80.9
2003-04-03,80.821
2003-04-04,81.179
2003-04-07,82.337
2003-04-08,82.163
2003-04-09,82.268
2003-04-10,83.019
2003-04-11,82.865
2003-04-14,82.878
2003-04-15,83.677
2003-04-16,84.345
2003-04-17,84.83
2003-04-18,84.945
2003-04-21,84.87
2003-04-22,85.414
2003-04-23,85.976
2003-04-24,86.048
2003-04-25,85.473
2003-04-28,85.7
2003-04-29,86.187
2003-04-30,87.845
2003-05-01,88.838
2003-05-02,88.977
2003-05-05,89.816
2003-05-06,91.02
2003-05-07,91.575
2003-05-08,91.502
2003-05-09,91.91
2003-05-12,92.672
2003-05-13,92.687
2003-05-14,93.277
2003-05-15,93.364
2003-05-16,94.236
2003-05-19,93.638
2003-05-20,93.699
2003-05-21,93.339
2003-05-22,93.849
2003-05-23,94.554
2003-05-26,94.902
2003-05-27,94.767
2003-05-28,94.636
2003-05-29,95.619
2003-05-30,95.611
2003-06-02,96.776
2003-06-03,96.485
2003-06-04,97.202
2003-06-05,99.113
2003-06-06,99.569
2003-06-09,99.611
2003-06-10,99.308
2003-06-11,100.445
2003-06-12,100.921
2003-06-13,101.21
2003-06-16,101.638
2003-06-17,102.355
2003-06-18,101.98
2003-06-19,101.43
2003-06-20,101.341
2003-06-23,100.96
2003-06-24,99.706
2003-06-25,100.744
2003-06-26,99.506
2003-06-27,100.313
2003-06-30,100.597
2003-07-01,101.41
2003-07-02,102.62
2003-07-03,102.698
2003-07-04,102.578
2003-07-07,103.322
2003-07-08,103.245
2003-07-09,103.286
2003-07-10,103.144
2003-07-11,102.39
2003-07-14,103.569
2003-07-15,103.078
2003-07-16,102.533
2003-07-17,101.018
2003-07-18,101.186
2003-07-21,101.803
2003-07-22,101.601
2003-07-23,102.968
2003-07-24,103.95
2003-07-25,104.291
2003-07-28,104.939
2003-07-29,104.909
2003-07-30,104.013
2003-07-31,103.633
2003-08-01,104.538
2003-08-04,104.431
2003-08-05,104.131
2003-08-06,103.307
2003-08-07,103.763
2003-08-08,103.903
2003-08-11,104.543
2003-08-12,105.056
2003-08-13,106.016
2003-08-14,106.595
2003-08-15,106.878
2003-08-18,107.551
2003-08-19,108.144
2003-08-20,108.891
2003-08-21,109.255
2003-08-22,109.026
2003-08-25,109.139
2003-08-26,108.716
2003-08-27,108.819
2003-08-28,108.96
2003-08-29,110.454
2003-09-01,111.988
2003-09-02,111.971
2003-09-03,112.969
2003-09-04,112.719
2003-09-05,113.205
2003-09-08,113.886
2003-09-09,114.853
2003-09-10,113.956
2003-09-11,113.413
2003-09-12,114.446
2003-09-15,114.668
2003-09-16,115.295
2003-09-17,116.198
2003-09-18,117.01
2003-09-19,118.426
2003-09-22,118.207
2003-09-23,118.183
2003-09-24,118.031
2003-09-25,116.947
2003-09-26,116.052
2003-09-29,116.312
2003-09-30,116.768
2003-10-01,118.049
2003-10-02,119.704
2003-10-03,120.871
2003-10-06,121.502
2003-10-07,122.336
2003-10-08,122.552
2003-10-09,123.239
2003-10-10,124.448
2003-10-13,124.403
2003-10-14,124.94
2003-10-15,125.464
2003-10-16,126.565
2003-10-17,126.555
2003-10-20,126.932
2003-10-21,127.133
2003-10-22,126.447
2003-10-23,123.014
2003-10-24,123.952
2003-10-27,125.005
2003-10-28,125.758
2003-10-29,126.966
2003-10-30,127.124
2003-10-31,126.078
2003-11-03,125.424
2003-11-04,126.693
2003-11-05,126.18
2003-11-06,125.179
2003-11-07,126.318
2003-11-10,126.49
2003-11-11,124.243
2003-11-12,124.92
2003-11-13,126.07
2003-11-14,125.787
2003-11-17,122.408
2003-11-18,123.263
2003-11-19,122.334
2003-11-20,122.787
2003-11-21,123.112
2003-11-24,122.729
2003-11-25,123.858
2003-11-26,125.788
2003-11-27,125.972
2003-11-28,126.189
2003-12-01,127.374
2003-12-02,128.455
2003-12-03,128.977
2003-12-04,128.781
2003-12-05,129.1
2003-12-08,128.534
2003-12-09,128.437
2003-12-10,127.114
2003-12-11,126.707
2003-12-12,128.128
2003-12-15,129.355
2003-12-16,128.601
2003-12-17,128.442
2003-12-18,128.441
2003-12-19,128.311
2003-12-22,128.845
2003-12-23,129.314
2003-12-24,130.055
2003-12-25,130.203
2003-12-26,130.621
2003-12-29,131.831
2003-12-30,133.207
2003-12-31,133.891
2004-01-01,133.891
2004-01-02,134.697
2004-01-05,137.092
2004-01-06,137.732
2004-01-07,137.407
2004-01-08,138.804
2004-01-09,140.078
2004-01-12,139.746
2004-01-13,140.199
2004-01-14,140.425
