Date,NORWAY IMI IMI (Large+Mid+Small Cap)
1994-05-31,163.903
1994-06-30,157.841
1994-07-29,172.055
1994-08-31,171.712
1994-09-30,162.09
1994-10-31,171.931
1994-11-30,168.926
1994-12-30,178.995
1995-01-31,181.524
1995-02-28,178.904
1995-03-31,180.203
1995-04-28,192.88
1995-05-31,194.985
1995-06-30,204.273
1995-07-31,211.061
1995-08-31,201.337
1995-09-29,210.096
1995-10-31,202.378
1995-11-30,200.621
1995-12-29,205.94
1996-01-31,203.764
1996-02-29,211.135
1996-03-29,211.579
1996-04-30,221.309
1996-05-31,225.058
1996-06-28,225.973
1996-07-31,220.974
1996-08-30,225.394
1996-09-30,226.887
1996-10-31,236.76
1996-11-29,253.554
1996-12-31,265.71
1997-01-31,285.4
1997-02-28,272.42
1997-03-31,278.436
1997-04-30,258.599
1997-05-30,272.313
1997-06-30,274.04
1997-07-31,282.365
1997-08-29,285.983
1997-09-30,311.08
1997-10-31,308.915
1997-11-28,288.506
1997-12-31,282.218
1998-01-30,264.431
1998-02-27,271.133
1998-03-31,289.825
1998-04-30,307.45
1998-05-29,284.703
1998-06-30,269.73
1998-07-31,271.926
1998-08-31,201.837
1998-09-30,194.196
1998-10-30,216.64
1998-11-30,202.585
1998-12-31,191.056
1999-01-29,212.086
1999-02-26,194.403
1999-03-31,211.096
1999-04-30,226.743
1999-05-31,222.454
1999-06-30,222.96
1999-07-30,231.119
1999-08-31,237.676
1999-09-30,236.026
1999-10-29,225.117
1999-11-30,233.858
1999-12-31,263.711
2000-01-31,247.949
2000-02-29,251.503
2000-03-31,251.39
2000-04-28,230.369
2000-05-31,239.693
2000-06-30,260.411
2000-07-31,260.215
2000-08-31,279.857
2000-09-29,270.462
2000-10-31,263.698
2000-11-30,246.26
2000-12-29,255.089
2001-01-31,263.725
2001-02-28,258.963
2001-03-30,236.981
2001-04-30,252.602
2001-05-31,247.927
2001-06-29,235.548
2001-07-31,233.665
2001-08-31,225.722
2001-09-28,198.799
2001-10-31,203.523
2001-11-30,207.935
2001-12-31,217.648
2002-01-31,209.129
2002-02-28,219.027
2002-03-29,238.344
2002-04-30,242.17
2002-05-31,247.309
2002-06-28,239.961
2002-07-31,216.511
2002-08-30,211.162
2002-09-30,182.141
2002-10-31,189.044
2002-11-29,203.021
2002-12-31,198.954
2003-01-31,189.556
2003-02-28,171.325
2003-03-31,172.27
2003-04-30,199.311
2003-05-30,219.593
2003-06-30,219.56
2003-07-31,233.435
2003-08-29,236.256
2003-09-30,234.891
2003-10-31,263.028
2003-11-28,275.338
2003-12-31,297.55
2004-01-30,302.318
2004-02-27,332.02
2004-03-31,326.418
2004-04-30,315.455
2004-05-31,329.198
2004-06-30,341.48
