Date,NORWAY IMI IMI (Large+Mid+Small Cap)
2001-01-01,255.089
2001-01-02,261.72
2001-01-03,252.962
2001-01-04,257.497
2001-01-05,260.927
2001-01-08,261.225
2001-01-09,258.662
2001-01-10,259.311
2001-01-11,262.16
2001-01-12,262.254
2001-01-15,260.184
2001-01-16,257.484
2001-01-17,258.148
2001-01-18,260.565
2001-01-19,258.111
2001-01-22,256.576
2001-01-23,256.653
2001-01-24,255.627
2001-01-25,253.905
2001-01-26,255.723
2001-01-29,255.291
2001-01-30,260.35
2001-01-31,263.725
2001-02-01,268.017
2001-02-02,267.243
2001-02-05,267.189
2001-02-06,267.857
2001-02-07,267.352
2001-02-08,264.023
2001-02-09,263.223
2001-02-12,259.987
2001-02-13,259.335
2001-02-14,255.779
2001-02-15,251.958
2001-02-16,254.766
2001-02-19,258.505
2001-02-20,255.777
2001-02-21,254.803
2001-02-22,255.367
2001-02-23,254.404
2001-02-26,257.368
2001-02-27,259.032
2001-02-28,258.963
2001-03-01,254.936
2001-03-02,257.386
2001-03-05,259.094
2001-03-06,265.217
2001-03-07,262.455
2001-03-08,264.763
2001-03-09,263.374
2001-03-12,257.061
2001-03-13,249.514
2001-03-14,241.106
2001-03-15,244.412
2001-03-16,239.55
2001-03-19,238.013
2001-03-20,242.859
2001-03-21,238.897
2001-03-22,230.452
2001-03-23,232.513
2001-03-26,235.693
2001-03-27,238.468
2001-03-28,234.643
2001-03-29,233.418
2001-03-30,236.981
2001-04-02,236.204
2001-04-03,232.619
2001-04-04,233.756
2001-04-05,237.679
2001-04-06,238.523
2001-04-09,239.529
2001-04-10,243.58
2001-04-11,244.002
2001-04-12,246.319
2001-04-13,246.319
2001-04-16,243.81
2001-04-17,242.52
2001-04-18,243.947
2001-04-19,245.148
2001-04-20,246.201
2001-04-23,245.994
2001-04-24,247.828
2001-04-25,247.727
2001-04-26,249.359
2001-04-27,251.191
2001-04-30,252.602
2001-05-01,254.093
2001-05-02,253.734
2001-05-03,250.077
2001-05-04,250.417
2001-05-07,252.5
2001-05-08,253.185
2001-05-09,252.633
2001-05-10,254.918
2001-05-11,254.207
