Date,NORWAY IMI IMI (Large+Mid+Small Cap)
1994-05-31,152.025
1994-06-30,146.408
1994-07-29,159.592
1994-08-31,159.274
1994-09-30,150.35
1994-10-31,159.478
1994-11-30,156.69
1994-12-30,166.03
1995-01-31,168.376
1995-02-28,165.946
1995-03-31,167.151
1995-04-28,178.97
1995-05-31,181.499
1995-06-30,190.159
1995-07-31,196.479
1995-08-31,187.427
1995-09-29,195.581
1995-10-31,188.397
1995-11-30,186.761
1995-12-29,191.713
1996-01-31,189.687
1996-02-29,196.549
1996-03-29,196.962
1996-04-30,206.315
1996-05-31,210.285
1996-06-28,211.15
1996-07-31,206.48
1996-08-30,210.609
1996-09-30,212.005
1996-10-31,221.229
1996-11-29,236.922
1996-12-31,248.281
1997-01-31,266.679
1997-02-28,254.55
1997-03-31,260.224
1997-04-30,242.191
1997-05-30,255.494
1997-06-30,257.122
1997-07-31,264.962
1997-08-29,268.357
1997-09-30,291.907
1997-10-31,289.944
1997-11-28,270.788
1997-12-31,264.886
1998-01-30,248.191
1998-02-27,254.482
1998-03-31,272.068
1998-04-30,289.212
1998-05-29,268.222
1998-06-30,254.132
1998-07-31,256.201
1998-08-31,190.165
1998-09-30,182.966
1998-10-30,204.111
1998-11-30,190.869
1998-12-31,180.007
1999-01-29,199.821
1999-02-26,183.161
1999-03-31,198.902
1999-04-30,214.196
1999-05-31,210.332
1999-06-30,210.818
1999-07-30,218.532
1999-08-31,224.733
1999-09-30,223.172
1999-10-29,212.858
1999-11-30,221.123
1999-12-31,249.349
2000-01-31,234.446
2000-02-29,237.806
2000-03-31,237.7
2000-04-28,218.418
2000-05-31,227.512
2000-06-30,247.18
2000-07-31,246.994
2000-08-31,265.638
2000-09-29,256.72
2000-10-31,250.3
2000-11-30,233.748
2000-12-29,242.128
2001-01-31,250.326
2001-02-28,245.806
2001-03-30,224.941
2001-04-30,240.102
2001-05-31,236.31
2001-06-29,224.522
2001-07-31,222.726
2001-08-31,215.155
2001-09-28,189.513
2001-10-31,194.017
2001-11-30,198.229
2001-12-31,207.494
2002-01-31,199.372
2002-02-28,208.809
2002-03-29,227.308
2002-04-30,231.283
2002-05-31,237.262
2002-06-28,230.212
2002-07-31,207.715
2002-08-30,202.584
2002-09-30,174.741
2002-10-31,181.364
2002-11-29,194.772
2002-12-31,190.871
2003-01-31,181.855
2003-02-28,164.365
2003-03-31,165.292
2003-04-30,191.878
2003-05-30,212.59
2003-06-30,212.559
2003-07-31,225.991
2003-08-29,228.74
2003-09-30,227.419
2003-10-31,254.661
2003-11-28,266.689
2003-12-31,288.236
2004-01-30,292.855
2004-02-27,321.643
2004-03-31,316.305
2004-04-30,306.523
2004-05-31,321.121
2004-06-30,333.12
2004-07-30,325.127
2004-08-31,334.88
2004-09-30,372.209
2004-10-29,381.154
2004-11-30,433.739
2004-12-31,440.729
2005-01-31,431.617
2005-02-28,480.39
2005-03-31,465.241
2005-04-29,445.467
2005-05-31,464.338
2005-06-30,503.201
2005-07-29,542.512
2005-08-31,585.058
2005-09-30,594.777
2005-10-31,546.767
2005-11-30,547.582
2005-12-30,580.333
2006-01-31,635.164
2006-02-28,640.885
2006-03-31,715.312
