Date,FRANCE LARGE CAP Large Cap
1994-05-31,224.19
1994-06-30,218.656
1994-07-29,239.445
1994-08-31,241.204
1994-09-30,225.472
1994-10-31,232.153
1994-11-30,230.153
1994-12-30,221.708
1995-01-31,215.099
1995-02-28,218.134
1995-03-31,243.625
1995-04-28,246.435
1995-05-31,248.799
1995-06-30,247.395
1995-07-31,259.475
1995-08-31,243.776
1995-09-29,239.494
1995-10-31,241.397
1995-11-30,240.135
1995-12-29,250.058
1996-01-31,257.357
1996-02-29,260.133
1996-03-29,267.129
1996-04-30,273.774
1996-05-31,271.699
1996-06-28,277.496
1996-07-31,269.257
1996-08-30,264.791
1996-09-30,279.175
1996-10-31,284.795
1996-11-29,301.77
1996-12-31,306.513
1997-01-31,312.644
1997-02-28,312.826
1997-03-31,321.755
1997-04-30,310.318
1997-05-30,310.417
1997-06-30,338.056
1997-07-31,346.732
1997-08-29,321.223
1997-09-30,351.934
1997-10-31,327.509
1997-11-28,333.391
1997-12-31,342.753
1998-01-30,355.774
1998-02-27,387.701
1998-03-31,427.426
1998-04-30,441.892
1998-05-29,464.771
1998-06-30,479.712
1998-07-31,485.611
1998-08-31,429.167
1998-09-30,400.995
1998-10-30,445.648
1998-11-30,474.677
1998-12-31,493.47
1999-01-29,513.359
1999-02-26,480.077
1999-03-31,486.702
1999-04-30,498.911
1999-05-31,487.989
1999-06-30,506.424
1999-07-30,511.508
1999-08-31,528.814
1999-09-30,536.532
1999-10-29,565.223
1999-11-30,587.529
1999-12-31,653.419
2000-01-31,606.079
2000-02-29,650.109
2000-03-31,655.151
2000-04-28,636.928
2000-05-31,650.876
2000-06-30,679.02
2000-07-31,668.034
2000-08-31,650.033
2000-09-29,608.007
2000-10-31,593.601
2000-11-30,562.176
2000-12-29,604.934
2001-01-31,605.816
2001-02-28,535.472
2001-03-30,501.204
2001-04-30,549.322
2001-05-31,510.605
2001-06-29,488.874
2001-07-31,491.226
2001-08-31,469.747
2001-09-28,411.46
2001-10-31,433.782
2001-11-30,448.111
2001-12-31,460.344
2002-01-31,427.531
2002-02-28,425.635
2002-03-29,453.835
2002-04-30,445.944
2002-05-31,446.818
2002-06-28,434.438
2002-07-31,375.458
2002-08-30,371.972
2002-09-30,313.577
2002-10-31,355.651
2002-11-29,369.95
2002-12-31,363.926
2003-01-31,352.997
2003-02-28,335.657
2003-03-31,324.667
2003-04-30,373.341
2003-05-30,399.272
2003-06-30,405.069
2003-07-31,410.862
2003-08-29,413.293
2003-09-30,414.745
2003-10-31,443.049
2003-11-28,465.281
2003-12-31,511.067
2004-01-30,513.438
2004-02-27,526.426
2004-03-31,507.016
2004-04-30,501.687
2004-05-31,517.305
2004-06-30,525.381
2004-07-30,509.457
2004-08-31,511.57
2004-09-30,528.213
2004-10-29,549.023
2004-11-30,578.079
2004-12-31,600.512
2005-01-31,589.331
2005-02-28,618.372
2005-03-31,611.994
2005-04-29,584.807
2005-05-31,596.681
2005-06-30,602.582
2005-07-29,638.632
2005-08-31,638.663
2005-09-30,655.536
2005-10-31,627.31
2005-11-30,635.527
2005-12-30,656.096
2006-01-31,708.954
2006-02-28,701.902
2006-03-31,745.343
2006-04-28,770.438
2006-05-31,759.382
2006-06-30,767.29
2006-07-31,776.406
2006-08-31,799.69
2006-09-29,804.379
2006-10-31,824.259
2006-11-30,851.893
2006-12-29,880.675
2007-01-31,877.976
2007-02-28,876.002
2007-03-30,899.909
2007-04-30,977.692
2007-05-31,1000.0
2007-06-29,997.583
2007-07-31,961.555
2007-08-31,943.189
2007-09-28,993.725
2007-10-31,1034.428
2007-11-30,1021.464
2007-12-31,1008.432
2008-01-31,884.618
2008-02-29,894.175
2008-03-31,916.754
2008-04-30,960.071
2008-05-30,980.999
2008-06-30,884.863
2008-07-31,868.983
2008-08-29,833.603
2008-09-30,715.691
2008-10-31,557.444
2008-11-28,525.472
2008-12-31,568.638
2009-01-30,483.725
2009-02-27,438.117
2009-03-31,476.698
2009-04-30,537.305
2009-05-29,603.518
2009-06-30,575.783
2009-07-31,635.859
2009-08-31,685.372
2009-09-30,724.5
2009-10-30,696.951
2009-11-30,727.54
2009-12-31,744.208
2010-01-29,683.825
2010-02-26,665.456
2010-03-31,706.096
2010-04-30,665.374
2010-05-31,576.252
2010-06-30,566.789
2010-07-30,639.935
2010-08-31,601.522
2010-09-30,688.262
2010-10-29,722.922
2010-11-30,640.238
2010-12-31,694.572
2011-01-31,746.091
2011-02-28,768.875
2011-03-31,764.438
2011-04-29,826.011
2011-05-31,794.089
2011-06-30,799.109
2011-07-29,734.776
2011-08-31,654.371
2011-09-30,562.219
2011-10-31,637.809
2011-11-30,600.667
2011-12-30,581.643
2012-01-31,612.336
2012-02-29,653.041
2012-03-30,645.423
2012-04-30,606.2
2012-05-31,540.532
2012-06-29,590.773
2012-07-31,592.476
2012-08-31,629.844
2012-09-28,632.584
2012-10-31,653.597
2012-11-30,680.072
2012-12-31,706.431
2013-01-31,745.387
2013-02-28,714.642
2013-03-29,705.595
2013-04-30,752.196
2013-05-31,765.663
2013-06-28,727.261
2013-07-31,793.842
2013-08-30,774.592
2013-09-30,840.617
2013-10-31,878.051
2013-11-29,881.154
2013-12-31,894.82
2014-01-31,849.441
2014-02-28,919.022
2014-03-31,914.315
2014-04-30,943.942
2014-05-30,945.893
2014-06-30,933.538
2014-07-31,876.394
2014-08-29,892.075
2014-09-30,865.188
2014-10-31,824.118
2014-11-28,849.72
2014-12-31,802.156
2015-01-30,804.471
2015-02-27,859.785
2015-03-31,838.938
2015-04-30,879.698
2015-05-29,859.658
2015-06-30,838.955
2015-07-31,887.268
2015-08-31,823.187
2015-09-30,787.011
2015-10-30,856.308
2015-11-30,826.255
2015-12-31,794.434
2016-01-29,758.35
2016-02-29,753.282
2016-03-31,790.726
2016-04-29,804.359
2016-05-31,808.18
2016-06-30,762.388
2016-07-29,799.232
2016-08-31,794.378
2016-09-30,801.122
2016-10-31,800.223
