Date,FRANCE LARGE CAP Large Cap
1994-05-31,208.198
1994-06-30,203.727
1994-07-29,223.598
1994-08-31,225.265
1994-09-30,210.573
1994-10-31,216.812
1994-11-30,214.965
1994-12-30,207.086
1995-01-31,200.928
1995-02-28,203.78
1995-03-31,227.613
1995-04-28,230.272
1995-05-31,232.644
1995-06-30,232.414
1995-07-31,244.118
1995-08-31,229.349
1995-09-29,225.32
1995-10-31,227.11
1995-11-30,225.947
1995-12-29,235.295
1996-01-31,242.175
1996-02-29,244.793
1996-03-29,251.377
1996-04-30,257.694
1996-05-31,256.078
1996-06-28,262.55
1996-07-31,255.09
1996-08-30,250.859
1996-09-30,264.486
1996-10-31,269.811
1996-11-29,285.953
1996-12-31,290.491
1997-01-31,296.312
1997-02-28,296.492
1997-03-31,304.955
1997-04-30,294.19
1997-05-30,294.624
1997-06-30,321.848
1997-07-31,330.442
1997-08-29,306.131
1997-09-30,335.399
1997-10-31,312.122
1997-11-28,317.728
1997-12-31,326.683
1998-01-30,339.1
1998-02-27,369.538
1998-03-31,407.401
1998-04-30,421.254
1998-05-29,443.681
1998-06-30,459.229
1998-07-31,465.026
1998-08-31,410.997
1998-09-30,384.018
1998-10-30,426.78
1998-11-30,454.58
1998-12-31,472.577
1999-01-29,491.629
1999-02-26,459.759
1999-03-31,466.104
1999-04-30,477.838
1999-05-31,467.835
1999-06-30,486.261
1999-07-30,491.354
1999-08-31,507.978
1999-09-30,515.392
1999-10-29,542.953
1999-11-30,564.379
1999-12-31,627.689
2000-01-31,582.214
2000-02-29,624.514
2000-03-31,629.358
2000-04-28,611.972
2000-05-31,625.932
2000-06-30,653.609
2000-07-31,643.142
2000-08-31,625.837
2000-09-29,585.389
2000-10-31,571.518
2000-11-30,541.262
2000-12-29,582.449
2001-01-31,583.299
2001-02-28,515.576
2001-03-30,482.581
2001-04-30,528.911
2001-05-31,492.602
2001-06-29,472.186
2001-07-31,474.51
2001-08-31,453.761
2001-09-28,397.458
2001-10-31,419.021
2001-11-30,432.862
2001-12-31,444.697
2002-01-31,412.999
2002-02-28,411.167
2002-03-29,438.409
2002-04-30,431.005
2002-05-31,432.821
2002-06-28,421.246
2002-07-31,364.224
2002-08-30,360.842
2002-09-30,304.194
2002-10-31,345.01
2002-11-29,358.88
2002-12-31,353.047
2003-01-31,342.444
2003-02-28,325.623
2003-03-31,314.962
2003-04-30,362.521
2003-05-30,388.935
2003-06-30,395.168
2003-07-31,400.819
2003-08-29,403.191
2003-09-30,404.608
2003-10-31,432.22
2003-11-28,453.909
2003-12-31,498.59
2004-01-30,500.903
2004-02-27,513.574
2004-03-31,494.637
2004-04-30,489.542
2004-05-31,506.71
2004-06-30,515.342
2004-07-30,499.723
2004-08-31,501.795
2004-09-30,518.131
2004-10-29,538.544
2004-11-30,567.406
2004-12-31,589.501
2005-01-31,578.526
2005-02-28,607.034
2005-03-31,600.773
2005-04-29,574.451
2005-05-31,588.385
2005-06-30,595.0
2005-07-29,630.596
2005-08-31,630.627
2005-09-30,647.288
2005-10-31,619.417
2005-11-30,627.953
2005-12-30,648.295
2006-01-31,700.525
2006-02-28,693.557
2006-03-31,736.482
2006-04-28,761.278
2006-05-31,754.053
2006-06-30,763.026
2006-07-31,772.113
2006-08-31,795.268
2006-09-29,800.005
2006-10-31,819.776
2006-11-30,847.805
2006-12-29,876.51
2007-01-31,873.823
2007-02-28,871.902
2007-03-30,895.698
2007-04-30,973.509
2007-05-31,1000.0
2007-06-29,998.917
2007-07-31,963.027
2007-08-31,944.687
2007-09-28,995.303
2007-10-31,1036.104
2007-11-30,1023.775
2007-12-31,1010.796
2008-01-31,886.72
2008-02-29,896.299
2008-03-31,918.999
2008-04-30,963.64
2008-05-30,990.064
2008-06-30,893.651
2008-07-31,877.661
2008-08-29,841.927
2008-09-30,723.162
2008-10-31,563.301
2008-11-28,531.857
2008-12-31,575.716
2009-01-30,489.746
2009-02-27,443.633
2009-03-31,482.699
2009-04-30,545.09
2009-05-29,615.766
2009-06-30,588.041
2009-07-31,649.605
2009-08-31,700.531
2009-09-30,740.525
2009-10-30,712.366
2009-11-30,744.428
2009-12-31,761.834
2010-01-29,700.02
2010-02-26,681.235
2010-03-31,722.839
2010-04-30,681.244
2010-05-31,593.687
2010-06-30,584.487
2010-07-30,660.11
2010-08-31,620.791
2010-09-30,710.309
2010-10-29,746.079
2010-11-30,661.707
2010-12-31,717.962
2011-01-31,771.215
2011-02-28,794.789
2011-03-31,790.203
2011-04-29,854.68
2011-05-31,826.149
2011-06-30,832.327
2011-07-29,766.129
2011-08-31,682.314
2011-09-30,586.882
2011-10-31,665.787
2011-11-30,627.456
2011-12-30,608.049
2012-01-31,640.135
2012-02-29,682.709
2012-03-30,675.13
2012-04-30,634.817
2012-05-31,569.654
2012-06-29,623.896
2012-07-31,625.908
2012-08-31,665.408
2012-09-28,669.37
2012-10-31,691.606
2012-11-30,719.913
2012-12-31,748.317
2013-01-31,789.622
2013-02-28,757.053
2013-03-29,747.876
2013-04-30,798.103
2013-05-31,816.926
2013-06-28,776.925
2013-07-31,848.252
2013-08-30,827.882
2013-09-30,898.896
2013-10-31,938.926
