Date,FRANCE LARGE CAP Large Cap
2001-01-01,604.934
2001-01-02,597.112
2001-01-03,583.429
2001-01-04,596.075
2001-01-05,594.875
2001-01-08,591.455
2001-01-09,577.793
2001-01-10,577.097
2001-01-11,587.977
2001-01-12,601.209
2001-01-15,597.363
2001-01-16,589.056
2001-01-17,594.836
2001-01-18,601.756
2001-01-19,594.347
2001-01-22,598.287
2001-01-23,596.245
2001-01-24,591.482
2001-01-25,593.123
2001-01-26,593.646
2001-01-29,587.591
2001-01-30,594.397
2001-01-31,605.816
2001-02-01,602.551
2001-02-02,591.016
2001-02-05,595.153
2001-02-06,592.504
2001-02-07,583.656
2001-02-08,576.831
2001-02-09,574.145
2001-02-12,582.017
2001-02-13,574.48
2001-02-14,563.168
2001-02-15,560.075
2001-02-16,556.548
2001-02-19,558.585
2001-02-20,548.349
2001-02-21,542.621
2001-02-22,537.366
2001-02-23,524.846
2001-02-26,534.738
2001-02-27,542.281
2001-02-28,535.472
2001-03-01,536.957
2001-03-02,535.799
2001-03-05,540.932
2001-03-06,551.03
2001-03-07,551.955
2001-03-08,549.644
2001-03-09,542.374
2001-03-12,528.131
2001-03-13,517.072
2001-03-14,506.889
2001-03-15,510.031
2001-03-16,496.863
2001-03-19,493.088
2001-03-20,505.026
2001-03-21,491.119
2001-03-22,464.629
2001-03-23,482.642
2001-03-26,499.871
2001-03-27,512.55
2001-03-28,500.373
2001-03-29,497.304
2001-03-30,501.204
2001-04-02,502.757
2001-04-03,486.213
2001-04-04,501.552
2001-04-05,507.619
2001-04-06,509.366
2001-04-09,514.012
2001-04-10,521.78
2001-04-11,521.263
2001-04-12,527.284
2001-04-13,527.284
2001-04-16,521.884
2001-04-17,517.144
2001-04-18,528.125
2001-04-19,535.653
2001-04-20,539.447
2001-04-23,532.632
2001-04-24,532.704
2001-04-25,532.556
2001-04-26,543.172
2001-04-27,546.126
2001-04-30,549.322
2001-05-01,552.234
2001-05-02,545.512
2001-05-03,536.281
2001-05-04,536.939
2001-05-07,538.934
2001-05-08,536.89
2001-05-09,534.661
2001-05-10,544.909
2001-05-11,537.326
2001-05-14,528.598
2001-05-15,537.233
2001-05-16,538.462
2001-05-17,543.306
2001-05-18,545.026
2001-05-21,545.465
2001-05-22,544.291
2001-05-23,535.487
2001-05-24,535.364
2001-05-25,528.536
2001-05-28,532.699
2001-05-29,523.59
2001-05-30,515.436
2001-05-31,510.605
2001-06-01,507.367
2001-06-04,508.056
2001-06-05,516.341
2001-06-06,513.691
2001-06-07,512.124
2001-06-08,510.193
2001-06-11,504.374
2001-06-12,498.928
2001-06-13,503.745
2001-06-14,503.471
2001-06-15,499.939
2001-06-18,492.109
2001-06-19,493.631
2001-06-20,487.685
2001-06-21,485.249
2001-06-22,490.188
2001-06-25,496.544
2001-06-26,485.244
2001-06-27,481.466
2001-06-28,482.66
2001-06-29,488.874
2001-07-02,496.396
2001-07-03,487.898
2001-07-04,484.508
2001-07-05,474.417
2001-07-06,467.403
2001-07-09,472.752
2001-07-10,471.941
2001-07-11,469.174
2001-07-12,468.264
2001-07-13,473.625
2001-07-16,474.994
2001-07-17,467.884
2001-07-18,468.519
2001-07-19,473.687
2001-07-20,470.939
2001-07-23,471.838
2001-07-24,469.783
2001-07-25,463.267
2001-07-26,468.134
2001-07-27,478.331
2001-07-30,486.245
2001-07-31,491.226
2001-08-01,496.421
2001-08-02,495.596
2001-08-03,492.039
2001-08-06,492.336
2001-08-07,489.117
2001-08-08,482.208
2001-08-09,478.794
2001-08-10,477.851
2001-08-13,486.423
2001-08-14,490.138
2001-08-15,495.101
2001-08-16,491.096
2001-08-17,482.266
2001-08-20,480.909
2001-08-21,486.108
2001-08-22,487.832
2001-08-23,483.27
2001-08-24,493.96
2001-08-27,491.45
2001-08-28,482.135
2001-08-29,484.75
2001-08-30,471.793
2001-08-31,469.747
2001-09-03,462.523
2001-09-04,459.409
2001-09-05,448.709
2001-09-06,441.331
2001-09-07,440.516
2001-09-10,435.639
2001-09-11,407.467
2001-09-12,411.704
2001-09-13,412.623
2001-09-14,397.844
2001-09-17,407.402
