Date,FRANCE LARGE CAP Large Cap
2001-01-01,582.449
2001-01-02,574.918
2001-01-03,561.744
2001-01-04,573.919
2001-01-05,572.764
2001-01-08,569.471
2001-01-09,556.317
2001-01-10,555.647
2001-01-11,566.122
2001-01-12,578.863
2001-01-15,575.159
2001-01-16,567.161
2001-01-17,572.726
2001-01-18,579.389
2001-01-19,572.256
2001-01-22,576.049
2001-01-23,574.083
2001-01-24,569.497
2001-01-25,571.077
2001-01-26,571.58
2001-01-29,565.75
2001-01-30,572.304
2001-01-31,583.299
2001-02-01,580.154
2001-02-02,569.052
2001-02-05,573.036
2001-02-06,570.485
2001-02-07,561.966
2001-02-08,555.394
2001-02-09,552.808
2001-02-12,560.387
2001-02-13,553.131
2001-02-14,542.243
2001-02-15,539.265
2001-02-16,535.868
2001-02-19,537.83
2001-02-20,527.974
2001-02-21,522.459
2001-02-22,517.399
2001-02-23,505.345
2001-02-26,514.869
2001-02-27,522.132
2001-02-28,515.576
2001-03-01,517.006
2001-03-02,515.891
2001-03-05,520.833
2001-03-06,530.556
2001-03-07,531.446
2001-03-08,529.221
2001-03-09,522.222
2001-03-12,508.508
2001-03-13,497.86
2001-03-14,488.055
2001-03-15,491.08
2001-03-16,478.401
2001-03-19,474.767
2001-03-20,486.261
2001-03-21,472.87
2001-03-22,447.365
2001-03-23,464.708
2001-03-26,481.298
2001-03-27,493.505
2001-03-28,481.781
2001-03-29,478.826
2001-03-30,482.581
2001-04-02,484.077
2001-04-03,468.147
2001-04-04,482.916
2001-04-05,488.757
2001-04-06,490.439
2001-04-09,494.913
2001-04-10,502.393
2001-04-11,501.895
2001-04-12,507.692
2001-04-13,507.692
2001-04-16,502.492
2001-04-17,497.929
2001-04-18,508.501
2001-04-19,515.75
2001-04-20,519.403
2001-04-23,512.841
2001-04-24,512.911
2001-04-25,512.768
2001-04-26,522.989
2001-04-27,525.834
2001-04-30,528.911
2001-05-01,531.715
2001-05-02,525.364
2001-05-03,516.513
2001-05-04,517.147
2001-05-07,519.159
2001-05-08,517.191
2001-05-09,515.141
2001-05-10,525.065
2001-05-11,517.858
2001-05-14,509.592
2001-05-15,517.916
2001-05-16,519.101
2001-05-17,523.771
2001-05-18,525.445
2001-05-21,525.868
2001-05-22,524.736
2001-05-23,516.274
2001-05-24,516.155
2001-05-25,509.625
2001-05-28,513.639
2001-05-29,505.115
2001-05-30,497.248
2001-05-31,492.602
2001-06-01,489.527
2001-06-04,490.192
2001-06-05,498.275
2001-06-06,495.786
2001-06-07,494.274
2001-06-08,492.482
2001-06-11,487.009
2001-06-12,481.751
2001-06-13,486.402
2001-06-14,486.282
2001-06-15,482.87
2001-06-18,475.308
2001-06-19,476.778
2001-06-20,471.035
2001-06-21,468.682
2001-06-22,473.452
2001-06-25,479.595
2001-06-26,468.681
2001-06-27,465.032
2001-06-28,466.185
2001-06-29,472.186
2001-07-02,479.491
2001-07-03,471.283
2001-07-04,468.008
2001-07-05,458.261
2001-07-06,451.485
2001-07-09,456.652
2001-07-10,455.869
2001-07-11,453.195
2001-07-12,452.316
2001-07-13,457.495
2001-07-16,458.818
2001-07-17,451.949
2001-07-18,452.563
2001-07-19,457.555
2001-07-20,454.901
2001-07-23,455.769
2001-07-24,453.784
2001-07-25,447.49
2001-07-26,452.191
2001-07-27,462.041
2001-07-30,469.698
2001-07-31,474.51
2001-08-01,479.528
2001-08-02,478.731
2001-08-03,475.295
2001-08-06,475.583
2001-08-07,472.472
2001-08-08,465.799
2001-08-09,462.501
2001-08-10,461.59
2001-08-13,469.87
2001-08-14,473.459
2001-08-15,478.253
2001-08-16,474.384
2001-08-17,465.855
2001-08-20,464.544
2001-08-21,469.566
2001-08-22,471.232
2001-08-23,466.825
2001-08-24,477.151
2001-08-27,474.726
2001-08-28,465.728
2001-08-29,468.254
2001-08-30,455.739
2001-08-31,453.761
2001-09-03,446.784
2001-09-04,443.776
2001-09-05,433.44
2001-09-06,426.313
2001-09-07,425.526
2001-09-10,420.815
2001-09-11,393.601
2001-09-12,397.694
2001-09-13,398.582
2001-09-14,384.306
2001-09-17,393.539
2001-09-18,390.648
2001-09-19,386.668
2001-09-20,371.753
2001-09-21,359.974
2001-09-24,379.432
2001-09-25,386.644
2001-09-26,392.317
2001-09-27,395.582
2001-09-28,397.458
2001-10-01,392.944
2001-10-02,396.035
2001-10-03,395.218
2001-10-04,409.025
2001-10-05,408.976
2001-10-08,409.902
2001-10-09,409.855
2001-10-10,420.782
2001-10-11,417.041
2001-10-12,419.507
2001-10-15,408.875
2001-10-16,419.354
2001-10-17,427.99
2001-10-18,419.407
2001-10-19,410.161
2001-10-22,414.931
2001-10-23,425.073
2001-10-24,429.849
2001-10-25,420.68
2001-10-26,428.541
2001-10-29,425.083
2001-10-30,413.908
2001-10-31,419.021
2001-11-01,424.533
2001-11-02,424.307
2001-11-05,432.096
2001-11-06,430.08
2001-11-07,435.46
2001-11-08,439.435
2001-11-09,434.03
2001-11-12,421.518
2001-11-13,433.988
2001-11-14,436.285
2001-11-15,435.646
2001-11-16,438.837
2001-11-19,442.65
2001-11-20,437.2
2001-11-21,430.035
2001-11-22,435.741
2001-11-23,431.847
2001-11-26,432.931
2001-11-27,427.056
2001-11-28,425.654
2001-11-29,425.76
2001-11-30,432.862
2001-12-03,429.483
2001-12-04,436.492
2001-12-05,448.571
2001-12-06,449.674
2001-12-07,446.6
2001-12-10,437.702
2001-12-11,437.497
2001-12-12,436.283
2001-12-13,427.921
2001-12-14,423.293
2001-12-17,438.546
2001-12-18,436.126
2001-12-19,433.581
2001-12-20,430.325
2001-12-21,432.029
2001-12-24,428.019
2001-12-25,428.019
2001-12-26,428.384
2001-12-27,440.443
2001-12-28,440.402
2001-12-31,444.697
2002-01-01,444.697
2002-01-02,447.66
2002-01-03,455.247
2002-01-04,452.948
2002-01-07,445.637
2002-01-08,440.648
2002-01-09,441.323
2002-01-10,436.109
2002-01-11,437.902
2002-01-14,430.369
2002-01-15,435.596
2002-01-16,423.092
2002-01-17,426.112
2002-01-18,423.92
2002-01-21,421.381
2002-01-22,423.467
2002-01-23,423.691
2002-01-24,425.995
2002-01-25,417.224
2002-01-28,420.964
2002-01-29,414.605
2002-01-30,408.34
2002-01-31,412.999
2002-02-01,411.731
2002-02-04,408.358
2002-02-05,401.56
2002-02-06,397.725
2002-02-07,399.399
2002-02-08,401.283
2002-02-11,408.988
2002-02-12,406.059
2002-02-13,406.727
2002-02-14,411.506
2002-02-15,408.279
2002-02-18,403.88
2002-02-19,396.739
2002-02-20,394.349
2002-02-21,398.265
2002-02-22,396.91
2002-02-25,399.941
2002-02-26,401.879
2002-02-27,407.962
2002-02-28,411.167
2002-03-01,413.979
2002-03-04,426.52
2002-03-05,424.135
2002-03-06,428.078
2002-03-07,433.752
2002-03-08,432.68
2002-03-11,428.275
2002-03-12,423.428
2002-03-13,422.466
2002-03-14,428.085
2002-03-15,432.664
2002-03-18,435.5
2002-03-19,437.967
2002-03-20,436.083
2002-03-21,433.301
2002-03-22,433.831
2002-03-25,431.495
2002-03-26,434.913
2002-03-27,432.389
2002-03-28,438.409
2002-03-29,438.409
2002-04-01,442.002
2002-04-02,437.233
2002-04-03,436.719
2002-04-04,428.25
2002-04-05,425.137
2002-04-08,415.336
2002-04-09,418.766
2002-04-10,425.788
2002-04-11,419.244
2002-04-12,420.276
2002-04-15,423.878
2002-04-16,434.344
2002-04-17,436.593
2002-04-18,437.238
2002-04-19,437.816
2002-04-22,433.193
2002-04-23,433.842
2002-04-24,431.457
2002-04-25,428.752
2002-04-26,428.765
2002-04-29,428.116
2002-04-30,431.005
2002-05-01,433.445
2002-05-02,427.079
2002-05-03,425.199
2002-05-06,428.549
2002-05-07,419.524
2002-05-08,428.286
2002-05-09,426.65
2002-05-10,423.125
2002-05-13,427.057
2002-05-14,430.043
2002-05-15,435.795
2002-05-16,436.325
2002-05-17,441.432
2002-05-20,437.553
