Date,FRANCE Standard (Large+Mid Cap)
1978-10-31,213.455
1978-11-30,189.815
1978-12-29,206.188
1979-01-31,200.611
1979-02-28,189.143
1979-03-30,198.509
1979-04-30,208.225
1979-05-31,195.067
1979-06-29,224.722
1979-07-31,225.143
1979-08-31,242.109
1979-09-28,280.587
1979-10-31,248.024
1979-11-30,266.63
1979-12-31,265.638
1980-01-31,284.458
1980-02-29,281.649
1980-03-31,236.677
1980-04-30,262.591
1980-05-30,279.999
1980-06-30,283.691
1980-07-31,271.963
1980-08-29,278.412
1980-09-30,277.904
1980-10-31,286.561
1980-11-28,281.022
1980-12-31,260.179
1981-01-30,231.178
1981-02-27,233.771
1981-03-31,244.168
1981-04-30,218.693
1981-05-29,167.99
1981-06-30,155.816
1981-07-31,167.72
1981-08-31,177.017
1981-09-30,183.319
1981-10-30,178.774
1981-11-30,191.605
1981-12-31,185.417
1982-01-29,195.027
1982-02-26,204.503
1982-03-31,190.43
1982-04-30,208.71
1982-05-31,206.944
1982-06-30,170.838
1982-07-30,166.666
1982-08-31,171.059
1982-09-30,165.069
1982-10-29,165.945
1982-11-30,173.056
1982-12-31,177.86
1983-01-31,184.255
1983-02-28,192.034
1983-03-31,198.744
1983-04-29,206.629
1983-05-31,209.837
1983-06-30,206.432
1983-07-29,204.811
1983-08-31,211.147
1983-09-30,222.025
1983-10-31,221.635
1983-11-30,230.899
1983-12-30,236.883
1984-01-31,250.027
1984-02-29,256.093
1984-03-30,260.416
1984-04-30,275.142
1984-05-31,265.346
1984-06-29,258.296
1984-07-31,230.935
1984-08-31,255.562
1984-09-28,253.237
1984-10-31,257.669
1984-11-30,252.238
1984-12-31,249.012
1985-01-31,263.432
1985-02-28,256.559
1985-03-29,288.583
1985-04-30,295.692
1985-05-31,320.79
1985-06-28,311.676
1985-07-31,318.76
1985-08-30,333.034
1985-09-30,327.862
1985-10-31,357.046
1985-11-29,415.395
1985-12-31,456.223
1986-01-31,496.601
1986-02-28,586.371
1986-03-31,644.15
1986-04-30,724.604
1986-05-30,627.367
1986-06-30,664.403
1986-07-31,738.912
1986-08-29,817.851
1986-09-30,755.555
1986-10-31,754.94
1986-11-28,811.885
1986-12-31,817.276
1987-01-30,906.371
1987-02-27,925.85
1987-03-31,982.031
1987-04-30,988.737
1987-05-29,933.862
1987-06-30,876.138
1987-07-31,896.137
1987-08-31,942.667
1987-09-30,883.634
1987-10-30,721.05
1987-11-30,710.5
1987-12-31,707.631
1988-01-29,600.122
1988-02-29,726.347
1988-03-31,683.159
1988-04-29,742.432
1988-05-31,791.847
1988-06-30,801.0
1988-07-29,779.232
1988-08-31,754.211
1988-09-30,827.846
1988-10-31,922.545
1988-11-30,941.069
1988-12-30,981.203
1989-01-31,990.662
1989-02-28,969.816
1989-03-31,980.711
1989-04-28,1020.24
1989-05-31,990.093
1989-06-30,1011.49
1989-07-31,1124.361
1989-08-31,1116.964
1989-09-29,1181.962
1989-10-31,1128.151
1989-11-30,1199.264
1989-12-29,1342.289
1990-01-31,1274.451
1990-02-28,1242.392
1990-03-30,1323.66
1990-04-30,1402.346
1990-05-31,1430.913
1990-06-29,1409.945
1990-07-31,1423.09
1990-08-31,1242.013
1990-09-28,1111.369
1990-10-31,1234.192
1990-11-30,1221.779
1990-12-31,1163.036
1991-01-31,1208.669
1991-02-28,1324.366
1991-03-29,1228.048
1991-04-30,1194.991
1991-05-31,1241.008
1991-06-28,1122.747
1991-07-31,1171.563
1991-08-30,1244.439
1991-09-30,1319.0
1991-10-31,1298.812
1991-11-29,1266.291
1991-12-31,1378.444
1992-01-31,1383.291
1992-02-28,1439.636
1992-03-31,1423.37
1992-04-30,1497.691
1992-05-29,1561.777
1992-06-30,1540.28
1992-07-31,1476.594
1992-08-31,1491.03
1992-09-30,1538.953
1992-10-30,1412.075
1992-11-30,1389.019
1992-12-31,1425.411
1993-01-29,1389.427
1993-02-26,1510.771
1993-03-31,1580.787
1993-04-30,1558.85
1993-05-31,1519.239
1993-06-30,1497.311
1993-07-30,1516.4
1993-08-31,1648.931
1993-09-30,1634.984
1993-10-29,1649.87
1993-11-30,1599.123
1993-12-31,1732.749
1994-01-31,1801.014
1994-02-28,1767.547
1994-03-31,1687.742
1994-04-29,1763.13
1994-05-31,1680.894
1994-06-30,1616.637
1994-07-29,1777.041
1994-08-31,1787.044
1994-09-30,1666.814
1994-10-31,1726.972
1994-11-30,1709.188
1994-12-30,1651.299
1995-01-31,1613.388
1995-02-28,1641.124
1995-03-31,1858.135
1995-04-28,1877.721
1995-05-31,1899.515
1995-06-30,1868.446
1995-07-31,1954.579
1995-08-31,1830.983
1995-09-29,1797.279
1995-10-31,1825.707
1995-11-30,1817.561
1995-12-29,1895.182
1996-01-31,1973.007
1996-02-29,1996.968
1996-03-29,2057.382
1996-04-30,2095.442
1996-05-31,2073.044
1996-06-28,2111.173
1996-07-31,2053.228
1996-08-30,2011.734
1996-09-30,2123.515
1996-10-31,2169.343
1996-11-29,2285.227
1996-12-31,2308.592
1997-01-31,2361.306
1997-02-28,2374.112
1997-03-31,2448.304
1997-04-30,2349.482
1997-05-30,2330.925
1997-06-30,2525.582
1997-07-31,2570.021
1997-08-29,2375.88
1997-09-30,2628.186
1997-10-31,2453.219
1997-11-28,2505.811
1997-12-31,2595.003
1998-01-30,2688.376
1998-02-27,2915.176
1998-03-31,3240.971
1998-04-30,3347.429
1998-05-29,3522.303
1998-06-30,3605.62
1998-07-31,3643.219
1998-08-31,3226.73
1998-09-30,3016.323
1998-10-30,3328.902
1998-11-30,3539.045
1998-12-31,3686.389
1999-01-29,3794.455
1999-02-26,3546.847
1999-03-31,3613.631
1999-04-30,3709.413
1999-05-31,3624.219
1999-06-30,3734.384
1999-07-30,3755.485
1999-08-31,3893.108
1999-09-30,3934.245
1999-10-29,4152.223
1999-11-30,4290.38
1999-12-31,4780.992
2000-01-31,4465.643
2000-02-29,4866.925
2000-03-31,4921.15
2000-04-28,4760.118
2000-05-31,4889.264
2000-06-30,5075.429
2000-07-31,4994.129
2000-08-31,4874.017
2000-09-29,4564.718
2000-10-31,4456.764
2000-11-30,4250.866
2000-12-29,4586.859
2001-01-31,4595.985
2001-02-28,4081.088
2001-03-30,3797.308
2001-04-30,4138.731
2001-05-31,3878.715
2001-06-29,3737.324
2001-07-31,3755.895
2001-08-31,3627.478
2001-09-28,3203.475
2001-10-31,3364.088
2001-11-30,3463.252
2001-12-31,3573.616
2002-01-31,3346.798
2002-02-28,3375.386
2002-03-29,3554.38
2002-04-30,3501.528
2002-05-31,3520.247
2002-06-28,3422.83
2002-07-31,2964.666
2002-08-30,2917.62
2002-09-30,2470.17
2002-10-31,2791.179
2002-11-29,2909.12
2002-12-31,2829.057
2003-01-31,2734.665
2003-02-28,2600.651
2003-03-31,2504.303
2003-04-30,2898.567
2003-05-30,3112.065
2003-06-30,3163.25
2003-07-31,3219.28
2003-08-29,3242.851
2003-09-30,3256.712
2003-10-31,3479.337
2003-11-28,3658.977
2003-12-31,3989.923
2004-01-30,4020.031
2004-02-27,4122.311
2004-03-31,3975.914
2004-04-30,3930.488
2004-05-31,4057.188
2004-06-30,4136.508
2004-07-30,4008.303
2004-08-31,4001.523
2004-09-30,4137.532
2004-10-29,4309.946
2004-11-30,4568.34
2004-12-31,4756.829
2005-01-31,4678.029
2005-02-28,4909.375
2005-03-31,4844.706
2005-04-29,4635.236
2005-05-31,4748.07
2005-06-30,4804.506
2005-07-29,5081.07
2005-08-31,5095.124
2005-09-30,5223.612
2005-10-31,4999.397
2005-11-30,5085.365
2005-12-30,5260.693
2006-01-31,5687.4
2006-02-28,5624.985
2006-03-31,5956.974
2006-04-28,6160.043
2006-05-31,6072.697
2006-06-30,6142.762
2006-07-31,6182.911
2006-08-31,6386.521
2006-09-29,6443.653
2006-10-31,6617.658
2006-11-30,6880.471
2006-12-29,7124.206
2007-01-31,7102.602
2007-02-28,7106.511
2007-03-30,7325.656
2007-04-30,7925.366
2007-05-31,8128.11
2007-06-29,8095.06
2007-07-31,7810.865
2007-08-31,7666.656
2007-09-28,8061.727
2007-10-31,8370.524
2007-11-30,8238.969
2007-12-31,8123.607
2008-01-31,7144.083
2008-02-29,7262.348
2008-03-31,7446.224
2008-04-30,7786.487
2008-05-30,7992.585
2008-06-30,7205.555
2008-07-31,7063.906
2008-08-29,6817.543
2008-09-30,5844.851
2008-10-31,4534.77
2008-11-28,4286.693
2008-12-31,4653.669
2009-01-30,3990.054
2009-02-27,3611.338
2009-03-31,3910.931
2009-04-30,4432.084
2009-05-29,4996.175
2009-06-30,4790.135
2009-07-31,5295.989
2009-08-31,5716.939
2009-09-30,6066.772
2009-10-30,5824.316
2009-11-30,6055.775
2009-12-31,6201.519
2010-01-29,5743.16
2010-02-26,5611.608
2010-03-31,5960.418
2010-04-30,5659.038
2010-05-31,4942.523
2010-06-30,4870.798
2010-07-30,5476.071
2010-08-31,5144.943
2010-09-30,5890.153
2010-10-29,6189.739
2010-11-30,5518.628
2010-12-31,6001.033
2011-01-31,6417.68
2011-02-28,6641.868
2011-03-31,6635.67
2011-04-29,7165.842
2011-05-31,6936.63
2011-06-30,6983.976
2011-07-29,6422.742
2011-08-31,5733.094
2011-09-30,4903.613
2011-10-31,5534.418
2011-11-30,5205.893
2011-12-30,5041.046
2012-01-31,5318.66
2012-02-29,5697.298
2012-03-30,5660.478
2012-04-30,5326.625
2012-05-31,4754.344
2012-06-29,5197.931
2012-07-31,5200.671
2012-08-31,5505.526
2012-09-28,5580.796
2012-10-31,5731.089
2012-11-30,5973.93
2012-12-31,6191.259
2013-01-31,6537.405
2013-02-28,6316.556
2013-03-29,6229.144
2013-04-30,6606.377
2013-05-31,6763.658
2013-06-28,6444.531
2013-07-31,7032.069
2013-08-30,6875.041
2013-09-30,7445.045
2013-10-31,7746.739
2013-11-29,7770.437
2013-12-31,7903.561
2014-01-31,7513.38
2014-02-28,8149.171
2014-03-31,8137.36
2014-04-30,8377.334
2014-05-30,8446.958
2014-06-30,8332.279
2014-07-31,7830.964
2014-08-29,7918.137
2014-09-30,7638.319
2014-10-31,7303.546
2014-11-28,7559.426
2014-12-31,7192.933
2015-01-30,7245.608
2015-02-27,7719.174
2015-03-31,7535.384
2015-04-30,7927.568
2015-05-29,7803.164
2015-06-30,7608.709
2015-07-31,7986.071
2015-08-31,7424.914
2015-09-30,7121.204
2015-10-30,7719.77
2015-11-30,7493.114
2015-12-31,7249.268
2016-01-29,6919.705
2016-02-29,6847.82
2016-03-31,7264.571
2016-04-29,7407.088
2016-05-31,7430.927
2016-06-30,7007.909
2016-07-29,7398.806
2016-08-31,7361.269
2016-09-30,7458.295
2016-10-31,7411.211
2016-11-30,7280.229
2016-12-30,7685.512
2017-01-31,7731.936
2017-02-28,7760.25
2017-03-31,8250.145
2017-04-28,8699.626
2017-05-31,9171.885
2017-06-30,9063.59
2017-07-31,9320.29
2017-08-31,9418.755
2017-09-29,9826.55
2017-10-31,9973.917
2017-11-30,9999.981
2017-12-29,9983.405
2018-01-31,10684.296
2018-02-28,10166.318
2018-03-30,10022.23
2018-04-30,10507.82
2018-05-31,10142.22
2018-06-29,10054.396
2018-07-31,10420.453
2018-08-31,10214.29
2018-09-28,10342.889
2018-10-31,9374.155
2018-11-30,9210.1
2018-12-31,8795.746
2019-01-31,9311.229
2019-02-28,9696.958
2019-03-29,9744.596
2019-04-30,10207.585
2019-05-31,9632.42
2019-06-28,10457.143
2019-07-31,10210.84
2019-08-30,10036.95
2019-09-30,10286.112
2019-10-31,10657.639
2019-11-29,10842.498
2019-12-31,11166.432
2020-01-31,10791.289
2020-02-28,9833.748
2020-03-31,8098.535
2020-04-30,8456.644
2020-05-29,8889.615
2020-06-30,9433.057
2020-07-31,9704.985
2020-08-31,10168.299
2020-09-30,9710.133
2020-10-30,9244.931
2020-11-30,11364.427
2020-12-31,11691.78
2021-01-29,11334.553
2021-02-26,11899.206
2021-03-31,12217.102
2021-04-30,12977.993
2021-05-31,13630.698
2021-06-30,13383.637
2021-07-30,13612.95
2021-08-31,13701.144
2021-09-30,13159.249
2021-10-29,13745.543
2021-11-30,13165.986
2021-12-31,14099.171
2022-01-31,13565.616
2022-02-28,12960.737
2022-03-31,12881.454
2022-04-29,12070.089
2022-05-31,12313.79
2022-06-30,11041.867
2022-07-29,11754.149
2022-08-31,11008.206
2022-09-30,10068.016
2022-10-31,11021.53
2022-11-30,12325.057
2022-12-30,12312.989
2023-01-31,13702.377
2023-02-28,13687.243
2023-03-31,14121.864
2023-04-28,14797.346
2023-05-31,13741.833
2023-06-30,14658.626
2023-07-31,14981.492
2023-08-31,14400.769
2023-09-29,13642.028
2023-10-31,13125.061
2023-11-30,14382.085
2023-12-29,15055.952
2024-01-31,15068.104
2024-02-29,15466.695
2024-03-29,15950.732
2024-04-30,15518.414
2024-05-31,16035.239
2024-06-28,14840.354
2024-07-31,15196.669
2024-08-30,15773.836
2024-09-30,15990.209
2024-10-31,14971.347
2024-11-29,14339.473
2024-12-31,14363.245
2025-01-31,15523.895
2025-02-28,15854.254
2025-03-31,15847.11
2025-04-30,16408.998
2025-05-30,16993.464
