Date,FRANCE Standard (Large+Mid Cap)
1969-12-31,100.0
1970-01-30,103.806
1970-02-27,100.908
1970-03-31,99.729
1970-04-30,93.782
1970-05-29,91.225
1970-06-30,89.016
1970-07-31,94.1
1970-08-31,93.624
1970-09-30,90.919
1970-10-30,92.181
1970-11-30,91.337
1970-12-31,93.057
1971-01-29,97.689
1971-02-26,96.991
1971-03-31,95.041
1971-04-30,94.917
1971-05-31,99.978
1971-06-30,97.972
1971-07-30,100.66
1971-08-31,97.772
1971-09-30,89.395
1971-10-29,83.512
1971-11-30,89.118
1971-12-31,92.577
1972-01-31,98.764
1972-02-29,105.456
1972-03-31,118.127
1972-04-28,121.324
1972-05-31,128.312
1972-06-30,123.329
1972-07-31,131.681
1972-08-31,132.711
1972-09-29,130.86
1972-10-31,125.517
1972-11-30,117.197
1972-12-29,114.469
1973-01-31,122.522
1973-02-28,138.823
1973-03-30,146.685
1973-04-30,156.669
1973-05-31,161.305
1973-06-29,167.603
1973-07-31,157.508
1973-08-31,145.29
1973-09-28,148.677
1973-10-31,151.217
1973-11-30,124.013
1973-12-31,117.654
1974-01-31,117.763
1974-02-28,124.039
1974-03-29,116.012
1974-04-30,110.889
1974-05-31,106.007
1974-06-28,97.721
1974-07-31,101.285
1974-08-30,88.944
1974-09-30,75.218
1974-10-31,81.748
1974-11-29,84.448
1974-12-31,89.741
1975-01-31,113.679
1975-02-28,116.338
1975-03-31,125.14
1975-04-30,136.613
1975-05-30,133.312
1975-06-30,125.066
1975-07-31,125.897
1975-08-29,125.383
1975-09-30,115.752
1975-10-31,124.301
1975-11-28,129.769
1975-12-31,128.376
1976-01-30,130.546
1976-02-27,136.689
1976-03-31,127.005
1976-04-30,120.982
1976-05-31,119.518
1976-06-30,116.632
1976-07-30,107.105
1976-08-31,106.761
1976-09-30,100.009
1976-10-29,92.791
1976-11-30,89.621
1976-12-31,101.021
1977-01-31,99.096
1977-02-28,94.725
1977-03-31,85.162
1977-04-29,83.51
1977-05-31,87.937
1977-06-30,94.18
1977-07-29,91.988
1977-08-31,98.881
1977-09-30,104.954
1977-10-31,109.893
1977-11-30,105.04
1977-12-30,105.216
1978-01-31,98.904
1978-02-28,100.924
1978-03-31,127.518
1978-04-28,133.977
1978-05-31,141.519
1978-06-30,140.078
1978-07-31,160.868
1978-08-31,156.977
1978-09-29,180.773
1978-10-31,186.464
1978-11-30,165.617
1978-12-29,179.694
1979-01-31,174.626
1979-02-28,164.432
1979-03-30,172.357
1979-04-30,180.572
1979-05-31,168.938
1979-06-29,194.39
1979-07-31,194.521
1979-08-31,208.947
1979-09-28,241.908
1979-10-31,213.596
1979-11-30,229.365
1979-12-31,228.257
1980-01-31,244.429
1980-02-29,242.015
1980-03-31,203.103
1980-04-30,225.036
1980-05-30,239.646
1980-06-30,242.485
1980-07-31,232.143
1980-08-29,237.333
1980-09-30,236.587
1980-10-31,243.654
1980-11-28,238.648
1980-12-31,220.655
1981-01-30,195.783
1981-02-27,197.709
1981-03-31,206.194
1981-04-30,184.385
1981-05-29,141.362
1981-06-30,130.85
1981-07-31,140.582
1981-08-31,148.108
1981-09-30,153.103
1981-10-30,149.027
1981-11-30,159.439
1981-12-31,154.016
1982-01-29,161.469
1982-02-26,168.81
1982-03-31,157.033
1982-04-30,171.594
1982-05-31,169.65
1982-06-30,139.599
1982-07-30,136.04
1982-08-31,139.478
1982-09-30,134.452
1982-10-29,135.024
1982-11-30,140.663
1982-12-31,144.415
1983-01-31,149.456
1983-02-28,155.612
1983-03-31,160.908
1983-04-29,167.154
1983-05-31,169.615
1983-06-30,166.729
1983-07-29,165.29
