Date,FRANCE Standard (Large+Mid Cap)
2001-01-01,3385.979
2001-01-02,3345.215
2001-01-03,3272.481
2001-01-04,3338.625
2001-01-05,3333.472
2001-01-08,3311.833
2001-01-09,3236.612
2001-01-10,3228.713
2001-01-11,3290.404
2001-01-12,3362.298
2001-01-15,3339.738
2001-01-16,3295.499
2001-01-17,3326.986
2001-01-18,3359.314
2001-01-19,3315.276
2001-01-22,3337.578
2001-01-23,3326.331
2001-01-24,3299.101
2001-01-25,3313.073
2001-01-26,3318.447
2001-01-29,3287.7
2001-01-30,3322.762
2001-01-31,3392.68
2001-02-01,3374.428
2001-02-02,3310.664
2001-02-05,3332.333
2001-02-06,3321.925
2001-02-07,3269.997
2001-02-08,3234.353
2001-02-09,3219.162
2001-02-12,3264.015
2001-02-13,3227.526
2001-02-14,3167.477
2001-02-15,3147.808
2001-02-16,3129.248
2001-02-19,3143.291
2001-02-20,3081.282
2001-02-21,3051.397
2001-02-22,3022.629
2001-02-23,2951.08
2001-02-26,3006.529
2001-02-27,3049.021
2001-02-28,3012.581
2001-03-01,3024.346
2001-03-02,3022.252
2001-03-05,3046.811
2001-03-06,3096.85
2001-03-07,3102.762
2001-03-08,3085.148
2001-03-09,3046.589
2001-03-12,2963.409
2001-03-13,2894.687
2001-03-14,2841.063
2001-03-15,2865.878
2001-03-16,2783.653
2001-03-19,2766.165
2001-03-20,2839.985
2001-03-21,2761.196
2001-03-22,2610.717
2001-03-23,2708.025
2001-03-26,2807.109
2001-03-27,2876.498
2001-03-28,2801.043
2001-03-29,2781.652
2001-03-30,2803.035
2001-04-02,2810.482
2001-04-03,2716.305
2001-04-04,2802.156
2001-04-05,2830.554
2001-04-06,2838.121
2001-04-09,2862.517
2001-04-10,2904.577
2001-04-11,2901.729
2001-04-12,2932.282
2001-04-13,2932.282
2001-04-16,2902.252
2001-04-17,2881.073
2001-04-18,2929.591
2001-04-19,2968.945
2001-04-20,2992.92
2001-04-23,2955.14
2001-04-24,2957.654
2001-04-25,2965.523
2001-04-26,3021.618
2001-04-27,3042.353
2001-04-30,3055.047
2001-05-01,3071.244
2001-05-02,3039.728
2001-05-03,2988.715
2001-05-04,2993.114
2001-05-07,3003.998
2001-05-08,2996.928
2001-05-09,2982.069
2001-05-10,3036.786
2001-05-11,2991.927
2001-05-14,2944.048
2001-05-15,2990.861
2001-05-16,2999.17
2001-05-17,3028.569
2001-05-18,3035.242
2001-05-21,3040.381
2001-05-22,3033.201
2001-05-23,2980.148
2001-05-24,2983.863
2001-05-25,2947.302
2001-05-28,2973.411
2001-05-29,2924.335
2001-05-30,2884.443
2001-05-31,2857.173
2001-06-01,2843.424
2001-06-04,2847.287
2001-06-05,2892.16
2001-06-06,2877.409
2001-06-07,2865.491
2001-06-08,2856.497
2001-06-11,2825.813
2001-06-12,2794.893
2001-06-13,2820.68
2001-06-14,2818.377
2001-06-15,2799.964
2001-06-18,2757.867
2001-06-19,2767.957
2001-06-20,2735.068
2001-06-21,2718.226
2001-06-22,2749.097
2001-06-25,2785.857
2001-06-26,2724.322
2001-06-27,2700.409
2001-06-28,2705.724
2001-06-29,2749.61
2001-07-02,2779.609
2001-07-03,2730.887
2001-07-04,2713.283
2001-07-05,2656.127
2001-07-06,2616.116
2001-07-09,2648.624
2001-07-10,2640.089
2001-07-11,2624.316
2001-07-12,2620.559
2001-07-13,2653.06
2001-07-16,2661.01
2001-07-17,2625.988
2001-07-18,2626.04
2001-07-19,2656.937
2001-07-20,2642.479
2001-07-23,2646.521
2001-07-24,2634.486
2001-07-25,2600.047
