Date,FRANCE Standard (Large+Mid Cap)
2001-01-01,4586.859
2001-01-02,4531.638
2001-01-03,4433.107
2001-01-04,4522.711
2001-01-05,4515.73
2001-01-08,4486.416
2001-01-09,4384.517
2001-01-10,4373.816
2001-01-11,4457.433
2001-01-12,4554.827
2001-01-15,4524.265
2001-01-16,4464.337
2001-01-17,4506.991
2001-01-18,4550.785
2001-01-19,4491.128
2001-01-22,4521.34
2001-01-23,4506.104
2001-01-24,4469.216
2001-01-25,4488.144
2001-01-26,4495.423
2001-01-29,4453.771
2001-01-30,4501.268
2001-01-31,4595.985
2001-02-01,4571.26
2001-02-02,4484.88
2001-02-05,4514.234
2001-02-06,4500.135
2001-02-07,4429.79
2001-02-08,4381.503
2001-02-09,4360.94
2001-02-12,4421.701
2001-02-13,4372.271
2001-02-14,4290.923
2001-02-15,4264.279
2001-02-16,4239.135
2001-02-19,4258.16
2001-02-20,4174.157
2001-02-21,4133.673
2001-02-22,4094.7
2001-02-23,3997.774
2001-02-26,4072.891
2001-02-27,4130.453
2001-02-28,4081.088
2001-03-01,4097.027
2001-03-02,4094.19
2001-03-05,4127.46
2001-03-06,4195.323
2001-03-07,4203.331
2001-03-08,4179.47
2001-03-09,4127.234
2001-03-12,4014.55
2001-03-13,3921.451
2001-03-14,3848.806
2001-03-15,3882.424
2001-03-16,3771.033
2001-03-19,3747.341
2001-03-20,3847.364
2001-03-21,3740.627
2001-03-22,3536.771
2001-03-23,3668.596
2001-03-26,3802.827
2001-03-27,3896.828
2001-03-28,3794.609
2001-03-29,3768.34
2001-03-30,3797.308
2001-04-02,3807.395
2001-04-03,3679.812
2001-04-04,3796.116
2001-04-05,3834.588
2001-04-06,3844.838
2001-04-09,3877.888
2001-04-10,3934.868
2001-04-11,3931.01
2001-04-12,3972.399
2001-04-13,3972.399
2001-04-16,3931.717
2001-04-17,3903.026
2001-04-18,3968.754
2001-04-19,4022.068
2001-04-20,4054.546
2001-04-23,4003.366
2001-04-24,4006.772
2001-04-25,4017.432
2001-04-26,4093.443
2001-04-27,4121.533
2001-04-30,4138.731
2001-05-01,4160.672
2001-05-02,4119.131
2001-05-03,4050.349
2001-05-04,4056.311
2001-05-07,4071.872
2001-05-08,4062.288
2001-05-09,4042.796
2001-05-10,4117.282
2001-05-11,4057.353
2001-05-14,3993.326
2001-05-15,4056.824
2001-05-16,4068.094
2001-05-17,4107.972
2001-05-18,4117.168
2001-05-21,4124.176
2001-05-22,4114.539
2001-05-23,4042.792
2001-05-24,4047.833
2001-05-25,3998.706
2001-05-28,4034.128
2001-05-29,3969.839
2001-05-30,3915.685
2001-05-31,3878.715
2001-06-01,3860.454
2001-06-04,3865.699
2001-06-05,3927.15
2001-06-06,3907.515
2001-06-07,3891.331
2001-06-08,3879.775
2001-06-11,3839.27
2001-06-12,3797.333
2001-06-13,3832.368
2001-06-14,3830.398
2001-06-15,3805.389
2001-06-18,3748.176
2001-06-19,3761.888
2001-06-20,3717.316
2001-06-21,3694.425
2001-06-22,3736.383
2001-06-25,3786.378
2001-06-26,3702.743
2001-06-27,3670.368
2001-06-28,3677.672
2001-06-29,3737.324
2001-07-02,3778.496
2001-07-03,3712.266
2001-07-04,3688.336
2001-07-05,3610.639
2001-07-06,3556.25
2001-07-09,3600.439
2001-07-10,3588.886
2001-07-11,3567.444
2001-07-12,3562.337
2001-07-13,3606.517
2001-07-16,3617.325
2001-07-17,3569.716
2001-07-18,3569.788
2001-07-19,3611.788
2001-07-20,3592.134
2001-07-23,3597.629
2001-07-24,3581.269
2001-07-25,3534.453
2001-07-26,3575.845
2001-07-27,3655.549
2001-07-30,3714.347
2001-07-31,3755.895
2001-08-01,3792.32
2001-08-02,3785.201
2001-08-03,3756.088
2001-08-06,3760.422
2001-08-07,3737.648
2001-08-08,3688.508
2001-08-09,3670.01
2001-08-10,3665.044
2001-08-13,3742.118
2001-08-14,3768.134
2001-08-15,3808.902
2001-08-16,3784.333
2001-08-17,3721.472
2001-08-20,3716.987
2001-08-21,3751.546
2001-08-22,3768.544
2001-08-23,3738.137
2001-08-24,3814.266
2001-08-27,3793.685
2001-08-28,3726.827
2001-08-29,3740.486
2001-08-30,3633.906
2001-08-31,3627.478
2001-09-03,3576.68
2001-09-04,3544.473
2001-09-05,3462.568
2001-09-06,3414.202
2001-09-07,3415.155
2001-09-10,3374.103
2001-09-11,3166.965
2001-09-12,3203.722
2001-09-13,3217.029
2001-09-14,3095.487
2001-09-17,3180.528
2001-09-18,3160.375
2001-09-19,3116.153
2001-09-20,2988.972
2001-09-21,2885.09
2001-09-24,3041.852
2001-09-25,3094.153
2001-09-26,3147.827
2001-09-27,3182.844
2001-09-28,3203.475
2001-10-01,3169.592
2001-10-02,3201.532
2001-10-03,3196.498
2001-10-04,3296.405
2001-10-05,3299.46
2001-10-08,3303.899
2001-10-09,3305.845
2001-10-10,3389.752
2001-10-11,3360.682
2001-10-12,3385.787
2001-10-15,3299.094
2001-10-16,3376.019
2001-10-17,3442.017
2001-10-18,3370.21
2001-10-19,3298.742
2001-10-22,3331.695
2001-10-23,3401.045
2001-10-24,3434.667
2001-10-25,3373.001
2001-10-26,3435.474
2001-10-29,3407.318
2001-10-30,3323.05
2001-10-31,3364.088
2001-11-01,3408.367
2001-11-02,3396.532
2001-11-05,3456.218
2001-11-06,3439.716
2001-11-07,3476.82
2001-11-08,3506.065
2001-11-09,3468.821
2001-11-12,3372.578
2001-11-13,3466.033
2001-11-14,3476.867
2001-11-15,3462.925
2001-11-16,3478.408
2001-11-19,3505.648
2001-11-20,3476.908
2001-11-21,3427.804
2001-11-22,3473.786
2001-11-23,3442.702
2001-11-26,3441.852
2001-11-27,3397.628
2001-11-28,3393.477
2001-11-29,3398.143
2001-11-30,3463.252
2001-12-03,3439.636
2001-12-04,3494.049
2001-12-05,3593.539
2001-12-06,3604.5
2001-12-07,3575.278
2001-12-10,3504.098
2001-12-11,3498.764
2001-12-12,3489.855
2001-12-13,3422.689
2001-12-14,3389.818
2001-12-17,3511.187
2001-12-18,3493.933
2001-12-19,3475.806
2001-12-20,3449.237
2001-12-21,3465.959
2001-12-24,3432.448
2001-12-25,3432.448
2001-12-26,3435.379
2001-12-27,3535.703
2001-12-28,3539.1
2001-12-31,3573.616
2002-01-01,3573.616
2002-01-02,3595.444
2002-01-03,3652.444
2002-01-04,3632.109
2002-01-07,3570.675
2002-01-08,3526.293
2002-01-09,3536.808
2002-01-10,3498.811
2002-01-11,3520.774
2002-01-14,3458.364
2002-01-15,3497.275
2002-01-16,3398.05
2002-01-17,3425.205
2002-01-18,3415.112
2002-01-21,3398.476
2002-01-22,3411.71
2002-01-23,3424.397
2002-01-24,3438.781
2002-01-25,3369.834
2002-01-28,3401.636
2002-01-29,3356.028
2002-01-30,3308.1
2002-01-31,3346.798
2002-02-01,3343.414
2002-02-04,3321.132
2002-02-05,3261.298
2002-02-06,3246.072
2002-02-07,3256.163
2002-02-08,3270.264
2002-02-11,3330.765
2002-02-12,3319.13
2002-02-13,3326.035
2002-02-14,3367.021
2002-02-15,3341.45
2002-02-18,3311.9
2002-02-19,3258.753
2002-02-20,3237.866
2002-02-21,3269.763
2002-02-22,3263.499
2002-02-25,3286.77
2002-02-26,3303.12
2002-02-27,3345.691
2002-02-28,3375.386
2002-03-01,3387.595
2002-03-04,3488.674
2002-03-05,3470.454
2002-03-06,3498.36
2002-03-07,3537.899
2002-03-08,3527.239
2002-03-11,3501.201
2002-03-12,3464.907
2002-03-13,3456.454
2002-03-14,3499.71
2002-03-15,3528.392
2002-03-18,3546.936
2002-03-19,3569.282
2002-03-20,3539.388
2002-03-21,3506.321
2002-03-22,3511.928
2002-03-25,3489.266
2002-03-26,3514.734
2002-03-27,3501.048
2002-03-28,3554.38
2002-03-29,3554.38
2002-04-01,3583.511
2002-04-02,3546.708
2002-04-03,3544.125
2002-04-04,3478.636
2002-04-05,3450.469
2002-04-08,3373.561
2002-04-09,3402.909
2002-04-10,3453.684
2002-04-11,3408.791
2002-04-12,3413.194
2002-04-15,3445.074
2002-04-16,3524.283
2002-04-17,3542.656
2002-04-18,3550.762
2002-04-19,3554.093
2002-04-22,3518.036
2002-04-23,3520.002
2002-04-24,3508.219
2002-04-25,3483.149
2002-04-26,3482.688
2002-04-29,3474.819
2002-04-30,3501.528
2002-05-01,3521.346
2002-05-02,3480.904
2002-05-03,3471.471
2002-05-06,3490.136
2002-05-07,3423.683
2002-05-08,3488.076
2002-05-09,3476.247
2002-05-10,3448.431
2002-05-13,3479.01
2002-05-14,3503.752
2002-05-15,3543.408
2002-05-16,3552.761
2002-05-17,3588.992
2002-05-20,3558.948
2002-05-21,3547.564
2002-05-22,3525.657
2002-05-23,3513.976
2002-05-24,3525.579
2002-05-27,3534.191
2002-05-28,3552.16
2002-05-29,3559.661
2002-05-30,3517.29
2002-05-31,3520.247
2002-06-03,3496.85
2002-06-04,3392.295
2002-06-05,3384.601
2002-06-06,3420.559
2002-06-07,3356.155
2002-06-10,3361.44
2002-06-11,3416.44
2002-06-12,3348.578
2002-06-13,3309.633
2002-06-14,3228.456
2002-06-17,3351.493
2002-06-18,3363.266
2002-06-19,3332.275
2002-06-20,3282.985
2002-06-21,3273.99
2002-06-24,3192.635
2002-06-25,3249.038
2002-06-26,3256.671
2002-06-27,3271.121
2002-06-28,3422.83
2002-07-01,3418.868
2002-07-02,3271.419
2002-07-03,3155.493
2002-07-04,3210.659
2002-07-05,3327.206
2002-07-08,3377.801
2002-07-09,3366.603
2002-07-10,3213.916
2002-07-11,3090.804
2002-07-12,3090.207
2002-07-15,2978.545
2002-07-16,2978.159
2002-07-17,3075.874
2002-07-18,3137.286
2002-07-19,2991.493
2002-07-22,2815.765
2002-07-23,2709.51
2002-07-24,2664.885
2002-07-25,2793.834
2002-07-26,2777.141
2002-07-29,2928.817
2002-07-30,2945.624
2002-07-31,2964.666
2002-08-01,2827.737
