Date,AUSTRIA LARGE GROWTH Large Cap
2004-11-30,671.385
2004-12-01,698.65
2004-12-02,692.208
2004-12-03,685.481
2004-12-06,684.633
2004-12-07,692.655
2004-12-08,684.376
2004-12-09,668.144
2004-12-10,659.403
2004-12-13,678.756
2004-12-14,688.732
2004-12-15,697.658
2004-12-16,672.06
2004-12-17,676.711
2004-12-20,690.032
2004-12-21,687.819
2004-12-22,691.398
2004-12-23,694.743
2004-12-24,696.544
2004-12-27,701.79
2004-12-28,699.888
2004-12-29,698.834
2004-12-30,706.698
2004-12-31,704.753
2005-01-03,707.703
2005-01-04,699.37
2005-01-05,691.172
2005-01-06,685.731
2005-01-07,679.939
2005-01-10,672.938
2005-01-11,667.783
2005-01-12,671.308
2005-01-13,653.18
2005-01-14,643.863
2005-01-17,656.096
2005-01-18,650.338
2005-01-19,641.552
2005-01-20,623.87
2005-01-21,641.372
2005-01-24,646.174
2005-01-25,654.513
2005-01-26,661.012
2005-01-27,664.676
2005-01-28,652.385
2005-01-31,651.797
2005-02-01,649.489
2005-02-02,649.117
2005-02-03,645.696
2005-02-04,662.514
2005-02-07,652.6
2005-02-08,651.974
2005-02-09,655.02
2005-02-10,648.048
2005-02-11,645.545
2005-02-14,658.851
2005-02-15,658.661
2005-02-16,651.816
2005-02-17,657.728
2005-02-18,656.4
2005-02-21,655.321
2005-02-22,663.016
2005-02-23,656.216
2005-02-24,672.442
2005-02-25,706.533
2005-02-28,721.486
2005-03-01,730.619
2005-03-02,725.329
2005-03-03,739.529
2005-03-04,755.73
2005-03-07,770.922
2005-03-08,762.374
2005-03-09,758.824
2005-03-10,771.337
2005-03-11,771.401
2005-03-14,739.106
2005-03-15,741.169
2005-03-16,717.563
2005-03-17,706.066
2005-03-18,701.035
2005-03-21,676.539
2005-03-22,703.571
2005-03-23,680.69
2005-03-24,690.258
2005-03-25,690.258
2005-03-28,685.414
2005-03-29,692.548
2005-03-30,690.045
2005-03-31,691.855
2005-04-01,694.214
2005-04-04,680.214
2005-04-05,687.34
2005-04-06,689.99
2005-04-07,681.287
2005-04-08,686.466
2005-04-11,688.86
2005-04-12,679.917
2005-04-13,694.072
2005-04-14,679.286
2005-04-15,665.141
2005-04-18,646.355
2005-04-19,657.816
2005-04-20,672.68
2005-04-21,674.643
2005-04-22,678.379
2005-04-25,671.206
2005-04-26,679.575
2005-04-27,667.035
2005-04-28,650.908
2005-04-29,638.514
2005-05-02,636.865
2005-05-03,637.595
2005-05-04,629.85
2005-05-05,629.096
2005-05-06,618.086
2005-05-09,643.885
2005-05-10,640.888
2005-05-11,633.984
2005-05-12,618.875
2005-05-13,618.164
2005-05-16,616.942
2005-05-17,612.23
2005-05-18,625.106
2005-05-19,639.186
2005-05-20,657.009
2005-05-23,652.354
2005-05-24,631.61
2005-05-25,626.168
2005-05-26,622.589
2005-05-27,653.78
2005-05-30,662.27
2005-05-31,657.831
2005-06-01,656.272
2005-06-02,663.126
2005-06-03,656.834
2005-06-06,666.156
2005-06-07,671.393
2005-06-08,686.07
2005-06-09,689.877
2005-06-10,689.633
2005-06-13,685.118
2005-06-14,675.138
2005-06-15,674.689
2005-06-16,685.055
2005-06-17,683.061
2005-06-20,685.928
2005-06-21,673.009
2005-06-22,675.162
2005-06-23,665.836
2005-06-24,658.991
2005-06-27,669.157
2005-06-28,671.73
2005-06-29,673.209
2005-06-30,667.583
2005-07-01,669.809
