Date,AUSTRIA LARGE GROWTH Large Cap
2004-11-30,665.915
2004-12-01,692.958
2004-12-02,686.568
2004-12-03,679.897
2004-12-06,679.055
2004-12-07,687.012
2004-12-08,678.8
2004-12-09,662.701
2004-12-10,654.03
2004-12-13,673.226
2004-12-14,683.121
2004-12-15,691.974
2004-12-16,666.584
2004-12-17,671.198
2004-12-20,684.41
2004-12-21,682.215
2004-12-22,685.765
2004-12-23,689.082
2004-12-24,690.869
2004-12-27,696.072
2004-12-28,694.186
2004-12-29,693.141
2004-12-30,700.94
2004-12-31,699.011
2005-01-03,701.937
2005-01-04,693.672
2005-01-05,685.54
2005-01-06,680.145
2005-01-07,674.399
2005-01-10,667.455
2005-01-11,662.342
2005-01-12,665.839
2005-01-13,647.858
2005-01-14,638.617
2005-01-17,650.75
2005-01-18,645.039
2005-01-19,636.325
2005-01-20,618.787
2005-01-21,636.147
2005-01-24,640.909
2005-01-25,649.181
2005-01-26,655.627
2005-01-27,659.261
2005-01-28,647.069
2005-01-31,646.486
2005-02-01,644.197
2005-02-02,643.829
2005-02-03,640.435
2005-02-04,657.116
2005-02-07,647.283
2005-02-08,646.662
2005-02-09,649.683
2005-02-10,642.768
2005-02-11,640.286
2005-02-14,653.483
2005-02-15,653.295
2005-02-16,646.506
2005-02-17,652.369
2005-02-18,651.052
2005-02-21,649.982
2005-02-22,657.614
2005-02-23,650.869
2005-02-24,666.963
2005-02-25,700.777
2005-02-28,715.608
2005-03-01,724.667
2005-03-02,719.419
2005-03-03,733.504
2005-03-04,749.573
2005-03-07,764.641
2005-03-08,756.163
2005-03-09,752.642
2005-03-10,765.053
2005-03-11,765.116
2005-03-14,733.085
2005-03-15,735.131
2005-03-16,711.717
2005-03-17,700.313
2005-03-18,695.324
2005-03-21,671.027
2005-03-22,697.839
2005-03-23,675.144
2005-03-24,684.634
2005-03-25,684.634
2005-03-28,679.83
2005-03-29,686.905
2005-03-30,684.423
2005-03-31,686.218
2005-04-01,688.557
2005-04-04,674.672
2005-04-05,681.74
2005-04-06,684.368
2005-04-07,675.736
2005-04-08,680.873
2005-04-11,683.247
2005-04-12,674.378
2005-04-13,688.417
2005-04-14,673.752
2005-04-15,659.722
2005-04-18,641.089
2005-04-19,652.456
2005-04-20,667.199
2005-04-21,669.147
2005-04-22,672.852
2005-04-25,665.737
2005-04-26,674.038
2005-04-27,661.601
2005-04-28,645.605
2005-04-29,633.311
2005-05-02,631.676
2005-05-03,632.401
2005-05-04,624.718
2005-05-05,623.971
2005-05-06,613.05
2005-05-09,638.639
2005-05-10,635.667
2005-05-11,628.819
2005-05-12,613.832
2005-05-13,613.128
2005-05-16,611.916
2005-05-17,609.308
2005-05-18,622.123
2005-05-19,636.135
2005-05-20,653.874
2005-05-23,649.241
2005-05-24,628.595
2005-05-25,623.18
2005-05-26,619.618
2005-05-27,650.66
2005-05-30,659.109
2005-05-31,654.692
2005-06-01,653.14
2005-06-02,659.962
2005-06-03,653.699
2005-06-06,662.977
2005-06-07,668.189
2005-06-08,682.795
2005-06-09,686.585
2005-06-10,686.342
2005-06-13,681.849
2005-06-14,671.916
2005-06-15,671.47
2005-06-16,681.786
2005-06-17,679.801
2005-06-20,682.655
2005-06-21,669.797
2005-06-22,671.94
2005-06-23,662.658
2005-06-24,655.846
2005-06-27,665.964
2005-06-28,668.524
2005-06-29,669.997
2005-06-30,664.398
2005-07-01,666.612
2005-07-04,660.213
2005-07-05,667.377
2005-07-06,654.258
2005-07-07,650.025
2005-07-08,646.83
2005-07-11,648.704
2005-07-12,655.422
2005-07-13,647.588
2005-07-14,663.912
2005-07-15,670.949
2005-07-18,667.842
2005-07-19,672.029
2005-07-20,677.302
2005-07-21,678.455
2005-07-22,674.961
2005-07-25,681.834
2005-07-26,655.482
2005-07-27,653.479
2005-07-28,657.525
2005-07-29,676.744
2005-08-01,688.296
2005-08-02,687.0
2005-08-03,722.16
2005-08-04,740.036
2005-08-05,734.029
2005-08-08,733.235
2005-08-09,731.453
2005-08-10,753.163
2005-08-11,750.884
2005-08-12,747.103
2005-08-15,743.107
2005-08-16,740.733
2005-08-17,727.496
2005-08-18,716.418
2005-08-19,719.91
2005-08-22,726.971
2005-08-23,726.543
2005-08-24,726.431
2005-08-25,728.669
2005-08-26,727.947
2005-08-29,725.915
2005-08-30,727.769
2005-08-31,733.341
2005-09-01,754.107
2005-09-02,788.968
2005-09-05,773.072
2005-09-06,781.507
2005-09-07,779.378
2005-09-08,780.479
2005-09-09,782.31
2005-09-12,768.52
2005-09-13,766.291
2005-09-14,763.895
2005-09-15,761.087
2005-09-16,766.535
2005-09-19,746.897
2005-09-20,734.708
2005-09-21,718.505
2005-09-22,708.911
2005-09-23,701.885
2005-09-26,694.277
2005-09-27,686.349
2005-09-28,688.171
2005-09-29,700.931
2005-09-30,711.713
2005-10-03,702.088
2005-10-04,708.489
2005-10-05,696.177
2005-10-06,689.54
2005-10-07,686.267
2005-10-10,671.061
2005-10-11,658.783
2005-10-12,670.169
2005-10-13,655.351
2005-10-14,651.561
2005-10-17,658.257
2005-10-18,669.345
2005-10-19,658.815
2005-10-20,653.986
2005-10-21,649.043
2005-10-24,649.8
2005-10-25,660.482
2005-10-26,659.336
2005-10-27,675.077
2005-10-28,673.378
2005-10-31,689.572
2005-11-01,690.321
2005-11-02,689.037
2005-11-03,693.067
2005-11-04,695.018
2005-11-07,703.914
2005-11-08,699.581
2005-11-09,698.872
2005-11-10,700.426
2005-11-11,700.621
2005-11-14,687.653
2005-11-15,684.459
2005-11-16,676.852
2005-11-17,682.9
2005-11-18,683.909
2005-11-21,678.985
2005-11-22,676.158
2005-11-23,690.595
2005-11-24,695.834
2005-11-25,696.478
2005-11-28,710.268
2005-11-29,705.281
2005-11-30,706.9
2005-12-01,725.711
2005-12-02,725.26
2005-12-05,727.425
2005-12-06,738.901
2005-12-07,755.53
2005-12-08,762.168
2005-12-09,751.38
2005-12-12,731.049
2005-12-13,737.59
2005-12-14,745.181
2005-12-15,740.202
2005-12-16,745.612
2005-12-19,735.276
2005-12-20,728.506
2005-12-21,721.857
2005-12-22,741.942
2005-12-23,735.819
2005-12-26,735.819
2005-12-27,745.792
2005-12-28,751.622
2005-12-29,745.286
2005-12-30,742.234
2006-01-02,751.604
2006-01-03,770.443
2006-01-04,780.352
2006-01-05,779.39
2006-01-06,782.87
2006-01-09,789.168
2006-01-10,772.885
2006-01-11,776.563
2006-01-12,787.674
2006-01-13,779.469
2006-01-16,799.394
2006-01-17,786.93
2006-01-18,779.628
2006-01-19,796.652
2006-01-20,801.386
2006-01-23,834.445
2006-01-24,833.541
2006-01-25,829.245
2006-01-26,830.041
2006-01-27,834.834
2006-01-30,845.598
2006-01-31,831.39
2006-02-01,844.577
2006-02-02,817.76
2006-02-03,799.925
2006-02-06,830.643
2006-02-07,823.049
2006-02-08,814.111
2006-02-09,828.074
2006-02-10,818.368
2006-02-13,797.668
2006-02-14,775.286
2006-02-15,784.311
2006-02-16,814.896
2006-02-17,825.751
2006-02-20,841.561
2006-02-21,843.652
2006-02-22,826.877
2006-02-23,829.861
2006-02-24,829.003
2006-02-27,832.391
2006-02-28,806.275
2006-03-01,803.625
2006-03-02,795.33
2006-03-03,802.694
2006-03-06,815.537
2006-03-07,780.608
2006-03-08,760.44
2006-03-09,770.369
2006-03-10,762.9
2006-03-13,783.124
2006-03-14,776.494
2006-03-15,796.883
2006-03-16,806.022
2006-03-17,816.45
2006-03-20,798.124
2006-03-21,789.09
2006-03-22,789.128
2006-03-23,794.117
2006-03-24,792.518
2006-03-27,781.006
2006-03-28,788.288
2006-03-29,790.676
2006-03-30,816.251
2006-03-31,822.345
2006-04-03,815.31
2006-04-04,828.241
2006-04-05,826.425
2006-04-06,837.311
2006-04-07,819.673
2006-04-10,826.957
2006-04-11,836.203
2006-04-12,830.383
2006-04-13,833.298
2006-04-14,833.298
2006-04-17,846.533
2006-04-18,860.025
2006-04-19,878.297
2006-04-20,876.501
2006-04-21,867.011
2006-04-24,858.744
2006-04-25,873.293
2006-04-26,879.662
2006-04-27,863.108
2006-04-28,850.385
2006-05-01,851.871
2006-05-02,864.348
2006-05-03,866.804
2006-05-04,865.049
2006-05-05,887.338
2006-05-08,870.924
2006-05-09,842.647
2006-05-10,859.264
2006-05-11,862.477
2006-05-12,843.333
2006-05-15,805.669
2006-05-16,781.819
2006-05-17,753.658
2006-05-18,751.66
2006-05-19,747.65
2006-05-22,707.111
2006-05-23,752.098
2006-05-24,751.183
2006-05-25,752.243
2006-05-26,780.45
2006-05-29,779.719
2006-05-30,778.993
2006-05-31,769.782
2006-06-01,782.885
2006-06-02,802.674
2006-06-05,803.357
2006-06-06,753.45
2006-06-07,743.114
2006-06-08,703.776
2006-06-09,697.417
2006-06-12,698.954
2006-06-13,675.466
2006-06-14,692.49
2006-06-15,692.765
2006-06-16,698.921
2006-06-19,710.127
2006-06-20,714.693
2006-06-21,716.973
2006-06-22,722.249
2006-06-23,723.441
2006-06-26,729.37
2006-06-27,735.666
2006-06-28,722.336
2006-06-29,737.496
2006-06-30,774.044
2006-07-03,786.77
2006-07-04,784.655
2006-07-05,778.764
2006-07-06,798.998
2006-07-07,790.97
2006-07-10,781.192
2006-07-11,770.192
2006-07-12,775.592
2006-07-13,766.733
2006-07-14,754.281
2006-07-17,742.915
2006-07-18,738.648
2006-07-19,758.64
2006-07-20,768.797
2006-07-21,750.903
2006-07-24,762.284
2006-07-25,769.544
2006-07-26,784.787
2006-07-27,791.424
2006-07-28,794.741
2006-07-31,791.051
2006-08-01,790.891
2006-08-02,796.296
2006-08-03,784.307
2006-08-04,799.243
2006-08-07,795.21
2006-08-08,793.973
2006-08-09,801.394
2006-08-10,789.599
2006-08-11,780.033
2006-08-14,786.087
2006-08-15,788.678
2006-08-16,809.261
2006-08-17,802.8
2006-08-18,796.46
2006-08-21,795.877
2006-08-22,784.45
2006-08-23,779.262
2006-08-24,777.304
2006-08-25,784.293
2006-08-28,786.547
2006-08-29,780.098
2006-08-30,793.186
2006-08-31,791.423
2006-09-01,798.07
2006-09-04,802.404
2006-09-05,803.73
2006-09-06,782.692
2006-09-07,767.716
2006-09-08,770.733
2006-09-11,756.523
2006-09-12,761.468
2006-09-13,757.514
2006-09-14,774.338
2006-09-15,759.586
2006-09-18,769.96
2006-09-19,764.94
2006-09-20,764.243
2006-09-21,752.022
2006-09-22,748.443
2006-09-25,743.336
2006-09-26,758.212
2006-09-27,789.524
2006-09-28,799.012
2006-09-29,793.427
2006-10-02,786.435
2006-10-03,781.265
2006-10-04,775.784
2006-10-05,794.483
2006-10-06,779.601
2006-10-09,786.191
2006-10-10,800.594
2006-10-11,797.246
2006-10-12,803.474
2006-10-13,817.476
2006-10-16,821.256
2006-10-17,822.092
2006-10-18,824.958
2006-10-19,825.202
2006-10-20,832.846
2006-10-23,829.57
2006-10-24,833.282
2006-10-25,850.821
2006-10-26,856.364
2006-10-27,844.869
2006-10-30,845.357
2006-10-31,851.515
2006-11-01,852.116
2006-11-02,843.515
2006-11-03,843.921
2006-11-06,851.803
2006-11-07,845.941
2006-11-08,848.828
2006-11-09,858.796
2006-11-10,869.696
2006-11-13,866.696
2006-11-14,865.384
2006-11-15,864.404
2006-11-16,869.232
2006-11-17,875.403
2006-11-20,868.019
2006-11-21,872.687
2006-11-22,884.755
2006-11-23,874.332
2006-11-24,870.823
2006-11-27,864.508
2006-11-28,857.808
2006-11-29,884.546
2006-11-30,886.144
2006-12-01,909.943
2006-12-04,935.3
2006-12-05,936.239
2006-12-06,946.247
2006-12-07,950.166
2006-12-08,951.667
2006-12-11,937.714
2006-12-12,940.052
2006-12-13,955.886
2006-12-14,955.124
2006-12-15,966.834
2006-12-18,960.171
2006-12-19,960.021
2006-12-20,973.629
2006-12-21,964.283
2006-12-22,961.775
2006-12-25,961.775
2006-12-26,960.276
2006-12-27,970.082
2006-12-28,971.925
