Date,AUSTRIA LARGE GROWTH Large Cap
1994-05-31,1000.0
1994-06-30,1074.468
1994-07-29,1039.451
1994-08-31,1062.498
1994-09-30,1016.617
1994-10-31,940.515
1994-11-30,937.626
1994-12-30,982.911
1995-01-31,951.229
1995-02-28,999.403
1995-03-31,1026.427
1995-04-28,1032.108
1995-05-31,1069.967
1995-06-30,1112.394
1995-07-31,1107.116
1995-08-31,1017.378
1995-09-29,1033.272
1995-10-31,979.798
1995-11-30,942.339
1995-12-29,999.807
1996-01-31,1081.469
1996-02-29,1066.224
1996-03-29,1049.447
1996-04-30,1070.062
1996-05-31,1149.712
1996-06-28,1058.532
1996-07-31,1030.376
1996-08-30,1052.306
1996-09-30,1040.171
1996-10-31,1016.651
1996-11-29,1076.127
1996-12-31,1074.766
1997-01-31,1056.906
1997-02-28,1066.117
1997-03-31,1074.044
1997-04-30,993.535
1997-05-30,1075.582
1997-06-30,1089.035
1997-07-31,1177.226
1997-08-29,1123.184
1997-09-30,1268.54
1997-10-31,1210.382
1997-11-28,1105.731
1997-12-31,1175.778
1998-01-30,1124.143
1998-02-27,1029.864
1998-03-31,1095.565
1998-04-30,1261.399
1998-05-29,1245.115
2004-11-30,671.385
2004-12-31,704.753
2005-01-31,651.797
2005-02-28,721.486
2005-03-31,691.855
2005-04-29,638.514
2005-05-31,657.831
2005-06-30,667.583
2005-07-29,679.989
2005-08-31,736.857
2005-09-30,715.126
2005-10-31,692.879
2005-11-30,710.289
2005-12-30,745.793
2006-01-31,835.376
2006-02-28,810.141
2006-03-31,826.288
2006-04-28,854.463
2006-05-31,770.428
2006-06-30,774.693
2006-07-31,791.714
2006-08-31,792.087
2006-09-29,794.093
2006-10-31,852.229
2006-11-30,886.887
2006-12-29,975.922
2007-01-31,966.88
2007-02-28,895.323
2007-03-30,940.869
2007-04-30,985.852
2007-05-31,1000.0
2007-06-29,981.166
2007-07-31,955.679
2007-08-31,941.097
2007-09-28,983.242
2007-10-31,1077.657
2007-11-30,1041.262
2007-12-31,1015.224
2008-01-31,823.278
2008-02-29,898.023
2008-03-31,951.067
2008-04-30,1089.094
2008-05-30,1104.863
2008-06-30,1050.464
2008-07-31,981.092
2008-08-29,898.015
2008-09-30,643.187
2008-10-31,402.238
2008-11-28,353.952
2008-12-31,363.833
2009-01-30,308.74
2009-02-27,250.033
2009-03-31,305.142
2009-04-30,342.789
2009-05-29,444.424
2009-06-30,420.581
2009-07-31,400.62
2009-08-31,419.741
2009-09-30,417.388
2009-10-30,373.025
2009-11-30,372.252
2009-12-31,352.3
2010-01-29,346.698
2010-02-26,337.242
2010-03-31,328.672
2010-04-30,318.817
2010-05-31,271.914
2010-06-30,262.92
2010-07-30,302.708
2010-08-31,304.2
2010-09-30,306.373
2010-10-29,340.557
2010-11-30,269.252
2010-12-31,319.152
2011-01-31,341.542
2011-02-28,326.699
2011-03-31,379.62
2011-04-29,391.657
2011-05-31,388.03
2011-06-30,402.734
2011-07-29,370.334
2011-08-31,292.953
2011-09-30,210.927
2011-10-31,184.187
2011-11-30,151.203
2011-12-30,153.423
2012-01-31,169.078
2012-02-29,183.299
2012-03-30,183.631
2012-04-30,177.361
2012-05-31,140.508
2012-06-29,139.391
2012-07-31,116.595
2012-08-31,123.396
2012-09-28,125.902
2012-10-31,141.424
2012-11-30,138.983
2012-12-31,149.722
2013-01-31,156.653
2013-02-28,150.391
2013-03-29,131.861
2013-04-30,147.365
2013-05-31,153.323
2013-06-28,131.381
2013-07-31,144.659
2013-08-30,152.217
2013-09-30,153.356
2013-10-31,165.795
2013-11-29,167.043
2013-12-31,165.271
2014-01-31,172.441
2014-02-28,168.14
2014-03-31,161.848
2014-04-30,158.818
2014-05-30,165.709
2014-06-30,154.07
2014-07-31,122.74
2014-08-29,122.558
2014-09-30,109.143
2014-10-31,121.231
2014-11-28,129.357
2014-12-31,110.888
2015-01-30,103.356
2015-02-27,125.15
2015-03-31,117.352
2015-04-30,135.491
2015-05-29,137.971
2015-06-30,135.227
2015-07-31,143.646
2015-08-31,141.757
2015-09-30,137.949
2015-10-30,140.357
2015-11-30,146.12
2018-05-31,1000.0
2018-06-29,1002.176
2018-07-31,1038.315
2018-08-31,957.355
2018-09-28,997.82
2018-10-31,979.364
2018-11-30,947.41
2018-12-31,797.337
2019-01-31,837.529
2019-02-28,909.062
2019-03-29,883.198
2019-04-30,960.617
2021-11-30,1000.0
2021-12-31,1080.208
2022-01-31,1009.91
2022-02-28,1165.078
2022-03-31,1020.554
2022-04-29,1035.516
2022-05-31,960.592
2022-06-30,944.54
2022-07-29,1060.87
2022-08-31,927.955
2022-09-30,829.15
2022-10-31,758.076
2022-11-30,857.518
2022-12-30,812.395
2023-01-31,820.399
2023-02-28,842.668
2023-03-31,841.206
2023-04-28,864.411
2023-05-31,753.008
2023-06-30,802.271
2023-07-31,831.738
2023-08-31,821.479
2023-09-29,816.716
2023-10-31,867.748
2023-11-30,955.823
2023-12-29,929.538
2024-01-31,822.704
2024-02-29,725.884
2024-03-29,732.551
2024-04-30,766.473
2024-05-31,858.509
2024-06-28,823.516
2024-07-31,835.421
2024-08-30,890.944
2024-09-30,867.453
2024-10-31,851.753
2024-11-29,831.954
2024-12-31,756.23
2025-01-31,803.655
2025-02-28,789.898
2025-03-31,737.598
2025-04-30,802.897
2025-05-30,839.941
2025-06-30,823.022
2025-07-31,804.942
2025-08-29,767.767
