Date,CANADA SMALL CAP Small Cap
2001-12-19,111.091
2001-12-20,111.707
2001-12-21,111.559
2001-12-24,111.665
2001-12-25,111.665
2001-12-26,111.637
2001-12-27,113.524
2001-12-28,113.854
2001-12-31,114.386
2002-01-01,114.386
2002-01-02,114.164
2002-01-03,115.44
2002-01-04,116.539
2002-01-07,117.057
2002-01-08,116.424
2002-01-09,117.444
2002-01-10,116.573
2002-01-11,116.856
2002-01-14,116.39
2002-01-15,116.502
2002-01-16,116.238
2002-01-17,115.053
2002-01-18,114.239
2002-01-21,113.978
2002-01-22,114.85
2002-01-23,115.305
2002-01-24,116.152
2002-01-25,115.455
2002-01-28,115.394
2002-01-29,118.488
2002-01-30,117.566
2002-01-31,118.187
2002-02-01,119.539
2002-02-04,118.793
2002-02-05,117.665
2002-02-06,116.459
2002-02-07,117.019
2002-02-08,117.93
2002-02-11,119.276
2002-02-12,119.395
2002-02-13,120.283
2002-02-14,120.673
2002-02-15,120.261
2002-02-18,120.44
2002-02-19,120.196
2002-02-20,118.847
2002-02-21,118.722
2002-02-22,117.893
2002-02-25,118.104
2002-02-26,117.839
2002-02-27,117.859
2002-02-28,119.285
2002-03-01,121.065
2002-03-04,122.837
2002-03-05,123.157
2002-03-06,125.211
2002-03-07,126.681
2002-03-08,126.213
2002-03-11,126.181
2002-03-12,126.317
2002-03-13,126.222
2002-03-14,125.668
2002-03-15,126.825
2002-03-18,128.032
2002-03-19,129.091
2002-03-20,129.288
2002-03-21,128.019
2002-03-22,128.647
2002-03-25,127.768
2002-03-26,126.139
2002-03-27,127.647
2002-03-28,127.471
2002-03-29,127.471
2002-04-01,128.478
2002-04-02,128.398
2002-04-03,128.67
2002-04-04,128.466
2002-04-05,128.561
2002-04-08,128.557
2002-04-09,127.909
2002-04-10,129.539
2002-04-11,128.852
2002-04-12,129.151
2002-04-15,128.195
2002-04-16,129.384
2002-04-17,130.823
2002-04-18,131.038
2002-04-19,131.512
2002-04-22,130.085
2002-04-23,129.326
2002-04-24,129.277
2002-04-25,128.271
2002-04-26,129.252
2002-04-29,128.01
2002-04-30,127.659
2002-05-01,127.969
2002-05-02,128.641
2002-05-03,128.778
2002-05-06,127.909
2002-05-07,127.157
2002-05-08,128.573
2002-05-09,128.751
2002-05-10,129.263
2002-05-13,131.231
2002-05-14,131.149
2002-05-15,131.279
2002-05-16,131.945
2002-05-17,133.062
2002-05-20,133.213
2002-05-21,135.091
2002-05-22,134.88
2002-05-23,135.448
2002-05-24,135.795
2002-05-27,135.343
2002-05-28,135.825
2002-05-29,135.989
2002-05-30,134.485
2002-05-31,136.83
2002-06-03,135.974
2002-06-04,136.254
2002-06-05,134.991
2002-06-06,134.371
2002-06-07,132.637
2002-06-10,131.461
2002-06-11,131.134
2002-06-12,130.192
2002-06-13,128.086
2002-06-14,126.529
2002-06-17,126.895
2002-06-18,127.142
2002-06-19,126.0
2002-06-20,126.356
2002-06-21,126.516
2002-06-24,127.444
2002-06-25,125.342
2002-06-26,125.317
2002-06-27,126.104
2002-06-28,126.34
2002-07-01,126.548
2002-07-02,123.443
2002-07-03,122.613
2002-07-04,122.079
2002-07-05,123.834
2002-07-08,124.856
2002-07-09,125.774
2002-07-10,124.614
2002-07-11,122.723
2002-07-12,122.062
2002-07-15,119.583
2002-07-16,119.376
2002-07-17,119.449
2002-07-18,118.762
2002-07-19,116.21
2002-07-22,112.378
2002-07-23,106.26
2002-07-24,107.937
2002-07-25,105.873
2002-07-26,104.295
2002-07-29,108.298
2002-07-30,110.333
2002-07-31,110.583
2002-08-01,109.331
2002-08-02,109.722
2002-08-05,109.326
2002-08-06,108.183
2002-08-07,108.028
2002-08-08,108.54
2002-08-09,109.828
2002-08-12,108.721
2002-08-13,108.43
2002-08-14,107.992
2002-08-15,108.599
2002-08-16,109.101
2002-08-19,109.252
2002-08-20,108.908
2002-08-21,109.599
2002-08-22,111.853
2002-08-23,110.186
2002-08-26,111.084
2002-08-27,111.359
2002-08-28,110.112
2002-08-29,110.876
2002-08-30,110.879
2002-09-02,111.203
2002-09-03,109.774
2002-09-04,109.677
2002-09-05,109.111
2002-09-06,109.098
2002-09-09,109.772
2002-09-10,109.641
2002-09-11,110.786
2002-09-12,109.366
2002-09-13,108.662
2002-09-16,108.987
2002-09-17,108.0
2002-09-18,106.224
2002-09-19,105.333
2002-09-20,104.357
2002-09-23,101.657
2002-09-24,101.783
2002-09-25,102.808
2002-09-26,103.327
2002-09-27,103.81
2002-09-30,103.926
2002-10-01,104.056
2002-10-02,103.541
2002-10-03,102.49
2002-10-04,101.245
2002-10-07,98.737
2002-10-08,97.342
2002-10-09,95.123
2002-10-10,96.451
2002-10-11,99.086
2002-10-14,99.279
2002-10-15,101.585
2002-10-16,100.811
2002-10-17,103.135
2002-10-18,104.214
2002-10-21,105.876
2002-10-22,106.456
2002-10-23,107.892
2002-10-24,107.939
2002-10-25,108.353
2002-10-28,109.378
2002-10-29,108.248
2002-10-30,108.489
2002-10-31,107.918
2002-11-01,108.936
2002-11-04,110.065
2002-11-05,109.807
2002-11-06,110.723
2002-11-07,110.714
2002-11-08,109.829
2002-11-11,108.25
2002-11-12,107.751
2002-11-13,105.949
2002-11-14,106.611
2002-11-15,107.369
2002-11-18,107.387
2002-11-19,106.068
2002-11-20,106.197
2002-11-21,106.635
2002-11-22,106.514
2002-11-25,107.508
2002-11-26,107.044
2002-11-27,108.097
2002-11-28,108.732
2002-11-29,110.239
2002-12-02,109.78
2002-12-03,109.66
2002-12-04,109.548
2002-12-05,109.051
2002-12-06,109.093
2002-12-09,107.961
2002-12-10,108.963
2002-12-11,109.212
2002-12-12,110.277
2002-12-13,110.617
2002-12-16,111.186
2002-12-17,111.018
2002-12-18,111.044
2002-12-19,110.686
2002-12-20,110.71
2002-12-23,112.129
2002-12-24,112.057
2002-12-25,112.057
2002-12-26,111.8
2002-12-27,111.565
2002-12-30,110.644
2002-12-31,111.115
2003-01-01,111.115
2003-01-02,113.03
2003-01-03,113.937
2003-01-06,114.451
2003-01-07,114.094
2003-01-08,113.789
2003-01-09,114.67
2003-01-10,115.664
2003-01-13,116.315
2003-01-14,116.503
2003-01-15,116.791
2003-01-16,117.332
2003-01-17,116.111
2003-01-20,115.49
2003-01-21,115.5
2003-01-22,115.676
2003-01-23,116.813
2003-01-24,116.395
2003-01-27,114.591
2003-01-28,113.973
2003-01-29,114.24
2003-01-30,113.676
2003-01-31,113.595
2003-02-03,114.227
2003-02-04,114.836
2003-02-05,113.83
2003-02-06,113.513
2003-02-07,112.453
2003-02-10,110.636
2003-02-11,111.761
2003-02-12,111.456
2003-02-13,112.132
2003-02-14,112.172
2003-02-17,112.705
2003-02-18,113.174
2003-02-19,113.416
2003-02-20,114.083
2003-02-21,113.55
2003-02-24,113.664
2003-02-25,112.574
2003-02-26,112.681
2003-02-27,113.362
2003-02-28,113.598
2003-03-03,112.017
2003-03-04,111.854
2003-03-05,111.45
2003-03-06,109.8
2003-03-07,109.716
2003-03-10,108.077
2003-03-11,107.326
2003-03-12,105.769
2003-03-13,106.96
2003-03-14,108.127
2003-03-17,109.732
2003-03-18,110.991
2003-03-19,110.177
2003-03-20,110.275
2003-03-21,110.018
2003-03-24,107.547
2003-03-25,108.442
2003-03-26,108.893
2003-03-27,108.484
2003-03-28,110.079
2003-03-31,109.424
2003-04-01,108.771
2003-04-02,109.388
2003-04-03,109.315
2003-04-04,109.644
2003-04-07,109.607
2003-04-08,110.07
2003-04-09,110.191
2003-04-10,110.902
2003-04-11,110.883
2003-04-14,110.883
2003-04-15,111.701
2003-04-16,112.32
2003-04-17,113.559
2003-04-18,113.559
2003-04-21,114.87
2003-04-22,115.884
2003-04-23,115.436
2003-04-24,114.123
2003-04-25,113.571
2003-04-28,114.859
2003-04-29,114.95
2003-04-30,117.173
2003-05-01,119.276
2003-05-02,120.344
2003-05-05,122.137
2003-05-06,123.451
2003-05-07,122.732
2003-05-08,122.941
2003-05-09,123.447
2003-05-12,125.023
2003-05-13,123.224
2003-05-14,125.229
2003-05-15,125.926
2003-05-16,126.149
2003-05-19,126.817
2003-05-20,127.329
2003-05-21,127.634
2003-05-22,127.149
2003-05-23,126.721
2003-05-26,126.28
2003-05-27,128.243
2003-05-28,127.234
2003-05-29,129.083
2003-05-30,130.884
2003-06-02,131.838
2003-06-03,130.807
2003-06-04,134.398
2003-06-05,137.204
2003-06-06,136.899
2003-06-09,135.459
2003-06-10,134.837
2003-06-11,137.28
2003-06-12,138.047
2003-06-13,137.951
2003-06-16,139.44
2003-06-17,140.205
2003-06-18,140.66
2003-06-19,138.891
2003-06-20,139.25
2003-06-23,137.218
2003-06-24,136.014
2003-06-25,137.874
2003-06-26,136.726
2003-06-27,136.522
2003-06-30,136.294
2003-07-01,136.943
2003-07-02,138.593
2003-07-03,139.423
2003-07-04,138.786
2003-07-07,139.53
2003-07-08,138.644
2003-07-09,137.896
2003-07-10,136.252
2003-07-11,136.733
2003-07-14,137.817
2003-07-15,134.898
2003-07-16,134.476
2003-07-17,133.591
2003-07-18,133.103
2003-07-21,134.651
2003-07-22,134.875
2003-07-23,136.958
2003-07-24,139.507
2003-07-25,141.243
2003-07-28,141.21
2003-07-29,140.042
2003-07-30,138.709
2003-07-31,139.316
2003-08-01,140.504
2003-08-04,139.648
2003-08-05,139.533
2003-08-06,138.83
2003-08-07,139.976
2003-08-08,140.969
2003-08-11,142.352
2003-08-12,142.893
2003-08-13,143.594
2003-08-14,143.969
2003-08-15,144.033
2003-08-18,144.605
2003-08-19,144.539
2003-08-20,145.507
2003-08-21,146.168
2003-08-22,145.544
2003-08-25,145.733
2003-08-26,145.461
2003-08-27,145.949
2003-08-28,146.702
2003-08-29,148.245
2003-09-01,148.852
2003-09-02,148.18
2003-09-03,149.089
2003-09-04,150.177
2003-09-05,150.885
2003-09-08,151.486
2003-09-09,154.692
2003-09-10,152.653
2003-09-11,153.189
2003-09-12,152.962
2003-09-15,152.857
2003-09-16,153.996
2003-09-17,154.673
2003-09-18,155.543
2003-09-19,157.626
2003-09-22,157.161
2003-09-23,157.673
2003-09-24,156.583
2003-09-25,156.128
2003-09-26,152.769
2003-09-29,152.843
2003-09-30,153.175
2003-10-01,154.882
2003-10-02,156.051
