Date,CANADA SMALL CAP Small Cap
2001-01-01,100.0
2001-01-02,99.339
2001-01-03,98.427
2001-01-04,97.273
2001-01-05,97.45
2001-01-08,97.614
2001-01-09,98.399
2001-01-10,98.364
2001-01-11,99.948
2001-01-12,98.862
2001-01-15,99.593
2001-01-16,99.69
2001-01-17,99.287
2001-01-18,98.24
2001-01-19,99.396
2001-01-22,100.247
2001-01-23,100.184
2001-01-24,99.977
2001-01-25,100.555
2001-01-26,101.106
2001-01-29,102.139
2001-01-30,102.7
2001-01-31,102.185
2001-02-01,102.901
2001-02-02,103.44
2001-02-05,103.716
2001-02-06,103.303
2001-02-07,102.188
2001-02-08,102.278
2001-02-09,102.194
2001-02-12,101.918
2001-02-13,101.9
2001-02-14,101.283
2001-02-15,101.037
2001-02-16,100.502
2001-02-19,101.466
2001-02-20,99.829
2001-02-21,97.306
2001-02-22,97.658
2001-02-23,96.834
2001-02-26,98.05
2001-02-27,98.376
2001-02-28,97.439
2001-03-01,96.369
2001-03-02,96.302
2001-03-05,97.296
2001-03-06,98.825
2001-03-07,99.441
2001-03-08,100.662
2001-03-09,100.962
2001-03-12,99.924
2001-03-13,99.963
2001-03-14,98.719
2001-03-15,98.533
2001-03-16,97.193
2001-03-19,99.527
2001-03-20,98.744
2001-03-21,97.115
2001-03-22,95.414
2001-03-23,96.15
2001-03-26,97.454
2001-03-27,97.026
2001-03-28,96.056
2001-03-29,96.195
2001-03-30,97.839
2001-04-02,98.407
2001-04-03,97.509
2001-04-04,98.576
2001-04-05,98.297
2001-04-06,98.907
2001-04-09,99.364
2001-04-10,101.027
2001-04-11,101.714
2001-04-12,102.383
2001-04-13,102.383
2001-04-16,102.399
2001-04-17,102.705
2001-04-18,103.036
2001-04-19,104.139
2001-04-20,104.988
2001-04-23,104.226
2001-04-24,104.923
2001-04-25,105.825
2001-04-26,106.058
2001-04-27,106.997
2001-04-30,107.824
2001-05-01,108.67
2001-05-02,109.064
2001-05-03,109.109
2001-05-04,108.832
2001-05-07,108.823
2001-05-08,108.807
2001-05-09,109.614
2001-05-10,110.712
2001-05-11,110.082
2001-05-14,109.375
2001-05-15,109.897
2001-05-16,111.069
2001-05-17,112.61
2001-05-18,113.396
2001-05-21,113.544
2001-05-22,114.923
2001-05-23,114.279
2001-05-24,114.619
2001-05-25,114.037
2001-05-28,113.575
2001-05-29,113.723
2001-05-30,111.893
2001-05-31,112.567
2001-06-01,114.601
2001-06-04,114.782
2001-06-05,114.834
2001-06-06,114.841
2001-06-07,115.048
2001-06-08,114.839
2001-06-11,115.23
2001-06-12,115.129
2001-06-13,115.902
2001-06-14,114.888
2001-06-15,114.655
2001-06-18,113.418
2001-06-19,112.509
2001-06-20,111.779
2001-06-21,110.66
2001-06-22,109.872
2001-06-25,110.407
2001-06-26,110.504
2001-06-27,108.973
2001-06-28,109.617
2001-06-29,110.933
2001-07-02,111.102
2001-07-03,112.136
2001-07-04,111.657
2001-07-05,112.628
2001-07-06,112.073
2001-07-09,111.24
2001-07-10,111.482
2001-07-11,111.166
2001-07-12,111.449
2001-07-13,111.732
2001-07-16,110.836
2001-07-17,110.999
2001-07-18,111.915
2001-07-19,112.041
2001-07-20,111.486
2001-07-23,109.611
2001-07-24,109.313
2001-07-25,108.205
2001-07-26,107.689
2001-07-27,107.515
2001-07-30,107.526
2001-07-31,107.878
2001-08-01,108.012
2001-08-02,108.214
2001-08-03,109.221
2001-08-06,109.815
2001-08-07,109.482
2001-08-08,109.347
2001-08-09,109.19
2001-08-10,108.707
2001-08-13,109.048
2001-08-14,107.589
2001-08-15,108.876
2001-08-16,109.241
2001-08-17,108.156
2001-08-20,108.45
2001-08-21,109.084
2001-08-22,109.823
2001-08-23,110.105
2001-08-24,110.338
2001-08-27,110.027
2001-08-28,109.099
2001-08-29,108.444
2001-08-30,107.012
2001-08-31,106.897
2001-09-03,106.794
2001-09-04,107.109
2001-09-05,108.308
2001-09-06,108.021
2001-09-07,107.572
2001-09-10,106.338
2001-09-11,101.364
2001-09-12,102.209
2001-09-13,103.548
2001-09-14,100.719
2001-09-17,102.722
2001-09-18,103.234
2001-09-19,101.057
2001-09-20,97.672
2001-09-21,97.736
2001-09-24,97.674
2001-09-25,97.989
2001-09-26,97.828
2001-09-27,96.756
2001-09-28,98.634
2001-10-01,98.211
2001-10-02,98.48
2001-10-03,98.73
2001-10-04,100.322
2001-10-05,100.46
2001-10-08,100.598
2001-10-09,102.649
2001-10-10,102.713
2001-10-11,104.514
2001-10-12,103.924
2001-10-15,103.263
2001-10-16,104.115
