Date,EUROPE IMI VALUE IMI (Large+Mid+Small Cap)
2001-01-01,432.938
2001-01-02,434.462
2001-01-03,432.99
2001-01-04,436.693
2001-01-05,438.851
2001-01-08,438.045
2001-01-09,432.099
2001-01-10,429.937
2001-01-11,436.417
2001-01-12,435.758
2001-01-15,435.308
2001-01-16,430.744
2001-01-17,432.812
2001-01-18,436.899
2001-01-19,431.547
2001-01-22,432.746
2001-01-23,435.301
2001-01-24,431.1
2001-01-25,431.736
2001-01-26,432.726
2001-01-29,433.048
2001-01-30,435.809
2001-01-31,438.384
2001-02-01,440.31
2001-02-02,436.987
2001-02-05,440.406
2001-02-06,438.974
2001-02-07,436.509
2001-02-08,430.906
2001-02-09,430.902
2001-02-12,434.92
2001-02-13,431.962
2001-02-14,430.295
2001-02-15,425.206
2001-02-16,425.111
2001-02-19,427.263
2001-02-20,420.819
2001-02-21,419.352
2001-02-22,416.505
2001-02-23,413.602
2001-02-26,414.246
2001-02-27,418.188
2001-02-28,418.605
2001-03-01,421.352
2001-03-02,423.519
2001-03-05,423.385
2001-03-06,425.991
2001-03-07,426.106
2001-03-08,427.509
2001-03-09,424.93
2001-03-12,418.095
2001-03-13,408.124
2001-03-14,399.189
2001-03-15,401.601
2001-03-16,390.627
2001-03-19,388.562
2001-03-20,393.883
2001-03-21,386.143
2001-03-22,367.461
2001-03-23,375.462
2001-03-26,385.908
2001-03-27,394.926
2001-03-28,388.87
2001-03-29,389.022
2001-03-30,391.904
2001-04-02,390.784
2001-04-03,384.644
2001-04-04,391.412
2001-04-05,394.921
2001-04-06,396.218
2001-04-09,402.456
2001-04-10,404.469
2001-04-11,402.103
2001-04-12,405.582
2001-04-13,405.581
2001-04-16,402.377
2001-04-17,401.312
2001-04-18,403.459
2001-04-19,408.835
2001-04-20,411.934
2001-04-23,409.144
2001-04-24,409.839
2001-04-25,410.769
2001-04-26,413.904
2001-04-27,414.817
2001-04-30,414.048
2001-05-01,414.981
2001-05-02,413.375
2001-05-03,407.606
2001-05-04,411.367
2001-05-07,412.03
2001-05-08,409.513
2001-05-09,407.938
2001-05-10,412.584
2001-05-11,408.946
2001-05-14,402.858
2001-05-15,409.015
2001-05-16,412.536
2001-05-17,414.387
2001-05-18,415.755
2001-05-21,416.784
2001-05-22,414.525
2001-05-23,410.228
2001-05-24,409.46
2001-05-25,408.316
2001-05-28,409.414
2001-05-29,406.295
2001-05-30,404.981
2001-05-31,402.333
2001-06-01,401.811
2001-06-04,403.344
2001-06-05,405.919
2001-06-06,402.403
2001-06-07,403.724
2001-06-08,402.285
2001-06-11,396.79
2001-06-12,395.783
2001-06-13,399.248
2001-06-14,398.89
2001-06-15,397.828
2001-06-18,394.768
2001-06-19,394.317
2001-06-20,391.119
2001-06-21,392.149
2001-06-22,393.748
2001-06-25,396.852
2001-06-26,391.968
2001-06-27,392.414
2001-06-28,391.294
