Date,EUROPE IMI VALUE IMI (Large+Mid+Small Cap)
2001-01-01,418.974
2001-01-02,420.46
2001-01-03,419.036
2001-01-04,422.62
2001-01-05,424.709
2001-01-08,423.93
2001-01-09,418.175
2001-01-10,416.088
2001-01-11,422.366
2001-01-12,421.729
2001-01-15,421.294
2001-01-16,416.877
2001-01-17,418.878
2001-01-18,422.834
2001-01-19,417.655
2001-01-22,418.816
2001-01-23,421.288
2001-01-24,417.222
2001-01-25,417.838
2001-01-26,418.796
2001-01-29,419.108
2001-01-30,421.781
2001-01-31,424.272
2001-02-01,426.137
2001-02-02,422.922
2001-02-05,426.23
2001-02-06,424.844
2001-02-07,422.459
2001-02-08,417.036
2001-02-09,417.032
2001-02-12,420.921
2001-02-13,418.059
2001-02-14,416.446
2001-02-15,411.52
2001-02-16,411.429
2001-02-19,413.512
2001-02-20,407.275
2001-02-21,405.855
2001-02-22,403.1
2001-02-23,400.291
2001-02-26,400.915
2001-02-27,404.73
2001-02-28,405.134
2001-03-01,407.792
2001-03-02,409.89
2001-03-05,409.769
2001-03-06,412.291
2001-03-07,412.402
2001-03-08,413.761
2001-03-09,411.267
2001-03-12,404.651
2001-03-13,395.001
2001-03-14,386.354
2001-03-15,388.689
2001-03-16,378.067
2001-03-19,376.07
2001-03-20,381.221
2001-03-21,373.744
2001-03-22,355.666
2001-03-23,363.42
2001-03-26,373.53
2001-03-27,382.276
2001-03-28,376.426
2001-03-29,376.577
2001-03-30,379.374
2001-04-02,378.291
2001-04-03,372.36
2001-04-04,378.917
2001-04-05,382.321
2001-04-06,383.605
2001-04-09,389.652
2001-04-10,391.604
2001-04-11,389.344
2001-04-12,392.766
2001-04-13,392.765
2001-04-16,389.663
2001-04-17,388.649
2001-04-18,390.731
2001-04-19,395.968
2001-04-20,398.976
2001-04-23,396.285
2001-04-24,396.962
2001-04-25,397.884
2001-04-26,400.934
2001-04-27,401.874
2001-04-30,401.14
2001-05-01,402.044
2001-05-02,400.52
2001-05-03,394.94
2001-05-04,398.607
2001-05-07,399.268
2001-05-08,396.832
2001-05-09,395.323
2001-05-10,399.838
2001-05-11,396.343
2001-05-14,390.495
2001-05-15,396.468
2001-05-16,399.897
2001-05-17,401.716
2001-05-18,403.104
2001-05-21,404.197
2001-05-22,402.009
2001-05-23,397.884
2001-05-24,397.14
2001-05-25,396.043
2001-05-28,397.13
2001-05-29,394.157
2001-05-30,392.926
2001-05-31,390.378
2001-06-01,389.906
2001-06-04,391.396
2001-06-05,393.91
2001-06-06,390.514
2001-06-07,391.798
2001-06-08,390.438
2001-06-11,385.132
2001-06-12,384.16
2001-06-13,387.527
2001-06-14,387.214
2001-06-15,386.188
2001-06-18,383.362
2001-06-19,382.928
2001-06-20,379.829
2001-06-21,380.838
2001-06-22,382.393
2001-06-25,385.409
2001-06-26,380.668
2001-06-27,381.104
2001-06-28,380.019
2001-06-29,381.591
2001-07-02,386.188
2001-07-03,382.94
2001-07-04,381.593
2001-07-05,377.669
2001-07-06,374.319
2001-07-09,375.471
2001-07-10,376.378
2001-07-11,374.4
2001-07-12,374.394
2001-07-13,375.885
2001-07-16,375.996
2001-07-17,371.977
2001-07-18,375.002
2001-07-19,377.819
2001-07-20,377.612
2001-07-23,377.238
2001-07-24,375.126
2001-07-25,372.688
2001-07-26,373.606
2001-07-27,377.477
2001-07-30,381.134
2001-07-31,384.261
2001-08-01,387.053
2001-08-02,387.904
2001-08-03,386.996
2001-08-06,385.229
2001-08-07,384.09
2001-08-08,380.48
2001-08-09,379.747
2001-08-10,380.341
2001-08-13,382.368
2001-08-14,386.023
2001-08-15,389.937
2001-08-16,388.073
2001-08-17,385.02
2001-08-20,383.903
2001-08-21,386.576
2001-08-22,389.368
2001-08-23,386.731
2001-08-24,391.708
2001-08-27,390.635
2001-08-28,387.776
2001-08-29,388.01
2001-08-30,381.675
2001-08-31,381.256
2001-09-03,377.201
2001-09-04,376.119
2001-09-05,372.16
2001-09-06,366.208
2001-09-07,362.152
2001-09-10,356.403
2001-09-11,340.657
2001-09-12,340.607
2001-09-13,344.635
2001-09-14,333.987
2001-09-17,339.219
2001-09-18,336.124
2001-09-19,331.482
2001-09-20,317.23
2001-09-21,304.904
2001-09-24,318.894
2001-09-25,324.706
2001-09-26,328.973
2001-09-27,332.085
2001-09-28,338.228
2001-10-01,334.108
2001-10-02,335.973
2001-10-03,338.855
2001-10-04,347.065
2001-10-05,347.503
2001-10-08,346.26
2001-10-09,345.234
2001-10-10,349.749
2001-10-11,350.326
2001-10-12,351.259
2001-10-15,345.22
2001-10-16,348.412
2001-10-17,354.31
2001-10-18,347.79
2001-10-19,340.166
2001-10-22,341.386
2001-10-23,347.826
2001-10-24,349.672
2001-10-25,346.101
2001-10-26,351.917
2001-10-29,351.037
2001-10-30,344.928
2001-10-31,346.392
2001-11-01,349.499
2001-11-02,349.749
2001-11-05,353.424
2001-11-06,352.88
2001-11-07,356.898
2001-11-08,360.251
2001-11-09,358.196
2001-11-12,351.902
2001-11-13,356.447
2001-11-14,356.738
2001-11-15,355.699
2001-11-16,359.818
2001-11-19,362.111
2001-11-20,360.848
2001-11-21,358.365
2001-11-22,361.166
2001-11-23,358.961
2001-11-26,359.391
2001-11-27,357.12
2001-11-28,354.868
2001-11-29,355.542
2001-11-30,358.507
2001-12-03,355.112
2001-12-04,357.924
2001-12-05,365.34
2001-12-06,368.427
2001-12-07,365.332
2001-12-10,360.371
2001-12-11,359.788
2001-12-12,359.292
2001-12-13,355.343
2001-12-14,355.113
2001-12-17,363.043
2001-12-18,361.722
2001-12-19,358.327
2001-12-20,355.453
2001-12-21,357.277
2001-12-24,355.584
2001-12-25,355.584
2001-12-26,356.475
2001-12-27,363.617
2001-12-28,364.13
2001-12-31,366.417
2002-01-01,366.417
2002-01-02,367.97
2002-01-03,372.541
2002-01-04,372.526
2002-01-07,369.302
2002-01-08,367.409
2002-01-09,366.524
2002-01-10,365.507
2002-01-11,365.647
2002-01-14,360.94
2002-01-15,361.714
2002-01-16,356.25
2002-01-17,359.415
2002-01-18,359.007
2002-01-21,358.352
2002-01-22,358.224
2002-01-23,360.49
2002-01-24,361.775
2002-01-25,356.718
2002-01-28,358.58
2002-01-29,354.431
2002-01-30,351.352
2002-01-31,354.561
2002-02-01,355.407
2002-02-04,354.456
2002-02-05,350.8
2002-02-06,347.937
2002-02-07,349.528
2002-02-08,350.751
2002-02-11,355.201
2002-02-12,354.618
2002-02-13,355.628
2002-02-14,358.54
2002-02-15,357.278
2002-02-18,354.63
2002-02-19,350.358
2002-02-20,347.471
2002-02-21,350.564
2002-02-22,350.544
2002-02-25,353.106
2002-02-26,354.703
2002-02-27,356.141
2002-02-28,356.032
2002-03-01,359.758
2002-03-04,368.42
2002-03-05,367.211
2002-03-06,370.296
2002-03-07,374.398
2002-03-08,374.355
2002-03-11,373.729
2002-03-12,370.319
2002-03-13,371.582
2002-03-14,374.458
2002-03-15,378.088
2002-03-18,378.694
2002-03-19,381.11
2002-03-20,380.15
2002-03-21,378.922
2002-03-22,379.418
2002-03-25,376.711
2002-03-26,377.292
2002-03-27,376.295
2002-03-28,379.867
2002-03-29,379.868
2002-04-01,383.352
2002-04-02,382.469
2002-04-03,382.211
2002-04-04,379.721
2002-04-05,378.625
2002-04-08,373.359
2002-04-09,374.777
2002-04-10,379.321
2002-04-11,376.901
2002-04-12,377.276
2002-04-15,379.748
2002-04-16,385.469
2002-04-17,387.519
2002-04-18,388.633
2002-04-19,389.623
2002-04-22,388.465
2002-04-23,387.42
2002-04-24,387.49
2002-04-25,385.65
2002-04-26,384.3
2002-04-29,384.976
2002-04-30,387.008
2002-05-01,387.943
2002-05-02,387.459
2002-05-03,391.697
2002-05-06,391.538
2002-05-07,386.193
2002-05-08,390.769
2002-05-09,389.318
2002-05-10,389.038
2002-05-13,391.709
2002-05-14,391.202
2002-05-15,394.601
2002-05-16,394.84
2002-05-17,397.971
2002-05-20,396.098
2002-05-21,394.779
2002-05-22,394.466
2002-05-23,393.48
2002-05-24,394.942
2002-05-27,394.561
2002-05-28,394.807
2002-05-29,395.06
2002-05-30,393.477
2002-05-31,395.445
2002-06-03,394.612
2002-06-04,390.678
2002-06-05,385.923
2002-06-06,387.768
2002-06-07,383.06
2002-06-10,382.078
2002-06-11,385.29
2002-06-12,380.073
2002-06-13,375.449
2002-06-14,365.791
2002-06-17,374.368
2002-06-18,374.519
2002-06-19,371.282
2002-06-20,367.061
2002-06-21,368.088
2002-06-24,363.159
2002-06-25,368.397
2002-06-26,367.971
2002-06-27,368.57
2002-06-28,380.306
2002-07-01,382.328
2002-07-02,371.798
2002-07-03,361.248
2002-07-04,366.116
2002-07-05,375.679
2002-07-08,379.08
2002-07-09,377.751
2002-07-10,366.564
2002-07-11,353.874
2002-07-12,352.234
2002-07-15,339.492
2002-07-16,340.545
2002-07-17,350.274
2002-07-18,356.039
2002-07-19,343.978
2002-07-22,325.157
2002-07-23,315.58
2002-07-24,310.1
2002-07-25,323.023
2002-07-26,321.61
2002-07-29,335.397
2002-07-30,337.152
2002-07-31,339.132
2002-08-01,325.88
2002-08-02,326.631
2002-08-05,318.47
2002-08-06,322.993
2002-08-07,322.154
2002-08-08,331.232
2002-08-09,337.032
2002-08-12,332.478
2002-08-13,336.115
2002-08-14,332.174
2002-08-15,339.852
2002-08-16,341.899
2002-08-19,348.255
2002-08-20,344.691
2002-08-21,349.338
2002-08-22,353.598
2002-08-23,349.246
2002-08-26,347.618
2002-08-27,356.71
2002-08-28,345.009
2002-08-29,340.125
2002-08-30,342.284
2002-09-02,338.756
2002-09-03,329.279
2002-09-04,328.209
2002-09-05,325.091
2002-09-06,331.602
2002-09-09,326.877
2002-09-10,332.797
2002-09-11,336.619
2002-09-12,327.926
2002-09-13,322.432
2002-09-16,320.994
2002-09-17,317.278
2002-09-18,307.506
2002-09-19,304.263
2002-09-20,304.417
2002-09-23,295.304
2002-09-24,289.053
2002-09-25,291.58
2002-09-26,303.222
2002-09-27,303.232
2002-09-30,292.832
2002-10-01,296.496
2002-10-02,302.686
2002-10-03,298.433
2002-10-04,291.309
2002-10-07,288.617
2002-10-08,283.214
2002-10-09,282.923
2002-10-10,288.277
2002-10-11,302.354
2002-10-14,299.357
2002-10-15,315.027
2002-10-16,312.132
2002-10-17,318.381
2002-10-18,316.951
2002-10-21,318.094
2002-10-22,314.788
2002-10-23,306.036
2002-10-24,312.158
2002-10-25,310.46
2002-10-28,315.252
2002-10-29,303.857
2002-10-30,310.491
2002-10-31,317.587
2002-11-01,316.522
2002-11-04,326.127
2002-11-05,329.491
2002-11-06,325.107
2002-11-07,323.14
2002-11-08,321.604
2002-11-11,319.611
2002-11-12,321.88
2002-11-13,318.42
2002-11-14,321.534
2002-11-15,324.159
2002-11-18,328.284
2002-11-19,327.693
2002-11-20,324.267
2002-11-21,333.079
2002-11-22,333.526
2002-11-25,328.67
2002-11-26,322.83
2002-11-27,328.586
2002-11-28,333.596
2002-11-29,333.762
2002-12-02,333.57
2002-12-03,328.669
2002-12-04,327.164
2002-12-05,324.036
2002-12-06,324.707
2002-12-09,317.613
2002-12-10,318.744
2002-12-11,322.259
2002-12-12,319.188
2002-12-13,316.603
2002-12-16,324.917
2002-12-17,323.242
2002-12-18,316.741
2002-12-19,314.925
2002-12-20,318.87
2002-12-23,319.991
2002-12-24,321.343
2002-12-25,321.343
2002-12-26,321.737
2002-12-27,314.799
2002-12-30,319.317
2002-12-31,322.287
2003-01-01,322.286
2003-01-02,329.106
2003-01-03,330.628
2003-01-06,334.286
2003-01-07,329.709
2003-01-08,323.773
2003-01-09,328.33
2003-01-10,331.653
2003-01-13,332.208
2003-01-14,333.581
2003-01-15,329.651
2003-01-16,330.242
2003-01-17,325.498
2003-01-20,321.434
2003-01-21,317.871
2003-01-22,313.054
2003-01-23,312.326
2003-01-24,311.46
2003-01-27,302.012
2003-01-28,303.056
2003-01-29,303.519
2003-01-30,307.849
2003-01-31,308.01
2003-02-03,313.833
2003-02-04,307.943
2003-02-05,313.299
2003-02-06,306.734
2003-02-07,303.751
2003-02-10,300.995
2003-02-11,305.678
2003-02-12,301.067
2003-02-13,302.583
2003-02-14,305.171
2003-02-17,308.724
2003-02-18,310.224
2003-02-19,305.722
2003-02-20,305.495
2003-02-21,307.829
2003-02-24,302.711
2003-02-25,293.529
2003-02-26,292.13
2003-02-27,293.684
2003-02-28,298.854
2003-03-03,300.992
2003-03-04,296.968
2003-03-05,296.541
2003-03-06,293.743
2003-03-07,289.286
2003-03-10,283.419
2003-03-11,283.841
2003-03-12,272.838
2003-03-13,284.801
2003-03-14,292.239
2003-03-17,299.006
2003-03-18,298.57
2003-03-19,300.524
2003-03-20,299.519
2003-03-21,306.896
2003-03-24,298.746
2003-03-25,302.151
2003-03-26,303.028
2003-03-27,298.329
2003-03-28,298.115
2003-03-31,292.834
2003-04-01,296.301
2003-04-02,302.057
2003-04-03,303.579
2003-04-04,305.776
2003-04-07,313.993
2003-04-08,309.896
2003-04-09,309.895
2003-04-10,309.397
2003-04-11,310.369
2003-04-14,314.323
2003-04-15,319.333
2003-04-16,318.176
2003-04-17,321.509
2003-04-18,321.509
2003-04-21,319.353
2003-04-22,324.659
2003-04-23,329.285
2003-04-24,326.18
2003-04-25,321.381
2003-04-28,328.38
2003-04-29,328.776
2003-04-30,331.417
2003-05-01,332.053
2003-05-02,334.42
2003-05-05,337.755
2003-05-06,345.041
2003-05-07,341.958
2003-05-08,337.434
2003-05-09,341.341
2003-05-12,343.875
2003-05-13,343.88
2003-05-14,344.583
2003-05-15,347.897
2003-05-16,351.195
2003-05-19,344.859
2003-05-20,345.778
2003-05-21,344.461
2003-05-22,347.849
2003-05-23,349.425
2003-05-26,350.375
2003-05-27,352.295
2003-05-28,356.126
2003-05-29,360.592
2003-05-30,359.39
2003-06-02,364.404
2003-06-03,362.2
2003-06-04,364.929
2003-06-05,367.924
2003-06-06,371.819
2003-06-09,368.57
2003-06-10,367.972
2003-06-11,375.369
2003-06-12,379.023
2003-06-13,375.966
2003-06-16,382.509
2003-06-17,385.176
2003-06-18,383.115
2003-06-19,376.861
2003-06-20,377.463
2003-06-23,370.149
2003-06-24,367.558
2003-06-25,370.375
2003-06-26,366.292
2003-06-27,366.352
2003-06-30,364.082
2003-07-01,361.099
2003-07-02,365.551
2003-07-03,367.392
2003-07-04,365.957
2003-07-07,370.43
2003-07-08,369.306
2003-07-09,366.752
2003-07-10,363.497
2003-07-11,366.719
2003-07-14,371.523
2003-07-15,368.018
2003-07-16,365.034
2003-07-17,362.217
2003-07-18,364.008
2003-07-21,363.944
2003-07-22,366.249
2003-07-23,367.315
2003-07-24,374.312
2003-07-25,374.029
2003-07-28,377.138
2003-07-29,375.899
2003-07-30,374.415
2003-07-31,375.209
2003-08-01,371.686
2003-08-04,372.18
2003-08-05,374.919
2003-08-06,370.843
2003-08-07,372.98
2003-08-08,373.847
2003-08-11,375.492
2003-08-12,376.87
2003-08-13,378.457
2003-08-14,382.37
2003-08-15,383.026
2003-08-18,384.136
2003-08-19,382.296
2003-08-20,382.119
2003-08-21,380.477
2003-08-22,378.019
2003-08-25,376.882
2003-08-26,371.864
2003-08-27,374.848
2003-08-28,376.222
2003-08-29,375.557
2003-09-01,379.298
2003-09-02,377.749
2003-09-03,382.439
2003-09-04,383.808
2003-09-05,385.416
2003-09-08,389.615
2003-09-09,387.787
2003-09-10,384.535
2003-09-11,384.976
2003-09-12,386.887
2003-09-15,388.056
2003-09-16,387.961
2003-09-17,390.842
2003-09-18,394.1
2003-09-19,393.612
2003-09-22,391.782
2003-09-23,390.135
2003-09-24,390.435
2003-09-25,389.132
2003-09-26,384.454
2003-09-29,384.452
