Date,EUROPE IMI VALUE IMI (Large+Mid+Small Cap)
1994-05-31,181.369
1994-06-30,179.69
1994-07-29,189.279
1994-08-31,193.934
1994-09-30,186.515
1994-10-31,194.656
1994-11-30,187.288
1994-12-30,187.551
1995-01-31,186.377
1995-02-28,189.055
1995-03-31,197.622
1995-04-28,203.034
1995-05-31,208.057
1995-06-30,208.267
1995-07-31,218.225
1995-08-31,207.783
1995-09-29,212.793
1995-10-31,211.988
1995-11-30,212.58
1995-12-29,220.029
1996-01-31,220.857
1996-02-29,225.161
1996-03-29,226.502
1996-04-30,228.779
1996-05-31,233.12
1996-06-28,234.4
1996-07-31,232.207
1996-08-30,238.23
1996-09-30,242.045
1996-10-31,247.961
1996-11-29,260.006
1996-12-31,267.467
1997-01-31,267.652
1997-02-28,271.216
1997-03-31,278.973
1997-04-30,276.517
1997-05-30,290.722
1997-06-30,300.471
1997-07-31,312.624
1997-08-29,300.669
1997-09-30,327.358
1997-10-31,315.11
1997-11-28,317.022
1997-12-31,326.36
1998-01-30,336.567
1998-02-27,361.424
1998-03-31,392.626
1998-04-30,403.258
1998-05-29,411.43
1998-06-30,412.089
1998-07-31,415.926
1998-08-31,363.703
1998-09-30,350.708
1998-10-30,372.112
1998-11-30,386.643
1998-12-31,395.888
1999-01-29,392.228
1999-02-26,388.718
1999-03-31,398.206
1999-04-30,421.014
1999-05-31,403.767
1999-06-30,408.677
1999-07-30,416.352
1999-08-31,420.524
1999-09-30,415.044
1999-10-29,419.548
1999-11-30,419.435
1999-12-31,447.192
2000-01-31,402.894
2000-02-29,406.705
2000-03-31,425.821
2000-04-28,408.206
2000-05-31,414.14
2000-06-30,428.032
2000-07-31,421.84
2000-08-31,420.811
2000-09-29,407.987
2000-10-31,406.856
2000-11-30,403.429
2000-12-29,432.934
2001-01-31,438.384
2001-02-28,418.605
2001-03-30,391.904
2001-04-30,414.048
2001-05-31,402.333
2001-06-29,392.908
2001-07-31,395.603
2001-08-31,392.409
2001-09-28,348.112
2001-10-31,356.519
2001-11-30,368.967
2001-12-31,377.101
2002-01-31,364.876
2002-02-28,366.387
2002-03-29,390.84
2002-04-30,397.831
2002-05-31,405.81
2002-06-28,390.09
2002-07-31,347.794
2002-08-30,350.904
2002-09-30,300.2
2002-10-31,325.561
2002-11-29,342.137
2002-12-31,330.333
2003-01-31,315.682
2003-02-28,306.286
2003-03-31,300.023
2003-04-30,339.081
2003-05-30,367.186
2003-06-30,371.615
2003-07-31,382.871
2003-08-29,383.149
2003-09-30,388.912
2003-10-31,417.594
2003-11-28,434.286
2003-12-31,474.356
2004-01-30,476.543
2004-02-27,491.043
2004-03-31,478.012
2004-04-30,476.51
2004-05-31,485.053
2004-06-30,494.798
2004-07-30,483.628
2004-08-31,486.513
2004-09-30,507.637
2004-10-29,527.005
2004-11-30,567.095
2004-12-31,593.301
2005-01-31,587.175
2005-02-28,618.947
2005-03-31,602.116
2005-04-29,580.9
2005-05-31,582.184
2005-06-30,593.531
2005-07-29,615.036
2005-08-31,623.086
2005-09-30,635.511
2005-10-31,615.581
2005-11-30,628.646
2005-12-30,651.511
2006-01-31,694.88
2006-02-28,702.621
2006-03-31,728.011
2006-04-28,763.762
2006-05-31,744.357
2006-06-30,746.389
2006-07-31,760.171
2006-08-31,784.58
2006-09-29,795.963
2006-10-31,835.227
2006-11-30,864.885
2006-12-29,895.471
2007-01-31,897.338
2007-02-28,892.262
2007-03-30,920.858
2007-04-30,983.307
2007-05-31,1000.0
2007-06-29,996.606
2007-07-31,968.707
2007-08-31,947.324
2007-09-28,983.554
2007-10-31,1030.462
2007-11-30,976.766
2007-12-31,957.229
2008-01-31,851.296
2008-02-29,856.975
2008-03-31,863.863
2008-04-30,909.383
2008-05-30,899.285
2008-06-30,804.827
2008-07-31,779.098
2008-08-29,754.801
2008-09-30,636.938
2008-10-31,490.087
2008-11-28,459.455
2008-12-31,483.13
2009-01-30,419.078
2009-02-27,369.601
2009-03-31,399.99
2009-04-30,481.274
2009-05-29,539.966
2009-06-30,526.05
2009-07-31,585.499
2009-08-31,642.401
2009-09-30,673.372
2009-10-30,654.119
2009-11-30,669.547
2009-12-31,677.335
2010-01-29,635.826
2010-02-26,617.3
2010-03-31,657.447
2010-04-30,638.836
2010-05-31,553.53
2010-06-30,541.443
2010-07-30,616.478
2010-08-31,586.329
2010-09-30,650.693
2010-10-29,683.776
2010-11-30,616.29
2010-12-31,672.905
2011-01-31,717.52
2011-02-28,739.56
2011-03-31,728.505
2011-04-29,785.384
2011-05-31,753.153
2011-06-30,737.2
2011-07-29,703.009
2011-08-31,623.221
2011-09-30,559.966
2011-10-31,626.595
2011-11-30,591.744
2011-12-30,581.645
2012-01-31,610.9
2012-02-29,647.768
2012-03-30,638.302
2012-04-30,613.188
2012-05-31,534.607
2012-06-29,585.118
2012-07-31,584.361
2012-08-31,619.039
2012-09-28,641.935
2012-10-31,655.514
2012-11-30,667.42
2012-12-31,693.816
2013-01-31,738.342
2013-02-28,706.312
2013-03-29,697.466
2013-04-30,736.585
2013-05-31,742.625
2013-06-28,702.059
2013-07-31,761.394
2013-08-30,753.653
2013-09-30,813.991
2013-10-31,861.112
2013-11-29,871.387
2013-12-31,892.079
2014-01-31,865.016
2014-02-28,929.648
2014-03-31,919.286
2014-04-30,945.597
2014-05-30,949.858
2014-06-30,949.593
2014-07-31,918.476
2014-08-29,916.718
2014-09-30,878.671
2014-10-31,848.736
2014-11-28,860.974
2014-12-31,825.978
2015-01-30,817.049
2015-02-27,869.795
2015-03-31,843.264
2015-04-30,882.919
2015-05-29,870.131
2015-06-30,843.624
2015-07-31,863.44
2015-08-31,803.563
2015-09-30,753.646
2015-10-30,803.853
2015-11-30,784.567
2015-12-31,761.008
2016-01-29,703.312
2016-02-29,694.29
2016-03-31,740.144
2016-04-29,768.485
2016-05-31,759.647
2016-06-30,711.795
2016-07-29,741.524
2016-08-31,752.18
2016-09-30,759.683
2016-10-31,752.93
2016-11-30,743.248
2016-12-30,790.347
2017-01-31,803.878
2017-02-28,804.205
2017-03-31,839.196
2017-04-28,868.008
2017-05-31,903.187
2017-06-30,897.898
2017-07-31,932.274
2017-08-31,927.919
2017-09-29,963.717
2017-10-31,961.824
2017-11-30,968.072
2017-12-29,983.919
2018-01-31,1043.407
2018-02-28,983.276
2018-03-30,966.696
2018-04-30,1001.829
2018-05-31,947.985
2018-06-29,939.93
2018-07-31,970.563
2018-08-31,926.974
2018-09-28,940.737
2018-10-31,877.182
2018-11-30,864.392
2018-12-31,821.971
2019-01-31,878.842
2019-02-28,902.664
2019-03-29,895.075
2019-04-30,924.645
2019-05-31,858.763
2019-06-28,909.878
2019-07-31,883.207
2019-08-30,847.067
2019-09-30,888.598
2019-10-31,921.275
2019-11-29,930.832
2019-12-31,974.246
2020-01-31,932.397
2020-02-28,838.068
2020-03-31,669.425
2020-04-30,703.924
2020-05-29,726.355
2020-06-30,761.576
2020-07-31,775.975
2020-08-31,813.45
2020-09-30,771.57
2020-10-30,727.869
2020-11-30,893.36
2020-12-31,933.419
2021-01-29,920.297
2021-02-26,961.704
2021-03-31,999.17
2021-04-30,1032.458
2021-05-31,1074.146
2021-06-30,1039.388
2021-07-30,1047.261
2021-08-31,1063.336
2021-09-30,1021.535
2021-10-29,1055.406
2021-11-30,988.269
2021-12-31,1059.984
2022-01-31,1065.813
2022-02-28,1035.136
2022-03-31,1030.893
2022-04-29,983.32
2022-05-31,1013.614
