Date,JAPAN IMI IMI (Large+Mid+Small Cap)
1994-05-31,957.665
1994-06-30,1015.611
1994-07-29,978.438
1994-08-31,980.875
1994-09-30,955.006
1994-10-31,977.467
1994-11-30,916.8
1994-12-30,933.547
1995-01-31,879.7
1995-02-28,827.585
1995-03-31,903.592
1995-04-28,942.169
1995-05-31,879.887
1995-06-30,841.015
1995-07-31,901.814
1995-08-31,869.547
1995-09-29,873.117
1995-10-31,827.597
1995-11-30,871.055
1995-12-29,911.594
1996-01-31,898.214
1996-02-29,884.786
1996-03-29,915.213
1996-04-30,976.953
1996-05-31,930.014
1996-06-28,934.419
1996-07-31,890.793
1996-08-30,853.993
1996-09-30,875.712
1996-10-31,817.449
1996-11-29,820.44
1996-12-31,759.952
1997-01-31,680.069
1997-02-28,691.024
1997-03-31,666.749
1997-04-30,680.423
1997-05-30,769.757
1997-06-30,816.771
1997-07-31,783.681
1997-08-29,712.544
1997-09-30,689.271
1997-10-31,639.104
1997-11-28,587.917
1997-12-31,544.694
1998-01-30,602.638
1998-02-27,607.375
1998-03-31,567.482
1998-04-30,561.624
1998-05-29,534.571
1998-06-30,537.264
1998-07-31,531.644
1998-08-31,477.389
1998-09-30,468.226
1998-10-30,541.24
1998-11-30,565.937
1998-12-31,588.73
1999-01-29,592.026
1999-02-26,581.138
1999-03-31,663.1
1999-04-30,697.599
1999-05-31,661.884
1999-06-30,738.038
1999-07-30,813.314
1999-08-31,841.224
1999-09-30,901.54
1999-10-29,958.88
1999-11-30,1035.723
1999-12-31,1081.181
2000-01-31,1028.935
2000-02-29,1022.086
2000-03-31,1079.786
2000-04-28,981.716
2000-05-31,907.294
2000-06-30,966.191
2000-07-31,847.605
2000-08-31,908.892
2000-09-29,868.904
2000-10-31,803.894
2000-11-30,780.193
2000-12-29,711.737
2001-01-31,709.639
2001-02-28,672.872
2001-03-30,649.826
2001-04-30,702.933
2001-05-31,702.18
2001-06-29,662.249
2001-07-31,605.603
2001-08-31,588.823
2001-09-28,547.832
2001-10-31,551.711
2001-11-30,544.245
2001-12-31,501.586
2002-01-31,463.822
2002-02-28,482.998
2002-03-29,513.146
2002-04-30,540.384
2002-05-31,579.445
2002-06-28,550.638
2002-07-31,515.922
2002-08-30,509.857
2002-09-30,487.752
2002-10-31,454.217
2002-11-29,470.485
2002-12-31,460.083
2003-01-31,442.845
2003-02-28,447.912
2003-03-31,430.633
2003-04-30,430.753
2003-05-30,451.111
2003-06-30,483.757
2003-07-31,501.887
2003-08-29,552.221
2003-09-30,588.208
2003-10-31,616.189
2003-11-28,593.613
2003-12-31,633.319
