Date,JAPAN IMI IMI (Large+Mid+Small Cap)
2001-01-01,705.992
2001-01-02,704.173
2001-01-03,704.85
2001-01-04,697.037
2001-01-05,700.282
2001-01-08,700.129
2001-01-09,684.081
2001-01-10,675.655
2001-01-11,655.229
2001-01-12,657.431
2001-01-15,658.22
2001-01-16,675.701
2001-01-17,684.291
2001-01-18,697.671
2001-01-19,703.749
2001-01-22,706.571
2001-01-23,702.286
2001-01-24,694.186
2001-01-25,702.085
2001-01-26,696.791
2001-01-29,698.866
2001-01-30,700.364
2001-01-31,703.9
2001-02-01,708.9
2001-02-02,701.179
2001-02-05,692.57
2001-02-06,689.674
2001-02-07,689.622
2001-02-08,679.662
2001-02-09,679.363
2001-02-12,679.345
2001-02-13,677.568
2001-02-14,679.701
2001-02-15,686.255
2001-02-16,682.428
2001-02-19,673.176
2001-02-20,681.838
2001-02-21,671.342
2001-02-22,673.3
2001-02-23,681.659
2001-02-26,683.48
2001-02-27,680.728
2001-02-28,667.453
2001-03-01,660.53
2001-03-02,635.688
2001-03-05,631.886
2001-03-06,648.141
2001-03-07,651.015
2001-03-08,651.089
2001-03-09,651.637
2001-03-12,630.326
2001-03-13,613.768
2001-03-14,605.705
2001-03-15,612.33
2001-03-16,614.162
2001-03-19,618.739
2001-03-20,616.625
2001-03-21,651.412
2001-03-22,637.521
2001-03-23,657.109
2001-03-26,682.911
2001-03-27,681.824
2001-03-28,693.374
2001-03-29,661.272
2001-03-30,645.066
2001-04-02,634.392
2001-04-03,649.283
2001-04-04,656.709
2001-04-05,667.201
2001-04-06,669.724
2001-04-09,648.496
2001-04-10,642.05
2001-04-11,654.841
2001-04-12,666.0
2001-04-13,664.944
2001-04-16,656.417
2001-04-17,656.143
2001-04-18,680.421
2001-04-19,693.946
2001-04-20,684.725
2001-04-23,690.509
2001-04-24,686.046
2001-04-25,693.294
2001-04-26,700.651
2001-04-27,696.383
2001-04-30,697.796
2001-05-01,729.212
2001-05-02,736.881
2001-05-03,742.667
2001-05-04,742.79
2001-05-07,750.602
2001-05-08,731.998
2001-05-09,720.719
2001-05-10,711.875
2001-05-11,711.948
2001-05-14,700.086
2001-05-15,706.83
2001-05-16,694.086
2001-05-17,707.153
2001-05-18,699.886
2001-05-21,710.551
2001-05-22,710.308
2001-05-23,720.348
2001-05-24,719.23
2001-05-25,711.842
2001-05-28,704.429
2001-05-29,712.957
2001-05-30,698.054
2001-05-31,697.058
2001-06-01,696.054
2001-06-04,693.595
2001-06-05,687.318
2001-06-06,685.691
2001-06-07,690.613
2001-06-08,688.982
2001-06-11,678.4
2001-06-12,659.954
2001-06-13,660.379
2001-06-14,661.876
2001-06-15,653.308
2001-06-18,646.46
2001-06-19,644.549
2001-06-20,643.332
2001-06-21,652.945
2001-06-22,661.457
2001-06-25,657.207
2001-06-26,659.53
2001-06-27,654.542
2001-06-28,645.171
2001-06-29,657.441
2001-07-02,652.901
2001-07-03,655.2
2001-07-04,647.86
2001-07-05,639.66
2001-07-06,627.41
2001-07-09,622.381
2001-07-10,628.399
2001-07-11,623.872
2001-07-12,635.947
2001-07-13,629.453
2001-07-16,625.735
2001-07-17,618.185
2001-07-18,609.198
2001-07-19,611.027
2001-07-20,612.988
2001-07-23,591.354
2001-07-24,599.97
2001-07-25,607.331
2001-07-26,607.601
2001-07-27,603.978
2001-07-30,589.119
2001-07-31,601.212
2001-08-01,609.968
2001-08-02,629.082
2001-08-03,623.261
2001-08-06,620.456
2001-08-07,623.479
2001-08-08,623.631
2001-08-09,607.168
2001-08-10,611.906
2001-08-13,602.265
2001-08-14,620.309
2001-08-15,627.82
2001-08-16,616.65
2001-08-17,613.506
2001-08-20,603.839
2001-08-21,610.176
2001-08-22,613.499
2001-08-23,602.245
2001-08-24,601.487
2001-08-27,606.193
2001-08-28,600.358
2001-08-29,594.031
2001-08-30,585.321
2001-08-31,584.566
2001-09-03,569.218
2001-09-04,582.936
2001-09-05,568.998
2001-09-06,566.699
2001-09-07,566.346
2001-09-10,550.251
2001-09-11,561.908
2001-09-12,522.946
2001-09-13,531.814
2001-09-14,555.383
2001-09-17,533.768
2001-09-18,543.991
2001-09-19,558.161
2001-09-20,556.519
2001-09-21,540.159
2001-09-24,536.159
2001-09-25,544.545
2001-09-26,536.616
2001-09-27,531.736
2001-09-28,544.231
2001-10-01,551.56
2001-10-02,559.261
2001-10-03,550.681
2001-10-04,562.392
2001-10-05,563.67
2001-10-08,565.619
2001-10-09,550.427
2001-10-10,542.836
2001-10-11,555.171
2001-10-12,565.995
2001-10-15,560.334
2001-10-16,562.463
2001-10-17,569.054
2001-10-18,558.7
2001-10-19,558.97
2001-10-22,556.964
2001-10-23,563.509
2001-10-24,566.441
2001-10-25,571.61
2001-10-26,566.36
2001-10-29,561.879
2001-10-30,555.871
2001-10-31,548.074
2001-11-01,549.899
2001-11-02,548.94
2001-11-05,548.939
2001-11-06,556.689
2001-11-07,543.568
2001-11-08,548.584
2001-11-09,543.393
2001-11-12,538.192
2001-11-13,530.189
2001-11-14,530.987
2001-11-15,540.382
2001-11-16,543.198
2001-11-19,546.518
2001-11-20,545.024
2001-11-21,543.97
2001-11-22,542.621
2001-11-23,540.14
2001-11-26,553.86
2001-11-27,551.083
2001-11-28,541.331
2001-11-29,536.504
2001-11-30,540.66
2001-12-03,526.881
2001-12-04,524.812
2001-12-05,533.775
2001-12-06,537.712
2001-12-07,527.256
2001-12-10,514.057
2001-12-11,509.203
2001-12-12,519.856
2001-12-13,507.803
2001-12-14,501.037
2001-12-17,491.126
2001-12-18,491.446
2001-12-19,492.033
2001-12-20,497.984
2001-12-21,491.344
2001-12-24,489.813
2001-12-25,487.996
2001-12-26,481.868
2001-12-27,488.268
2001-12-28,497.798
2001-12-31,498.307
2002-01-01,498.307
2002-01-02,494.309
2002-01-03,495.904
2002-01-04,508.278
2002-01-07,508.231
2002-01-08,493.064
2002-01-09,490.016
2002-01-10,483.143
2002-01-11,480.374
2002-01-14,481.766
2002-01-15,474.026
2002-01-16,474.842
2002-01-17,472.806
2002-01-18,480.864
2002-01-21,480.611
2002-01-22,465.095
2002-01-23,460.836
2002-01-24,462.13
2002-01-25,464.714
2002-01-28,473.706
2002-01-29,464.319
2002-01-30,459.63
2002-01-31,460.794
2002-02-01,452.866
2002-02-04,450.047
2002-02-05,439.251
2002-02-06,438.156
2002-02-07,446.741
2002-02-08,446.754
2002-02-11,450.73
2002-02-12,464.348
2002-02-13,467.789
2002-02-14,470.995
2002-02-15,468.989
2002-02-18,468.777
2002-02-19,455.383
2002-02-20,453.003
2002-02-21,465.538
2002-02-22,468.538
2002-02-25,467.093
2002-02-26,463.892
2002-02-27,473.835
2002-02-28,479.869
2002-03-01,489.641
2002-03-04,516.822
2002-03-05,514.873
2002-03-06,518.646
2002-03-07,545.607
2002-03-08,547.658
2002-03-11,557.05
2002-03-12,540.518
2002-03-13,526.395
2002-03-14,533.43
2002-03-15,538.838
2002-03-18,525.097
2002-03-19,534.999
2002-03-20,529.104
2002-03-21,526.925
2002-03-22,513.623
2002-03-25,510.539
2002-03-26,510.478
2002-03-27,517.043
2002-03-28,520.329
2002-03-29,510.262
2002-04-01,503.875
2002-04-02,511.461
2002-04-03,521.344
2002-04-04,527.641
2002-04-05,526.464
2002-04-08,529.29
2002-04-09,521.47
2002-04-10,525.157
2002-04-11,518.334
2002-04-12,509.828
2002-04-15,516.149
2002-04-16,523.825
2002-04-17,530.842
2002-04-18,537.178
2002-04-19,533.014
2002-04-22,541.862
2002-04-23,541.444
2002-04-24,539.567
2002-04-25,545.578
2002-04-26,541.362
2002-04-29,540.37
2002-04-30,537.351
2002-05-01,543.692
2002-05-02,541.418
2002-05-03,545.608
2002-05-06,543.905
2002-05-07,535.557
2002-05-08,536.393
2002-05-09,541.375
2002-05-10,541.862
2002-05-13,536.939
2002-05-14,530.582
2002-05-15,541.884
2002-05-16,549.797
2002-05-17,561.715
2002-05-20,567.006
2002-05-21,573.782
2002-05-22,580.426
2002-05-23,579.392
2002-05-24,582.002
2002-05-27,577.926
2002-05-28,579.023
2002-05-29,577.71
2002-05-30,581.251
2002-05-31,576.204
2002-06-03,583.799
2002-06-04,575.535
2002-06-05,571.608
2002-06-06,569.238
2002-06-07,564.36
2002-06-10,560.608
2002-06-11,559.597
2002-06-12,555.917
2002-06-13,548.604
2002-06-14,542.076
2002-06-17,526.811
2002-06-18,534.452
2002-06-19,522.31
2002-06-20,529.898
2002-06-21,527.73
2002-06-24,533.502
2002-06-25,532.719
2002-06-26,528.266
2002-06-27,530.802
2002-06-28,547.58
2002-07-01,547.349
2002-07-02,547.533
2002-07-03,556.807
2002-07-04,550.203
2002-07-05,554.781
2002-07-08,558.014
2002-07-09,568.893
2002-07-10,561.774
2002-07-11,557.215
2002-07-12,558.995
2002-07-15,552.566
2002-07-16,544.694
2002-07-17,543.976
2002-07-18,553.233
2002-07-19,546.058
2002-07-22,543.174
2002-07-23,539.876
2002-07-24,535.136
2002-07-25,529.158
2002-07-26,506.359
2002-07-29,505.085
2002-07-30,517.006
2002-07-31,513.059
2002-08-01,510.776
2002-08-02,509.593
2002-08-05,509.877
2002-08-06,493.376
2002-08-07,508.855
2002-08-08,507.102
2002-08-09,519.578
2002-08-12,514.056
2002-08-13,510.814
2002-08-14,520.591
2002-08-15,521.513
2002-08-16,521.598
2002-08-19,508.416
2002-08-20,507.315
2002-08-21,510.431
2002-08-22,512.987
2002-08-23,514.693
2002-08-26,524.041
2002-08-27,520.456
2002-08-28,514.678
2002-08-29,507.015
2002-08-30,507.043
2002-09-02,503.085
2002-09-03,492.948
2002-09-04,480.32
2002-09-05,488.121
2002-09-06,481.961
2002-09-09,488.342
2002-09-10,486.985
2002-09-11,486.904
2002-09-12,489.706
2002-09-13,480.53
2002-09-16,475.986
2002-09-17,487.143
2002-09-18,488.541
2002-09-19,498.117
2002-09-20,480.958
2002-09-23,478.957
2002-09-24,474.61
2002-09-25,470.646
2002-09-26,478.982
2002-09-27,488.097
2002-09-30,485.409
2002-10-01,472.977
2002-10-02,466.034
2002-10-03,461.286
2002-10-04,464.24
2002-10-07,444.033
