Date,JAPAN IMI IMI (Large+Mid+Small Cap)
1994-05-31,944.179
1994-06-30,1001.335
1994-07-29,964.686
1994-08-31,967.102
1994-09-30,941.833
1994-10-31,963.987
1994-11-30,904.162
1994-12-30,920.705
1995-01-31,867.604
1995-02-28,816.224
1995-03-31,891.591
1995-04-28,929.657
1995-05-31,868.208
1995-06-30,829.867
1995-07-31,889.862
1995-08-31,858.036
1995-09-29,861.812
1995-10-31,816.883
1995-11-30,859.783
1995-12-29,899.816
1996-01-31,886.614
1996-02-29,873.377
1996-03-29,903.757
1996-04-30,964.726
1996-05-31,918.377
1996-06-28,922.739
1996-07-31,879.66
1996-08-30,843.331
1996-09-30,865.012
1996-10-31,807.462
1996-11-29,810.419
1996-12-31,750.687
1997-01-31,671.782
1997-02-28,682.62
1997-03-31,658.945
1997-04-30,672.46
1997-05-30,760.751
1997-06-30,807.227
1997-07-31,774.525
1997-08-29,704.23
1997-09-30,681.439
1997-10-31,631.843
1997-11-28,581.24
1997-12-31,538.523
1998-01-30,595.815
1998-02-27,600.513
1998-03-31,561.354
1998-04-30,555.56
1998-05-29,528.8
1998-06-30,531.474
1998-07-31,525.916
1998-08-31,472.254
1998-09-30,463.362
1998-10-30,535.618
1998-11-30,560.061
1998-12-31,582.635
1999-01-29,585.903
1999-02-26,575.146
1999-03-31,656.708
1999-04-30,690.875
1999-05-31,655.508
1999-06-30,730.942
1999-07-30,805.498
1999-08-31,833.152
1999-09-30,893.25
1999-10-29,950.064
1999-11-30,1026.205
1999-12-31,1071.268
2000-01-31,1019.508
2000-02-29,1012.742
2000-03-31,1070.451
2000-04-28,973.229
2000-05-31,899.455
2000-06-30,957.86
2000-07-31,840.3
2000-08-31,901.075
2000-09-29,861.816
2000-10-31,797.342
2000-11-30,773.847
2000-12-29,705.975
2001-01-31,703.9
2001-02-28,667.453
2001-03-30,645.066
2001-04-30,697.796
2001-05-31,697.058
2001-06-29,657.441
2001-07-31,601.212
2001-08-31,584.566
2001-09-28,544.231
2001-10-31,548.074
2001-11-30,540.66
2001-12-31,498.307
2002-01-31,460.794
2002-02-28,479.869
2002-03-29,510.262
2002-04-30,537.351
2002-05-31,576.204
2002-06-28,547.58
2002-07-31,513.059
2002-08-30,507.043
2002-09-30,485.409
2002-10-31,452.046
2002-11-29,468.284
2002-12-31,457.922
2003-01-31,440.772
2003-02-28,445.839
2003-03-31,429.15
2003-04-30,429.278
2003-05-30,449.603
2003-06-30,482.153
2003-07-31,500.224
2003-08-29,550.401
2003-09-30,586.484
2003-10-31,614.387
2003-11-28,591.884
2003-12-31,631.5
2004-01-30,644.484
2004-02-27,644.074
2004-03-31,737.505
2004-04-30,702.031
2004-05-31,675.424
2004-06-30,716.554
2004-07-30,671.759
2004-08-31,675.635
2004-09-30,659.018
2004-10-29,674.555
2004-11-30,706.432
2004-12-31,742.417
2005-01-31,731.844
2005-02-28,746.451
2005-03-31,734.386
2005-04-29,717.346
2005-05-31,709.114
2005-06-30,710.001
2005-07-29,718.007
2005-08-31,763.765
2005-09-30,837.628
2005-10-31,833.583
2005-11-30,865.833
2005-12-30,944.065
2006-01-31,987.16
2006-02-28,971.05
2006-03-31,998.324
2006-04-28,1024.205
2006-05-31,959.445
2006-06-30,945.67
2006-07-31,934.664
2006-08-31,949.137
2006-09-29,933.868
2006-10-31,947.641
2006-11-30,953.079
2006-12-29,972.841
2007-01-31,982.024
2007-02-28,1020.312
2007-03-30,1007.219
2007-04-30,988.481
2007-05-31,1000.0
2007-06-29,997.502
2007-07-31,995.613
2007-08-31,964.432
2007-09-28,985.135
2007-10-31,984.564
2007-11-30,966.359
2007-12-31,925.711
2008-01-31,883.691
2008-02-29,889.89
2008-03-31,859.163
2008-04-30,914.843
2008-05-30,938.949
2008-06-30,875.778
2008-07-31,846.084
2008-08-29,811.968
2008-09-30,722.842
2008-10-31,619.904
2008-11-28,616.589
2008-12-31,666.459
2009-01-30,622.592
2009-02-27,544.858
2009-03-31,557.747
2009-04-30,607.936
2009-05-29,672.165
2009-06-30,688.263
2009-07-31,715.99
2009-08-31,745.849
2009-09-30,734.733
2009-10-30,715.092
2009-11-30,705.212
2009-12-31,708.173
2010-01-29,721.86
2010-02-26,730.7
2010-03-31,767.206
2010-04-30,768.913
2010-05-31,707.921
2010-06-30,696.079
2010-07-30,718.625
2010-08-31,702.389
2010-09-30,734.49
2010-10-29,746.661
2010-11-30,762.218
2010-12-31,822.788
2011-01-31,824.998
2011-02-28,862.052
2011-03-31,786.877
2011-04-29,789.458
2011-05-31,776.776
2011-06-30,790.743
2011-07-29,819.494
2011-08-31,757.863
2011-09-30,747.906
2011-10-31,742.005
2011-11-30,711.22
2011-12-30,717.979
2012-01-31,749.975
2012-02-29,783.218
2012-03-30,795.839
2012-04-30,772.545
2012-05-31,704.35
2012-06-29,739.663
2012-07-31,722.937
2012-08-31,717.887
2012-09-28,735.572
2012-10-31,721.467
2012-11-30,736.735
2012-12-31,773.407
2013-01-31,801.89
2013-02-28,824.154
2013-03-29,868.812
2013-04-30,942.138
2013-05-31,885.618
2013-06-28,898.485
2013-07-31,905.252
2013-08-30,886.861
2013-09-30,965.374
2013-10-31,964.784
2013-11-29,976.033
2013-12-31,983.942
2014-01-31,951.31
2014-02-28,943.772
2014-03-31,935.105
2014-04-30,912.039
2014-05-30,947.968
2014-06-30,1000.506
2014-07-31,1006.249
2014-08-29,986.858
2014-09-30,976.564
2014-10-31,961.682
2014-11-28,962.468
2014-12-31,952.668
2015-01-30,976.526
2015-02-27,1031.874
2015-03-31,1049.557
2015-04-30,1083.927
2015-05-29,1097.951
2015-06-30,1084.933
2015-07-31,1088.513
2015-08-31,1029.608
2015-09-30,966.11
2015-10-30,1058.036
2015-11-30,1051.489
2015-12-31,1055.996
2016-01-29,972.468
2016-02-29,948.723
2016-03-31,997.526
2016-04-29,1043.398
2016-05-31,1034.51
2016-06-30,1012.728
2016-07-29,1076.33
2016-08-31,1072.893
2016-09-30,1098.516
2016-10-31,1113.043
2016-11-30,1081.655
2016-12-30,1093.951
2017-01-31,1134.794
2017-02-28,1151.47
2017-03-31,1149.14
2017-04-28,1162.559
2017-05-31,1199.043
2017-06-30,1211.725
2017-07-31,1237.657
2017-08-31,1241.326
2017-09-29,1266.26
2017-10-31,1321.956
2017-11-30,1362.792
2017-12-29,1374.643
2018-01-31,1436.817
2018-02-28,1416.048
2018-03-30,1391.248
2018-04-30,1399.191
2018-05-31,1387.516
2018-06-29,1351.407
2018-07-31,1353.645
2018-08-31,1354.58
2018-09-28,1393.272
2018-10-31,1272.998
2018-11-30,1283.385
2018-12-31,1193.635
2019-01-31,1265.162
2019-02-28,1267.423
2019-03-29,1276.275
2019-04-30,1292.849
2019-05-31,1241.483
2019-06-28,1285.415
2019-07-31,1289.794
2019-08-30,1276.917
2019-09-30,1329.476
2019-10-31,1395.315
2019-11-29,1403.856
2019-12-31,1432.612
2020-01-31,1408.157
2020-02-28,1272.916
2020-03-31,1185.777
2020-04-30,1251.063
2020-05-29,1328.84
2020-06-30,1326.221
2020-07-31,1302.739
2020-08-31,1402.721
2020-09-30,1425.811
2020-10-30,1400.838
2020-11-30,1561.172
2020-12-31,1626.325
2021-01-29,1610.743
2021-02-26,1632.429
2021-03-31,1659.006
2021-04-30,1634.723
2021-05-31,1654.119
2021-06-30,1653.449
2021-07-30,1635.0
2021-08-31,1684.501
2021-09-30,1727.652
2021-10-29,1668.799
2021-11-30,1617.055
2021-12-31,1647.703
2022-01-31,1563.419
2022-02-28,1553.571
2022-03-31,1539.948
2022-04-29,1407.802
2022-05-31,1428.959
2022-06-30,1324.59
2022-07-29,1398.548
2022-08-31,1364.573
2022-09-30,1232.941
2022-10-31,1262.059
2022-11-30,1382.756
2022-12-30,1393.436
2023-01-31,1473.865
2023-02-28,1419.76
2023-03-31,1476.509
2023-04-28,1482.908
2023-05-31,1500.408
2023-06-30,1556.97
2023-07-31,1607.044
2023-08-31,1573.406
2023-09-29,1539.422
2023-10-31,1471.291
2023-11-30,1591.558
2023-12-29,1663.964
2024-01-31,1727.451
2024-02-29,1772.432
2024-03-29,1830.456
2024-04-30,1741.913
2024-05-31,1762.505
2024-06-28,1747.614
2024-07-31,1857.46
2024-08-30,1868.482
2024-09-30,1872.339
2024-10-31,1792.273
2024-11-29,1806.383
2024-12-31,1796.344
2025-01-31,1825.556
2025-02-28,1804.352
2025-03-31,1818.318
2025-04-30,1912.669
2025-05-30,1987.878
2025-06-30,2029.365
