Date,GERMANY MID GROWTH Mid Cap
1994-05-31,326.385
1994-06-30,330.77
1994-07-29,334.248
1994-08-31,346.617
1994-09-30,330.039
1994-10-31,341.238
1994-11-30,318.232
1994-12-30,323.895
1995-01-31,316.619
1995-02-28,331.487
1995-03-31,332.591
1995-04-28,336.59
1995-05-31,339.255
1995-06-30,347.379
1995-07-31,356.65
1995-08-31,334.471
1995-09-29,329.457
1995-10-31,314.292
1995-11-30,304.283
1995-12-29,317.727
1996-01-31,314.234
1996-02-29,329.96
1996-03-29,324.234
1996-04-30,311.462
1996-05-31,318.136
1996-06-28,336.701
1996-07-31,327.216
1996-08-30,334.976
1996-09-30,336.427
1996-10-31,337.576
1996-11-29,339.844
1996-12-31,343.256
1997-01-31,344.182
1997-02-28,360.739
1997-03-31,374.875
1997-04-30,372.292
1997-05-30,397.429
1997-06-30,412.65
1997-07-31,416.839
1997-08-29,391.721
1997-09-30,414.711
1997-10-31,401.484
1997-11-28,401.9
1997-12-31,396.013
1998-01-30,410.308
1998-02-27,431.857
1998-03-31,451.777
1998-04-30,472.053
1998-05-29,499.054
1998-06-30,492.745
1998-07-31,514.122
1998-08-31,438.035
1998-09-30,428.354
1998-10-30,448.386
1998-11-30,456.387
1998-12-31,468.67
1999-01-29,489.534
1999-02-26,453.273
1999-03-31,433.711
1999-04-30,438.043
1999-05-31,433.538
1999-06-30,468.162
1999-07-30,488.273
1999-08-31,478.249
1999-09-30,437.945
1999-10-29,447.956
1999-11-30,487.573
1999-12-31,524.874
2000-01-31,540.14
2000-02-29,647.329
2000-03-31,631.929
2000-04-28,593.232
2000-05-31,559.932
2000-06-30,565.673
2000-07-31,591.596
2000-08-31,602.708
2000-09-29,551.935
2000-10-31,493.111
2000-11-30,409.259
2000-12-29,432.506
2001-01-31,431.256
2001-02-28,362.819
2001-03-30,315.025
2001-04-30,347.685
2001-05-31,331.014
2001-06-29,324.454
2001-07-31,306.75
2001-08-31,302.311
2001-09-28,258.04
2001-10-31,282.39
2001-11-30,301.732
2001-12-31,303.392
2002-01-31,296.92
2002-02-28,294.864
2002-03-29,309.384
2002-04-30,303.115
2002-05-31,305.196
2002-06-28,301.206
2002-07-31,263.604
2002-08-30,261.896
2002-09-30,226.333
2002-10-31,265.528
2002-11-29,261.708
2002-12-31,265.048
2003-01-31,250.606
2003-02-28,241.743
2003-03-31,249.471
2003-04-30,277.024
2003-05-30,309.948
2003-06-30,328.148
2003-07-31,342.188
2003-08-29,335.172
2003-09-30,344.553
2003-10-31,385.242
2003-11-28,380.24
2003-12-31,402.325
2004-01-30,412.894
2004-02-27,414.726
2004-03-31,415.9
2004-04-30,403.056
2004-05-31,413.826
2004-06-30,412.877
2004-07-30,389.601
2004-08-31,387.588
2004-09-30,409.322
2004-10-29,415.152
2004-11-30,448.799
2004-12-31,463.158
2005-01-31,455.088
2005-02-28,481.86
2005-03-31,485.293
2005-04-29,461.86
2005-05-31,473.493
2005-06-30,479.692
2005-07-29,507.669
2005-08-31,526.164
2005-09-30,534.99
2005-10-31,510.564
2005-11-30,527.213
2005-12-30,548.882
2006-01-31,610.698
2006-02-28,622.772
2006-03-31,676.765
2006-04-28,710.699
2006-05-31,666.725
2006-06-30,662.48
2006-07-31,665.23
2006-08-31,708.292
2006-09-29,716.092
2006-10-31,748.049
2006-11-30,770.956
2006-12-29,797.421
2007-01-31,819.477
2007-02-28,837.74
2007-03-30,891.861
2007-04-30,977.758
2007-05-31,1000.0
2007-06-29,1001.209
2007-07-31,981.849
2007-08-31,940.678
2007-09-28,1003.366
2007-10-31,1017.663
2007-11-30,944.988
2007-12-31,964.993
2008-01-31,822.64
2008-02-29,853.536
2008-03-31,863.142
2008-04-30,947.208
2008-05-30,994.0
2008-06-30,959.497
2008-07-31,870.5
2008-08-29,868.697
2008-09-30,631.794
2008-10-31,398.236
2008-11-28,375.315
2008-12-31,427.808
2009-01-30,356.241
2009-02-27,311.106
2009-03-31,335.094
2009-04-30,409.685
2009-05-29,461.752
2009-06-30,421.443
2009-07-31,450.418
2009-08-31,467.885
2009-09-30,512.384
2009-10-30,471.153
2009-11-30,526.038
2009-12-31,522.202
2010-01-29,498.533
2010-02-26,491.982
2010-03-31,540.237
2010-04-30,538.787
2010-05-31,458.374
2010-06-30,457.629
2010-07-30,510.835
2010-08-31,482.602
2010-09-30,563.005
2010-10-29,611.938
2010-11-30,582.013
2010-12-31,627.976
2011-01-31,627.194
2011-02-28,657.351
2011-03-31,655.324
2011-04-29,716.156
2011-05-31,699.471
2011-06-30,703.019
2011-07-29,656.01
2011-08-31,577.309
2011-09-30,491.068
2011-10-31,563.17
2011-11-30,537.55
2011-12-30,505.682
2012-01-31,577.224
