Date,GERMANY MID GROWTH Mid Cap
2001-01-01,432.506
2001-01-02,418.482
2001-01-03,407.425
2001-01-04,409.63
2001-01-05,395.538
2001-01-08,378.027
2001-01-09,373.677
2001-01-10,381.452
2001-01-11,400.28
2001-01-12,410.137
2001-01-15,411.949
2001-01-16,405.583
2001-01-17,415.813
2001-01-18,422.984
2001-01-19,424.148
2001-01-22,422.402
2001-01-23,426.579
2001-01-24,426.597
2001-01-25,430.527
2001-01-26,427.493
2001-01-29,427.854
2001-01-30,429.809
2001-01-31,431.256
2001-02-01,435.069
2001-02-02,426.571
2001-02-05,419.626
2001-02-06,424.161
2001-02-07,417.317
2001-02-08,411.755
2001-02-09,409.34
2001-02-12,409.443
2001-02-13,403.016
2001-02-14,391.58
2001-02-15,390.517
2001-02-16,386.39
2001-02-19,382.461
2001-02-20,375.539
2001-02-21,374.111
2001-02-22,365.475
2001-02-23,358.454
2001-02-26,365.774
2001-02-27,369.803
2001-02-28,362.819
2001-03-01,352.284
2001-03-02,355.834
2001-03-05,354.073
2001-03-06,369.389
2001-03-07,375.917
2001-03-08,372.063
2001-03-09,364.585
2001-03-12,351.512
2001-03-13,336.439
2001-03-14,323.819
2001-03-15,329.492
2001-03-16,321.811
2001-03-19,319.071
2001-03-20,328.844
2001-03-21,312.726
2001-03-22,294.197
2001-03-23,306.826
2001-03-26,316.957
2001-03-27,323.164
2001-03-28,317.407
2001-03-29,313.927
2001-03-30,315.025
2001-04-02,311.568
2001-04-03,301.868
2001-04-04,305.97
2001-04-05,311.058
2001-04-06,308.94
2001-04-09,312.046
2001-04-10,314.545
2001-04-11,316.462
2001-04-12,323.305
2001-04-13,323.305
2001-04-16,319.994
2001-04-17,315.807
2001-04-18,327.798
2001-04-19,337.717
2001-04-20,342.544
2001-04-23,337.334
2001-04-24,334.427
2001-04-25,335.994
2001-04-26,344.129
2001-04-27,342.104
2001-04-30,347.685
2001-05-01,349.528
2001-05-02,354.623
2001-05-03,344.685
2001-05-04,343.861
2001-05-07,344.363
2001-05-08,344.022
2001-05-09,339.337
2001-05-10,340.44
2001-05-11,339.089
2001-05-14,333.211
2001-05-15,336.397
2001-05-16,338.364
2001-05-17,343.767
2001-05-18,344.75
2001-05-21,349.468
2001-05-22,355.007
2001-05-23,347.461
2001-05-24,347.077
2001-05-25,346.749
2001-05-28,346.25
2001-05-29,341.402
2001-05-30,334.389
2001-05-31,331.014
2001-06-01,331.466
2001-06-04,334.574
2001-06-05,335.766
2001-06-06,334.727
2001-06-07,336.648
2001-06-08,336.143
2001-06-11,331.466
2001-06-12,327.545
2001-06-13,331.656
2001-06-14,329.635
2001-06-15,326.243
2001-06-18,325.363
2001-06-19,325.946
2001-06-20,322.671
2001-06-21,324.43
2001-06-22,327.49
2001-06-25,325.486
2001-06-26,322.271
2001-06-27,319.971
2001-06-28,319.697
2001-06-29,324.454
2001-07-02,322.928
2001-07-03,320.159
2001-07-04,316.981
2001-07-05,309.089
2001-07-06,304.671
2001-07-09,306.082
2001-07-10,309.051
2001-07-11,306.613
2001-07-12,307.136
2001-07-13,309.11
2001-07-16,308.695
2001-07-17,302.592
2001-07-18,304.263
2001-07-19,306.948
2001-07-20,304.462
2001-07-23,300.155
2001-07-24,296.655
2001-07-25,299.353
2001-07-26,300.002
2001-07-27,304.146
2001-07-30,305.257
2001-07-31,306.75
2001-08-01,309.929
2001-08-02,314.137
2001-08-03,314.606
2001-08-06,309.203
2001-08-07,307.756
2001-08-08,306.007
2001-08-09,304.878
2001-08-10,308.721
2001-08-13,311.279
2001-08-14,312.43
2001-08-15,312.188
2001-08-16,305.221
2001-08-17,303.955
2001-08-20,299.398
2001-08-21,300.244
2001-08-22,305.288
2001-08-23,305.983
2001-08-24,308.504
2001-08-27,307.634
2001-08-28,307.642
2001-08-29,306.004
2001-08-30,301.335
2001-08-31,302.311
2001-09-03,297.752
2001-09-04,294.418
2001-09-05,288.378
2001-09-06,283.035
2001-09-07,279.685
2001-09-10,271.944
2001-09-11,260.725
2001-09-12,258.928
2001-09-13,258.545
2001-09-14,253.619
2001-09-17,253.023
2001-09-18,249.902
2001-09-19,250.166
2001-09-20,237.728
2001-09-21,232.786
2001-09-24,240.666
2001-09-25,247.536
2001-09-26,249.022
2001-09-27,253.036
2001-09-28,258.04
2001-10-01,256.438
2001-10-02,254.803
2001-10-03,256.11
2001-10-04,262.133
2001-10-05,263.893
2001-10-08,263.359
2001-10-09,264.883
2001-10-10,267.525
2001-10-11,273.702
2001-10-12,274.888
2001-10-15,274.654
2001-10-16,278.696
2001-10-17,279.617
2001-10-18,278.074
2001-10-19,276.446
2001-10-22,277.302
2001-10-23,281.973
2001-10-24,284.753
2001-10-25,283.774
2001-10-26,287.474
2001-10-29,286.418
2001-10-30,282.836
2001-10-31,282.39
2001-11-01,285.259
2001-11-02,284.583
2001-11-05,287.771
2001-11-06,290.564
2001-11-07,294.358
2001-11-08,293.722
2001-11-09,293.667
2001-11-12,292.814
2001-11-13,296.334
2001-11-14,299.074
2001-11-15,301.021
2001-11-16,306.493
2001-11-19,307.234
2001-11-20,304.015
2001-11-21,301.805
2001-11-22,304.283
2001-11-23,303.588
2001-11-26,305.405
2001-11-27,306.069
2001-11-28,300.506
2001-11-29,298.691
2001-11-30,301.732
2001-12-03,299.512
2001-12-04,301.885
2001-12-05,305.466
2001-12-06,307.324
2001-12-07,300.479
2001-12-10,298.504
2001-12-11,299.21
2001-12-12,300.321
2001-12-13,296.944
2001-12-14,295.274
2001-12-17,299.747
2001-12-18,300.796
2001-12-19,299.281
2001-12-20,297.013
2001-12-21,295.465
2001-12-24,292.517
2001-12-25,292.517
2001-12-26,292.766
2001-12-27,298.883
2001-12-28,300.463
2001-12-31,303.392
2002-01-01,303.392
2002-01-02,306.056
2002-01-03,309.724
2002-01-04,309.139
2002-01-07,307.549
2002-01-08,304.241
2002-01-09,303.399
2002-01-10,303.933
2002-01-11,301.755
2002-01-14,299.729
2002-01-15,299.023
2002-01-16,294.009
2002-01-17,298.175
2002-01-18,299.55
2002-01-21,299.456
2002-01-22,299.249
2002-01-23,301.222
2002-01-24,301.082
2002-01-25,296.875
2002-01-28,296.258
2002-01-29,295.107
2002-01-30,296.399
2002-01-31,296.92
2002-02-01,297.015
2002-02-04,299.933
2002-02-05,298.479
2002-02-06,295.804
2002-02-07,290.081
2002-02-08,288.807
2002-02-11,295.516
2002-02-12,293.423
2002-02-13,293.667
2002-02-14,293.398
2002-02-15,294.623
2002-02-18,291.916
2002-02-19,288.919
2002-02-20,287.657
2002-02-21,290.469
2002-02-22,292.086
2002-02-25,292.448
2002-02-26,293.087
2002-02-27,293.491
2002-02-28,294.864
2002-03-01,297.524
2002-03-04,303.039
2002-03-05,299.818
2002-03-06,303.066
2002-03-07,306.866
2002-03-08,307.016
2002-03-11,307.383
2002-03-12,304.034
2002-03-13,302.573
2002-03-14,305.701
2002-03-15,306.921
2002-03-18,309.619
2002-03-19,310.472
2002-03-20,310.263
2002-03-21,308.918
2002-03-22,308.62
2002-03-25,306.724
2002-03-26,307.589
2002-03-27,306.254
2002-03-28,309.384
2002-03-29,309.384
2002-04-01,311.92
2002-04-02,310.14
2002-04-03,307.224
2002-04-04,307.337
2002-04-05,308.913
2002-04-08,303.981
2002-04-09,307.626
2002-04-10,310.346
2002-04-11,309.451
2002-04-12,307.192
2002-04-15,308.627
2002-04-16,312.193
2002-04-17,312.615
2002-04-18,311.728
2002-04-19,310.732
2002-04-22,308.101
2002-04-23,308.686
2002-04-24,308.74
2002-04-25,307.655
2002-04-26,303.448
2002-04-29,303.608
2002-04-30,303.115
2002-05-01,304.831
2002-05-02,303.837
2002-05-03,304.504
2002-05-06,306.568
2002-05-07,304.372
2002-05-08,305.587
2002-05-09,303.199
2002-05-10,302.845
2002-05-13,304.554
2002-05-14,304.886
2002-05-15,308.529
2002-05-16,304.809
2002-05-17,305.256
2002-05-20,306.76
2002-05-21,305.75
2002-05-22,306.124
2002-05-23,302.141
2002-05-24,302.636
2002-05-27,303.077
2002-05-28,305.618
2002-05-29,305.858
2002-05-30,305.017
2002-05-31,305.196
2002-06-03,303.956
2002-06-04,299.855
2002-06-05,299.095
2002-06-06,299.465
2002-06-07,297.068
2002-06-10,295.172
2002-06-11,297.131
2002-06-12,294.87
2002-06-13,290.334
2002-06-14,283.05
2002-06-17,290.944
2002-06-18,288.932
2002-06-19,287.523
2002-06-20,286.77
2002-06-21,287.854
2002-06-24,283.639
2002-06-25,286.549
2002-06-26,285.566
2002-06-27,288.981
2002-06-28,301.206
2002-07-01,296.293
2002-07-02,293.108
2002-07-03,289.867
2002-07-04,289.62
2002-07-05,296.869
2002-07-08,301.822
2002-07-09,298.888
2002-07-10,290.181
2002-07-11,277.865
2002-07-12,279.433
2002-07-15,276.013
2002-07-16,274.48
2002-07-17,278.788
2002-07-18,279.685
2002-07-19,275.235
2002-07-22,264.277
2002-07-23,253.813
2002-07-24,253.746
2002-07-25,253.934
2002-07-26,258.034
2002-07-29,268.763
2002-07-30,270.177
2002-07-31,263.604
2002-08-01,263.743
2002-08-02,263.012
2002-08-05,252.36
2002-08-06,253.041
2002-08-07,260.471
2002-08-08,267.455
2002-08-09,269.652
2002-08-12,267.14
2002-08-13,263.091
2002-08-14,260.556
2002-08-15,261.062
2002-08-16,262.286
2002-08-19,264.99
2002-08-20,261.781
2002-08-21,268.406
2002-08-22,270.432
2002-08-23,269.963
2002-08-26,267.574
2002-08-27,270.386
2002-08-28,264.541
2002-08-29,261.171
2002-08-30,261.896
2002-09-02,257.239
2002-09-03,251.806
2002-09-04,251.265
2002-09-05,242.971
2002-09-06,248.903
2002-09-09,245.479
2002-09-10,247.76
2002-09-11,249.442
2002-09-12,246.004
2002-09-13,244.591
2002-09-16,238.338
2002-09-17,237.532
2002-09-18,234.268
2002-09-19,230.924
2002-09-20,232.599
2002-09-23,231.797
2002-09-24,224.955
2002-09-25,227.441
2002-09-26,235.426
2002-09-27,234.981
2002-09-30,226.333
2002-10-01,225.274
2002-10-02,229.954
2002-10-03,227.74
2002-10-04,224.925
2002-10-07,222.033
2002-10-08,220.694
2002-10-09,220.568
2002-10-10,224.365
2002-10-11,238.843
2002-10-14,243.216
2002-10-15,255.227
2002-10-16,253.705
2002-10-17,256.117
2002-10-18,255.239
2002-10-21,257.016
2002-10-22,258.79
2002-10-23,251.697
2002-10-24,259.176
2002-10-25,262.648
2002-10-28,266.527
2002-10-29,258.631
2002-10-30,262.428
2002-10-31,265.528
2002-11-01,263.701
2002-11-04,272.532
2002-11-05,276.703
2002-11-06,275.049
2002-11-07,272.079
2002-11-08,270.841
2002-11-11,267.613
2002-11-12,268.463
2002-11-13,266.654
2002-11-14,267.669
2002-11-15,267.04
2002-11-18,265.543
2002-11-19,265.027
2002-11-20,260.514
2002-11-21,261.076
2002-11-22,262.571
2002-11-25,260.883
2002-11-26,258.979
2002-11-27,261.055
2002-11-28,263.537
2002-11-29,261.708
2002-12-02,260.213
2002-12-03,260.398
2002-12-04,263.47
2002-12-05,263.94
2002-12-06,262.89
2002-12-09,253.449
2002-12-10,256.769
2002-12-11,267.499
2002-12-12,265.643
2002-12-13,263.927
2002-12-16,267.099
2002-12-17,268.47
2002-12-18,265.345
2002-12-19,260.05
2002-12-20,265.225
2002-12-23,262.114
2002-12-24,263.199
2002-12-25,263.199
2002-12-26,263.863
2002-12-27,261.021
2002-12-30,264.013
2002-12-31,265.048
2003-01-01,265.048
2003-01-02,265.852
2003-01-03,259.698
2003-01-06,259.176
2003-01-07,255.996
2003-01-08,248.668
2003-01-09,250.775
2003-01-10,253.872
2003-01-13,254.676
2003-01-14,257.829
2003-01-15,254.57
2003-01-16,256.875
2003-01-17,255.582
2003-01-20,257.358
2003-01-21,254.959
2003-01-22,253.798
2003-01-23,253.804
2003-01-24,251.23
2003-01-27,247.3
2003-01-28,246.312
2003-01-29,250.403
2003-01-30,248.508
2003-01-31,250.606
2003-02-03,253.225
2003-02-04,250.026
2003-02-05,250.256
2003-02-06,248.789
2003-02-07,244.655
2003-02-10,244.675
2003-02-11,243.296
2003-02-12,239.355
2003-02-13,237.326
2003-02-14,241.893
2003-02-17,240.137
2003-02-18,242.657
2003-02-19,240.078
2003-02-20,241.237
2003-02-21,244.68
2003-02-24,239.51
2003-02-25,235.342
2003-02-26,233.518
2003-02-27,238.287
2003-02-28,241.743
2003-03-03,243.429
2003-03-04,239.894
2003-03-05,237.262
2003-03-06,238.414
2003-03-07,241.03
2003-03-10,235.437
2003-03-11,236.432
2003-03-12,234.183
2003-03-13,237.235
2003-03-14,240.505
2003-03-17,239.662
2003-03-18,241.108
2003-03-19,244.081
2003-03-20,247.306
2003-03-21,253.112
2003-03-24,246.357
2003-03-25,253.245
2003-03-26,253.076
2003-03-27,252.788
2003-03-28,248.308
2003-03-31,249.471
2003-04-01,252.687
2003-04-02,256.483
2003-04-03,258.677
2003-04-04,262.224
2003-04-07,267.127
2003-04-08,270.382
2003-04-09,268.651
2003-04-10,268.954
2003-04-11,267.99
2003-04-14,267.036
2003-04-15,268.768
2003-04-16,270.263
2003-04-17,271.534
2003-04-18,271.534
2003-04-21,270.364
2003-04-22,275.706
2003-04-23,279.721
2003-04-24,278.51
2003-04-25,274.789
2003-04-28,275.281
2003-04-29,274.322
2003-04-30,277.024
2003-05-01,279.568
2003-05-02,280.985
2003-05-05,286.971
2003-05-06,293.336
2003-05-07,289.962
2003-05-08,284.028
2003-05-09,287.378
2003-05-12,291.33
2003-05-13,290.369
2003-05-14,288.176
2003-05-15,292.172
2003-05-16,295.042
2003-05-19,291.252
2003-05-20,290.507
2003-05-21,293.973
2003-05-22,300.344
2003-05-23,304.862
2003-05-26,303.735
2003-05-27,309.426
2003-05-28,305.886
2003-05-29,306.506
2003-05-30,309.948
2003-06-02,311.092
2003-06-03,308.049
2003-06-04,311.208
2003-06-05,318.073
2003-06-06,322.191
2003-06-09,319.24
2003-06-10,324.828
2003-06-11,333.679
2003-06-12,338.54
2003-06-13,330.979
2003-06-16,344.121
2003-06-17,340.82
2003-06-18,336.5
2003-06-19,332.609
2003-06-20,331.159
2003-06-23,321.539
2003-06-24,322.076
2003-06-25,325.82
2003-06-26,326.137
2003-06-27,323.29
2003-06-30,328.148
2003-07-01,325.308
2003-07-02,331.353
2003-07-03,331.162
2003-07-04,331.708
2003-07-07,335.385
2003-07-08,334.578
2003-07-09,331.804
2003-07-10,327.946
2003-07-11,332.894
2003-07-14,339.186
2003-07-15,337.906
2003-07-16,338.906
2003-07-17,332.845
2003-07-18,338.415
2003-07-21,337.779
2003-07-22,338.516
2003-07-23,340.887
2003-07-24,348.062
2003-07-25,348.945
2003-07-28,349.988
2003-07-29,350.051
2003-07-30,343.965
2003-07-31,342.188
2003-08-01,340.576
2003-08-04,342.866
2003-08-05,343.571
2003-08-06,335.619
2003-08-07,328.637
2003-08-08,322.644
2003-08-11,324.064
2003-08-12,328.958
2003-08-13,334.402
2003-08-14,337.208
2003-08-15,334.944
2003-08-18,334.19
2003-08-19,328.928
2003-08-20,329.713
2003-08-21,334.051
2003-08-22,333.07
2003-08-25,330.71
2003-08-26,324.072
2003-08-27,330.367
2003-08-28,331.845
2003-08-29,335.172
2003-09-01,339.623
2003-09-02,335.887
2003-09-03,338.806
2003-09-04,341.878
2003-09-05,346.348
2003-09-08,354.584
2003-09-09,354.649
2003-09-10,351.689
2003-09-11,352.441
2003-09-12,352.499
2003-09-15,351.564
2003-09-16,350.278
2003-09-17,352.862
2003-09-18,358.827
2003-09-19,362.211
2003-09-22,356.213
2003-09-23,357.598
2003-09-24,353.345
2003-09-25,352.106
2003-09-26,346.548
2003-09-29,349.178
2003-09-30,344.553
2003-10-01,353.886
2003-10-02,355.02
2003-10-03,363.439
2003-10-06,362.896
2003-10-07,361.223
2003-10-08,365.585
2003-10-09,370.666
2003-10-10,376.421
2003-10-13,379.336
2003-10-14,375.929
2003-10-15,379.06
2003-10-16,380.954
2003-10-17,372.822
2003-10-20,378.273
2003-10-21,383.815
2003-10-22,376.642
2003-10-23,374.102
2003-10-24,373.355
2003-10-27,377.6
2003-10-28,380.315
2003-10-29,382.484
2003-10-30,384.714
2003-10-31,385.242
2003-11-03,387.013
2003-11-04,385.314
2003-11-05,377.304
2003-11-06,375.164
2003-11-07,374.12
2003-11-10,367.759
2003-11-11,363.158
2003-11-12,368.89
2003-11-13,372.222
2003-11-14,374.983
2003-11-17,367.031
2003-11-18,374.581
2003-11-19,373.742
2003-11-20,370.031
2003-11-21,370.338
2003-11-24,373.362
2003-11-25,375.835
2003-11-26,376.875
2003-11-27,376.52
2003-11-28,380.24
2003-12-01,384.774
2003-12-02,388.28
2003-12-03,390.755
2003-12-04,382.881
2003-12-05,381.038
2003-12-08,379.781
2003-12-09,379.493
2003-12-10,378.029
2003-12-11,379.125
2003-12-12,385.39
2003-12-15,389.351
2003-12-16,385.163
2003-12-17,387.945
2003-12-18,392.127
2003-12-19,389.578
2003-12-22,388.256
2003-12-23,390.347
2003-12-24,391.447
2003-12-25,391.447
2003-12-26,391.29
2003-12-29,397.77
2003-12-30,399.678
2003-12-31,402.325
2004-01-01,402.325
2004-01-02,412.042
2004-01-05,416.58
2004-01-06,418.65
2004-01-07,418.89
2004-01-08,422.894
2004-01-09,426.16
2004-01-12,416.636
2004-01-13,416.077
2004-01-14,415.101
2004-01-15,411.983
2004-01-16,413.061
2004-01-19,417.426
2004-01-20,422.419
2004-01-21,425.92
2004-01-22,426.666
2004-01-23,424.356
2004-01-26,419.926
2004-01-27,423.284
2004-01-28,424.254
2004-01-29,410.608
2004-01-30,412.894
2004-02-02,417.448
2004-02-03,422.23
2004-02-04,416.57
2004-02-05,418.931
2004-02-06,427.557
2004-02-09,429.095
2004-02-10,431.124
2004-02-11,429.229
2004-02-12,433.705
