Date,EM (EMERGING MARKETS) SMID CAP SMID (Small+Mid Cap)
1994-05-31,395.219
1994-06-30,395.155
1994-07-29,411.28
1994-08-31,466.832
1994-09-30,487.361
1994-10-31,484.937
1994-11-30,466.599
1994-12-30,450.358
1995-01-31,401.57
1995-02-28,411.403
1995-03-31,417.564
1995-04-28,415.974
1995-05-31,440.931
1995-06-30,443.062
1995-07-31,456.422
1995-08-31,443.343
1995-09-29,436.959
1995-10-31,421.924
1995-11-30,407.89
1995-12-29,422.986
1996-01-31,454.788
1996-02-29,453.936
1996-03-29,454.683
1996-04-30,472.708
1996-05-31,458.375
1996-06-28,462.222
1996-07-31,433.643
1996-08-30,440.368
1996-09-30,445.584
1996-10-31,433.0
1996-11-29,434.144
1996-12-31,431.037
1997-01-31,459.895
1997-02-28,487.628
1997-03-31,476.219
1997-04-30,461.115
1997-05-30,460.565
1997-06-30,471.266
1997-07-31,472.27
1997-08-29,416.258
1997-09-30,412.439
1997-10-31,348.597
1997-11-28,315.354
1997-12-31,305.104
1998-01-30,282.14
1998-02-27,315.917
1998-03-31,328.14
1998-04-30,324.434
1998-05-29,289.913
1998-06-30,255.57
1998-07-31,254.503
1998-08-31,194.942
1998-09-30,195.712
1998-10-30,211.858
1998-11-30,231.845
1998-12-31,231.647
1999-01-29,220.551
1999-02-26,220.326
1999-03-31,249.21
1999-04-30,282.219
1999-05-31,281.399
1999-06-30,304.514
1999-07-30,299.32
1999-08-31,297.906
1999-09-30,286.931
1999-10-29,290.098
1999-11-30,314.608
1999-12-31,352.458
2000-01-31,366.26
2000-02-29,363.401
2000-03-31,356.847
2000-04-28,323.323
2000-05-31,301.845
2000-06-30,302.825
2000-07-31,294.024
2000-08-31,296.857
2000-09-29,267.188
2000-10-31,242.099
2000-11-30,226.816
2000-12-29,226.45
2001-01-31,252.139
2001-02-28,239.629
2001-03-30,220.908
2001-04-30,224.965
2001-05-31,229.051
2001-06-29,225.252
2001-07-31,211.712
2001-08-31,215.147
2001-09-28,183.55
2001-10-31,190.718
2001-11-30,211.567
2001-12-31,227.434
2002-01-31,240.152
2002-02-28,243.747
2002-03-29,261.961
2002-04-30,264.243
2002-05-31,258.956
2002-06-28,240.028
2002-07-31,230.744
2002-08-30,231.527
2002-09-30,205.493
2002-10-31,216.146
2002-11-29,231.075
2002-12-31,225.581
2003-01-31,230.959
2003-02-28,225.633
2003-03-31,217.184
2003-04-30,233.697
2003-05-30,253.594
2003-06-30,269.516
2003-07-31,285.67
2003-08-29,301.324
2003-09-30,304.622
2003-10-31,331.263
2003-11-28,340.215
2003-12-31,363.509
2004-01-30,375.057
2004-02-27,395.279
2004-03-31,400.714
2004-04-30,374.301
2004-05-31,361.181
2004-06-30,364.987
2004-07-30,356.518
2004-08-31,370.105
2004-09-30,393.213
2004-10-29,405.179
2004-11-30,445.863
2004-12-31,472.883
2005-01-31,473.0
2005-02-28,511.363
2005-03-31,480.193
2005-04-29,465.627
2005-05-31,476.845
2005-06-30,492.13
2005-07-29,521.456
2005-08-31,519.788
2005-09-30,557.864
2005-10-31,523.205
2005-11-30,571.906
2005-12-30,611.616
2006-01-31,664.161
2006-02-28,669.679
2006-03-31,679.552
2006-04-28,730.376
2006-05-31,659.408
2006-06-30,632.506
2006-07-31,640.379
2006-08-31,659.858
2006-09-29,677.128
2006-10-31,716.9
2006-11-30,775.766
2006-12-29,810.504
2007-01-31,806.849
2007-02-28,823.732
2007-03-30,858.901
2007-04-30,919.991
2007-05-31,1000.0
2007-06-29,1041.644
2007-07-31,1114.236
2007-08-31,1068.829
2007-09-28,1162.378
2007-10-31,1265.592
2007-11-30,1153.939
2007-12-31,1166.909
2008-01-31,1002.811
2008-02-29,1074.558
2008-03-31,1008.941
2008-04-30,1068.709
2008-05-30,1058.341
2008-06-30,928.213
2008-07-31,919.449
2008-08-29,851.391
2008-09-30,683.042
2008-10-31,483.914
2008-11-28,447.262
2008-12-31,502.846
2009-01-30,470.952
2009-02-27,445.623
2009-03-31,512.812
2009-04-30,624.229
2009-05-29,748.401
2009-06-30,747.45
2009-07-31,842.895
2009-08-31,845.812
2009-09-30,916.552
2009-10-30,918.395
2009-11-30,963.078
2009-12-31,1023.635
2010-01-29,975.373
2010-02-26,980.995
2010-03-31,1061.501
2010-04-30,1082.591
2010-05-31,978.326
2010-06-30,992.521
2010-07-30,1072.815
2010-08-31,1071.482
2010-09-30,1201.038
2010-10-29,1242.48
2010-11-30,1209.748
2010-12-31,1275.199
2011-01-31,1232.694
2011-02-28,1188.111
2011-03-31,1255.526
2011-04-29,1310.76
2011-05-31,1278.379
2011-06-30,1255.894
2011-07-29,1270.614
2011-08-31,1144.045
2011-09-30,952.663
2011-10-31,1056.083
2011-11-30,969.099
2011-12-30,959.11
2012-01-31,1066.64
2012-02-29,1155.076
2012-03-30,1117.645
2012-04-30,1094.45
2012-05-31,993.608
2012-06-29,1023.277
2012-07-31,1027.125
2012-08-31,1046.433
2012-09-28,1108.818
2012-10-31,1094.131
2012-11-30,1111.905
2012-12-31,1168.614
2013-01-31,1187.336
2013-02-28,1194.76
2013-03-29,1183.759
2013-04-30,1201.913
2013-05-31,1186.27
2013-06-28,1094.894
2013-07-31,1105.884
2013-08-30,1072.447
2013-09-30,1141.148
2013-10-31,1187.681
2013-11-29,1169.698
2013-12-31,1161.025
2014-01-31,1107.886
2014-02-28,1153.682
2014-03-31,1185.179
2014-04-30,1190.999
2014-05-30,1223.19
2014-06-30,1250.954
2014-07-31,1263.153
2014-08-29,1295.216
2014-09-30,1225.411
2014-10-31,1213.132
2014-11-28,1196.349
2014-12-31,1154.727
2015-01-30,1171.105
2015-02-27,1198.524
2015-03-31,1191.966
2015-04-30,1295.178
2015-05-29,1275.168
2015-06-30,1221.257
2015-07-31,1141.991
2015-08-31,1035.904
2015-09-30,1023.746
2015-10-30,1085.195
2015-11-30,1051.833
2015-12-31,1041.007
2016-01-29,969.279
2016-02-29,963.836
2016-03-31,1073.199
2016-04-29,1087.83
2016-05-31,1045.662
2016-06-30,1075.582
2016-07-29,1131.98
2016-08-31,1145.894
2016-09-30,1156.945
2016-10-31,1146.112
2016-11-30,1084.874
2016-12-30,1080.767
2017-01-31,1135.986
2017-02-28,1187.123
2017-03-31,1219.684
2017-04-28,1240.287
2017-05-31,1261.366
2017-06-30,1267.389
2017-07-31,1322.969
2017-08-31,1348.995
2017-09-29,1345.036
2017-10-31,1378.107
2017-11-30,1392.606
2017-12-29,1458.33
2018-01-31,1549.445
2018-02-28,1482.414
2018-03-30,1472.55
2018-04-30,1471.233
2018-05-31,1440.275
2018-06-29,1353.225
2018-07-31,1369.305
2018-08-31,1341.328
2018-09-28,1309.263
2018-10-31,1182.341
2018-11-30,1247.844
2018-12-31,1232.19
2019-01-31,1311.192
2019-02-28,1315.526
2019-03-29,1324.062
2019-04-30,1334.234
2019-05-31,1266.389
2019-06-28,1327.831
2019-07-31,1311.382
2019-08-30,1241.879
2019-09-30,1261.087
2019-10-31,1310.524
2019-11-29,1301.983
2019-12-31,1389.945
2020-01-31,1334.416
2020-02-28,1228.345
2020-03-31,957.399
2020-04-30,1087.748
2020-05-29,1117.812
2020-06-30,1205.384
2020-07-31,1308.218
2020-08-31,1344.929
2020-09-30,1320.663
2020-10-30,1304.646
2020-11-30,1474.432
2020-12-31,1594.257
2021-01-29,1589.436
2021-02-26,1653.428
2021-03-31,1680.705
2021-04-30,1773.544
2021-05-31,1826.214
2021-06-30,1856.758
2021-07-30,1805.516
2021-08-31,1849.461
2021-09-30,1796.426
