Date,EM (EMERGING MARKETS) SMID CAP SMID (Small+Mid Cap)
1994-05-31,406.096
1994-06-30,405.997
1994-07-29,422.485
1994-08-31,479.468
1994-09-30,500.516
1994-10-31,497.983
1994-11-30,479.118
1994-12-30,462.407
1995-01-31,412.233
1995-02-28,422.307
1995-03-31,428.552
1995-04-28,426.856
1995-05-31,452.338
1995-06-30,454.488
1995-07-31,468.097
1995-08-31,454.629
1995-09-29,448.01
1995-10-31,432.533
1995-11-30,418.124
1995-12-29,433.565
1996-01-31,466.097
1996-02-29,465.215
1996-03-29,465.884
1996-04-30,484.227
1996-05-31,469.396
1996-06-28,473.274
1996-07-31,443.93
1996-08-30,450.767
1996-09-30,456.07
1996-10-31,443.167
1996-11-29,444.311
1996-12-31,441.086
1997-01-31,470.519
1997-02-28,498.886
1997-03-31,487.165
1997-04-30,471.661
1997-05-30,470.934
1997-06-30,481.802
1997-07-31,482.744
1997-08-29,425.453
1997-09-30,421.532
1997-10-31,356.251
1997-11-28,322.251
1997-12-31,311.737
1998-01-30,288.242
1998-02-27,322.742
1998-03-31,335.195
1998-04-30,331.351
1998-05-29,296.027
1998-06-30,260.907
1998-07-31,259.782
1998-08-31,198.966
1998-09-30,199.738
1998-10-30,216.189
1998-11-30,236.556
1998-12-31,236.324
1999-01-29,224.926
1999-02-26,224.677
1999-03-31,254.078
1999-04-30,287.673
1999-05-31,286.74
1999-06-30,310.238
1999-07-30,304.891
1999-08-31,303.425
1999-09-30,292.227
1999-10-29,295.432
1999-11-30,320.365
1999-12-31,358.868
2000-01-31,372.829
2000-02-29,369.902
2000-03-31,363.106
2000-04-28,328.92
2000-05-31,306.983
2000-06-30,307.942
2000-07-31,298.956
2000-08-31,301.791
2000-09-29,271.605
2000-10-31,246.075
2000-11-30,230.527
2000-12-29,230.124
2001-01-31,256.187
2001-02-28,243.469
2001-03-30,224.347
2001-04-30,228.432
2001-05-31,232.478
2001-06-29,228.547
2001-07-31,214.729
2001-08-31,218.171
2001-09-28,186.109
2001-10-31,193.368
2001-11-30,214.486
2001-12-31,230.529
2002-01-31,243.405
2002-02-28,247.021
2002-03-29,265.406
2002-04-30,267.689
2002-05-31,262.263
2002-06-28,243.038
2002-07-31,233.545
2002-08-30,234.291
2002-09-30,207.921
2002-10-31,218.686
2002-11-29,233.787
2002-12-31,228.187
2003-01-31,233.614
2003-02-28,228.147
2003-03-31,219.554
2003-04-30,236.202
2003-05-30,256.278
2003-06-30,272.322
2003-07-31,288.499
2003-08-29,304.228
2003-09-30,307.519
2003-10-31,334.401
2003-11-28,343.424
2003-12-31,366.838
2004-01-30,378.393
2004-02-27,398.694
2004-03-31,404.128
2004-04-30,377.416
2004-05-31,364.132
2004-06-30,367.865
2004-07-30,359.161
2004-08-31,372.696
2004-09-30,395.903
2004-10-29,407.925
2004-11-30,448.874
2004-12-31,476.01
2005-01-31,475.988
2005-02-28,514.443
2005-03-31,482.979
2005-04-29,468.229
2005-05-31,479.34
2005-06-30,494.566
2005-07-29,523.777
2005-08-31,521.823
2005-09-30,559.987
2005-10-31,525.166
2005-11-30,574.027
2005-12-30,613.698
2006-01-31,666.231
2006-02-28,671.668
2006-03-31,681.476
2006-04-28,732.376
2006-05-31,661.071
2006-06-30,633.936
2006-07-31,641.54
2006-08-31,660.708
2006-09-29,677.936
2006-10-31,717.716
2006-11-30,776.625
2006-12-29,811.32
2007-01-31,807.463
2007-02-28,824.159
2007-03-30,859.233
2007-04-30,920.23
2007-05-31,1000.0
2007-06-29,1041.522
2007-07-31,1113.507
2007-08-31,1067.704
2007-09-28,1161.033
2007-10-31,1264.08
2007-11-30,1152.503
2007-12-31,1165.395
2008-01-31,1001.321
2008-02-29,1072.661
2008-03-31,1007.016
2008-04-30,1066.523
2008-05-30,1055.856
2008-06-30,925.944
2008-07-31,916.517
2008-08-29,848.153
2008-09-30,680.314
2008-10-31,481.915
2008-11-28,445.386
2008-12-31,500.685
2009-01-30,468.846
2009-02-27,443.471
2009-03-31,510.235
2009-04-30,620.966
2009-05-29,744.274
2009-06-30,743.176
2009-07-31,837.755
2009-08-31,840.368
2009-09-30,910.549
2009-10-30,912.339
2009-11-30,956.652
2009-12-31,1016.731
2010-01-29,968.696
2010-02-26,974.064
2010-03-31,1053.881
2010-04-30,1074.652
2010-05-31,970.911
2010-06-30,984.873
2010-07-30,1063.889
2010-08-31,1062.237
2010-09-30,1190.587
2010-10-29,1231.63
2010-11-30,1199.138
2010-12-31,1263.896
2011-01-31,1221.646
2011-02-28,1177.201
2011-03-31,1243.83
2011-04-29,1298.4
2011-05-31,1266.04
2011-06-30,1243.566
2011-07-29,1257.112
2011-08-31,1131.18
2011-09-30,941.767
2011-10-31,1043.936
2011-11-30,957.929
2011-12-30,947.998
2012-01-31,1054.241
2012-02-29,1141.29
2012-03-30,1104.173
2012-04-30,1081.037
2012-05-31,981.114
2012-06-29,1010.121
2012-07-31,1013.084
2012-08-31,1031.534
2012-09-28,1092.851
2012-10-31,1078.254
2012-11-30,1095.723
2012-12-31,1151.48
2013-01-31,1169.821
2013-02-28,1176.886
2013-03-29,1165.76
2013-04-30,1183.412
2013-05-31,1167.624
2013-06-28,1077.436
2013-07-31,1087.451
2013-08-30,1054.039
2013-09-30,1121.362
2013-10-31,1166.956
2013-11-29,1149.221
2013-12-31,1140.582
2014-01-31,1088.276
2014-02-28,1132.95
2014-03-31,1163.565
2014-04-30,1169.108
2014-05-30,1200.376
2014-06-30,1227.354
2014-07-31,1238.383
2014-08-29,1269.179
2014-09-30,1200.572
2014-10-31,1188.435
2014-11-28,1171.891
2014-12-31,1130.63
2015-01-30,1146.571
2015-02-27,1173.332
2015-03-31,1166.698
2015-04-30,1267.533
2015-05-29,1247.611
2015-06-30,1194.518
2015-07-31,1116.217
2015-08-31,1012.022
2015-09-30,999.958
2015-10-30,1059.929
2015-11-30,1027.284
2015-12-31,1016.249
2016-01-29,946.154
2016-02-29,940.777
2016-03-31,1047.337
2016-04-29,1061.459
2016-05-31,1020.01
2016-06-30,1048.891
2016-07-29,1103.205
2016-08-31,1116.234
2016-09-30,1126.81
2016-10-31,1116.201
2016-11-30,1056.49
2016-12-30,1051.96
2017-01-31,1105.625
2017-02-28,1155.316
2017-03-31,1186.819
2017-04-28,1206.61
2017-05-31,1226.743
2017-06-30,1232.29
2017-07-31,1285.547
2017-08-31,1310.225
2017-09-29,1306.07
2017-10-31,1338.089
2017-11-30,1352.069
2017-12-29,1415.241
2018-01-31,1503.447
2018-02-28,1438.235
2018-03-30,1428.403
2018-04-30,1426.844
2018-05-31,1396.416
2018-06-29,1311.611
2018-07-31,1325.984
2018-08-31,1298.184
2018-09-28,1266.855
2018-10-31,1143.923
2018-11-30,1207.145
2018-12-31,1191.234
2019-01-31,1267.436
2019-02-28,1271.527
2019-03-29,1279.535
2019-04-30,1289.09
2019-05-31,1223.063
2019-06-28,1281.943
2019-07-31,1264.979
2019-08-30,1197.216
2019-09-30,1215.536
2019-10-31,1263.005
2019-11-29,1254.603
2019-12-31,1338.6
2020-01-31,1284.935
2020-02-28,1182.748
2020-03-31,921.627
2020-04-30,1046.892
2020-05-29,1075.622
2020-06-30,1159.485
2020-07-31,1257.323
2020-08-31,1292.169
2020-09-30,1268.562
2020-10-30,1253.082
2020-11-30,1415.975
2020-12-31,1530.227
2021-01-29,1525.466
2021-02-26,1586.761
2021-03-31,1612.37
2021-04-30,1700.952
2021-05-31,1751.079
2021-06-30,1779.678
2021-07-30,1729.709
2021-08-31,1770.711
2021-09-30,1719.183
2021-10-29,1718.748
2021-11-30,1666.537
2021-12-31,1718.901
2022-01-31,1646.58
2022-02-28,1623.867
2022-03-31,1643.417
2022-04-29,1550.973
2022-05-31,1544.872
2022-06-30,1398.25
2022-07-29,1422.867
2022-08-31,1446.224
2022-09-30,1292.301
2022-10-31,1303.608
2022-11-30,1437.706
2022-12-30,1424.779
2023-01-31,1506.119
2023-02-28,1457.656
2023-03-31,1473.439
2023-04-28,1485.934
2023-05-31,1477.415
2023-06-30,1539.451
2023-07-31,1639.71
2023-08-31,1583.924
2023-09-29,1550.399
2023-10-31,1479.949
2023-11-30,1619.264
2023-12-29,1689.582
2024-01-31,1635.107
2024-02-29,1696.459
2024-03-29,1698.072
2024-04-30,1713.458
2024-05-31,1722.797
2024-06-28,1766.821
2024-07-31,1777.445
2024-08-30,1810.001
2024-09-30,1896.211
2024-10-31,1806.126
2024-11-29,1759.098
2024-12-31,1743.27
2025-01-31,1738.291
2025-02-28,1717.331
2025-03-31,1720.225
2025-04-30,1777.934
2025-05-30,1891.219
2025-06-30,2009.518
2025-07-31,2031.625
2025-08-29,2075.606
2025-09-30,2135.256
