Date,AUSTRIA SMALL GROWTH Small Cap
1994-05-31,780.469
1994-06-30,817.735
1994-07-29,803.006
1994-08-31,812.144
1994-09-30,797.198
1994-10-31,801.39
1994-11-30,768.297
1994-12-30,791.489
1995-01-31,761.587
1995-02-28,788.649
1995-03-31,789.615
1995-04-28,763.376
1995-05-31,776.541
1995-06-30,775.144
1995-07-31,816.568
1995-08-31,772.286
1995-09-29,801.04
1995-10-31,790.718
1995-11-30,751.307
1995-12-29,759.542
1996-01-31,745.723
1996-02-29,740.93
1996-03-29,735.024
1996-04-30,709.58
1996-05-31,707.848
1996-06-28,696.198
1996-07-31,696.86
1996-08-30,701.232
1996-09-30,689.987
1996-10-31,702.935
1996-11-29,683.997
1996-12-31,694.62
1997-01-31,672.473
1997-02-28,654.638
1997-03-31,669.649
1997-04-30,635.173
1997-05-30,656.536
1997-06-30,655.902
1997-07-31,694.524
1997-08-29,658.773
1997-09-30,680.784
1997-10-31,647.271
1997-11-28,621.929
1997-12-31,604.411
1998-01-30,636.731
1998-02-27,695.727
1998-03-31,710.553
1998-04-30,771.077
1998-05-29,801.622
1998-06-30,780.091
1998-07-31,774.735
1998-08-31,717.651
1998-09-30,707.813
1998-10-30,722.262
1998-11-30,690.017
1998-12-31,713.369
1999-01-29,673.114
1999-02-26,672.75
1999-03-31,644.301
1999-04-30,643.481
1999-05-31,596.265
1999-06-30,605.792
1999-07-30,607.412
1999-08-31,585.995
1999-09-30,576.95
1999-10-29,584.891
1999-11-30,535.266
1999-12-31,523.613
2000-01-31,530.391
2000-02-29,496.008
2000-03-31,505.998
2000-04-28,463.013
2000-05-31,460.951
2000-06-30,504.259
2000-07-31,456.377
2000-08-31,429.718
2000-09-29,465.835
2000-10-31,409.135
2000-11-30,378.358
2000-12-29,388.568
2001-01-31,384.689
2001-02-28,394.627
2001-03-30,367.333
2001-04-30,340.099
2001-05-31,327.133
2001-06-29,332.684
2001-07-31,338.781
2001-08-31,344.149
2001-09-28,318.152
2001-10-31,319.389
2001-11-30,321.529
2001-12-31,322.671
2002-01-31,309.895
2002-02-28,307.762
2002-03-29,318.191
2002-04-30,330.939
2002-05-31,342.879
2002-06-28,352.137
2002-07-31,314.591
2002-08-30,310.37
2002-09-30,304.617
2002-10-31,302.575
2002-11-29,307.161
2002-12-31,333.38
2003-01-31,353.243
2003-02-28,352.657
2003-03-31,360.874
2003-04-30,390.492
2003-05-30,428.956
2003-06-30,425.376
2003-07-31,418.432
2003-08-29,411.884
2003-09-30,435.726
2003-10-31,440.16
2003-11-28,461.841
2003-12-31,504.114
2004-01-30,517.206
2004-02-27,526.09
2004-03-31,535.72
2004-04-30,540.578
2004-05-31,549.544
2004-06-30,566.389
2004-07-30,565.363
2004-08-31,572.398
2004-09-30,589.219
2004-10-29,615.727
2004-11-30,680.73
2004-12-31,724.419
2005-01-31,714.269
2005-02-28,767.889
2005-03-31,737.104
2005-04-29,734.301
2005-05-31,742.737
2005-06-30,768.228
2005-07-29,781.417
2005-08-31,755.197
2005-09-30,755.978
2005-10-31,721.151
2005-11-30,738.218
2005-12-30,786.11
2006-01-31,854.21
2006-02-28,863.025
2006-03-31,890.374
2006-04-28,973.17
2006-05-31,905.826
2006-06-30,840.113
2006-07-31,730.387
2006-08-31,724.18
2006-09-29,684.514
2006-10-31,726.017
2006-11-30,766.815
2006-12-29,827.16
2007-01-31,834.436
2007-02-28,857.94
2007-03-30,962.968
2007-04-30,999.262
2007-05-31,1000.0
2007-06-29,969.851
2007-07-31,952.7
2007-08-31,890.557
2007-09-28,881.25
2007-10-31,1010.759
2007-11-30,880.686
2007-12-31,858.6
2008-01-31,761.523
2008-02-29,804.383
2008-03-31,832.38
2008-04-30,854.736
2008-05-30,921.8
2008-06-30,898.518
2008-07-31,854.813
2008-08-29,788.474
2008-09-30,623.043
2008-10-31,413.463
2008-11-28,390.879
2008-12-31,436.139
2009-01-30,459.929
2009-02-27,431.569
2009-03-31,463.165
2009-04-30,482.515
2009-05-29,571.958
2009-06-30,599.927
2009-07-31,613.891
2009-08-31,649.451
2009-09-30,723.051
2009-10-30,729.786
2009-11-30,751.361
2009-12-31,745.928
2010-01-29,730.074
2010-02-26,700.99
2010-03-31,752.389
2010-04-30,757.955
2010-05-31,643.501
2010-06-30,609.682
2010-07-30,698.384
2010-08-31,653.443
2010-09-30,763.299
2010-10-29,808.284
2010-11-30,779.488
2010-12-31,872.32
2011-01-31,845.308
2011-02-28,831.308
2011-03-31,886.144
2011-04-29,931.275
2011-05-31,904.324
2011-06-30,861.26
2011-07-29,821.714
2011-08-31,746.622
2011-09-30,654.492
2011-10-31,705.622
2011-11-30,678.991
2011-12-30,656.183
2012-01-31,711.637
2012-02-29,767.547
2012-03-30,779.087
2012-04-30,806.486
2012-05-31,767.227
2012-06-29,761.571
2012-07-31,762.177
2012-08-31,801.721
2012-09-28,831.475
2012-10-31,831.795
2012-11-30,848.275
2012-12-31,883.681
2013-01-31,933.546
2013-02-28,891.664
2013-03-29,865.115
2013-04-30,873.736
2013-05-31,890.593
2013-06-28,854.711
2013-07-31,891.533
2013-08-30,853.542
2013-09-30,925.378
2013-10-31,937.438
2013-11-29,928.248
2013-12-31,934.34
2014-01-31,956.107
2014-02-28,1043.265
2014-03-31,1035.479
2014-04-30,1034.535
2014-05-30,1010.345
2014-06-30,1016.422
2014-07-31,934.444
2014-08-29,893.195
2014-09-30,818.61
2014-10-31,746.537
2014-11-28,773.836
2014-12-31,775.074
2015-01-30,765.877
2015-02-27,848.163
2015-03-31,825.31
2015-04-30,872.532
2015-05-29,869.239
2015-06-30,866.027
2015-07-31,903.238
2015-08-31,882.959
2015-09-30,840.224
2015-10-30,895.688
2015-11-30,855.806
2015-12-31,910.025
2016-01-29,787.362
2016-02-29,824.714
2016-03-31,896.45
