Date,AUSTRIA SMALL GROWTH Small Cap
1994-05-31,803.011
1994-06-30,840.123
1994-07-29,824.897
1994-08-31,834.284
1994-09-30,818.854
1994-10-31,823.125
1994-11-30,789.09
1994-12-30,812.909
1995-01-31,782.199
1995-02-28,809.992
1995-03-31,810.985
1995-04-28,784.036
1995-05-31,797.066
1995-06-30,794.789
1995-07-31,836.95
1995-08-31,791.563
1995-09-29,821.035
1995-10-31,810.387
1995-11-30,769.935
1995-12-29,778.375
1996-01-31,764.213
1996-02-29,759.302
1996-03-29,753.249
1996-04-30,727.174
1996-05-31,725.316
1996-06-28,712.631
1996-07-31,713.271
1996-08-30,717.746
1996-09-30,706.173
1996-10-31,719.424
1996-11-29,700.042
1996-12-31,710.816
1997-01-31,688.152
1997-02-28,669.901
1997-03-31,685.262
1997-04-30,649.983
1997-05-30,671.328
1997-06-30,670.047
1997-07-31,709.189
1997-08-29,672.65
1997-09-30,694.985
1997-10-31,660.774
1997-11-28,634.903
1997-12-31,616.902
1998-01-30,649.89
1998-02-27,710.105
1998-03-31,725.238
1998-04-30,787.013
1998-05-29,817.472
1998-06-30,794.879
1998-07-31,789.059
1998-08-31,730.86
1998-09-30,720.841
1998-10-30,735.555
1998-11-30,702.718
1998-12-31,726.499
1999-01-29,685.503
1999-02-26,685.133
1999-03-31,656.16
1999-04-30,655.285
1999-05-31,606.684
1999-06-30,616.214
1999-07-30,617.862
1999-08-31,596.077
1999-09-30,586.68
1999-10-29,594.755
1999-11-30,544.293
1999-12-31,532.444
2000-01-31,539.336
2000-02-29,504.373
2000-03-31,514.531
2000-04-28,470.821
2000-05-31,468.725
2000-06-30,512.764
2000-07-31,464.025
2000-08-31,436.918
2000-09-29,473.641
2000-10-31,415.99
2000-11-30,384.698
2000-12-29,395.079
2001-01-31,391.136
2001-02-28,401.24
2001-03-30,373.488
2001-04-30,345.798
2001-05-31,332.372
2001-06-29,337.921
2001-07-31,343.841
2001-08-31,349.29
2001-09-28,322.904
2001-10-31,324.159
2001-11-30,326.331
2001-12-31,327.453
2002-01-31,314.31
2002-02-28,312.147
2002-03-29,322.71
2002-04-30,335.352
2002-05-31,347.323
2002-06-28,356.622
2002-07-31,318.495
2002-08-30,314.222
2002-09-30,308.397
2002-10-31,306.33
2002-11-29,310.973
2002-12-31,337.517
2003-01-31,357.486
2003-02-28,356.893
2003-03-31,365.208
2003-04-30,394.997
2003-05-30,432.962
2003-06-30,428.9
2003-07-31,421.833
2003-08-29,415.232
2003-09-30,439.267
2003-10-31,443.738
2003-11-28,465.594
2003-12-31,508.211
2004-01-30,521.332
2004-02-27,530.287
2004-03-31,539.729
2004-04-30,544.383
2004-05-31,553.109
2004-06-30,569.885
2004-07-30,568.853
2004-08-31,575.931
2004-09-30,592.856
2004-10-29,619.528
2004-11-30,684.932
2004-12-31,728.89
2005-01-31,718.678
2005-02-28,772.628
2005-03-31,741.654
2005-04-29,738.556
2005-05-31,745.137
2005-06-30,770.71
2005-07-29,783.942
2005-08-31,757.637
2005-09-30,758.421
2005-10-31,723.482
2005-11-30,740.603
2005-12-30,788.651
2006-01-31,856.97
2006-02-28,865.813
2006-03-31,893.251
2006-04-28,975.752
2006-05-31,907.935
2006-06-30,842.069
2006-07-31,732.087
2006-08-31,725.866
2006-09-29,686.108
2006-10-31,727.708
2006-11-30,768.601
2006-12-29,829.087
2007-01-31,836.379
2007-02-28,859.938
2007-03-30,965.21
2007-04-30,1000.571
2007-05-31,1000.0
2007-06-29,969.792
2007-07-31,952.131
2007-08-31,890.024
2007-09-28,880.723
2007-10-31,1010.155
2007-11-30,880.159
2007-12-31,858.087
2008-01-31,761.068
2008-02-29,803.902
2008-03-31,831.486
2008-04-30,853.35
2008-05-30,918.137
2008-06-30,894.384
2008-07-31,850.677
2008-08-29,784.659
2008-09-30,620.029
2008-10-31,411.462
2008-11-28,388.988
2008-12-31,434.029
2009-01-30,457.703
2009-02-27,429.481
2009-03-31,459.488
2009-04-30,478.684
2009-05-29,566.196
2009-06-30,593.793
2009-07-31,607.316
2009-08-31,642.495
2009-09-30,715.307
2009-10-30,721.97
2009-11-30,743.314
2009-12-31,737.939
2010-01-29,722.255
2010-02-26,693.483
2010-03-31,743.496
2010-04-30,748.997
2010-05-31,635.112
2010-06-30,601.64
2010-07-30,689.082
2010-08-31,644.739
2010-09-30,753.057
2010-10-29,797.438
2010-11-30,769.029
2010-12-31,860.616
2011-01-31,833.966
2011-02-28,820.154
2011-03-31,872.509
2011-04-29,916.864
2011-05-31,889.028
2011-06-30,846.562
2011-07-29,807.69
2011-08-31,733.698
2011-09-30,643.163
2011-10-31,693.408
2011-11-30,667.238
2011-12-30,644.825
2012-01-31,699.319
2012-02-29,754.261
2012-03-30,762.703
2012-04-30,788.147
2012-05-31,749.314
2012-06-29,743.373
2012-07-31,743.964
2012-08-31,782.296
2012-09-28,811.329
2012-10-31,811.642
2012-11-30,827.723
2012-12-31,862.27
2013-01-31,910.927
2013-02-28,870.06
2013-03-29,843.994
2013-04-30,849.535
2013-05-31,864.657
2013-06-28,829.448
2013-07-31,865.182
2013-08-30,828.314
2013-09-30,897.868
2013-10-31,909.57
2013-11-29,900.653
2013-12-31,906.564
2014-01-31,927.684
2014-02-28,1012.251
2014-03-31,1004.36
2014-04-30,1003.444
2014-05-30,975.588
2014-06-30,981.457
2014-07-31,901.975
2014-08-29,862.159
2014-09-30,790.166
2014-10-31,720.597
2014-11-28,746.948
2014-12-31,748.143
2015-01-30,739.266
2015-02-27,818.693
2015-03-31,796.476
2015-04-30,841.591
2015-05-29,836.019
2015-06-30,832.69
2015-07-31,867.949
2015-08-31,848.462
2015-09-30,807.301
2015-10-30,860.591
2015-11-30,821.756
2015-12-31,873.683
2016-01-29,755.918
2016-02-29,791.778
2016-03-31,860.315
2016-04-29,864.653
2016-05-31,809.403
2016-06-30,689.533
2016-07-29,721.01
2016-08-31,717.796
2016-09-30,779.157
2016-10-31,762.712
2016-11-30,782.376
2016-12-30,810.392
2017-01-31,845.934
2017-02-28,858.785
2017-03-31,879.351
2017-04-28,937.756
2017-05-31,953.887
2017-06-30,918.678
2017-07-31,953.666
2017-08-31,858.384
2017-09-29,932.51
2017-10-31,983.569
2017-11-30,913.045
2017-12-29,967.52
2018-01-31,1057.856
2018-02-28,1003.224
2018-03-30,1002.339
2018-04-30,1009.892
2018-05-31,991.002
2018-06-29,955.52
2018-07-31,994.892
2018-08-31,1059.202
2018-09-28,1002.842
2018-10-31,912.833
2018-11-30,902.013
2018-12-31,793.117
2019-01-31,895.617
2019-02-28,862.728
2019-03-29,833.284
2019-04-30,910.819
2019-05-31,857.275
2019-06-28,923.156
2019-07-31,876.544
2019-08-30,852.98
2019-09-30,873.898
2019-10-31,937.727
2019-11-29,930.967
2019-12-31,994.284
2020-01-31,978.294
2020-02-28,862.536
2020-03-31,564.143
2020-04-30,635.797
2020-05-29,671.408
2020-06-30,676.552
2020-07-31,723.018
2020-08-31,768.804
2020-09-30,745.717
2020-10-30,704.62
2020-11-30,885.266
2020-12-31,1027.72
2021-01-29,1095.527
2021-02-26,1120.793
2021-03-31,1189.917
2021-04-30,1259.22
2021-05-31,1273.08
2021-06-30,1256.351
2021-07-30,1285.307
2021-08-31,1289.584
2021-09-30,1193.419
2021-10-29,1217.502
2021-11-30,1207.442
2021-12-31,1282.907
2022-01-31,1295.482
2022-02-28,1224.772
2022-03-31,1257.322
2022-04-29,1211.873
2022-05-31,1324.909
2022-06-30,1166.037
2022-07-29,1133.878
2022-08-31,1064.812
2022-09-30,795.644
2022-10-31,801.228
2022-11-30,962.852
2022-12-30,907.31
2023-01-31,1020.367
2023-02-28,1022.046
2023-03-31,952.271
2023-04-28,977.786
2023-05-31,943.658
2023-06-30,1037.686
2023-07-31,1093.009
2023-08-31,956.09
2023-09-29,863.769
2023-10-31,820.382
2023-11-30,943.278
2023-12-29,1028.526
2024-01-31,961.066
2024-02-29,954.175
2024-03-29,980.426
2024-04-30,979.132
2024-05-31,1028.908
2024-06-28,1045.622
2024-07-31,1057.797
2024-08-30,1069.84
2024-09-30,940.376
2024-10-31,855.391
2024-11-29,856.806
2024-12-31,863.122
2025-01-31,902.499
2025-02-28,944.119
2025-03-31,851.663
2025-04-30,864.595
2025-05-30,951.029
