Date,AUSTRIA SMALL GROWTH Small Cap
2001-01-01,388.568
2001-01-02,388.985
2001-01-03,378.81
2001-01-04,384.832
2001-01-05,395.459
2001-01-08,391.429
2001-01-09,378.829
2001-01-10,378.081
2001-01-11,383.324
2001-01-12,379.917
2001-01-15,380.373
2001-01-16,378.08
2001-01-17,378.427
2001-01-18,388.475
2001-01-19,384.703
2001-01-22,382.466
2001-01-23,382.984
2001-01-24,374.853
2001-01-25,373.818
2001-01-26,375.068
2001-01-29,374.422
2001-01-30,379.583
2001-01-31,384.689
2001-02-01,394.048
2001-02-02,394.83
2001-02-05,395.697
2001-02-06,391.932
2001-02-07,390.705
2001-02-08,388.519
2001-02-09,385.108
2001-02-12,390.219
2001-02-13,390.333
2001-02-14,389.158
2001-02-15,385.826
2001-02-16,398.464
2001-02-19,402.091
2001-02-20,394.182
2001-02-21,395.928
2001-02-22,390.533
2001-02-23,384.689
2001-02-26,388.316
2001-02-27,395.284
2001-02-28,394.627
2001-03-01,403.445
2001-03-02,405.426
2001-03-05,401.374
2001-03-06,403.22
2001-03-07,405.691
2001-03-08,409.533
2001-03-09,404.203
2001-03-12,398.707
2001-03-13,389.464
2001-03-14,384.023
2001-03-15,380.616
2001-03-16,369.971
2001-03-19,365.14
2001-03-20,364.545
2001-03-21,361.824
2001-03-22,351.903
2001-03-23,361.563
2001-03-26,362.567
2001-03-27,363.13
2001-03-28,358.403
2001-03-29,359.438
2001-03-30,367.333
2001-04-02,360.052
2001-04-03,358.103
2001-04-04,361.904
2001-04-05,361.911
2001-04-06,359.174
2001-04-09,359.11
2001-04-10,349.143
2001-04-11,344.29
2001-04-12,347.888
2001-04-13,347.888
2001-04-16,344.325
2001-04-17,347.145
2001-04-18,340.271
2001-04-19,346.526
2001-04-20,350.334
2001-04-23,347.676
2001-04-24,348.211
2001-04-25,345.175
2001-04-26,346.211
2001-04-27,340.704
2001-04-30,340.099
2001-05-01,341.902
2001-05-02,337.844
2001-05-03,341.959
2001-05-04,342.22
2001-05-07,340.1
2001-05-08,335.142
2001-05-09,328.277
2001-05-10,334.501
2001-05-11,331.44
2001-05-14,334.148
2001-05-15,332.43
2001-05-16,334.85
2001-05-17,333.336
2001-05-18,333.349
2001-05-21,334.322
2001-05-22,329.356
2001-05-23,325.703
2001-05-24,324.619
2001-05-25,327.581
2001-05-28,328.939
2001-05-29,327.267
2001-05-30,329.038
2001-05-31,327.133
2001-06-01,328.527
2001-06-04,328.974
2001-06-05,329.905
2001-06-06,330.772
2001-06-07,334.118
2001-06-08,334.739
2001-06-11,330.066
2001-06-12,332.432
2001-06-13,334.39
2001-06-14,337.844
2001-06-15,338.407
2001-06-18,336.379
2001-06-19,333.828
2001-06-20,330.568
2001-06-21,330.783
2001-06-22,331.432
2001-06-25,335.832
2001-06-26,337.602
2001-06-27,334.825
2001-06-28,331.861
2001-06-29,332.684
2001-07-02,333.18
2001-07-03,331.794
2001-07-04,331.387
2001-07-05,329.32
2001-07-06,331.018
2001-07-09,332.649
2001-07-10,335.587
2001-07-11,336.775
2001-07-12,332.468
2001-07-13,332.307
2001-07-16,333.935
2001-07-17,330.804
2001-07-18,337.988
2001-07-19,338.583
2001-07-20,340.249
2001-07-23,338.157
2001-07-24,341.834
2001-07-25,342.066
2001-07-26,341.312
2001-07-27,341.896
2001-07-30,339.984
2001-07-31,338.781
2001-08-01,340.484
2001-08-02,342.847
2001-08-03,341.357
2001-08-06,340.248
2001-08-07,337.481
2001-08-08,337.659
2001-08-09,341.322
2001-08-10,343.107
2001-08-13,345.064
2001-08-14,344.361
2001-08-15,349.618
2001-08-16,350.393
2001-08-17,352.324
2001-08-20,348.229
2001-08-21,346.57
2001-08-22,349.361
2001-08-23,347.402
2001-08-24,346.392
2001-08-27,345.08
2001-08-28,344.835
2001-08-29,345.941
2001-08-30,343.051
2001-08-31,344.149
2001-09-03,339.123
2001-09-04,333.613
2001-09-05,331.883
2001-09-06,329.296
2001-09-07,333.358
2001-09-10,323.603
2001-09-11,324.02
2001-09-12,319.278
2001-09-13,321.263
2001-09-14,322.451
2001-09-17,319.981
2001-09-18,320.064
2001-09-19,322.596
2001-09-20,319.068
2001-09-21,309.946
2001-09-24,307.856
2001-09-25,313.461
2001-09-26,318.96
2001-09-27,319.054
2001-09-28,318.152
2001-10-01,318.251
2001-10-02,317.297
2001-10-03,321.602
2001-10-04,320.725
2001-10-05,321.158
2001-10-08,320.429
2001-10-09,319.618
2001-10-10,315.064
2001-10-11,313.275
2001-10-12,317.14
2001-10-15,318.571
2001-10-16,323.474
2001-10-17,324.324
2001-10-18,321.321
2001-10-19,313.202
2001-10-22,309.847
2001-10-23,311.365
2001-10-24,312.383
2001-10-25,313.955
2001-10-26,312.675
2001-10-29,321.968
2001-10-30,320.512
2001-10-31,319.389
2001-11-01,321.428
2001-11-02,314.865
2001-11-05,314.697
2001-11-06,316.654
2001-11-07,320.988
2001-11-08,316.338
2001-11-09,316.877
2001-11-12,315.205
2001-11-13,312.849
2001-11-14,313.892
2001-11-15,310.783
2001-11-16,310.796
2001-11-19,308.516
2001-11-20,313.023
2001-11-21,308.183
2001-11-22,309.614
2001-11-23,309.246
2001-11-26,313.957
2001-11-27,316.197
2001-11-28,318.248
2001-11-29,320.143
2001-11-30,321.529
2001-12-03,318.926
2001-12-04,319.932
2001-12-05,320.719
2001-12-06,321.994
2001-12-07,322.78
2001-12-10,321.65
2001-12-11,321.418
2001-12-12,322.847
2001-12-13,324.468
2001-12-14,325.657
2001-12-17,325.189
2001-12-18,323.599
2001-12-19,322.723
2001-12-20,321.148
2001-12-21,319.184
2001-12-24,316.205
2001-12-25,316.205
