Date,UNITED KINGDOM LARGE VALUE Large Cap
1994-05-31,198.71
1994-06-30,201.163
1994-07-29,212.87
1994-08-31,224.589
1994-09-30,217.353
1994-10-31,232.142
1994-11-30,221.973
1994-12-30,222.938
1995-01-31,221.538
1995-02-28,222.016
1995-03-31,239.221
1995-04-28,243.498
1995-05-31,249.41
1995-06-30,246.614
1995-07-31,260.765
1995-08-31,253.579
1995-09-29,261.846
1995-10-31,260.929
1995-11-30,263.92
1995-12-29,273.652
1996-01-31,270.826
1996-02-29,273.619
1996-03-29,273.22
1996-04-30,277.071
1996-05-31,283.487
1996-06-28,280.081
1996-07-31,283.314
1996-08-30,298.39
1996-09-30,305.743
1996-10-31,320.987
1996-11-29,339.196
1996-12-31,355.667
1997-01-31,345.607
1997-02-28,352.322
1997-03-31,359.293
1997-04-30,365.24
1997-05-30,386.351
1997-06-30,393.541
1997-07-31,414.879
1997-08-29,408.485
1997-09-30,442.678
1997-10-31,423.028
1997-11-28,424.431
1997-12-31,434.459
1998-01-30,454.817
1998-02-27,482.008
1998-03-31,511.801
1998-04-30,513.265
1998-05-29,489.685
1998-06-30,498.958
1998-07-31,492.595
1998-08-31,448.202
1998-09-30,450.729
1998-10-30,472.112
1998-11-30,489.67
1998-12-31,494.305
1999-01-29,481.621
1999-02-26,499.411
1999-03-31,522.192
1999-04-30,566.488
1999-05-31,535.545
1999-06-30,535.804
1999-07-30,543.363
1999-08-31,542.554
1999-09-30,531.717
1999-10-29,538.831
1999-11-30,541.734
1999-12-31,569.268
2000-01-31,493.758
2000-02-29,465.89
2000-03-31,519.815
2000-04-28,507.18
2000-05-31,503.731
2000-06-30,509.923
2000-07-31,499.881
2000-08-31,515.162
2000-09-29,504.099
2000-10-31,510.761
2000-11-30,495.273
2000-12-29,528.073
2001-01-31,525.456
2001-02-28,506.624
2001-03-30,488.713
2001-04-30,518.761
2001-05-31,507.671
2001-06-29,492.362
2001-07-31,491.916
2001-08-31,495.377
2001-09-28,459.563
2001-10-31,467.948
2001-11-30,476.095
2001-12-31,487.977
2002-01-31,480.489
2002-02-28,477.464
2002-03-29,508.159
2002-04-30,523.424
2002-05-31,533.126
2002-06-28,503.154
2002-07-31,474.844
2002-08-30,474.662
2002-09-30,407.512
2002-10-31,443.54
2002-11-29,455.779
2002-12-31,438.364
2003-01-31,404.796
2003-02-28,408.816
2003-03-31,404.858
2003-04-30,438.967
2003-05-30,472.793
2003-06-30,468.288
2003-07-31,473.626
2003-08-29,471.219
2003-09-30,485.429
2003-10-31,518.066
2003-11-28,534.048
2003-12-31,582.3
2004-01-30,571.465
2004-02-27,595.823
2004-03-31,586.343
2004-04-30,583.504
2004-05-31,601.01
2004-06-30,602.507
2004-07-30,605.114
2004-08-31,609.707
2004-09-30,635.078
2004-10-29,649.489
2004-11-30,690.885
2004-12-31,712.93
2005-01-31,711.869
2005-02-28,744.084
2005-03-31,719.526
2005-04-29,707.238
2005-05-31,699.243
2005-06-30,715.563
2005-07-29,721.584
2005-08-31,735.76
2005-09-30,735.585
2005-10-31,717.035
2005-11-30,709.145
2005-12-30,725.112
2006-01-31,757.734
2006-02-28,757.946
2006-03-31,774.524
2006-04-28,818.184
2006-05-31,807.691
2006-06-30,813.729
2006-07-31,837.997
2006-08-31,856.787
2006-09-29,860.771
2006-10-31,910.589
2006-11-30,925.605
2006-12-29,944.889
2007-01-31,936.966
2007-02-28,918.387
2007-03-30,936.919
2007-04-30,982.121
2007-05-31,1000.0
2007-06-29,1030.986
2007-07-31,998.815
2007-08-31,983.476
2007-09-28,1009.308
2007-10-31,1076.688
2007-11-30,993.114
2007-12-31,973.652
2008-01-31,868.439
2008-02-29,863.065
2008-03-31,849.276
2008-04-30,915.191
2008-05-30,894.972
2008-06-30,830.288
2008-07-31,796.416
2008-08-29,774.862
2008-09-30,670.036
2008-10-31,554.35
2008-11-28,534.865
2008-12-31,507.407
2009-01-30,446.832
2009-02-27,398.904
2009-03-31,411.476
2009-04-30,483.01
2009-05-29,553.358
2009-06-30,540.199
2009-07-31,589.926
2009-08-31,646.756
2009-09-30,656.836
2009-10-30,658.371
2009-11-30,670.065
2009-12-31,678.31
2010-01-29,644.954
2010-02-26,637.484
2010-03-31,659.202
2010-04-30,659.547
2010-05-31,577.508
2010-06-30,548.291
2010-07-30,619.994
2010-08-31,609.363
2010-09-30,657.622
2010-10-29,686.584
2010-11-30,653.225
2010-12-31,697.737
2011-01-31,730.878
2011-02-28,765.056
2011-03-31,738.303
