Date,UNITED KINGDOM LARGE VALUE Large Cap
1994-05-31,198.394
1994-06-30,200.844
1994-07-29,212.532
1994-08-31,224.232
1994-09-30,217.008
1994-10-31,231.774
1994-11-30,221.621
1994-12-30,222.584
1995-01-31,221.187
1995-02-28,221.664
1995-03-31,238.841
1995-04-28,243.111
1995-05-31,249.014
1995-06-30,246.223
1995-07-31,260.351
1995-08-31,253.177
1995-09-29,261.43
1995-10-31,260.515
1995-11-30,263.501
1995-12-29,273.218
1996-01-31,270.396
1996-02-29,273.185
1996-03-29,272.786
1996-04-30,276.631
1996-05-31,283.038
1996-06-28,279.636
1996-07-31,282.865
1996-08-30,297.917
1996-09-30,305.258
1996-10-31,320.478
1996-11-29,338.658
1996-12-31,355.102
1997-01-31,345.059
1997-02-28,351.763
1997-03-31,358.723
1997-04-30,364.661
1997-05-30,385.738
1997-06-30,392.916
1997-07-31,414.221
1997-08-29,407.837
1997-09-30,441.975
1997-10-31,422.357
1997-11-28,423.758
1997-12-31,433.769
1998-01-30,454.096
1998-02-27,481.244
1998-03-31,510.989
1998-04-30,512.45
1998-05-29,488.908
1998-06-30,498.166
1998-07-31,491.813
1998-08-31,447.491
1998-09-30,450.014
1998-10-30,471.363
1998-11-30,488.893
1998-12-31,493.521
1999-01-29,480.857
1999-02-26,498.618
1999-03-31,521.363
1999-04-30,565.589
1999-05-31,534.695
1999-06-30,534.954
1999-07-30,542.501
1999-08-31,541.693
1999-09-30,530.874
1999-10-29,537.976
1999-11-30,540.874
1999-12-31,568.365
2000-01-31,492.975
2000-02-29,465.151
2000-03-31,518.99
2000-04-28,506.376
2000-05-31,502.932
2000-06-30,509.114
2000-07-31,499.088
2000-08-31,514.345
2000-09-29,503.3
2000-10-31,509.951
2000-11-30,494.488
2000-12-29,527.236
2001-01-31,524.623
2001-02-28,505.82
2001-03-30,487.938
2001-04-30,517.939
2001-05-31,506.866
2001-06-29,491.581
2001-07-31,491.135
2001-08-31,494.592
2001-09-28,458.834
2001-10-31,467.206
2001-11-30,475.34
2001-12-31,487.203
2002-01-31,479.727
2002-02-28,476.707
2002-03-29,507.353
2002-04-30,522.594
2002-05-31,532.28
2002-06-28,502.355
2002-07-31,474.09
2002-08-30,473.909
2002-09-30,406.865
2002-10-31,442.836
2002-11-29,455.056
2002-12-31,437.668
2003-01-31,404.153
2003-02-28,408.168
2003-03-31,404.216
2003-04-30,438.271
2003-05-30,472.043
