Date,UNITED KINGDOM LARGE VALUE Large Cap
2001-01-01,528.073
2001-01-02,527.375
2001-01-03,525.474
2001-01-04,530.139
2001-01-05,532.34
2001-01-08,532.692
2001-01-09,524.36
2001-01-10,521.376
2001-01-11,526.459
2001-01-12,522.01
2001-01-15,524.488
2001-01-16,516.207
2001-01-17,523.846
2001-01-18,524.782
2001-01-19,517.563
2001-01-22,519.875
2001-01-23,524.915
2001-01-24,522.303
2001-01-25,522.241
2001-01-26,525.039
2001-01-29,527.149
2001-01-30,528.433
2001-01-31,525.456
2001-02-01,528.288
2001-02-02,528.525
2001-02-05,534.925
2001-02-06,533.431
2001-02-07,530.254
2001-02-08,522.896
2001-02-09,523.919
2001-02-12,530.466
2001-02-13,528.968
2001-02-14,531.056
2001-02-15,525.176
2001-02-16,520.511
2001-02-19,521.43
2001-02-20,512.1
2001-02-21,513.91
2001-02-22,514.877
2001-02-23,512.953
2001-02-26,504.311
2001-02-27,505.275
2001-02-28,506.624
2001-03-01,513.391
2001-03-02,515.683
2001-03-05,518.625
2001-03-06,518.925
2001-03-07,519.835
2001-03-08,520.808
2001-03-09,514.65
2001-03-12,507.869
2001-03-13,494.5
2001-03-14,485.546
2001-03-15,492.957
2001-03-16,476.325
2001-03-19,474.74
2001-03-20,482.663
2001-03-21,475.263
2001-03-22,456.019
2001-03-23,463.765
2001-03-26,477.531
2001-03-27,492.323
2001-03-28,485.214
2001-03-29,487.199
2001-03-30,488.713
2001-04-02,487.778
2001-04-03,479.269
2001-04-04,487.105
2001-04-05,491.976
2001-04-06,493.772
2001-04-09,504.723
2001-04-10,509.843
2001-04-11,506.057
2001-04-12,506.843
2001-04-13,506.843
2001-04-16,504.714
2001-04-17,504.411
2001-04-18,507.427
2001-04-19,511.788
2001-04-20,514.988
2001-04-23,514.741
2001-04-24,512.82
2001-04-25,513.982
2001-04-26,517.296
2001-04-27,522.287
2001-04-30,518.761
2001-05-01,517.167
2001-05-02,515.129
2001-05-03,503.254
2001-05-04,515.042
2001-05-07,516.027
2001-05-08,514.172
2001-05-09,513.369
2001-05-10,518.908
2001-05-11,512.811
2001-05-14,494.888
2001-05-15,509.093
2001-05-16,515.584
2001-05-17,516.971
2001-05-18,518.69
2001-05-21,521.378
2001-05-22,519.108
2001-05-23,512.821
2001-05-24,510.578
2001-05-25,512.38
2001-05-28,512.29
2001-05-29,510.586
2001-05-30,509.03
2001-05-31,507.671
2001-06-01,508.22
2001-06-04,512.471
2001-06-05,515.132
2001-06-06,507.816
2001-06-07,511.194
2001-06-08,508.503
2001-06-11,498.506
2001-06-12,496.885
2001-06-13,500.75
2001-06-14,500.393
2001-06-15,499.825
2001-06-18,495.79
2001-06-19,496.599
2001-06-20,496.291
2001-06-21,496.37
2001-06-22,497.742
2001-06-25,499.925
2001-06-26,491.49
2001-06-27,495.621
2001-06-28,493.556
2001-06-29,492.362
2001-07-02,501.402
2001-07-03,493.437
2001-07-04,490.987
2001-07-05,487.117
2001-07-06,481.665
2001-07-09,481.554
2001-07-10,481.336
2001-07-11,476.244
2001-07-12,481.066
2001-07-13,483.003
2001-07-16,482.609
2001-07-17,474.804
2001-07-18,476.065
2001-07-19,480.7
2001-07-20,480.185
2001-07-23,480.849
2001-07-24,474.043
2001-07-25,470.905
2001-07-26,471.625
2001-07-27,479.478
2001-07-30,483.221
2001-07-31,491.916
2001-08-01,495.697
2001-08-02,498.24
2001-08-03,495.646
2001-08-06,491.139
2001-08-07,491.924
2001-08-08,488.332
2001-08-09,485.174
2001-08-10,488.141
2001-08-13,489.187
2001-08-14,496.107
2001-08-15,500.679
2001-08-16,497.9
2001-08-17,494.774
2001-08-20,495.799
2001-08-21,501.963
2001-08-22,504.817
2001-08-23,500.306
2001-08-24,507.021
2001-08-27,505.794
2001-08-28,503.832
2001-08-29,503.611
2001-08-30,494.373
2001-08-31,495.377
2001-09-03,492.795
2001-09-04,497.707
2001-09-05,495.545
2001-09-06,486.101
2001-09-07,474.34
2001-09-10,468.904
2001-09-11,449.115
2001-09-12,452.668
2001-09-13,460.77
2001-09-14,444.905
2001-09-17,459.256
2001-09-18,456.326
2001-09-19,443.228
2001-09-20,424.327
2001-09-21,410.996
2001-09-24,429.962
2001-09-25,435.914
2001-09-26,442.373
2001-09-27,446.684
2001-09-28,459.563
2001-10-01,449.707
2001-10-02,451.513
2001-10-03,459.788
2001-10-04,474.839
2001-10-05,477.006
2001-10-08,473.179
2001-10-09,469.38
2001-10-10,477.862
2001-10-11,476.787
2001-10-12,477.57
2001-10-15,468.59
2001-10-16,470.29
2001-10-17,483.57
2001-10-18,471.437
2001-10-19,458.225
2001-10-22,460.008
2001-10-23,471.412
2001-10-24,470.175
2001-10-25,464.766
2001-10-26,476.421
2001-10-29,473.141
2001-10-30,464.941
2001-10-31,467.948
2001-11-01,471.56
2001-11-02,475.959
2001-11-05,482.088
2001-11-06,481.981
2001-11-07,485.8
2001-11-08,487.913
2001-11-09,485.484
2001-11-12,475.134
2001-11-13,483.287
2001-11-14,478.541
2001-11-15,472.248
2001-11-16,477.341
2001-11-19,479.538
2001-11-20,480.038
2001-11-21,480.255
2001-11-22,482.576
2001-11-23,476.476
2001-11-26,477.523
2001-11-27,476.338
2001-11-28,473.045
2001-11-29,475.4
2001-11-30,476.095
2001-12-03,470.042
2001-12-04,471.96
2001-12-05,480.98
2001-12-06,486.432
2001-12-07,479.195
2001-12-10,473.475
2001-12-11,471.433
2001-12-12,471.441
2001-12-13,468.758
2001-12-14,469.77
2001-12-17,479.996
2001-12-18,480.175
2001-12-19,475.68
2001-12-20,470.606
2001-12-21,476.263
2001-12-24,478.945
2001-12-25,478.945
2001-12-26,481.74
2001-12-27,487.903
2001-12-28,489.134
2001-12-31,487.977
2002-01-01,487.977
2002-01-02,486.18
2002-01-03,491.878
2002-01-04,493.034
2002-01-07,489.393
2002-01-08,485.809
2002-01-09,484.108
2002-01-10,484.605
2002-01-11,483.214
2002-01-14,478.173
2002-01-15,481.25
2002-01-16,476.747
2002-01-17,478.552
2002-01-18,474.731
2002-01-21,477.714
2002-01-22,475.887
2002-01-23,480.454
2002-01-24,484.272
2002-01-25,478.372
2002-01-28,484.251
2002-01-29,476.813
2002-01-30,474.862
2002-01-31,480.489
2002-02-01,482.437
2002-02-04,482.244
2002-02-05,476.827
2002-02-06,474.791
2002-02-07,477.722
2002-02-08,478.696
2002-02-11,484.409
2002-02-12,485.653
2002-02-13,489.037
2002-02-14,495.248
2002-02-15,492.713
2002-02-18,489.354
2002-02-19,484.083
2002-02-20,476.194
2002-02-21,479.525
2002-02-22,480.269
2002-02-25,486.263
2002-02-26,488.711
2002-02-27,484.837
2002-02-28,477.464
2002-03-01,485.605
2002-03-04,496.95
2002-03-05,495.194
2002-03-06,498.352
2002-03-07,502.808
2002-03-08,499.699
2002-03-11,499.621
2002-03-12,495.662
2002-03-13,498.804
2002-03-14,500.934
2002-03-15,507.662
2002-03-18,507.512
2002-03-19,510.787
2002-03-20,507.896
2002-03-21,506.111
2002-03-22,505.612
2002-03-25,501.434
2002-03-26,500.949
2002-03-27,501.969
2002-03-28,508.159
2002-03-29,508.159
2002-04-01,513.298
2002-04-02,511.287
2002-04-03,510.499
2002-04-04,507.033
2002-04-05,506.989
2002-04-08,502.695
2002-04-09,504.123
2002-04-10,511.316
2002-04-11,504.457
2002-04-12,506.764
2002-04-15,510.867
2002-04-16,517.246
2002-04-17,518.709
2002-04-18,520.091
2002-04-19,522.446
2002-04-22,522.804
2002-04-23,519.437
2002-04-24,522.499
2002-04-25,522.103
2002-04-26,518.361
2002-04-29,519.561
2002-04-30,523.424
2002-05-01,520.532
2002-05-02,527.27
2002-05-03,539.236
2002-05-06,538.942
2002-05-07,527.944
2002-05-08,531.896
2002-05-09,528.575
2002-05-10,530.462
2002-05-13,535.41
2002-05-14,532.993
2002-05-15,536.214
2002-05-16,536.055
2002-05-17,536.476
2002-05-20,532.725
2002-05-21,530.825
2002-05-22,527.408
2002-05-23,528.677
2002-05-24,534.058
2002-05-27,532.986
2002-05-28,526.881
2002-05-29,527.036
2002-05-30,527.392
2002-05-31,533.126
2002-06-03,532.561
2002-06-04,533.162
2002-06-05,520.074
2002-06-06,518.608
2002-06-07,512.989
2002-06-10,509.936
2002-06-11,514.111
2002-06-12,505.895
2002-06-13,497.821
2002-06-14,482.866
2002-06-17,495.158
2002-06-18,492.932
2002-06-19,487.61
2002-06-20,484.679
2002-06-21,487.322
2002-06-24,482.756
2002-06-25,492.179
2002-06-26,490.013
2002-06-27,487.894
2002-06-28,503.154
2002-07-01,509.456
2002-07-02,495.831
2002-07-03,479.812
2002-07-04,486.018
2002-07-05,500.472
2002-07-08,502.99
2002-07-09,500.136
2002-07-10,490.138
2002-07-11,468.807
2002-07-12,463.428
2002-07-15,439.032
2002-07-16,445.546
2002-07-17,465.427
2002-07-18,477.036
2002-07-19,457.61
2002-07-22,432.476
2002-07-23,425.013
2002-07-24,419.05
2002-07-25,439.835
2002-07-26,444.497
2002-07-29,464.581
2002-07-30,465.418
2002-07-31,474.844
2002-08-01,449.669
2002-08-02,454.965
2002-08-05,446.934
2002-08-06,455.926
2002-08-07,452.35
2002-08-08,464.599
2002-08-09,472.795
2002-08-12,462.485
2002-08-13,470.551
2002-08-14,465.493
2002-08-15,482.162
2002-08-16,483.179
2002-08-19,490.931
2002-08-20,485.582
2002-08-21,487.092
2002-08-22,492.097
2002-08-23,484.179
2002-08-26,485.07
2002-08-27,496.672
2002-08-28,478.262
2002-08-29,471.713
2002-08-30,474.662
2002-09-02,470.838
2002-09-03,454.369
2002-09-04,450.282
2002-09-05,448.557
2002-09-06,458.443
2002-09-09,452.72
2002-09-10,464.29
2002-09-11,464.611
2002-09-12,453.464
2002-09-13,445.01
2002-09-16,446.032
2002-09-17,439.863
2002-09-18,424.019
2002-09-19,420.34
2002-09-20,423.481
2002-09-23,412.255
2002-09-24,403.978
2002-09-25,404.99
2002-09-26,422.51
2002-09-27,426.026
2002-09-30,407.512
2002-10-01,418.598
2002-10-02,427.333
2002-10-03,421.108
2002-10-04,413.126
2002-10-07,413.362
2002-10-08,404.559
2002-10-09,407.429
2002-10-10,413.317
2002-10-11,433.149
2002-10-14,428.57
2002-10-15,452.007
2002-10-16,446.294
2002-10-17,458.896
2002-10-18,453.64
2002-10-21,453.598
2002-10-22,448.265
2002-10-23,436.021
2002-10-24,445.222
2002-10-25,441.005
2002-10-28,444.35
2002-10-29,426.388
2002-10-30,434.522
2002-10-31,443.54
2002-11-01,441.851
2002-11-04,453.537
2002-11-05,458.805
2002-11-06,450.331
2002-11-07,451.257
2002-11-08,450.231
2002-11-11,448.481
2002-11-12,450.706
2002-11-13,445.02
2002-11-14,444.271
2002-11-15,449.787
2002-11-18,455.56
2002-11-19,456.326
2002-11-20,451.717
2002-11-21,462.292
2002-11-22,460.821
2002-11-25,449.596
2002-11-26,442.372
2002-11-27,447.426
2002-11-28,456.295
2002-11-29,455.779
2002-12-02,454.225
2002-12-03,449.081
2002-12-04,446.303
2002-12-05,442.941
2002-12-06,442.344
2002-12-09,432.836
2002-12-10,430.276
2002-12-11,435.071
2002-12-12,429.486
2002-12-13,425.517
2002-12-16,439.368
2002-12-17,434.588
2002-12-18,426.136
2002-12-19,426.233
2002-12-20,432.561
2002-12-23,435.999
2002-12-24,437.964
2002-12-25,437.964
2002-12-26,437.882
2002-12-27,426.531
2002-12-30,433.835
2002-12-31,438.364
2003-01-01,438.364
2003-01-02,444.098
2003-01-03,445.75
2003-01-06,449.712
2003-01-07,442.25
2003-01-08,436.884
2003-01-09,440.282
2003-01-10,446.35
2003-01-13,443.481
