Date,KOKUSAI INDEX (WORLD ex JP) IMI GROWTH IMI (Large+Mid+Small Cap)
1994-05-31,277.36
1994-06-30,269.809
1994-07-29,279.581
1994-08-31,292.006
1994-09-30,286.5
1994-10-31,293.207
1994-11-30,281.599
1994-12-30,284.739
1995-01-31,284.592
1995-02-28,294.126
1995-03-31,304.213
1995-04-28,311.657
1995-05-31,320.252
1995-06-30,331.11
1995-07-31,347.151
1995-08-31,344.043
1995-09-29,356.278
1995-10-31,353.535
1995-11-30,361.658
1995-12-29,366.372
1996-01-31,374.55
1996-02-29,383.687
1996-03-29,388.217
1996-04-30,399.299
1996-05-31,409.865
1996-06-28,408.204
1996-07-31,387.399
1996-08-30,402.035
1996-09-30,420.24
1996-10-31,423.923
1996-11-29,448.547
1996-12-31,445.284
1997-01-31,462.69
1997-02-28,459.343
1997-03-31,449.074
1997-04-30,462.809
1997-05-30,493.262
1997-06-30,517.08
1997-07-31,550.337
1997-08-29,522.113
1997-09-30,556.544
1997-10-31,526.985
1997-11-28,538.115
1997-12-31,545.866
1998-01-30,561.24
1998-02-27,608.677
1998-03-31,640.44
1998-04-30,651.179
1998-05-29,644.019
1998-06-30,667.907
1998-07-31,666.879
1998-08-31,567.216
1998-09-30,583.84
1998-10-30,631.731
1998-11-30,675.695
1998-12-31,731.298
1999-01-29,766.771
1999-02-26,733.759
1999-03-31,760.625
1999-04-30,770.83
1999-05-31,747.207
1999-06-30,789.578
1999-07-30,777.923
1999-08-31,789.279
1999-09-30,784.755
1999-10-29,832.873
1999-11-30,887.356
1999-12-31,1013.689
2000-01-31,973.313
2000-02-29,1068.815
2000-03-31,1085.916
2000-04-28,998.471
2000-05-31,940.04
2000-06-30,1019.561
2000-07-31,984.475
2000-08-31,1036.761
2000-09-29,944.851
2000-10-31,892.886
2000-11-30,774.618
2000-12-29,783.211
2001-01-31,814.655
2001-02-28,696.097
2001-03-30,621.828
2001-04-30,690.195
2001-05-31,670.929
2001-06-29,651.385
2001-07-31,634.558
2001-08-31,589.944
2001-09-28,523.701
2001-10-31,552.861
2001-11-30,599.581
2001-12-31,608.325
2002-01-31,586.093
2002-02-28,566.274
2002-03-29,590.385
2002-04-30,557.196
2002-05-31,546.511
2002-06-28,510.311
2002-07-31,465.696
2002-08-30,465.744
2002-09-30,417.47
2002-10-31,455.419
2002-11-29,480.679
2002-12-31,452.842
2003-01-31,440.409
2003-02-28,433.892
2003-03-31,438.686
2003-04-30,478.084
2003-05-30,506.77
2003-06-30,512.875
2003-07-31,525.978
2003-08-29,537.391
2003-09-30,537.949
2003-10-31,573.774
2003-11-28,586.753
2003-12-31,610.606
2004-01-30,625.801
2004-02-27,636.99
2004-03-31,624.477
2004-04-30,611.641
2004-05-31,622.244
2004-06-30,630.385
2004-07-30,600.877
2004-08-31,597.798
2004-09-30,614.572
2004-10-29,629.83
2004-11-30,663.152
2004-12-31,690.259
2005-01-31,672.738
2005-02-28,690.138
2005-03-31,677.012
2005-04-29,660.132
2005-05-31,682.428
2005-06-30,689.019
2005-07-29,721.237
2005-08-31,723.434
2005-09-30,734.835
2005-10-31,716.744
2005-11-30,741.22
2005-12-30,750.421
2006-01-31,788.46
2006-02-28,782.505
2006-03-31,804.141
2006-04-28,823.762
2006-05-31,793.968
2006-06-30,792.568
2006-07-31,784.79
2006-08-31,808.599
2006-09-29,819.504
2006-10-31,852.519
2006-11-30,878.485
2006-12-29,889.053
2007-01-31,905.21
2007-02-28,898.588
2007-03-30,921.309
2007-04-30,967.836
2007-05-31,1000.0
2007-06-29,996.13
2007-07-31,982.665
2007-08-31,987.039
2007-09-28,1043.279
2007-10-31,1091.774
2007-11-30,1050.218
2007-12-31,1045.018
2008-01-31,952.001
2008-02-29,962.298
2008-03-31,952.019
2008-04-30,1003.265
2008-05-30,1039.005
2008-06-30,973.12
2008-07-31,943.846
2008-08-29,931.614
2008-09-30,799.651
2008-10-31,638.038
2008-11-28,584.296
2008-12-31,602.82
2009-01-30,567.144
2009-02-27,524.292
2009-03-31,565.379
2009-04-30,622.368
2009-05-29,675.288
2009-06-30,675.988
2009-07-31,731.912
2009-08-31,748.407
2009-09-30,788.612
2009-10-30,781.321
2009-11-30,818.259
2009-12-31,842.891
2010-01-29,799.61
2010-02-26,817.208
2010-03-31,871.026
2010-04-30,877.42
2010-05-31,793.561
2010-06-30,765.84
2010-07-30,828.0
2010-08-31,797.566
2010-09-30,887.512
2010-10-29,927.828
2010-11-30,918.835
2010-12-31,984.034
2011-01-31,995.1
2011-02-28,1027.501
2011-03-31,1034.541
2011-04-29,1083.415
2011-05-31,1066.076
2011-06-30,1045.715
2011-07-29,1032.288
2011-08-31,962.116
2011-09-30,860.796
2011-10-31,968.301
2011-11-30,950.135
2011-12-30,937.772
2012-01-31,997.885
2012-02-29,1050.266
2012-03-30,1065.55
2012-04-30,1062.553
2012-05-31,970.705
2012-06-29,1008.043
2012-07-31,1024.699
2012-08-31,1057.301
2012-09-28,1085.024
2012-10-31,1069.357
2012-11-30,1090.431
2012-12-31,1101.743
2013-01-31,1152.462
2013-02-28,1156.987
2013-03-29,1185.402
2013-04-30,1203.043
2013-05-31,1214.555
2013-06-28,1178.865
2013-07-31,1250.253
2013-08-30,1231.564
2013-09-30,1297.356
2013-10-31,1343.942
2013-11-29,1372.433
2013-12-31,1407.398
2014-01-31,1359.089
2014-02-28,1441.426
2014-03-31,1427.07
2014-04-30,1431.677
2014-05-30,1465.468
2014-06-30,1492.035
2014-07-31,1458.294
2014-08-29,1505.833
2014-09-30,1458.993
2014-10-31,1479.872
2014-11-28,1521.167
2014-12-31,1500.328
2015-01-30,1481.811
2015-02-27,1579.419
2015-03-31,1562.738
2015-04-30,1586.867
2015-05-29,1603.628
2015-06-30,1576.105
2015-07-31,1618.268
2015-08-31,1509.807
2015-09-30,1457.551
2015-10-30,1568.454
2015-11-30,1569.792
2015-12-31,1541.645
2016-01-29,1441.924
2016-02-29,1434.527
2016-03-31,1536.63
2016-04-29,1544.671
2016-05-31,1564.759
2016-06-30,1545.422
2016-07-29,1620.114
2016-08-31,1613.337
2016-09-30,1623.857
2016-10-31,1564.983
2016-11-30,1583.108
2016-12-30,1606.052
2017-01-31,1660.906
2017-02-28,1715.484
2017-03-31,1745.598
2017-04-28,1790.49
2017-05-31,1843.32
2017-06-30,1836.8
2017-07-31,1882.988
2017-08-31,1903.368
2017-09-29,1939.268
2017-10-31,1986.845
2017-11-30,2028.78
2017-12-29,2058.086
2018-01-31,2185.041
2018-02-28,2109.321
2018-03-30,2069.471
2018-04-30,2092.677
2018-05-31,2153.605
2018-06-29,2160.878
2018-07-31,2219.373
2018-08-31,2292.475
2018-09-28,2287.265
2018-10-31,2072.669
2018-11-30,2083.722
2018-12-31,1925.209
2019-01-31,2098.558
2019-02-28,2178.868
2019-03-29,2226.764
2019-04-30,2322.922
2019-05-31,2196.15
2019-06-28,2354.473
2019-07-31,2381.551
2019-08-30,2350.427
2019-09-30,2355.102
2019-10-31,2420.718
2019-11-29,2515.344
2019-12-31,2592.361
2020-01-31,2631.498
2020-02-28,2442.586
2020-03-31,2161.48
2020-04-30,2456.51
2020-05-29,2623.83
2020-06-30,2745.746
2020-07-31,2947.106
2020-08-31,3193.736
2020-09-30,3067.518
2020-10-30,2972.854
2020-11-30,3298.227
2020-12-31,3479.472
2021-01-29,3465.831
2021-02-26,3500.991
2021-03-31,3529.509
2021-04-30,3765.53
2021-05-31,3756.815
2021-06-30,3923.125
2021-07-30,4032.446
2021-08-31,4160.213
2021-09-30,3930.663
2021-10-29,4209.993
2021-11-30,4158.579
2021-12-31,4248.116
2022-01-31,3847.75
2022-02-28,3723.518
2022-03-31,3843.897
2022-04-29,3395.497
2022-05-31,3311.342
2022-06-30,3027.681
2022-07-29,3381.381
2022-08-31,3205.797
2022-09-30,2881.415
2022-10-31,3025.839
2022-11-30,3218.043
2022-12-30,3020.714
2023-01-31,3320.261
2023-02-28,3265.186
2023-03-31,3464.347
2023-04-28,3518.886
2023-05-31,3587.631
2023-06-30,3818.844
2023-07-31,3938.199
2023-08-31,3855.818
2023-09-29,3636.265
2023-10-31,3534.571
2023-11-30,3929.689
2023-12-29,4122.927
2024-01-31,4185.517
2024-02-29,4443.294
2024-03-29,4532.22
2024-04-30,4351.26
2024-05-31,4611.307
2024-06-28,4817.499
2024-07-31,4782.959
2024-08-30,4892.552
2024-09-30,4994.501
2024-10-31,4908.251
2024-11-29,5196.144
2024-12-31,5185.844
2025-01-31,5334.193
2025-02-28,5175.06
2025-03-31,4781.342
2025-04-30,4919.519
2025-05-30,5350.874
2025-06-30,5618.056
2025-07-31,5749.682
2025-08-29,5852.733
