Date,KOKUSAI INDEX (WORLD ex JP) IMI GROWTH IMI (Large+Mid+Small Cap)
2001-01-01,796.769
2001-01-02,766.439
2001-01-03,799.838
2001-01-04,800.422
2001-01-05,779.864
2001-01-08,772.617
2001-01-09,772.787
2001-01-10,781.348
2001-01-11,801.808
2001-01-12,804.674
2001-01-15,803.09
2001-01-16,800.186
2001-01-17,811.043
2001-01-18,826.278
2001-01-19,825.097
2001-01-22,822.468
2001-01-23,832.922
2001-01-24,833.919
2001-01-25,823.662
2001-01-26,822.868
2001-01-29,827.923
2001-01-30,831.624
2001-01-31,828.725
2001-02-01,829.388
2001-02-02,809.155
2001-02-05,807.915
2001-02-06,808.051
2001-02-07,796.505
2001-02-08,786.225
2001-02-09,770.44
2001-02-12,779.865
2001-02-13,770.457
2001-02-14,768.075
2001-02-15,777.05
2001-02-16,755.037
2001-02-19,754.426
2001-02-20,736.049
2001-02-21,724.165
2001-02-22,718.024
2001-02-23,712.083
2001-02-26,725.158
2001-02-27,717.705
2001-02-28,708.047
2001-03-01,708.11
2001-03-02,701.379
2001-03-05,706.8
2001-03-06,721.627
2001-03-07,722.147
2001-03-08,716.66
2001-03-09,696.181
2001-03-12,663.699
2001-03-13,668.396
2001-03-14,653.955
2001-03-15,654.905
2001-03-16,636.334
2001-03-19,644.186
2001-03-20,637.453
2001-03-21,624.328
2001-03-22,614.608
2001-03-23,632.572
2001-03-26,643.289
2001-03-27,657.446
2001-03-28,635.608
2001-03-29,627.657
2001-03-30,632.343
2001-04-02,621.794
2001-04-03,596.067
2001-04-04,597.799
2001-04-05,626.536
2001-04-06,617.776
2001-04-09,623.181
2001-04-10,641.162
2001-04-11,644.93
2001-04-12,656.724
2001-04-13,656.717
2001-04-16,649.576
2001-04-17,652.145
2001-04-18,683.131
2001-04-19,700.73
2001-04-20,698.921
2001-04-23,681.327
2001-04-24,673.71
2001-04-25,682.392
2001-04-26,686.747
2001-04-27,695.641
2001-04-30,701.698
2001-05-01,710.23
2001-05-02,714.936
2001-05-03,700.085
2001-05-04,708.594
2001-05-07,707.098
2001-05-08,707.521
2001-05-09,700.535
2001-05-10,702.966
2001-05-11,695.296
2001-05-14,688.819
2001-05-15,691.459
2001-05-16,706.411
2001-05-17,713.766
2001-05-18,715.527
2001-05-21,730.222
2001-05-22,729.844
2001-05-23,714.851
2001-05-24,716.735
2001-05-25,708.796
2001-05-28,709.978
2001-05-29,696.632
2001-05-30,681.012
2001-05-31,681.906
2001-06-01,684.88
2001-06-04,688.01
2001-06-05,700.144
2001-06-06,694.761
2001-06-07,700.323
2001-06-08,693.661
2001-06-11,683.488
2001-06-12,679.829
2001-06-13,675.987
2001-06-14,665.154
2001-06-15,660.85
2001-06-18,654.989
2001-06-19,655.065
2001-06-20,658.397
2001-06-21,662.81
2001-06-22,657.88
2001-06-25,657.266
2001-06-26,653.599
2001-06-27,652.152
2001-06-28,659.093
2001-06-29,661.978
2001-07-02,667.346
2001-07-03,664.117
2001-07-04,661.659
2001-07-05,648.459
2001-07-06,633.304
2001-07-09,637.101
2001-07-10,628.987
2001-07-11,625.385
2001-07-12,639.595
2001-07-13,643.071
2001-07-16,635.432
2001-07-17,637.571
2001-07-18,634.945
2001-07-19,641.237
2001-07-20,639.259
2001-07-23,630.972
2001-07-24,623.469
2001-07-25,627.206
2001-07-26,633.586
2001-07-27,638.824
2001-07-30,640.459
2001-07-31,644.804
2001-08-01,649.982
2001-08-02,653.324
2001-08-03,649.471
2001-08-06,642.547
2001-08-07,641.741
2001-08-08,629.821
2001-08-09,627.856
2001-08-10,627.993
2001-08-13,631.001
2001-08-14,630.434
2001-08-15,627.479
2001-08-16,625.797
2001-08-17,615.193
2001-08-20,615.98
2001-08-21,611.485
2001-08-22,616.077
2001-08-23,613.24
2001-08-24,627.323
2001-08-27,626.103
2001-08-28,615.853
2001-08-29,610.836
2001-08-30,597.473
2001-08-31,599.37
2001-09-03,596.598
2001-09-04,592.933
2001-09-05,587.082
2001-09-06,572.936
2001-09-07,563.678
2001-09-10,562.943
2001-09-11,552.66
2001-09-12,554.611
2001-09-13,556.5
2001-09-14,549.468
2001-09-17,530.71
2001-09-18,524.899
2001-09-19,517.99
2001-09-20,500.995
2001-09-21,488.897
2001-09-24,511.776
2001-09-25,518.081
2001-09-26,516.182
2001-09-27,520.303
2001-09-28,531.986
2001-10-01,527.905
2001-10-02,533.031
2001-10-03,545.5
2001-10-04,550.786
2001-10-05,552.96
2001-10-08,550.684
2001-10-09,547.608
2001-10-10,560.061
2001-10-11,571.979
2001-10-12,570.842
2001-10-15,567.644
2001-10-16,572.797
2001-10-17,566.381
2001-10-18,560.767
2001-10-19,560.144
2001-10-22,568.516
2001-10-23,571.217
2001-10-24,574.641
2001-10-25,578.366
2001-10-26,582.224
2001-10-29,569.394
2001-10-30,558.592
2001-10-31,561.588
2001-11-01,572.899
2001-11-02,573.865
2001-11-05,583.786
2001-11-06,591.112
2001-11-07,592.279
2001-11-08,594.988
2001-11-09,593.299
2001-11-12,590.249
2001-11-13,602.411
2001-11-14,605.913
2001-11-15,607.486
2001-11-16,608.145
2001-11-19,614.922
2001-11-20,606.834
2001-11-21,603.225
2001-11-22,605.891
2001-11-23,608.989
2001-11-26,615.103
2001-11-27,611.675
2001-11-28,602.109
2001-11-29,606.425
2001-11-30,608.998
2001-12-03,602.655
2001-12-04,613.065
2001-12-05,630.413
2001-12-06,631.141
2001-12-07,625.486
2001-12-10,614.4
2001-12-11,615.143
2001-12-12,615.372
2001-12-13,604.001
2001-12-14,605.006
2001-12-17,614.641
2001-12-18,617.142
2001-12-19,614.595
2001-12-20,607.141
2001-12-21,611.373
2001-12-24,609.338
2001-12-25,609.335
2001-12-26,611.807
2001-12-27,618.996
2001-12-28,621.157
2001-12-31,617.813
2002-01-01,617.813
2002-01-02,620.819
2002-01-03,629.237
2002-01-04,630.706
2002-01-07,625.029
2002-01-08,623.13
2002-01-09,621.187
2002-01-10,619.955
2002-01-11,616.712
2002-01-14,609.37
2002-01-15,611.765
2002-01-16,600.492
2002-01-17,606.651
2002-01-18,600.532
2002-01-21,599.036
2002-01-22,594.846
2002-01-23,599.302
2002-01-24,602.663
2002-01-25,598.62
2002-01-28,598.625
2002-01-29,586.616
2002-01-30,588.108
2002-01-31,595.192
2002-02-01,592.449
2002-02-04,581.098
2002-02-05,576.892
2002-02-06,572.548
2002-02-07,571.128
2002-02-08,578.089
2002-02-11,587.185
2002-02-12,584.652
2002-02-13,588.935
2002-02-14,588.298
2002-02-15,581.746
2002-02-18,580.143
2002-02-19,569.234
2002-02-20,572.541
2002-02-21,566.113
2002-02-22,566.656
2002-02-25,574.477
2002-02-26,575.424
2002-02-27,577.307
2002-02-28,574.982
2002-03-01,586.172
2002-03-04,599.554
2002-03-05,597.466
2002-03-06,604.067
2002-03-07,605.406
2002-03-08,610.662
2002-03-11,609.593
2002-03-12,604.049
2002-03-13,599.96
2002-03-14,601.474
2002-03-15,607.059
2002-03-18,609.196
2002-03-19,610.37
2002-03-20,601.809
2002-03-21,602.837
2002-03-22,601.443
2002-03-25,592.838
2002-03-26,594.506
2002-03-27,595.516
2002-03-28,599.336
2002-03-29,599.334
2002-04-01,601.731
2002-04-02,594.433
2002-04-03,589.683
2002-04-04,588.875
2002-04-05,586.521
2002-04-08,583.448
2002-04-09,580.397
2002-04-10,586.274
2002-04-11,574.044
2002-04-12,578.118
2002-04-15,577.276
2002-04-16,589.856
2002-04-17,590.347
2002-04-18,588.61
2002-04-19,588.218
2002-04-22,579.836
2002-04-23,576.228
2002-04-24,573.357
2002-04-25,572.389
2002-04-26,564.55
2002-04-29,560.99
2002-04-30,565.493
2002-05-01,568.627
2002-05-02,563.894
2002-05-03,558.326
2002-05-06,551.61
2002-05-07,547.377
2002-05-08,568.315
2002-05-09,560.598
2002-05-10,551.984
2002-05-13,559.92
2002-05-14,570.518
2002-05-15,572.062
2002-05-16,573.534
2002-05-17,579.316
2002-05-20,572.944
2002-05-21,565.394
2002-05-22,565.218
2002-05-23,567.764
2002-05-24,562.809
2002-05-27,562.307
2002-05-28,559.987
2002-05-29,556.39
2002-05-30,554.35
2002-05-31,554.45
2002-06-03,544.199
2002-06-04,542.516
2002-06-05,544.606
2002-06-06,538.32
2002-06-07,534.492
2002-06-10,536.217
2002-06-11,530.551
2002-06-12,529.14
2002-06-13,523.329
2002-06-14,519.68
2002-06-17,534.419
2002-06-18,533.383
2002-06-19,525.784
2002-06-20,518.263
2002-06-21,511.332
2002-06-24,510.898
2002-06-25,506.28
2002-06-26,506.454
2002-06-27,514.145
2002-06-28,517.614
2002-07-01,508.322
2002-07-02,494.744
2002-07-03,493.345
2002-07-04,496.587
2002-07-05,514.893
2002-07-08,510.729
2002-07-09,501.535
2002-07-10,485.395
2002-07-11,483.522
2002-07-12,483.779
2002-07-15,478.365
2002-07-16,474.134
2002-07-17,480.665
2002-07-18,473.847
2002-07-19,456.972
2002-07-22,440.852
2002-07-23,428.791
2002-07-24,443.033
2002-07-25,444.077
2002-07-26,447.936
2002-07-29,470.629
2002-07-30,472.594
2002-07-31,472.321
2002-08-01,458.23
2002-08-02,451.35
2002-08-05,436.243
2002-08-06,447.522
2002-08-07,453.102
2002-08-08,467.164
2002-08-09,469.741
2002-08-12,465.983
2002-08-13,460.597
2002-08-14,471.563
2002-08-15,479.462
2002-08-16,482.118
