Date,KOKUSAI INDEX (WORLD ex JP) IMI GROWTH IMI (Large+Mid+Small Cap)
1994-05-31,284.341
1994-06-30,276.513
1994-07-29,286.475
1994-08-31,299.198
1994-09-30,293.543
1994-10-31,300.398
1994-11-30,288.479
1994-12-30,291.686
1995-01-31,291.526
1995-02-28,301.283
1995-03-31,311.593
1995-04-28,319.177
1995-05-31,327.839
1995-06-30,338.831
1995-07-31,355.197
1995-08-31,352.006
1995-09-29,364.506
1995-10-31,361.681
1995-11-30,369.965
1995-12-29,374.771
1996-01-31,383.127
1996-02-29,392.462
1996-03-29,397.075
1996-04-30,408.359
1996-05-31,419.072
1996-06-28,417.227
1996-07-31,395.916
1996-08-30,410.864
1996-09-30,429.448
1996-10-31,433.184
1996-11-29,458.325
1996-12-31,454.968
1997-01-31,472.743
1997-02-28,469.301
1997-03-31,458.783
1997-04-30,472.716
1997-05-30,503.717
1997-06-30,527.89
1997-07-31,561.779
1997-08-29,532.956
1997-09-30,568.071
1997-10-31,537.877
1997-11-28,549.229
1997-12-31,557.117
1998-01-30,572.796
1998-02-27,621.183
1998-03-31,653.551
1998-04-30,664.39
1998-05-29,656.976
1998-06-30,681.161
1998-07-31,680.058
1998-08-31,578.421
1998-09-30,595.337
1998-10-30,644.158
1998-11-30,688.98
1998-12-31,745.658
1999-01-29,781.789
1999-02-26,748.073
1999-03-31,775.325
1999-04-30,785.632
1999-05-31,761.361
1999-06-30,804.377
1999-07-30,792.393
1999-08-31,803.906
1999-09-30,799.194
1999-10-29,848.16
1999-11-30,903.575
1999-12-31,1032.169
2000-01-31,991.022
2000-02-29,1088.207
2000-03-31,1105.513
2000-04-28,1016.362
2000-05-31,956.717
2000-06-30,1037.568
2000-07-31,1001.789
2000-08-31,1054.936
2000-09-29,961.354
2000-10-31,908.457
2000-11-30,788.08
2000-12-29,796.767
2001-01-31,828.725
2001-02-28,708.047
2001-03-30,632.343
2001-04-30,701.698
2001-05-31,681.906
2001-06-29,661.978
2001-07-31,644.804
2001-08-31,599.37
2001-09-28,531.986
2001-10-31,561.588
2001-11-30,608.998
2001-12-31,617.813
2002-01-31,595.192
2002-02-28,574.982
2002-03-29,599.334
2002-04-30,565.493
2002-05-31,554.45
2002-06-28,517.614
2002-07-31,472.321
2002-08-30,472.275
2002-09-30,423.232
2002-10-31,461.649
2002-11-29,487.153
2002-12-31,458.875
2003-01-31,446.2
2003-02-28,439.516
2003-03-31,444.202
2003-04-30,483.875
2003-05-30,512.679
2003-06-30,518.757
2003-07-31,531.944
2003-08-29,543.379
2003-09-30,543.873
2003-10-31,579.988
2003-11-28,592.99
2003-12-31,617.015
2004-01-30,632.32
2004-02-27,643.473
2004-03-31,630.675
2004-04-30,617.456
2004-05-31,627.847
2004-06-30,635.963
2004-07-30,606.136
2004-08-31,602.852
2004-09-30,619.687
2004-10-29,635.003
2004-11-30,668.427
2004-12-31,695.645
2005-01-31,677.917
2005-02-28,695.282
2005-03-31,681.84
2005-04-29,664.468
2005-05-31,686.567
2005-06-30,693.05
2005-07-29,725.393
2005-08-31,727.397
2005-09-30,738.751
2005-10-31,720.49
2005-11-30,744.85
2005-12-30,753.991
2006-01-31,792.136
2006-02-28,785.974
2006-03-31,807.427
2006-04-28,826.823
2006-05-31,796.453
2006-06-30,794.895
2006-07-31,786.976
2006-08-31,810.669
2006-09-29,821.444
2006-10-31,854.439
2006-11-30,880.254
2006-12-29,890.702
2007-01-31,906.782
2007-02-28,899.927
2007-03-30,922.364
2007-04-30,968.522
2007-05-31,1000.0
2007-06-29,995.965
2007-07-31,982.356
2007-08-31,986.512
2007-09-28,1042.529
2007-10-31,1090.865
2007-11-30,1049.097
2007-12-31,1043.725
2008-01-31,950.701
2008-02-29,960.671
2008-03-31,950.072
2008-04-30,1000.616
2008-05-30,1035.502
2008-06-30,969.641
2008-07-31,940.341
2008-08-29,927.937
2008-09-30,796.278
2008-10-31,635.243
2008-11-28,581.476
2008-12-31,599.734
2009-01-30,564.112
2009-02-27,521.208
2009-03-31,561.786
2009-04-30,617.987
2009-05-29,669.978
2009-06-30,670.489
2009-07-31,725.847
2009-08-31,742.007
2009-09-30,781.723
2009-10-30,774.388
2009-11-30,810.678
2009-12-31,834.92
2010-01-29,791.977
2010-02-26,809.236
2010-03-31,862.073
2010-04-30,868.004
2010-05-31,784.529
2010-06-30,756.925
2010-07-30,818.251
2010-08-31,787.958
2010-09-30,876.654
2010-10-29,916.374
2010-11-30,907.254
2010-12-31,971.422
2011-01-31,982.22
2011-02-28,1013.992
2011-03-31,1020.514
2011-04-29,1068.141
2011-05-31,1050.399
2011-06-30,1030.043
2011-07-29,1016.637
2011-08-31,947.236
2011-09-30,847.277
2011-10-31,952.982
2011-11-30,934.756
2011-12-30,922.346
2012-01-31,981.312
2012-02-29,1032.535
2012-03-30,1047.027
2012-04-30,1043.511
2012-05-31,952.619
2012-06-29,988.948
2012-07-31,1005.182
2012-08-31,1036.782
2012-09-28,1063.704
2012-10-31,1048.167
2012-11-30,1068.367
2012-12-31,1078.86
2013-01-31,1128.421
2013-02-28,1132.537
2013-03-29,1159.822
2013-04-30,1176.283
2013-05-31,1186.843
2013-06-28,1151.615
2013-07-31,1221.144
2013-08-30,1202.554
2013-09-30,1266.484
2013-10-31,1311.804
2013-11-29,1339.211
2013-12-31,1372.994
2014-01-31,1325.653
2014-02-28,1405.524
2014-03-31,1390.934
2014-04-30,1394.763
2014-05-30,1426.755
2014-06-30,1452.206
2014-07-31,1419.178
2014-08-29,1465.03
2014-09-30,1419.188
2014-10-31,1439.307
2014-11-28,1478.987
2014-12-31,1458.261
2015-01-30,1440.046
2015-02-27,1534.439
2015-03-31,1517.452
2015-04-30,1540.226
2015-05-29,1555.624
2015-06-30,1528.502
2015-07-31,1569.177
2015-08-31,1463.635
2015-09-30,1412.659
2015-10-30,1519.889
2015-11-30,1520.753
2015-12-31,1493.021
2016-01-29,1396.251
2016-02-29,1388.512
2016-03-31,1486.585
2016-04-29,1493.685
2016-05-31,1512.131
2016-06-30,1493.034
2016-07-29,1564.96
2016-08-31,1557.9
2016-09-30,1567.733
2016-10-31,1510.608
2016-11-30,1527.525
2016-12-30,1549.296
2017-01-31,1602.007
2017-02-28,1654.169
2017-03-31,1682.399
2017-04-28,1724.902
2017-05-31,1774.582
2017-06-30,1767.874
2017-07-31,1811.995
2017-08-31,1830.968
2017-09-29,1865.152
2017-10-31,1910.648
2017-11-30,1950.295
2017-12-29,1978.123
2018-01-31,2099.899
2018-02-28,2026.606
2018-03-30,1987.611
2018-04-30,2008.854
2018-05-31,2065.972
2018-06-29,2072.501
2018-07-31,2128.326
2018-08-31,2197.809
2018-09-28,2192.439
2018-10-31,1986.458
2018-11-30,1996.407
2018-12-31,1844.181
2019-01-31,2009.94
2019-02-28,2086.219
2019-03-29,2131.239
2019-04-30,2222.278
2019-05-31,2099.685
2019-06-28,2250.607
2019-07-31,2276.248
2019-08-30,2245.782
2019-09-30,2249.852
2019-10-31,2312.258
2019-11-29,2401.974
2019-12-31,2475.014
2020-01-31,2512.089
2020-02-28,2331.124
2020-03-31,2061.953
2020-04-30,2342.618
2020-05-29,2501.25
2020-06-30,2617.083
2020-07-31,2808.686
2020-08-31,3043.073
2020-09-30,2922.483
2020-10-30,2832.037
2020-11-30,3141.315
