Date,WORLD ex USA MID CAP Mid Cap
1994-05-31,322.169
1994-06-30,328.812
1994-07-29,330.783
1994-08-31,334.522
1994-09-30,325.854
1994-10-31,331.486
1994-11-30,312.356
1994-12-30,316.765
1995-01-31,305.683
1995-02-28,298.516
1995-03-31,312.845
1995-04-28,323.936
1995-05-31,315.603
1995-06-30,310.45
1995-07-31,327.008
1995-08-31,318.121
1995-09-29,320.597
1995-10-31,311.582
1995-11-30,314.745
1995-12-29,325.945
1996-01-31,330.904
1996-02-29,335.836
1996-03-29,342.753
1996-04-30,358.805
1996-05-31,354.622
1996-06-28,355.844
1996-07-31,344.526
1996-08-30,343.339
1996-09-30,347.605
1996-10-31,343.785
1996-11-29,349.686
1996-12-31,343.155
1997-01-31,332.858
1997-02-28,335.904
1997-03-31,330.207
1997-04-30,328.73
1997-05-30,354.285
1997-06-30,365.454
1997-07-31,359.991
1997-08-29,339.265
1997-09-30,346.667
1997-10-31,333.255
1997-11-28,318.267
1997-12-31,310.413
1998-01-30,325.553
1998-02-27,347.919
1998-03-31,364.604
1998-04-30,369.251
1998-05-29,372.438
1998-06-30,363.884
1998-07-31,365.6
1998-08-31,322.422
1998-09-30,313.099
1998-10-30,341.853
1998-11-30,354.111
1998-12-31,365.865
1999-01-29,368.301
1999-02-26,358.193
1999-03-31,372.385
1999-04-30,389.508
1999-05-31,378.971
1999-06-30,394.371
1999-07-30,410.772
1999-08-31,420.535
1999-09-30,423.847
1999-10-29,424.621
1999-11-30,440.26
1999-12-31,470.052
2000-01-31,454.604
2000-02-29,477.905
2000-03-31,479.856
2000-04-28,447.979
2000-05-31,439.625
2000-06-30,465.431
2000-07-31,446.461
2000-08-31,459.557
2000-09-29,439.695
2000-10-31,415.654
2000-11-30,402.377
2000-12-29,414.408
2001-01-31,417.318
2001-02-28,398.762
2001-03-30,367.801
2001-04-30,392.577
2001-05-31,389.396
2001-06-29,375.733
2001-07-31,366.713
2001-08-31,363.018
2001-09-28,319.659
2001-10-31,332.048
2001-11-30,342.312
2001-12-31,339.842
2002-01-31,329.84
2002-02-28,333.537
2002-03-29,352.846
2002-04-30,359.369
2002-05-31,372.08
2002-06-28,357.381
2002-07-31,324.465
2002-08-30,324.372
2002-09-30,295.154
2002-10-31,302.464
2002-11-29,316.423
2002-12-31,306.885
2003-01-31,296.948
2003-02-28,290.492
2003-03-31,286.778
2003-04-30,315.144
2003-05-30,336.341
2003-06-30,345.564
2003-07-31,356.625
2003-08-29,371.556
2003-09-30,384.841
2003-10-31,415.092
2003-11-28,420.115
2003-12-31,448.238
2004-01-30,459.883
2004-02-27,473.2
2004-03-31,481.813
2004-04-30,467.993
2004-05-31,474.18
2004-06-30,491.986
2004-07-30,473.027
2004-08-31,476.28
2004-09-30,490.635
2004-10-29,508.398
2004-11-30,549.478
2004-12-31,574.173
2005-01-31,571.337
2005-02-28,594.843
2005-03-31,581.886
2005-04-29,564.926
2005-05-31,566.526
2005-06-30,577.863
2005-07-29,597.052
2005-08-31,615.255
2005-09-30,642.616
2005-10-31,622.952
2005-11-30,647.101
2005-12-30,684.132
2006-01-31,733.0
2006-02-28,730.702
2006-03-31,759.533
2006-04-28,794.046
2006-05-31,763.039
2006-06-30,759.421
2006-07-31,762.977
2006-08-31,789.392
2006-09-29,795.341
2006-10-31,827.972
2006-11-30,858.113
2006-12-29,886.582
2007-01-31,894.477
2007-02-28,908.638
2007-03-30,939.129
2007-04-30,977.773
2007-05-31,1000.0
2007-06-29,991.014
2007-07-31,977.15
2007-08-31,952.082
2007-09-28,990.541
2007-10-31,1034.178
2007-11-30,966.791
2007-12-31,941.608
2008-01-31,863.181
2008-02-29,887.856
2008-03-31,882.255
2008-04-30,917.276
2008-05-30,938.78
2008-06-30,860.57
2008-07-31,812.836
2008-08-29,794.102
2008-09-30,668.053
2008-10-31,507.799
2008-11-28,493.965
2008-12-31,524.06
2009-01-30,483.439
2009-02-27,432.912
2009-03-31,463.813
2009-04-30,529.929
2009-05-29,596.066
2009-06-30,595.21
2009-07-31,646.66
2009-08-31,683.523
2009-09-30,716.275
2009-10-30,697.004
2009-11-30,712.014
2009-12-31,724.605
2010-01-29,699.495
2010-02-26,697.702
2010-03-31,746.199
2010-04-30,748.2
2010-05-31,665.658
2010-06-30,660.843
2010-07-30,721.169
2010-08-31,698.955
2010-09-30,775.993
2010-10-29,801.84
2010-11-30,774.351
2010-12-31,845.076
2011-01-31,858.467
2011-02-28,887.334
2011-03-31,881.266
2011-04-29,924.616
2011-05-31,903.575
2011-06-30,885.971
2011-07-29,872.903
2011-08-31,806.263
2011-09-30,718.561
2011-10-31,781.14
2011-11-30,742.452
2011-12-30,732.466
2012-01-31,777.182
2012-02-29,818.403
2012-03-30,818.346
2012-04-30,806.093
2012-05-31,713.127
2012-06-29,752.7
2012-07-31,761.824
2012-08-31,783.498
2012-09-28,813.031
2012-10-31,816.785
2012-11-30,832.152
2012-12-31,858.272
2013-01-31,889.771
2013-02-28,890.089
2013-03-29,904.983
2013-04-30,946.165
2013-05-31,928.114
2013-06-28,897.239
2013-07-31,946.958
2013-08-30,934.601
2013-09-30,1002.63
2013-10-31,1029.192
2013-11-29,1026.943
2013-12-31,1045.904
2014-01-31,1019.89
2014-02-28,1077.57
2014-03-31,1071.205
2014-04-30,1083.623
2014-05-30,1102.319
2014-06-30,1119.946
2014-07-31,1095.24
2014-08-29,1097.994
2014-09-30,1040.806
2014-10-31,1025.659
2014-11-28,1042.543
2014-12-31,1027.156
2015-01-30,1031.699
2015-02-27,1093.951
2015-03-31,1073.428
2015-04-30,1120.578
2015-05-29,1118.463
2015-06-30,1090.142
2015-07-31,1102.409
2015-08-31,1036.886
2015-09-30,994.839
2015-10-30,1068.021
2015-11-30,1058.267
2015-12-31,1045.397
2016-01-29,973.533
2016-02-29,974.177
2016-03-31,1051.719
2016-04-29,1084.507
2016-05-31,1071.612
2016-06-30,1032.09
2016-07-29,1094.271
2016-08-31,1089.017
2016-09-30,1108.056
2016-10-31,1074.932
2016-11-30,1055.364
2016-12-30,1081.362
2017-01-31,1123.747
2017-02-28,1136.197
2017-03-31,1161.636
2017-04-28,1197.554
2017-05-31,1240.764
2017-06-30,1242.189
2017-07-31,1282.147
2017-08-31,1289.625
2017-09-29,1319.329
2017-10-31,1343.473
2017-11-30,1356.964
2017-12-29,1388.674
2018-01-31,1451.506
2018-02-28,1388.628
2018-03-30,1365.811
2018-04-30,1394.653
2018-05-31,1386.048
2018-06-29,1363.187
2018-07-31,1385.714
2018-08-31,1372.164
2018-09-28,1371.112
2018-10-31,1240.768
2018-11-30,1226.166
2018-12-31,1161.015
2019-01-31,1253.847
2019-02-28,1284.036
2019-03-29,1289.582
2019-04-30,1326.068
2019-05-31,1258.811
2019-06-28,1334.168
2019-07-31,1320.117
2019-08-30,1292.861
2019-09-30,1325.283
2019-10-31,1379.973
2019-11-29,1406.79
2019-12-31,1450.462
2020-01-31,1417.496
2020-02-28,1286.046
2020-03-31,1072.324
2020-04-30,1174.652
2020-05-29,1245.116
2020-06-30,1274.696
2020-07-31,1314.116
2020-08-31,1401.574
2020-09-30,1375.076
2020-10-30,1332.39
2020-11-30,1526.477
2020-12-31,1603.299
2021-01-29,1596.058
2021-02-26,1615.794
2021-03-31,1654.311
2021-04-30,1710.708
2021-05-31,1753.998
2021-06-30,1735.044
2021-07-30,1752.101
2021-08-31,1784.006
2021-09-30,1721.256
2021-10-29,1755.387
2021-11-30,1672.401
2021-12-31,1742.545
2022-01-31,1619.147
2022-02-28,1605.68
2022-03-31,1614.912
2022-04-29,1501.712
2022-05-31,1500.206
2022-06-30,1350.465
2022-07-29,1429.788
2022-08-31,1364.441
2022-09-30,1217.734
2022-10-31,1277.772
2022-11-30,1404.481
2022-12-30,1402.426
2023-01-31,1523.0
2023-02-28,1492.361
2023-03-31,1510.635
2023-04-28,1549.04
2023-05-31,1480.98
2023-06-30,1529.95
2023-07-31,1606.95
2023-08-31,1549.888
2023-09-29,1491.65
2023-10-31,1407.951
2023-11-30,1546.072
2023-12-29,1642.315
2024-01-31,1633.049
2024-02-29,1648.575
2024-03-29,1705.169
2024-04-30,1656.658
2024-05-31,1722.114
2024-06-28,1677.063
2024-07-31,1746.498
2024-08-30,1803.094
2024-09-30,1845.335
2024-10-31,1744.175
2024-11-29,1770.239
2024-12-31,1720.844
2025-01-31,1784.387
2025-02-28,1810.174
2025-03-31,1814.578
2025-04-30,1917.45
2025-05-30,2026.233
2025-06-30,2098.131
2025-07-31,2082.372
2025-08-29,2174.992
2025-09-30,2213.321
