Date,WORLD ex USA MID CAP Mid Cap
1994-05-31,334.915
1994-06-30,341.665
1994-07-29,343.617
1994-08-31,347.478
1994-09-30,338.41
1994-10-31,344.215
1994-11-30,324.328
1994-12-30,328.878
1995-01-31,317.346
1995-02-28,309.881
1995-03-31,324.64
1995-04-28,336.072
1995-05-31,327.265
1995-06-30,321.742
1995-07-31,338.788
1995-08-31,329.547
1995-09-29,332.036
1995-10-31,322.659
1995-11-30,325.904
1995-12-29,337.471
1996-01-31,342.575
1996-02-29,347.638
1996-03-29,354.693
1996-04-30,371.191
1996-05-31,366.699
1996-06-28,367.793
1996-07-31,355.967
1996-08-30,354.708
1996-09-30,359.032
1996-10-31,355.043
1996-11-29,361.117
1996-12-31,354.339
1997-01-31,343.682
1997-02-28,346.767
1997-03-31,340.785
1997-04-30,339.123
1997-05-30,365.306
1997-06-30,376.628
1997-07-31,370.882
1997-08-29,349.51
1997-09-30,357.038
1997-10-31,343.187
1997-11-28,327.73
1997-12-31,319.61
1998-01-30,335.167
1998-02-27,358.166
1998-03-31,375.201
1998-04-30,379.818
1998-05-29,382.896
1998-06-30,373.877
1998-07-31,375.539
1998-08-31,331.16
1998-09-30,321.51
1998-10-30,351.009
1998-11-30,363.567
1998-12-31,375.596
1999-01-29,378.076
1999-02-26,367.68
1999-03-31,382.088
1999-04-30,399.556
1999-05-31,388.654
1999-06-30,404.345
1999-07-30,421.118
1999-08-31,431.084
1999-09-30,434.378
1999-10-29,435.15
1999-11-30,451.153
1999-12-31,481.651
2000-01-31,465.805
2000-02-29,489.643
2000-03-31,491.451
2000-04-28,458.668
2000-05-31,449.979
2000-06-30,476.283
2000-07-31,456.782
2000-08-31,470.143
2000-09-29,449.704
2000-10-31,425.088
2000-11-30,411.477
2000-12-29,423.741
2001-01-31,426.693
2001-02-28,407.685
2001-03-30,375.837
2001-04-30,400.951
2001-05-31,397.406
2001-06-29,383.296
2001-07-31,374.036
2001-08-31,370.223
2001-09-28,325.892
2001-10-31,338.504
2001-11-30,348.931
2001-12-31,346.382
2002-01-31,336.16
2002-02-28,339.892
2002-03-29,359.381
2002-04-30,365.867
2002-05-31,378.514
