Date,NEW ZEALAND VALUE Standard (Large+Mid Cap)
1987-12-31,100.0
1988-01-29,93.229
1988-02-29,73.789
1988-03-31,90.89
1988-04-29,92.575
1988-05-31,95.264
1988-06-30,88.736
1988-07-29,89.965
1988-08-31,81.048
1988-09-30,76.661
1988-10-31,81.355
1988-11-30,75.433
1988-12-30,73.017
1989-01-31,77.085
1989-02-28,75.286
1989-03-31,72.829
1989-04-28,77.481
1989-05-31,73.164
1989-06-30,75.022
1989-07-31,80.581
1989-08-31,104.367
1989-09-29,97.333
1989-10-31,88.93
1989-11-30,85.999
1989-12-29,83.782
1990-01-31,82.388
1990-02-28,76.953
1990-03-30,76.225
1990-04-30,74.385
1990-05-31,79.49
1990-06-29,78.841
1990-07-31,83.071
1990-08-31,80.957
1990-09-28,72.787
1990-10-31,62.574
1990-11-30,62.646
1990-12-31,58.13
1991-01-31,61.539
1991-02-28,65.463
1991-03-29,58.185
1991-04-30,60.767
1991-05-31,66.875
1991-06-28,62.952
1991-07-31,65.373
1991-08-30,59.288
1991-09-30,65.377
1991-10-31,70.415
1991-11-29,73.73
1991-12-31,72.658
1992-01-31,69.952
1992-02-28,73.559
1992-03-31,70.861
1992-04-30,74.818
1992-05-29,80.968
1992-06-30,78.988
1992-07-31,74.176
1992-08-31,66.116
1992-09-30,59.949
1992-10-30,54.241
1992-11-30,65.092
1992-12-31,68.129
1993-01-29,67.245
1993-02-26,71.585
1993-03-31,72.895
1993-04-30,79.405
1993-05-31,78.194
1993-06-30,78.487
1993-07-30,84.414
1993-08-31,96.707
1993-09-30,91.365
1993-10-29,103.776
1993-11-30,97.66
1993-12-31,105.341
1994-01-31,117.702
1994-02-28,112.594
1994-03-31,98.562
1994-04-29,109.469
1994-05-31,119.355
1994-06-30,114.368
1994-07-29,117.338
1994-08-31,127.075
1994-09-30,123.773
1994-10-31,129.351
1994-11-30,122.002
1994-12-30,116.26
1995-01-31,119.375
1995-02-28,121.679
1995-03-31,120.974
1995-04-28,135.413
1995-05-31,133.597
1995-06-30,134.746
1995-07-31,139.106
1995-08-31,130.454
1995-09-29,135.517
1995-10-31,137.774
1995-11-30,128.757
1995-12-29,128.644
1996-01-31,130.307
1996-02-29,129.953
1996-03-29,131.333
1996-04-30,136.915
1996-05-31,127.576
1996-06-28,135.408
1996-07-31,137.594
1996-08-30,137.541
1996-09-30,135.78
1996-10-31,136.891
1996-11-29,138.418
1996-12-31,140.012
1997-01-31,141.419
1997-02-28,139.616
1997-03-31,134.034
1997-04-30,137.634
1997-05-30,145.712
1997-06-30,154.275
1997-07-31,146.4
1997-08-29,131.808
1997-09-30,134.588
1997-10-31,115.515
1997-11-28,102.446
1997-12-31,103.482
1998-01-30,103.952
1998-02-27,103.786
1998-03-31,95.827
1998-04-30,95.986
1998-05-29,85.726
1998-06-30,73.593
1998-07-31,79.03
1998-08-31,57.619
1998-09-30,50.294
1998-10-30,61.263
1998-11-30,66.118
1998-12-31,64.754
1999-01-29,70.25
1999-02-26,65.178
1999-03-31,65.459
1999-04-30,83.859
1999-05-31,71.753
1999-06-30,75.064
1999-07-30,76.81
1999-08-31,71.429
1999-09-30,69.679
1999-10-29,70.544
1999-11-30,69.915
1999-12-31,74.713
2000-01-31,64.854
2000-02-29,59.287
2000-03-31,57.301
2000-04-28,60.845
2000-05-31,60.789
2000-06-30,66.491
2000-07-31,66.825
2000-08-31,65.219
2000-09-29,58.491
2000-10-31,54.601
2000-11-30,58.288
2000-12-29,61.819
2001-01-31,64.413
2001-02-28,64.866
2001-03-30,61.564
2001-04-30,65.855
2001-05-31,64.443
2001-06-29,65.841
2001-07-31,73.772
2001-08-31,75.503
2001-09-28,62.783
2001-10-31,67.81
2001-11-30,72.87
2001-12-31,71.442
2002-01-31,74.584
2002-02-28,77.831
2002-03-29,81.417
2002-04-30,80.581
2002-05-31,90.653
2002-06-28,89.585
2002-07-31,81.318
2002-08-30,82.624
2002-09-30,81.261
2002-10-31,85.631
2002-11-29,84.872
2002-12-31,92.887
2003-01-31,98.487
2003-02-28,101.71
2003-03-31,100.732
2003-04-30,103.059
2003-05-30,109.195
2003-06-30,114.019
2003-07-31,111.062
2003-08-29,112.32
2003-09-30,118.784
2003-10-31,120.846
2003-11-28,128.507
2003-12-31,137.841
2004-01-30,144.073
2004-02-27,149.911
2004-03-31,154.854
2004-04-30,144.377
2004-05-31,140.694
2004-06-30,150.308
2004-07-30,158.558
2004-08-31,157.849
2004-09-30,169.0
2004-10-29,166.99
2004-11-30,186.116
2004-12-31,191.494
2005-01-31,188.364
2005-02-28,200.638
2005-03-31,184.282
2005-04-29,184.069
2005-05-31,178.297
2005-06-30,185.233
2005-07-29,191.453
2005-08-31,194.367
2005-09-30,199.333
2005-10-31,195.797
2005-11-30,194.933
2005-12-30,195.279
2006-01-31,187.333
2006-02-28,177.539
2006-03-31,173.414
2006-04-28,186.673
2006-05-31,158.001
2006-06-30,144.669
2006-07-31,145.839
2006-08-31,159.957
2006-09-29,165.605
2006-10-31,181.348
2006-11-30,185.672
2006-12-29,203.3
2007-01-31,203.421
2007-02-28,201.668
2007-03-30,206.726
2007-04-30,218.903
2007-05-31,226.392
2007-06-29,231.03
2007-07-31,226.396
2007-08-31,200.437
2007-09-28,227.413
2007-10-31,226.243
2007-11-30,223.352
2007-12-31,226.601
2008-01-31,212.377
2008-02-29,209.424
2008-03-31,196.918
2008-04-30,194.621
2008-05-30,207.16
2008-06-30,176.167
2008-07-31,179.148
2008-08-29,157.119
2008-09-30,130.178
2008-10-31,98.727
2008-11-28,95.309
2008-12-31,98.124
2009-01-30,94.205
2009-02-27,85.119
2009-03-31,99.563
2009-04-30,118.332
2009-05-29,123.787
2009-06-30,133.44
2009-07-31,140.826
2009-08-31,149.594
2009-09-30,160.23
2009-10-30,155.151
2009-11-30,149.28
2009-12-31,154.512
2010-01-29,145.034
2010-02-26,141.81
2010-03-31,143.373
2010-04-30,149.119
2010-05-31,127.554
2010-06-30,127.962
2010-07-30,139.068
2010-08-31,137.114
2010-09-30,148.141
2010-10-29,157.335
2010-11-30,157.716
2010-12-31,164.526
2011-01-31,168.261
2011-02-28,163.437
2011-03-31,168.706
2011-04-29,185.602
2011-05-31,200.241
2011-06-30,196.261
2011-07-29,214.692
2011-08-31,211.212
2011-09-30,194.774
2011-10-31,205.751
2011-11-30,199.59
2011-12-30,205.604
2012-01-31,224.827
2012-02-29,232.567
2012-03-30,254.19
2012-04-30,259.831
2012-05-31,236.104
2012-06-29,234.944
2012-07-31,254.338
2012-08-31,255.633
2012-09-28,277.258
2012-10-31,277.191
2012-11-30,293.939
2012-12-31,306.044
2013-01-31,346.129
2013-02-28,334.319
2013-03-29,329.007
2013-04-30,353.397
2013-05-31,305.728
2013-06-28,292.112
2013-07-31,301.816
2013-08-30,299.571
2013-09-30,344.109
2013-10-31,346.188
2013-11-29,326.991
2013-12-31,334.453
2014-01-31,336.007
2014-02-28,364.329
2014-03-31,381.049
2014-04-30,408.793
2014-05-30,391.504
2014-06-30,400.579
2014-07-31,403.139
2014-08-29,402.026
2014-09-30,389.885
2014-10-31,403.215
2014-11-28,398.122
2014-12-31,403.88
2015-01-30,407.039
2015-02-27,423.793
2015-03-31,398.2
2015-04-30,397.412
2015-05-29,355.091
2015-06-30,326.991
2015-07-31,329.53
2015-08-31,325.721
2015-09-30,311.341
2015-10-30,363.622
2015-11-30,356.556
2015-12-31,368.748
2016-01-29,336.682
2016-02-29,352.9
2016-03-31,413.187
2016-04-29,429.63
2016-05-31,429.932
2016-06-30,439.905
2016-07-29,481.373
2016-08-31,503.2
2016-09-30,503.083
2016-10-31,480.137
2016-11-30,471.965
2016-12-30,454.777
2017-01-31,486.716
2017-02-28,486.052
2017-03-31,473.709
2017-04-28,479.575
2017-05-31,494.101
2017-06-30,523.379
2017-07-31,537.271
2017-08-31,532.64
2017-09-29,532.237
2017-10-31,497.467
2017-11-30,481.984
2017-12-29,515.869
2018-01-31,539.223
2018-02-28,477.82
2018-03-30,479.239
2018-04-30,490.003
2018-05-31,507.594
2018-06-29,506.81
2018-07-31,515.095
2018-08-31,506.852
2018-09-28,524.247
2018-10-31,495.113
2018-11-30,517.25
2018-12-31,504.144
2019-01-31,524.897
2019-02-28,512.568
2019-03-29,552.074
2019-04-30,531.994
2019-05-31,543.542
2019-06-28,597.558
2019-07-31,575.768
2019-08-30,573.632
2019-09-30,586.804
2019-10-31,581.385
2019-11-29,595.213
2019-12-31,622.441
2020-01-31,629.608
2020-02-28,556.523
2020-03-31,435.529
2020-04-30,501.959
2020-05-29,514.352
2020-06-30,550.488
2020-07-31,580.324
2020-08-31,603.982
2020-09-30,609.7
2020-10-30,606.747
2020-11-30,709.404
2020-12-31,764.417
2021-01-29,768.91
