Date,NEW ZEALAND VALUE Standard (Large+Mid Cap)
2001-01-01,61.819
2001-01-02,61.722
2001-01-03,61.463
2001-01-04,62.035
2001-01-05,63.178
2001-01-08,62.859
2001-01-09,62.8
2001-01-10,62.542
2001-01-11,63.447
2001-01-12,63.472
2001-01-15,63.597
2001-01-16,64.068
2001-01-17,64.421
2001-01-18,64.368
2001-01-19,65.494
2001-01-22,66.197
2001-01-23,65.231
2001-01-24,63.836
2001-01-25,62.974
2001-01-26,63.013
2001-01-29,62.73
2001-01-30,63.604
2001-01-31,64.413
2001-02-01,65.878
2001-02-02,64.83
2001-02-05,64.516
2001-02-06,64.524
2001-02-07,65.349
2001-02-08,64.524
2001-02-09,64.275
2001-02-12,65.078
2001-02-13,64.601
2001-02-14,62.558
2001-02-15,62.481
2001-02-16,63.824
2001-02-19,63.755
2001-02-20,64.461
2001-02-21,64.829
2001-02-22,64.74
2001-02-23,65.304
2001-02-26,65.009
2001-02-27,66.109
2001-02-28,64.866
2001-03-01,65.91
2001-03-02,66.972
2001-03-05,67.132
2001-03-06,67.705
2001-03-07,67.995
2001-03-08,67.748
2001-03-09,66.686
2001-03-12,66.323
2001-03-13,64.99
2001-03-14,65.476
2001-03-15,65.275
2001-03-16,65.243
2001-03-19,65.86
2001-03-20,67.296
2001-03-21,66.766
2001-03-22,64.92
2001-03-23,67.128
2001-03-26,65.897
2001-03-27,64.814
2001-03-28,63.962
2001-03-29,62.547
2001-03-30,61.564
2001-04-02,61.598
2001-04-03,62.831
2001-04-04,63.003
2001-04-05,62.865
2001-04-06,63.35
2001-04-09,63.799
2001-04-10,63.719
2001-04-11,63.445
2001-04-12,64.125
2001-04-13,64.125
2001-04-16,64.25
2001-04-17,62.44
2001-04-18,62.204
2001-04-19,65.02
2001-04-20,65.936
2001-04-23,63.553
2001-04-24,63.179
2001-04-25,63.566
2001-04-26,64.025
2001-04-27,65.351
2001-04-30,65.855
2001-05-01,66.436
2001-05-02,67.098
2001-05-03,67.516
2001-05-04,66.538
2001-05-07,65.96
2001-05-08,65.512
2001-05-09,65.718
2001-05-10,67.117
2001-05-11,66.431
2001-05-14,65.86
2001-05-15,66.023
2001-05-16,66.37
2001-05-17,68.089
2001-05-18,67.886
2001-05-21,67.957
2001-05-22,68.085
2001-05-23,67.566
2001-05-24,67.683
2001-05-25,67.461
2001-05-28,67.383
2001-05-29,66.694
2001-05-30,65.82
2001-05-31,64.443
2001-06-01,64.382
2001-06-04,64.218
2001-06-05,66.487
2001-06-06,67.788
2001-06-07,68.349
2001-06-08,68.158
2001-06-11,67.271
2001-06-12,68.032
2001-06-13,69.509
2001-06-14,68.818
2001-06-15,67.904
2001-06-18,67.072
2001-06-19,67.292
2001-06-20,66.263
2001-06-21,66.009
2001-06-22,66.551
2001-06-25,66.08
2001-06-26,67.013
2001-06-27,67.32
2001-06-28,66.881
2001-06-29,65.841
2001-07-02,67.25
2001-07-03,67.562
2001-07-04,67.791
2001-07-05,68.203
2001-07-06,68.302
2001-07-09,68.697
2001-07-10,69.708
2001-07-11,69.379
2001-07-12,68.607
2001-07-13,69.138
2001-07-16,69.481
2001-07-17,69.133
2001-07-18,70.196
2001-07-19,71.309
2001-07-20,70.972
2001-07-23,72.033
2001-07-24,72.548
2001-07-25,72.936
2001-07-26,73.215
2001-07-27,73.269
2001-07-30,73.637
2001-07-31,73.772
2001-08-01,73.29
2001-08-02,73.026
2001-08-03,72.547
2001-08-06,71.584
2001-08-07,71.123
2001-08-08,71.883
2001-08-09,73.075
2001-08-10,73.513
2001-08-13,73.399
2001-08-14,73.46
2001-08-15,74.342
2001-08-16,74.012
2001-08-17,75.249
2001-08-20,74.063
2001-08-21,74.453
2001-08-22,75.322
2001-08-23,75.48
2001-08-24,76.774
2001-08-27,77.042
2001-08-28,76.867
2001-08-29,77.846
2001-08-30,77.162
2001-08-31,75.503
2001-09-03,75.132
2001-09-04,74.175
2001-09-05,74.581
2001-09-06,74.442
2001-09-07,74.225
2001-09-10,72.0
2001-09-11,72.352
2001-09-12,67.926
2001-09-13,67.4
2001-09-14,65.581
2001-09-17,59.279
2001-09-18,61.331
2001-09-19,61.072
2001-09-20,60.914
2001-09-21,59.468
2001-09-24,58.708
2001-09-25,59.91
2001-09-26,60.949
2001-09-27,60.876
2001-09-28,62.783
2001-10-01,62.013
2001-10-02,63.743
2001-10-03,65.24
2001-10-04,65.199
2001-10-05,65.35
2001-10-08,64.71
2001-10-09,64.558
2001-10-10,64.547
2001-10-11,65.541
2001-10-12,67.731
2001-10-15,68.441
2001-10-16,68.987
2001-10-17,69.573
2001-10-18,68.126
2001-10-19,66.977
2001-10-22,67.042
2001-10-23,68.42
2001-10-24,68.457
2001-10-25,68.5
2001-10-26,67.872
2001-10-29,68.222
2001-10-30,67.839
2001-10-31,67.81
2001-11-01,68.276
2001-11-02,68.899
2001-11-05,69.764
2001-11-06,70.825
2001-11-07,69.275
2001-11-08,67.927
2001-11-09,67.883
2001-11-12,67.859
2001-11-13,69.121
2001-11-14,69.984
2001-11-15,69.315
2001-11-16,70.599
2001-11-19,69.916
2001-11-20,71.664
2001-11-21,69.927
2001-11-22,68.935
2001-11-23,68.54
2001-11-26,69.673
2001-11-27,71.9
2001-11-28,72.979
2001-11-29,73.432
2001-11-30,72.87
2001-12-03,70.815
2001-12-04,69.466
2001-12-05,71.16
2001-12-06,73.081
2001-12-07,72.948
2001-12-10,72.333
2001-12-11,73.299
2001-12-12,74.075
2001-12-13,74.229
2001-12-14,72.497
2001-12-17,72.492
2001-12-18,71.385
2001-12-19,71.468
2001-12-20,69.905
2001-12-21,70.227
2001-12-24,70.586
2001-12-25,70.586
2001-12-26,70.637
2001-12-27,70.95
2001-12-28,71.311
2001-12-31,71.442
2002-01-01,71.442
2002-01-02,72.163
2002-01-03,73.6
2002-01-04,74.777
2002-01-07,75.477
2002-01-08,75.837
2002-01-09,75.123
2002-01-10,75.634
2002-01-11,75.076
2002-01-14,74.449
2002-01-15,74.999
2002-01-16,74.263
2002-01-17,73.972
2002-01-18,74.571
2002-01-21,75.125
2002-01-22,76.708
2002-01-23,76.666
2002-01-24,76.429
2002-01-25,76.844
2002-01-28,75.88
2002-01-29,76.004
2002-01-30,74.004
2002-01-31,74.584
2002-02-01,74.917
2002-02-04,75.078
2002-02-05,74.811
2002-02-06,74.874
2002-02-07,74.62
2002-02-08,75.201
2002-02-11,75.315
2002-02-12,74.743
2002-02-13,74.439
2002-02-14,74.238
2002-02-15,74.176
2002-02-18,74.225
2002-02-19,75.122
2002-02-20,76.015
2002-02-21,75.042
2002-02-22,76.523
2002-02-25,76.318
2002-02-26,76.616
