Date,NEW ZEALAND VALUE Standard (Large+Mid Cap)
1987-12-31,100.0
1988-01-29,93.424
1988-02-29,74.173
1988-03-31,91.502
1988-04-29,93.38
1988-05-31,96.276
1988-06-30,89.85
1988-07-29,91.256
1988-08-31,82.37
1988-09-30,78.041
1988-10-31,82.943
1988-11-30,77.062
1988-12-30,74.727
1989-01-31,78.999
1989-02-28,77.287
1989-03-31,74.901
1989-04-28,79.818
1989-05-31,75.51
1989-06-30,77.531
1989-07-31,83.375
1989-08-31,108.059
1989-09-29,100.91
1989-10-31,92.343
1989-11-30,89.44
1989-12-29,87.273
1990-01-31,85.959
1990-02-28,80.436
1990-03-30,79.809
1990-04-30,78.02
1990-05-31,83.502
1990-06-29,82.958
1990-07-31,87.537
1990-08-31,85.46
1990-09-28,76.998
1990-10-31,66.366
1990-11-30,66.577
1990-12-31,61.915
1991-01-31,65.676
1991-02-28,69.991
1991-03-29,62.384
1991-04-30,65.305
1991-05-31,72.013
1991-06-28,67.946
1991-07-31,70.704
1991-08-30,64.292
1991-09-30,71.02
1991-10-31,76.617
1991-11-29,80.359
1991-12-31,79.324
1992-01-31,76.507
1992-02-28,80.58
1992-03-31,77.758
1992-04-30,82.218
1992-05-29,89.092
1992-06-30,87.049
1992-07-31,81.886
1992-08-31,73.109
1992-09-30,66.416
1992-10-30,60.215
1992-11-30,72.348
1992-12-31,75.825
1993-01-29,74.95
1993-02-26,79.892
1993-03-31,81.461
1993-04-30,88.838
1993-05-31,87.591
1993-06-30,88.022
1993-07-30,94.772
1993-08-31,108.667
1993-09-30,102.78
1993-10-29,116.837
1993-11-30,110.065
1993-12-31,118.828
1994-01-31,132.877
1994-02-28,127.233
1994-03-31,111.504
1994-04-29,123.952
1994-05-31,135.286
1994-06-30,129.79
1994-07-29,133.309
1994-08-31,144.512
1994-09-30,140.911
1994-10-31,147.416
1994-11-30,139.186
1994-12-30,132.782
1995-01-31,136.472
1995-02-28,139.24
1995-03-31,138.58
1995-04-28,155.254
1995-05-31,153.32
1995-06-30,154.79
1995-07-31,159.945
1995-08-31,150.149
1995-09-29,156.125
1995-10-31,158.877
1995-11-30,148.645
1995-12-29,148.671
1996-01-31,150.759
1996-02-29,150.521
1996-03-29,152.253
1996-04-30,158.855
1996-05-31,148.161
1996-06-28,157.385
1996-07-31,160.061
1996-08-30,160.148
1996-09-30,158.251
1996-10-31,159.699
1996-11-29,161.633
1996-12-31,163.643
1997-01-31,165.435
1997-02-28,163.489
1997-03-31,157.114
1997-04-30,161.495
1997-05-30,171.133
1997-06-30,181.35
1997-07-31,172.247
1997-08-29,155.226
1997-09-30,158.648
1997-10-31,136.31
1997-11-28,121.032
1997-12-31,122.392
1998-01-30,123.085
1998-02-27,123.023
1998-03-31,113.713
1998-04-30,114.028
1998-05-29,101.962
1998-06-30,87.65
1998-07-31,94.242
1998-08-31,68.819
1998-09-30,60.177
1998-10-30,73.392
1998-11-30,79.293
1998-12-31,77.743
1999-01-29,84.429
1999-02-26,78.414
1999-03-31,78.813
1999-04-30,101.03
1999-05-31,86.501
1999-06-30,90.55
1999-07-30,92.713
1999-08-31,86.274
1999-09-30,84.218
1999-10-29,85.319
1999-11-30,84.62
1999-12-31,90.49
2000-01-31,78.585
2000-02-29,71.875
2000-03-31,69.505
2000-04-28,73.841
2000-05-31,73.808
2000-06-30,80.767
2000-07-31,81.21
2000-08-31,79.294
2000-09-29,71.149
2000-10-31,66.453
2000-11-30,70.976
2000-12-29,75.317
2001-01-31,78.477
2001-02-28,79.028
2001-03-30,75.005
2001-04-30,80.32
2001-05-31,78.845
2001-06-29,80.616
2001-07-31,90.339
2001-08-31,92.459
2001-09-28,77.055
2001-10-31,83.225
2001-11-30,89.764
2001-12-31,88.006
2002-01-31,91.906
2002-02-28,96.041
2002-03-29,100.632
2002-04-30,99.599
2002-05-31,112.191
2002-06-28,110.952
2002-07-31,100.784
2002-08-30,102.519
2002-09-30,100.828
2002-10-31,106.527
2002-11-29,105.677
2002-12-31,115.884
2003-01-31,122.87
2003-02-28,127.166
2003-03-31,126.473
2003-04-30,129.437
2003-05-30,137.246
2003-06-30,143.668
2003-07-31,139.942
2003-08-29,141.614
2003-09-30,150.016
2003-10-31,152.881
2003-11-28,162.62
2003-12-31,174.839
2004-01-30,182.743
2004-02-27,190.276
2004-03-31,197.454
