Date,NEW ZEALAND VALUE Standard (Large+Mid Cap)
2001-01-01,75.317
2001-01-02,75.197
2001-01-03,74.882
2001-01-04,75.579
2001-01-05,76.972
2001-01-08,76.583
2001-01-09,76.512
2001-01-10,76.197
2001-01-11,77.3
2001-01-12,77.329
2001-01-15,77.482
2001-01-16,78.056
2001-01-17,78.486
2001-01-18,78.422
2001-01-19,79.793
2001-01-22,80.65
2001-01-23,79.473
2001-01-24,77.774
2001-01-25,76.724
2001-01-26,76.771
2001-01-29,76.425
2001-01-30,77.49
2001-01-31,78.477
2001-02-01,80.262
2001-02-02,78.984
2001-02-05,78.602
2001-02-06,78.611
2001-02-07,79.617
2001-02-08,78.611
2001-02-09,78.309
2001-02-12,79.287
2001-02-13,78.705
2001-02-14,76.216
2001-02-15,76.123
2001-02-16,77.759
2001-02-19,77.675
2001-02-20,78.535
2001-02-21,78.983
2001-02-22,78.875
2001-02-23,79.562
2001-02-26,79.202
2001-02-27,80.543
2001-02-28,79.028
2001-03-01,80.3
2001-03-02,81.594
2001-03-05,81.789
2001-03-06,82.487
2001-03-07,82.84
2001-03-08,82.54
2001-03-09,81.245
2001-03-12,80.803
2001-03-13,79.179
2001-03-14,79.771
2001-03-15,79.526
2001-03-16,79.488
2001-03-19,80.24
2001-03-20,81.988
2001-03-21,81.343
2001-03-22,79.094
2001-03-23,81.784
2001-03-26,80.284
2001-03-27,78.965
2001-03-28,77.927
2001-03-29,76.203
2001-03-30,75.005
2001-04-02,75.046
2001-04-03,76.55
2001-04-04,76.758
2001-04-05,76.59
2001-04-06,77.181
2001-04-09,77.812
2001-04-10,77.715
2001-04-11,77.381
2001-04-12,78.209
2001-04-13,78.209
2001-04-16,78.363
2001-04-17,76.154
2001-04-18,75.867
2001-04-19,79.302
2001-04-20,80.418
2001-04-23,77.513
2001-04-24,77.056
2001-04-25,77.528
2001-04-26,78.088
2001-04-27,79.706
2001-04-30,80.32
2001-05-01,81.029
2001-05-02,81.835
2001-05-03,82.346
2001-05-04,81.153
2001-05-07,80.596
2001-05-08,80.049
2001-05-09,80.301
2001-05-10,82.01
2001-05-11,81.171
2001-05-14,80.474
2001-05-15,80.673
2001-05-16,81.097
2001-05-17,83.197
2001-05-18,82.949
2001-05-21,83.145
2001-05-22,83.301
2001-05-23,82.667
2001-05-24,82.81
2001-05-25,82.538
2001-05-28,82.442
2001-05-29,81.6
2001-05-30,80.531
2001-05-31,78.845
2001-06-01,78.771
2001-06-04,78.569
2001-06-05,81.346
2001-06-06,82.938
2001-06-07,83.624
2001-06-08,83.391
2001-06-11,82.305
2001-06-12,83.237
2001-06-13,85.044
2001-06-14,84.198
2001-06-15,83.079
