Date,KOKUSAI INDEX (WORLD ex JP) SMALL VALUE Small Cap
1994-05-31,182.202
1994-06-30,179.212
1994-07-29,183.461
1994-08-31,188.43
1994-09-30,185.7
1994-10-31,185.274
1994-11-30,177.468
1994-12-30,180.267
1995-01-31,179.274
1995-02-28,184.354
1995-03-31,187.256
1995-04-28,191.076
1995-05-31,196.03
1995-06-30,200.249
1995-07-31,208.323
1995-08-31,208.285
1995-09-29,212.121
1995-10-31,205.885
1995-11-30,208.762
1995-12-29,214.037
1996-01-31,216.3
1996-02-29,222.292
1996-03-29,225.725
1996-04-30,230.152
1996-05-31,236.007
1996-06-28,234.555
1996-07-31,225.001
1996-08-30,233.624
1996-09-30,237.577
1996-10-31,241.166
1996-11-29,251.437
1996-12-31,258.38
1997-01-31,263.425
1997-02-28,266.12
1997-03-31,262.872
1997-04-30,262.064
1997-05-30,279.039
1997-06-30,290.602
1997-07-31,298.799
1997-08-29,301.267
1997-09-30,319.596
1997-10-31,309.875
1997-11-28,309.208
1997-12-31,314.599
1998-01-30,312.484
1998-02-27,333.602
1998-03-31,350.974
1998-04-30,355.897
1998-05-29,352.48
1998-06-30,343.167
1998-07-31,327.175
1998-08-31,281.33
1998-09-30,286.677
1998-10-30,297.294
1998-11-30,307.625
1998-12-31,314.559
1999-01-29,310.441
1999-02-26,297.416
1999-03-31,299.894
1999-04-30,323.771
1999-05-31,326.47
1999-06-30,337.691
1999-07-30,337.521
1999-08-31,332.245
1999-09-30,327.455
1999-10-29,322.369
1999-11-30,324.955
1999-12-31,338.125
2000-01-31,329.605
2000-02-29,339.093
2000-03-31,343.62
2000-04-28,327.84
2000-05-31,323.34
2000-06-30,337.852
2000-07-31,337.109
2000-08-31,347.836
2000-09-29,341.945
2000-10-31,330.501
2000-11-30,322.253
2000-12-29,348.529
2001-01-31,362.99
2001-02-28,353.585
2001-03-30,336.243
2001-04-30,354.319
2001-05-31,362.961
2001-06-29,365.421
2001-07-31,360.583
2001-08-31,360.473
2001-09-28,319.246
2001-10-31,329.934
2001-11-30,349.425
2001-12-31,364.051
2002-01-31,362.761
2002-02-28,366.636
2002-03-29,392.188
2002-04-30,404.465
2002-05-31,404.373
2002-06-28,388.676
2002-07-31,347.888
2002-08-30,350.264
2002-09-30,320.838
2002-10-31,327.341
2002-11-29,346.699
2002-12-31,340.996
2003-01-31,332.403
2003-02-28,323.725
2003-03-31,323.804
2003-04-30,356.454
2003-05-30,391.541
2003-06-30,399.558
2003-07-31,416.112
2003-08-29,430.922
2003-09-30,435.418
2003-10-31,466.382
2003-11-28,483.657
2003-12-31,507.238
2004-01-30,525.689
2004-02-27,540.505
2004-03-31,541.755
2004-04-30,515.719
2004-05-31,524.087
2004-06-30,542.635
2004-07-30,525.352
2004-08-31,531.668
2004-09-30,552.142
2004-10-29,564.955
2004-11-30,611.016
2004-12-31,635.645
2005-01-31,623.465
2005-02-28,644.284
2005-03-31,631.174
2005-04-29,609.058
2005-05-31,631.347
2005-06-30,650.798
2005-07-29,682.945
2005-08-31,682.169
2005-09-30,689.462
2005-10-31,663.402
2005-11-30,689.296
2005-12-30,699.804
2006-01-31,750.183
2006-02-28,757.388
2006-03-31,784.47
2006-04-28,802.545
2006-05-31,772.262
2006-06-30,771.338
2006-07-31,767.045
2006-08-31,788.867
2006-09-29,797.021
2006-10-31,838.77
2006-11-30,874.499
2006-12-29,891.486
2007-01-31,908.144
2007-02-28,911.022
2007-03-30,933.536
2007-04-30,969.246
2007-05-31,1000.0
2007-06-29,977.665
2007-07-31,931.371
2007-08-31,921.57
2007-09-28,935.975
2007-10-31,963.263
2007-11-30,892.93
2007-12-31,875.119
2008-01-31,822.236
2008-02-29,816.097
2008-03-31,813.617
2008-04-30,841.248
2008-05-30,859.891
2008-06-30,767.472
2008-07-31,770.013
2008-08-29,782.747
2008-09-30,698.526
2008-10-31,535.895
2008-11-28,484.206
2008-12-31,514.487
2009-01-30,462.36
2009-02-27,406.864
2009-03-31,444.573
2009-04-30,537.092
2009-05-29,580.178
2009-06-30,579.237
2009-07-31,644.051
2009-08-31,698.577
2009-09-30,742.779
2009-10-30,708.636
2009-11-30,728.153
2009-12-31,764.972
2010-01-29,746.61
2010-02-26,762.869
2010-03-31,822.685
2010-04-30,855.366
2010-05-31,770.646
2010-06-30,727.691
2010-07-30,791.549
2010-08-31,751.235
2010-09-30,836.644
2010-10-29,870.467
2010-11-30,861.061
2010-12-31,941.402
2011-01-31,953.288
2011-02-28,987.567
2011-03-31,999.157
2011-04-29,1036.944
2011-05-31,1014.169
2011-06-30,985.647
2011-07-29,954.26
2011-08-31,869.535
2011-09-30,763.066
2011-10-31,866.005
2011-11-30,844.422
2011-12-30,843.608
2012-01-31,907.766
2012-02-29,950.674
2012-03-30,961.072
2012-04-30,953.288
2012-05-31,869.709
2012-06-29,903.983
2012-07-31,904.326
2012-08-31,935.699
2012-09-28,969.26
2012-10-31,972.285
2012-11-30,980.802
2012-12-31,1018.216
2013-01-31,1086.471
2013-02-28,1097.426
2013-03-29,1126.085
2013-04-30,1140.839
2013-05-31,1155.913
2013-06-28,1126.151
2013-07-31,1201.833
2013-08-30,1167.184
2013-09-30,1235.938
2013-10-31,1289.535
2013-11-29,1305.652
2013-12-31,1335.257
2014-01-31,1305.905
2014-02-28,1380.719
2014-03-31,1391.027
2014-04-30,1382.777
2014-05-30,1395.918
2014-06-30,1436.732
2014-07-31,1378.686
2014-08-29,1422.053
2014-09-30,1332.587
2014-10-31,1365.539
2014-11-28,1367.46
2014-12-31,1373.058
2015-01-30,1340.571
2015-02-27,1416.033
2015-03-31,1412.672
2015-04-30,1423.892
2015-05-29,1433.392
2015-06-30,1407.971
2015-07-31,1393.01
2015-08-31,1323.529
2015-09-30,1273.497
2015-10-30,1347.234
2015-11-30,1354.299
2015-12-31,1309.343
2016-01-29,1217.669
2016-02-29,1233.803
2016-03-31,1348.261
2016-04-29,1380.23
2016-05-31,1390.258
2016-06-30,1364.647
2016-07-29,1436.083
2016-08-31,1445.437
2016-09-30,1458.575
2016-10-31,1408.612
2016-11-30,1497.779
2016-12-30,1549.593
2017-01-31,1576.763
2017-02-28,1606.226
2017-03-31,1606.92
2017-04-28,1630.309
2017-05-31,1617.923
2017-06-30,1647.3
2017-07-31,1684.746
2017-08-31,1670.277
2017-09-29,1742.377
2017-10-31,1746.204
2017-11-30,1781.884
2017-12-29,1806.778
2018-01-31,1848.532
2018-02-28,1753.637
2018-03-30,1758.886
2018-04-30,1785.26
2018-05-31,1823.655
2018-06-29,1819.126
2018-07-31,1848.772
2018-08-31,1866.527
2018-09-28,1831.972
2018-10-31,1670.842
2018-11-30,1678.724
2018-12-31,1517.358
2019-01-31,1683.142
2019-02-28,1733.76
2019-03-29,1709.726
2019-04-30,1761.609
2019-05-31,1631.411
2019-06-28,1718.697
2019-07-31,1714.951
2019-08-30,1643.123
2019-09-30,1706.375
2019-10-31,1750.215
2019-11-29,1790.863
2019-12-31,1866.999
2020-01-31,1791.346
2020-02-28,1610.363
2020-03-31,1182.339
2020-04-30,1341.246
2020-05-29,1391.739
2020-06-30,1430.192
2020-07-31,1472.091
2020-08-31,1554.868
2020-09-30,1491.738
2020-10-30,1507.936
2020-11-30,1799.455
2020-12-31,1929.14
2021-01-29,1962.214
2021-02-26,2104.633
2021-03-31,2192.473
2021-04-30,2285.696
2021-05-31,2344.05
2021-06-30,2309.096
2021-07-30,2285.878
2021-08-31,2335.73
2021-09-30,2269.03
2021-10-29,2364.2
2021-11-30,2265.236
2021-12-31,2383.901
2022-01-31,2286.94
2022-02-28,2301.236
2022-03-31,2342.034
2022-04-29,2196.47
2022-05-31,2226.258
2022-06-30,1981.536
2022-07-29,2146.465
2022-08-31,2077.095
2022-09-30,1854.19
2022-10-31,2045.98
2022-11-30,2174.537
2022-12-30,2085.884
2023-01-31,2284.64
2023-02-28,2238.288
2023-03-31,2115.466
2023-04-28,2105.836
2023-05-31,2021.147
2023-06-30,2159.728
2023-07-31,2287.562
2023-08-31,2186.817
2023-09-29,2079.474
2023-10-31,1963.512
2023-11-30,2141.855
2023-12-29,2368.166
2024-01-31,2291.647
2024-02-29,2323.802
2024-03-29,2438.814
2024-04-30,2321.193
2024-05-31,2426.804
2024-06-28,2361.828
2024-07-31,2558.999
2024-08-30,2573.766
2024-09-30,2618.635
2024-10-31,2557.107
2024-11-29,2719.892
2024-12-31,2544.428
2025-01-31,2627.622
2025-02-28,2567.006
2025-03-31,2474.367
2025-04-30,2439.561
2025-05-30,2572.736
2025-06-30,2689.227
2025-07-31,2710.909
2025-08-29,2879.016
2025-09-30,2902.464
2025-10-31,2881.728
