Date,KOKUSAI INDEX (WORLD ex JP) SMALL VALUE Small Cap
1994-05-31,173.914
1994-06-30,171.113
1994-07-29,175.215
1994-08-31,179.967
1994-09-30,177.362
1994-10-31,176.963
1994-11-30,169.511
1994-12-30,172.19
1995-01-31,171.247
1995-02-28,176.1
1995-03-31,178.885
1995-04-28,182.568
1995-05-31,187.366
1995-06-30,191.468
1995-07-31,199.236
1995-08-31,199.201
1995-09-29,202.873
1995-10-31,196.919
1995-11-30,199.673
1995-12-29,204.727
1996-01-31,206.897
1996-02-29,212.631
1996-03-29,215.929
1996-04-30,220.202
1996-05-31,225.894
1996-06-28,224.586
1996-07-31,215.495
1996-08-30,223.758
1996-09-30,227.553
1996-10-31,230.997
1996-11-29,240.842
1996-12-31,247.5
1997-01-31,252.342
1997-02-28,254.929
1997-03-31,251.834
1997-04-30,251.109
1997-05-30,267.464
1997-06-30,278.644
1997-07-31,286.56
1997-08-29,288.946
1997-09-30,306.555
1997-10-31,297.245
1997-11-28,296.617
1997-12-31,301.808
1998-01-30,299.792
1998-02-27,320.069
1998-03-31,336.774
1998-04-30,341.56
1998-05-29,338.396
1998-06-30,329.559
1998-07-31,314.26
1998-08-31,270.239
1998-09-30,275.401
1998-10-30,285.611
1998-11-30,295.546
1998-12-31,302.227
1999-01-29,298.286
1999-02-26,285.799
1999-03-31,288.237
1999-04-30,311.249
1999-05-31,313.911
1999-06-30,324.78
1999-07-30,324.655
1999-08-31,319.619
1999-09-30,315.062
1999-10-29,310.196
1999-11-30,312.723
1999-12-31,325.452
2000-01-31,317.268
2000-02-29,326.446
2000-03-31,330.871
2000-04-28,315.744
2000-05-31,311.523
2000-06-30,325.641
2000-07-31,324.972
2000-08-31,335.377
2000-09-29,329.768
2000-10-31,318.761
2000-11-30,310.861
2000-12-29,336.279
2001-01-31,350.264
2001-02-28,341.238
2001-03-30,324.6
2001-04-30,342.158
2001-05-31,350.712
2001-06-29,353.228
2001-07-31,348.596
2001-08-31,348.553
2001-09-28,308.782
2001-10-31,319.164
2001-11-30,338.091
2001-12-31,352.334
2002-01-31,351.119
2002-02-28,354.934
2002-03-29,379.834
2002-04-30,391.909
2002-05-31,392.026
2002-06-28,376.949
2002-07-31,337.464
2002-08-30,339.916
2002-09-30,311.55
2002-10-31,318.021
2002-11-29,336.999
2002-12-31,331.674
2003-01-31,323.424
2003-02-28,315.158
2003-03-31,315.498
2003-04-30,347.598
2003-05-30,382.154
2003-06-30,390.244
2003-07-31,406.577
2003-08-29,421.237
2003-09-30,425.851
2003-10-31,456.303
2003-11-28,473.391
2003-12-31,496.753
2004-01-30,514.944
2004-02-27,529.659
2004-03-31,531.259
2004-04-30,506.006
2004-05-31,514.612
2004-06-30,533.15
2004-07-30,516.364
2004-08-31,522.811
2004-09-30,543.232
2004-10-29,556.03
2004-11-30,601.65
2004-12-31,626.296
2005-01-31,614.439
2005-02-28,635.193
2005-03-31,622.69
2005-04-29,601.305
2005-05-31,623.802
2005-06-30,643.441
2005-07-29,675.442
2005-08-31,674.993
2005-09-30,682.537
2005-10-31,656.957
2005-11-30,682.913
2005-12-30,693.75
2006-01-31,743.867
2006-02-28,751.276
2006-03-31,778.666
2006-04-28,797.068
2006-05-31,767.603
2006-06-30,767.22
2006-07-31,763.183
2006-08-31,785.236
2006-09-29,793.787
2006-10-31,835.61
2006-11-30,871.555
2006-12-29,889.07
2007-01-31,905.923
2007-02-28,909.113
2007-03-30,932.328
2007-04-30,968.584
2007-05-31,1000.0
2007-06-29,978.316
2007-07-31,932.251
2007-08-31,922.877
2007-09-28,937.835
2007-10-31,965.459
2007-11-30,895.355
2007-12-31,878.135
2008-01-31,825.307
2008-02-29,819.519
2008-03-31,817.699
2008-04-30,846.213
2008-05-30,865.873
2008-06-30,773.529
2008-07-31,776.449
2008-08-29,789.692
2008-09-30,705.226
2008-10-31,541.297
2008-11-28,489.466
2008-12-31,520.606
2009-01-30,468.038
2009-02-27,412.128
2009-03-31,450.84
2009-04-30,545.146
2009-05-29,589.428
2009-06-30,588.991
2009-07-31,655.143
2009-08-31,710.917
2009-09-30,756.285
2009-10-30,721.705
2009-11-30,741.899
2009-12-31,779.929
2010-01-29,761.393
2010-02-26,778.285
2010-03-31,839.892
2010-04-30,873.689
2010-05-31,787.723
2010-06-30,744.347
2010-07-30,809.916
2010-08-31,769.024
2010-09-30,856.927
2010-10-29,891.81
2010-11-30,882.548
2010-12-31,965.519
2011-01-31,977.932
2011-02-28,1013.43
2011-03-31,1026.031
2011-04-29,1065.318
2011-05-31,1042.851
2011-06-30,1014.307
2011-07-29,982.299
2011-08-31,895.505
2011-09-30,786.449
2011-10-31,892.805
2011-11-30,871.034
2011-12-30,870.948
2012-01-31,937.434
2012-02-29,982.115
2012-03-30,993.77
2012-04-30,986.266
2012-05-31,900.582
2012-06-29,936.975
2012-07-31,937.675
2012-08-31,970.737
2012-09-28,1006.314
2012-10-31,1009.752
2012-11-30,1019.364
2012-12-31,1059.68
2013-01-31,1130.981
2013-02-28,1142.833
2013-03-29,1173.68
2013-04-30,1189.819
2013-05-31,1206.55
2013-06-28,1176.551
2013-07-31,1255.971
2013-08-30,1220.373
2013-09-30,1293.088
2013-10-31,1349.504
2013-11-29,1367.055
2013-12-31,1399.067
2014-01-31,1368.754
2014-02-28,1447.805
2014-03-31,1459.761
2014-04-30,1451.755
2014-05-30,1466.772
2014-06-30,1510.856
2014-07-31,1450.203
2014-08-29,1496.489
2014-09-30,1403.249
2014-10-31,1438.345
2014-11-28,1441.126
2014-12-31,1448.196
2015-01-30,1414.25
2015-02-27,1494.517
2015-03-31,1492.19
2015-04-30,1504.935
2015-05-29,1516.198
2015-06-30,1490.522
2015-07-31,1475.077
2015-08-31,1402.209
2015-09-30,1350.179
2015-10-30,1428.763
2015-11-30,1437.087
2015-12-31,1390.555
2016-01-29,1293.736
2016-02-29,1311.535
2016-03-31,1434.543
2016-04-29,1469.382
2016-05-31,1481.367
2016-06-30,1455.348
2016-07-29,1531.982
2016-08-31,1542.896
2016-09-30,1557.976
2016-10-31,1504.992
2016-11-30,1601.126
2016-12-30,1657.79
2017-01-31,1687.324
2017-02-28,1719.488
2017-03-31,1721.705
2017-04-28,1747.474
2017-05-31,1735.788
2017-06-30,1768.887
2017-07-31,1809.639
2017-08-31,1794.868
2017-09-29,1873.55
2017-10-31,1878.117
2017-11-30,1917.546
2017-12-29,1945.748
2018-01-31,1991.179
2018-02-28,1889.672
2018-03-30,1896.979
2018-04-30,1926.584
2018-05-31,1969.766
2018-06-29,1966.571
2018-07-31,1999.215
2018-08-31,2019.356
2018-09-28,1983.363
2018-10-31,1809.522
2018-11-30,1818.991
2018-12-31,1645.619
2019-01-31,1825.945
2019-02-28,1881.657
2019-03-29,1857.316
2019-04-30,1914.844
2019-05-31,1775.272
2019-06-28,1871.94
2019-07-31,1868.492
2019-08-30,1791.222
2019-09-30,1861.64
2019-10-31,1910.262
2019-11-29,1955.636
2019-12-31,2040.378
2020-01-31,1958.297
2020-02-28,1761.318
2020-03-31,1294.53
2020-04-30,1469.333
2020-05-29,1525.941
2020-06-30,1569.233
2020-07-31,1615.692
2020-08-31,1707.471
2020-09-30,1639.263
2020-10-30,1657.511
2020-11-30,1979.11
2020-12-31,2123.173
2021-01-29,2160.104
2021-02-26,2317.786
2021-03-31,2416.144
2021-04-30,2519.812
2021-05-31,2586.005
2021-06-30,2548.896
2021-07-30,2523.896
2021-08-31,2580.249
2021-09-30,2508.074
2021-10-29,2614.038
2021-11-30,2505.997
2021-12-31,2639.175
2022-01-31,2532.307
2022-02-28,2549.179
2022-03-31,2596.446
2022-04-29,2436.491
2022-05-31,2472.034
2022-06-30,2202.08
2022-07-29,2386.286
2022-08-31,2310.522
2022-09-30,2064.122
2022-10-31,2278.31
2022-11-30,2423.031
2022-12-30,2326.053
2023-01-31,2548.362
2023-02-28,2497.975
2023-03-31,2363.35
2023-04-28,2354.404
2023-05-31,2262.424
2023-06-30,2419.578
2023-07-31,2563.677
2023-08-31,2452.35
2023-09-29,2333.766
2023-10-31,2204.347
2023-11-30,2406.272
2023-12-29,2662.519
2024-01-31,2577.15
2024-02-29,2614.87
2024-03-29,2746.718
2024-04-30,2616.017
2024-05-31,2737.643
2024-06-28,2666.745
2024-07-31,2890.307
2024-08-30,2908.672
2024-09-30,2961.338
2024-10-31,2892.527
2024-11-29,3078.4
2024-12-31,2882.157
2025-01-31,2977.296
2025-02-28,2910.067
2025-03-31,2807.723
2025-04-30,2770.069
2025-05-30,2924.496
2025-06-30,3059.579
2025-07-31,3085.307
2025-08-29,3278.562
2025-09-30,3307.45
2025-10-31,3284.882
