Date,KOKUSAI INDEX (WORLD ex JP) SMALL VALUE Small Cap
2001-01-01,336.284
2001-01-02,331.912
2001-01-03,336.666
2001-01-04,336.589
2001-01-05,333.445
2001-01-08,332.664
2001-01-09,332.18
2001-01-10,335.343
2001-01-11,338.693
2001-01-12,339.551
2001-01-15,339.118
2001-01-16,342.168
2001-01-17,342.159
2001-01-18,343.759
2001-01-19,341.663
2001-01-22,342.492
2001-01-23,346.458
2001-01-24,345.136
2001-01-25,344.428
2001-01-26,344.676
2001-01-29,347.674
2001-01-30,349.703
2001-01-31,350.264
2001-02-01,352.667
2001-02-02,350.364
2001-02-05,351.143
2001-02-06,351.721
2001-02-07,352.023
2001-02-08,349.479
2001-02-09,348.051
2001-02-12,351.49
2001-02-13,350.34
2001-02-14,349.382
2001-02-15,349.522
2001-02-16,347.841
2001-02-19,348.325
2001-02-20,345.308
2001-02-21,342.238
2001-02-22,339.561
2001-02-23,339.001
2001-02-26,343.084
2001-02-27,342.25
2001-02-28,341.238
2001-03-01,341.217
2001-03-02,344.332
2001-03-05,344.05
2001-03-06,346.571
2001-03-07,347.869
2001-03-08,348.261
2001-03-09,345.872
2001-03-12,339.123
2001-03-13,337.058
2001-03-14,331.227
2001-03-15,330.163
2001-03-16,325.503
2001-03-19,327.839
2001-03-20,326.397
2001-03-21,321.114
2001-03-22,314.932
2001-03-23,319.597
2001-03-26,322.775
2001-03-27,325.17
2001-03-28,321.149
2001-03-29,320.44
2001-03-30,324.6
2001-04-02,321.294
2001-04-03,316.172
2001-04-04,316.906
2001-04-05,323.284
2001-04-06,320.813
2001-04-09,323.273
2001-04-10,326.415
2001-04-11,325.319
2001-04-12,328.538
2001-04-13,328.537
2001-04-16,326.985
2001-04-17,328.302
2001-04-18,330.559
2001-04-19,334.513
2001-04-20,334.689
2001-04-23,332.796
2001-04-24,333.328
2001-04-25,336.906
2001-04-26,339.772
2001-04-27,341.437
2001-04-30,342.158
2001-05-01,344.779
2001-05-02,345.506
2001-05-03,344.084
2001-05-04,347.053
2001-05-07,346.177
2001-05-08,346.607
2001-05-09,346.353
2001-05-10,347.593
2001-05-11,346.458
2001-05-14,346.415
2001-05-15,348.592
2001-05-16,351.807
2001-05-17,354.8
2001-05-18,355.35
2001-05-21,358.661
2001-05-22,358.496
2001-05-23,354.989
2001-05-24,355.387
2001-05-25,355.194
2001-05-28,355.621
2001-05-29,353.201
