Date,PORTUGAL SMALL VALUE Small Cap
2001-01-01,161.177
2001-01-02,162.354
2001-01-03,161.68
2001-01-04,161.383
2001-01-05,164.546
2001-01-08,164.062
2001-01-09,161.22
2001-01-10,161.67
2001-01-11,164.41
2001-01-12,164.985
2001-01-15,163.107
2001-01-16,162.501
2001-01-17,161.421
2001-01-18,164.486
2001-01-19,164.349
2001-01-22,163.948
2001-01-23,163.941
2001-01-24,160.729
2001-01-25,160.119
2001-01-26,160.252
2001-01-29,158.476
2001-01-30,159.548
2001-01-31,163.102
2001-02-01,166.217
2001-02-02,162.955
2001-02-05,164.546
2001-02-06,162.278
2001-02-07,161.679
2001-02-08,159.247
2001-02-09,158.461
2001-02-12,159.567
2001-02-13,157.824
2001-02-14,157.14
2001-02-15,154.171
2001-02-16,156.142
2001-02-19,156.428
2001-02-20,155.385
2001-02-21,155.891
2001-02-22,155.148
2001-02-23,154.44
2001-02-26,155.035
2001-02-27,156.569
2001-02-28,156.17
2001-03-01,157.091
2001-03-02,158.448
2001-03-05,157.154
2001-03-06,158.299
2001-03-07,157.826
2001-03-08,158.48
2001-03-09,157.288
2001-03-12,155.837
2001-03-13,154.799
2001-03-14,153.233
2001-03-15,151.362
2001-03-16,148.378
2001-03-19,146.809
2001-03-20,148.791
2001-03-21,146.171
2001-03-22,140.672
2001-03-23,144.68
2001-03-26,145.694
2001-03-27,144.785
2001-03-28,142.796
2001-03-29,141.665
2001-03-30,142.687
2001-04-02,141.683
2001-04-03,139.685
2001-04-04,141.029
2001-04-05,144.556
2001-04-06,143.527
2001-04-09,145.479
2001-04-10,144.473
2001-04-11,143.567
2001-04-12,144.77
2001-04-13,144.77
2001-04-16,143.287
2001-04-17,142.16
2001-04-18,140.893
2001-04-19,142.538
2001-04-20,143.062
2001-04-23,142.591
2001-04-24,143.102
2001-04-25,143.63
2001-04-26,145.314
2001-04-27,143.301
2001-04-30,143.428
2001-05-01,144.189
2001-05-02,144.344
2001-05-03,145.305
