Date,PORTUGAL SMALL VALUE Small Cap
1994-05-31,92.918
1994-06-30,90.47
1994-07-29,97.005
1994-08-31,102.837
1994-09-30,99.884
1994-10-31,103.354
1994-11-30,100.87
1994-12-30,99.343
1995-01-31,96.069
1995-02-28,101.072
1995-03-31,107.834
1995-04-28,111.659
1995-05-31,113.549
1995-06-30,113.191
1995-07-31,111.358
1995-08-31,104.958
1995-09-29,106.567
1995-10-31,106.811
1995-11-30,101.001
1995-12-29,104.673
1996-01-31,109.768
1996-02-29,112.586
1996-03-29,114.935
1996-04-30,112.865
1996-05-31,116.451
1996-06-28,120.065
1996-07-31,125.943
1996-08-30,129.35
1996-09-30,127.416
1996-10-31,128.132
1996-11-29,130.256
1996-12-31,133.231
1997-01-31,139.231
1997-02-28,141.654
1997-03-31,143.876
1997-04-30,141.431
1997-05-30,151.292
1997-06-30,153.534
1997-07-31,160.577
1997-08-29,152.817
1997-09-30,162.911
1997-10-31,160.744
1997-11-28,149.781
1997-12-31,150.315
1998-01-30,158.957
1998-02-27,170.869
1998-03-31,199.435
1998-04-30,229.291
1998-05-29,222.508
1998-06-30,203.975
1998-07-31,209.926
1998-08-31,191.646
1998-09-30,173.573
1998-10-30,184.828
1998-11-30,187.978
1998-12-31,184.811
1999-01-29,176.774
1999-02-26,169.483
1999-03-31,160.926
1999-04-30,153.187
1999-05-31,150.407
1999-06-30,142.518
1999-07-30,148.235
1999-08-31,154.68
1999-09-30,157.101
1999-10-29,158.096
1999-11-30,153.767
1999-12-31,157.577
2000-01-31,171.916
2000-02-29,173.463
2000-03-31,166.237
2000-04-28,154.531
2000-05-31,157.304
2000-06-30,162.368
2000-07-31,160.022
2000-08-31,154.98
2000-09-29,153.206
2000-10-31,145.253
2000-11-30,147.427
2000-12-29,161.177
2001-01-31,163.102
2001-02-28,156.17
2001-03-30,142.687
2001-04-30,143.428
2001-05-31,133.684
2001-06-29,122.713
2001-07-31,125.088
2001-08-31,125.93
2001-09-28,114.716
2001-10-31,132.977
2001-11-30,138.007
2001-12-31,139.582
2002-01-31,135.234
2002-02-28,133.737
2002-03-29,142.17
2002-04-30,144.318
2002-05-31,143.01
2002-06-28,142.243
2002-07-31,133.452
2002-08-30,131.395
2002-09-30,117.027
2002-10-31,119.973
2002-11-29,130.243
2002-12-31,137.867
2003-01-31,139.636
2003-02-28,142.931
2003-03-31,147.821
2003-04-30,171.746
2003-05-30,186.416
2003-06-30,188.067
2003-07-31,186.139
2003-08-29,180.016
2003-09-30,193.802
2003-10-31,209.177
2003-11-28,222.544
2003-12-31,240.059
2004-01-30,238.647
2004-02-27,254.878
2004-03-31,251.721
2004-04-30,251.874
2004-05-31,250.956
2004-06-30,268.15
2004-07-30,276.108
2004-08-31,278.711
2004-09-30,281.135
2004-10-29,291.726
2004-11-30,302.819
2004-12-31,292.912
2005-01-31,309.225
2005-02-28,320.811
2005-03-31,307.722
2005-04-29,311.25
2005-05-31,290.288
2005-06-30,292.585
2005-07-29,306.162
2005-08-31,324.391
2005-09-30,340.287
2005-10-31,328.066
2005-11-30,337.98
2005-12-30,351.887
2006-01-31,383.218
2006-02-28,406.863
2006-03-31,490.34
2006-04-28,517.961
2006-05-31,518.514
2006-06-30,507.594
2006-07-31,496.576
2006-08-31,522.961
2006-09-29,538.722
2006-10-31,534.41
2006-11-30,578.327
2006-12-29,609.69
2007-01-31,680.071
2007-02-28,756.662
2007-03-30,788.339
2007-04-30,900.269
2007-05-31,1000.0
2007-06-29,1007.434
2007-07-31,1013.158
2007-08-31,929.599
2007-09-28,880.187
2007-10-31,907.882
2007-11-30,820.036
2007-12-31,748.22
2008-01-31,641.994
2008-02-29,667.042
2008-03-31,701.274
2008-04-30,766.011
2008-05-30,728.572
2008-06-30,606.101
2008-07-31,566.699
2008-08-29,557.248
2008-09-30,486.196
2008-10-31,396.354
2008-11-28,360.637
2008-12-31,395.191
2009-01-30,373.457
2009-02-27,345.865
2009-03-31,388.335
2009-04-30,476.44
2009-05-29,555.373
2009-06-30,531.617
2009-07-31,554.461
2009-08-31,618.069
2009-09-30,686.046
2009-10-30,660.702
2009-11-30,662.92
2009-12-31,642.392
2010-01-29,607.455
2010-02-26,556.054
2010-03-31,588.544
2010-04-30,539.237
2010-05-31,476.399
2010-06-30,481.624
2010-07-30,533.184
2010-08-31,524.395
2010-09-30,543.062
2010-10-29,604.734
2010-11-30,488.473
2010-12-31,533.276
2011-01-31,569.226
2011-02-28,580.778
2011-03-31,574.108
2011-04-29,602.904
2011-05-31,562.782
2011-06-30,538.996
2011-07-29,478.089
2011-08-31,423.608
