Date,WORLD MID CAP Mid Cap
1994-05-31,276.744
1994-06-30,277.64
1994-07-29,281.814
1994-08-31,288.897
1994-09-30,281.964
1994-10-31,285.273
1994-11-30,270.194
1994-12-30,274.089
1995-01-31,269.735
1995-02-28,270.839
1995-03-31,281.633
1995-04-28,289.416
1995-05-31,287.158
1995-06-30,288.688
1995-07-31,303.949
1995-08-31,300.71
1995-09-29,304.854
1995-10-31,297.017
1995-11-30,304.457
1995-12-29,311.482
1996-01-31,316.279
1996-02-29,321.891
1996-03-29,328.048
1996-04-30,341.699
1996-05-31,341.518
1996-06-28,338.201
1996-07-31,323.0
1996-08-30,329.578
1996-09-30,338.492
1996-10-31,336.12
1996-11-29,347.49
1996-12-31,343.447
1997-01-31,342.979
1997-02-28,343.497
1997-03-31,332.765
1997-04-30,334.69
1997-05-30,360.966
1997-06-30,373.165
1997-07-31,384.553
1997-08-29,373.337
1997-09-30,387.956
1997-10-31,371.683
1997-11-28,367.006
1997-12-31,367.889
1998-01-30,372.277
1998-02-27,399.693
1998-03-31,418.66
1998-04-30,422.875
1998-05-29,415.289
1998-06-30,412.298
1998-07-31,402.851
1998-08-31,340.648
1998-09-30,346.223
1998-10-30,375.11
1998-11-30,390.56
1998-12-31,407.566
1999-01-29,409.202
1999-02-26,393.853
1999-03-31,407.614
1999-04-30,434.936
1999-05-31,429.969
1999-06-30,447.89
1999-07-30,451.299
1999-08-31,453.426
1999-09-30,449.107
1999-10-29,460.693
1999-11-30,483.521
1999-12-31,528.494
2000-01-31,509.531
2000-02-29,558.354
2000-03-31,561.92
2000-04-28,522.9
2000-05-31,507.397
2000-06-30,533.189
2000-07-31,518.41
2000-08-31,550.517
2000-09-29,529.775
2000-10-31,503.399
2000-11-30,463.92
2000-12-29,486.333
2001-01-31,497.666
2001-02-28,466.831
2001-03-30,432.921
2001-04-30,469.896
2001-05-31,472.514
2001-06-29,463.477
2001-07-31,450.003
2001-08-31,435.806
2001-09-28,380.724
2001-10-31,396.249
2001-11-30,418.815
2001-12-31,427.288
2002-01-31,419.523
2002-02-28,417.836
2002-03-29,443.349
2002-04-30,442.46
2002-05-31,445.961
2002-06-28,418.478
2002-07-31,377.398
2002-08-30,377.775
2002-09-30,342.854
2002-10-31,358.503
2002-11-29,379.682
2002-12-31,365.103
2003-01-31,356.723
2003-02-28,350.232
2003-03-31,351.036
2003-04-30,379.191
2003-05-30,410.846
2003-06-30,415.367
2003-07-31,427.305
2003-08-29,445.245
2003-09-30,448.007
2003-10-31,482.116
2003-11-28,490.575
2003-12-31,514.113
2004-01-30,526.794
2004-02-27,540.216
2004-03-31,544.42
2004-04-30,528.043
2004-05-31,537.817
2004-06-30,554.508
2004-07-30,532.393
2004-08-31,534.146
2004-09-30,552.994
2004-10-29,571.008
2004-11-30,610.994
2004-12-31,637.181
2005-01-31,624.948
2005-02-28,647.966
2005-03-31,638.65
2005-04-29,617.408
2005-05-31,634.079
2005-06-30,648.627
2005-07-29,677.63
2005-08-31,684.579
2005-09-30,704.211
2005-10-31,683.628
2005-11-30,713.578
2005-12-30,737.216
2006-01-31,782.546
2006-02-28,778.401
2006-03-31,802.392
2006-04-28,824.539
2006-05-31,793.327
2006-06-30,792.92
2006-07-31,784.19
2006-08-31,805.846
2006-09-29,816.5
2006-10-31,848.637
2006-11-30,879.469
2006-12-29,892.485
2007-01-31,910.544
2007-02-28,917.564
2007-03-30,935.478
2007-04-30,971.581
2007-05-31,1000.0
2007-06-29,986.611
2007-07-31,958.397
2007-08-31,947.323
2007-09-28,979.906
2007-10-31,1006.364
2007-11-30,947.85
2007-12-31,936.134
2008-01-31,863.234
2008-02-29,866.39
2008-03-31,856.406
2008-04-30,899.892
2008-05-30,930.226
2008-06-30,851.945
2008-07-31,810.49
2008-08-29,805.953
2008-09-30,690.695
2008-10-31,529.761
2008-11-28,498.173
2008-12-31,524.157
2009-01-30,485.056
2009-02-27,435.393
2009-03-31,468.645
2009-04-30,535.46
2009-05-29,580.731
2009-06-30,578.439
2009-07-31,629.15
2009-08-31,663.393
2009-09-30,698.904
2009-10-30,675.042
2009-11-30,696.975
2009-12-31,722.333
2010-01-29,696.419
2010-02-26,712.713
2010-03-31,761.924
2010-04-30,775.963
2010-05-31,703.51
2010-06-30,679.86
2010-07-30,735.04
2010-08-31,707.881
2010-09-30,784.774
2010-10-29,813.566
2010-11-30,806.368
2010-12-31,870.681
2011-01-31,886.552
2011-02-28,918.607
2011-03-31,920.739
2011-04-29,957.622
2011-05-31,943.115
2011-06-30,923.405
2011-07-29,901.494
2011-08-31,837.487
2011-09-30,751.288
2011-10-31,834.519
2011-11-30,810.88
2011-12-30,802.959
2012-01-31,852.321
2012-02-29,893.246
2012-03-30,902.061
2012-04-30,892.229
2012-05-31,807.132
2012-06-29,840.12
2012-07-31,847.371
2012-08-31,872.932
2012-09-28,897.867
2012-10-31,893.336
2012-11-30,907.978
2012-12-31,934.217
2013-01-31,983.294
2013-02-28,990.547
2013-03-29,1019.348
2013-04-30,1049.272
2013-05-31,1050.862
2013-06-28,1026.759
2013-07-31,1085.308
2013-08-30,1063.624
2013-09-30,1126.064
2013-10-31,1159.246
2013-11-29,1165.789
2013-12-31,1195.192
2014-01-31,1163.836
2014-02-28,1232.032
2014-03-31,1226.352
2014-04-30,1227.78
2014-05-30,1254.301
2014-06-30,1282.881
2014-07-31,1251.225
2014-08-29,1282.8
2014-09-30,1228.35
2014-10-31,1241.804
2014-11-28,1265.856
2014-12-31,1256.871
2015-01-30,1244.23
2015-02-27,1319.359
2015-03-31,1308.289
2015-04-30,1332.762
2015-05-29,1338.834
2015-06-30,1308.554
2015-07-31,1321.271
2015-08-31,1247.271
2015-09-30,1197.543
2015-10-30,1281.094
2015-11-30,1278.349
2015-12-31,1251.461
2016-01-29,1161.821
2016-02-29,1169.059
2016-03-31,1263.388
2016-04-29,1288.589
2016-05-31,1291.392
2016-06-30,1265.635
2016-07-29,1333.042
2016-08-31,1328.363
2016-09-30,1341.724
2016-10-31,1303.815
2016-11-30,1327.842
2016-12-30,1345.336
2017-01-31,1390.231
2017-02-28,1420.456
2017-03-31,1432.726
2017-04-28,1459.787
2017-05-31,1488.591
2017-06-30,1498.21
2017-07-31,1533.313
2017-08-31,1532.452
2017-09-29,1568.112
2017-10-31,1594.442
2017-11-30,1632.662
2017-12-29,1658.886
2018-01-31,1734.737
2018-02-28,1660.993
2018-03-30,1646.709
2018-04-30,1662.118
2018-05-31,1672.685
2018-06-29,1665.378
2018-07-31,1699.531
2018-08-31,1714.697
2018-09-28,1707.962
2018-10-31,1550.658
2018-11-30,1558.396
2018-12-31,1438.701
2019-01-31,1573.426
2019-02-28,1625.716
2019-03-29,1636.238
2019-04-30,1690.905
2019-05-31,1595.388
2019-06-28,1699.142
2019-07-31,1702.29
2019-08-30,1658.742
2019-09-30,1698.149
2019-10-31,1742.026
2019-11-29,1790.518
2019-12-31,1832.646
2020-01-31,1811.124
2020-02-28,1646.611
2020-03-31,1352.078
2020-04-30,1515.675
2020-05-29,1620.589
2020-06-30,1657.323
2020-07-31,1738.203
2020-08-31,1819.715
2020-09-30,1783.823
2020-10-30,1765.253
2020-11-30,2018.171
2020-12-31,2119.507
2021-01-29,2110.138
2021-02-26,2188.69
