Date,WORLD MID CAP Mid Cap
2001-01-01,486.35
2001-01-02,474.801
2001-01-03,482.258
2001-01-04,478.627
2001-01-05,472.201
2001-01-08,470.066
2001-01-09,468.298
2001-01-10,473.011
2001-01-11,476.978
2001-01-12,478.357
2001-01-15,477.753
2001-01-16,478.297
2001-01-17,481.563
2001-01-18,485.282
2001-01-19,483.94
2001-01-22,484.888
2001-01-23,490.847
2001-01-24,489.45
2001-01-25,489.254
2001-01-26,489.436
2001-01-29,493.888
2001-01-30,496.813
2001-01-31,497.666
2001-02-01,499.615
2001-02-02,492.881
2001-02-05,491.986
2001-02-06,493.306
2001-02-07,490.33
2001-02-08,487.175
2001-02-09,484.911
2001-02-12,487.159
2001-02-13,484.498
2001-02-14,484.633
2001-02-15,486.819
2001-02-16,482.422
2001-02-19,481.818
2001-02-20,476.082
2001-02-21,471.012
2001-02-22,467.378
2001-02-23,467.331
2001-02-26,473.879
2001-02-27,472.018
2001-02-28,466.831
2001-03-01,465.243
2001-03-02,464.491
2001-03-05,464.398
2001-03-06,471.114
2001-03-07,472.45
2001-03-08,471.487
2001-03-09,465.045
2001-03-12,451.25
2001-03-13,447.433
2001-03-14,438.952
2001-03-15,439.387
2001-03-16,430.769
2001-03-19,435.806
2001-03-20,432.932
2001-03-21,427.455
2001-03-22,417.266
2001-03-23,427.473
2001-03-26,436.775
2001-03-27,440.959
2001-03-28,435.458
2001-03-29,431.581
2001-03-30,432.921
2001-04-02,426.999
2001-04-03,418.285
2001-04-04,419.946
2001-04-05,431.901
2001-04-06,428.5
2001-04-09,430.701
2001-04-10,437.98
2001-04-11,438.16
2001-04-12,444.827
2001-04-13,444.939
2001-04-16,441.779
2001-04-17,443.574
2001-04-18,456.216
2001-04-19,463.067
2001-04-20,461.974
2001-04-23,456.425
2001-04-24,454.745
2001-04-25,459.696
2001-04-26,463.64
2001-04-27,466.241
2001-04-30,469.896
2001-05-01,474.833
2001-05-02,476.413
2001-05-03,471.438
2001-05-04,474.823
2001-05-07,473.744
2001-05-08,472.58
2001-05-09,470.014
2001-05-10,470.517
2001-05-11,468.174
2001-05-14,465.183
2001-05-15,467.973
2001-05-16,474.663
2001-05-17,480.616
2001-05-18,481.004
2001-05-21,488.754
2001-05-22,488.981
2001-05-23,483.501
2001-05-24,483.676
2001-05-25,481.464
2001-05-28,481.382
2001-05-29,477.263
2001-05-30,470.083
2001-05-31,472.514
2001-06-01,474.531
2001-06-04,475.683
2001-06-05,480.189
2001-06-06,477.144
2001-06-07,479.84
2001-06-08,477.483
2001-06-11,470.856
2001-06-12,467.957
2001-06-13,467.333
2001-06-14,460.028
2001-06-15,458.796
2001-06-18,455.22
2001-06-19,454.772
2001-06-20,455.467
2001-06-21,457.503
2001-06-22,456.12
2001-06-25,455.729
2001-06-26,455.867
2001-06-27,456.13
2001-06-28,457.794
2001-06-29,463.477
2001-07-02,462.66
2001-07-03,461.69
2001-07-04,460.186
2001-07-05,454.757
2001-07-06,447.09
