Date,WORLD MID CAP Mid Cap
1994-05-31,267.324
1994-06-30,268.268
1994-07-29,272.351
1994-08-31,279.209
1994-09-30,272.54
1994-10-31,275.762
1994-11-30,261.198
1994-12-30,264.977
1995-01-31,260.782
1995-02-28,261.862
1995-03-31,272.358
1995-04-28,279.924
1995-05-31,277.825
1995-06-30,279.402
1995-07-31,294.233
1995-08-31,291.115
1995-09-29,295.167
1995-10-31,287.6
1995-11-30,294.821
1995-12-29,301.639
1996-01-31,306.301
1996-02-29,311.758
1996-03-29,317.776
1996-04-30,331.059
1996-05-31,330.969
1996-06-28,327.84
1996-07-31,313.17
1996-08-30,319.564
1996-09-30,328.25
1996-10-31,325.972
1996-11-29,337.008
1996-12-31,333.105
1997-01-31,332.664
1997-02-28,333.195
1997-03-31,322.835
1997-04-30,324.772
1997-05-30,350.361
1997-06-30,362.299
1997-07-31,373.415
1997-08-29,362.534
1997-09-30,376.779
1997-10-31,360.993
1997-11-28,356.462
1997-12-31,357.336
1998-01-30,361.614
1998-02-27,388.259
1998-03-31,406.754
1998-04-30,410.933
1998-05-29,403.66
1998-06-30,400.871
1998-07-31,391.737
1998-08-31,331.264
1998-09-30,336.725
1998-10-30,364.834
1998-11-30,379.876
1998-12-31,396.438
1999-01-29,398.055
1999-02-26,383.172
1999-03-31,396.675
1999-04-30,423.335
1999-05-31,418.593
1999-06-30,436.132
1999-07-30,439.492
1999-08-31,441.631
1999-09-30,437.507
1999-10-29,448.822
1999-11-30,471.118
1999-12-31,514.994
2000-01-31,496.546
2000-02-29,544.187
2000-03-31,547.81
2000-04-28,509.872
2000-05-31,494.879
2000-06-30,520.133
2000-07-31,505.796
2000-08-31,537.201
2000-09-29,517.07
2000-10-31,491.372
2000-11-30,452.904
2000-12-29,474.85
2001-01-31,485.963
2001-02-28,455.918
2001-03-30,422.958
2001-04-30,459.229
2001-05-31,462.014
2001-06-29,453.314
2001-07-31,440.197
2001-08-31,426.386
2001-09-28,372.6
2001-10-31,387.837
2001-11-30,409.993
2001-12-31,418.358
2002-01-31,410.801
2002-02-28,409.213
2002-03-29,434.356
2002-04-30,433.596
2002-05-31,437.239
2002-06-28,410.436
2002-07-31,370.191
2002-08-30,370.683
2002-09-30,336.563
2002-10-31,351.992
2002-11-29,372.909
2002-12-31,358.729
2003-01-31,350.547
2003-02-28,344.301
2003-03-31,345.32
2003-04-30,373.192
2003-05-30,404.598
2003-06-30,409.238
2003-07-31,421.078
2003-08-29,438.889
2003-09-30,441.772
2003-10-31,475.463
2003-11-28,483.942
2003-12-31,507.343
2004-01-30,519.926
2004-02-27,533.319
2004-03-31,537.712
2004-04-30,521.754
2004-05-31,531.731
2004-06-30,548.434
2004-07-30,526.639
2004-08-31,528.557
2004-09-30,547.382
2004-10-29,565.286
2004-11-30,605.059
2004-12-31,631.222
2005-01-31,619.178
2005-02-28,642.174
2005-03-31,633.193
2005-04-29,612.366
2005-05-31,629.322
2005-06-30,644.001
2005-07-29,672.891
2005-08-31,679.975
2005-09-30,699.719
2005-10-31,679.353
2005-11-30,709.354
2005-12-30,733.108
2006-01-31,778.294
2006-02-28,774.387
2006-03-31,798.586
2006-04-28,820.893
2006-05-31,790.364
2006-06-30,790.251
2006-07-31,781.667
2006-08-31,803.469
2006-09-29,814.372
2006-10-31,846.544
2006-11-30,877.532
2006-12-29,890.88
2007-01-31,908.997
2007-02-28,916.255
2007-03-30,934.583
2007-04-30,970.995
2007-05-31,1000.0
2007-06-29,986.945
2007-07-31,958.869
2007-08-31,948.083
2007-09-28,980.994
2007-10-31,1007.672
2007-11-30,949.358
2007-12-31,937.944
2008-01-31,865.011
2008-02-29,868.45
2008-03-31,859.02
2008-04-30,903.171
2008-05-30,934.339
2008-06-30,856.118
2008-07-31,814.625
2008-08-29,810.331
2008-09-30,694.789
2008-10-31,533.039
2008-11-28,501.488
2008-12-31,527.986
2009-01-30,488.682
2009-02-27,438.832
2009-03-31,472.706
2009-04-30,540.395
2009-05-29,586.625
2009-06-30,584.599
2009-07-31,635.955
2009-08-31,670.764
2009-09-30,706.878
2009-10-30,682.801
2009-11-30,705.248
2009-12-31,731.125
2010-01-29,704.963
2010-02-26,721.658
2010-03-31,771.865
2010-04-30,786.391
2010-05-31,713.439
2010-06-30,689.728
