Date,ISRAEL SMID GROWTH SMID (Small+Mid Cap)
2002-05-31,495.852
2002-06-03,494.182
2002-06-04,494.145
2002-06-05,489.008
2002-06-06,480.213
2002-06-07,480.669
2002-06-10,479.354
2002-06-11,466.974
2002-06-12,464.438
2002-06-13,461.763
2002-06-14,460.674
2002-06-17,466.729
2002-06-18,464.728
2002-06-19,453.578
2002-06-20,438.309
2002-06-21,431.179
2002-06-24,425.078
2002-06-25,432.746
2002-06-26,429.674
2002-06-27,440.853
2002-06-28,447.103
2002-07-01,437.846
2002-07-02,428.741
2002-07-03,433.532
2002-07-04,433.402
2002-07-05,440.89
2002-07-08,439.103
2002-07-09,440.955
2002-07-10,444.06
2002-07-11,443.531
2002-07-12,446.343
2002-07-15,456.071
2002-07-16,458.268
2002-07-17,468.154
2002-07-18,466.892
2002-07-19,465.152
2002-07-22,459.246
2002-07-23,448.215
2002-07-24,445.537
2002-07-25,439.247
2002-07-26,439.298
2002-07-29,460.74
2002-07-30,467.278
2002-07-31,470.548
2002-08-01,459.982
2002-08-02,452.278
2002-08-05,436.901
2002-08-06,442.966
2002-08-07,446.263
2002-08-08,447.422
2002-08-09,449.048
2002-08-12,448.091
2002-08-13,438.272
2002-08-14,445.156
2002-08-15,449.554
2002-08-16,453.758
2002-08-19,472.711
2002-08-20,471.205
2002-08-21,479.858
2002-08-22,480.346
2002-08-23,473.389
2002-08-26,474.688
2002-08-27,472.79
2002-08-28,466.465
2002-08-29,461.798
2002-08-30,460.077
2002-09-02,452.765
2002-09-03,446.517
2002-09-04,451.191
2002-09-05,445.414
2002-09-06,449.494
2002-09-09,451.237
2002-09-10,454.231
2002-09-11,455.464
2002-09-12,447.764
2002-09-13,445.472
2002-09-16,447.655
2002-09-17,450.279
2002-09-18,437.828
2002-09-19,433.217
2002-09-20,429.541
2002-09-23,417.768
2002-09-24,411.697
2002-09-25,416.02
2002-09-26,415.155
2002-09-27,412.672
2002-09-30,402.863
2002-10-01,408.579
2002-10-02,401.292
2002-10-03,395.583
2002-10-04,391.997
2002-10-07,379.991
2002-10-08,376.965
2002-10-09,376.462
2002-10-10,382.07
2002-10-11,389.645
2002-10-14,383.797
2002-10-15,397.435
2002-10-16,386.152
2002-10-17,402.829
2002-10-18,406.457
2002-10-21,406.876
2002-10-22,396.023
2002-10-23,400.425
2002-10-24,402.45
2002-10-25,401.912
2002-10-28,391.16
2002-10-29,386.679
2002-10-30,393.877
2002-10-31,391.243
2002-11-01,394.693
2002-11-04,404.493
2002-11-05,405.48
2002-11-06,419.237
2002-11-07,415.26
2002-11-08,414.022
2002-11-11,411.873
2002-11-12,409.2
2002-11-13,410.324
2002-11-14,417.63
2002-11-15,418.924
2002-11-18,420.727
2002-11-19,418.873
2002-11-20,423.104
2002-11-21,437.323
2002-11-22,440.222
2002-11-25,450.022
2002-11-26,454.518
2002-11-27,472.971
2002-11-28,472.052
2002-11-29,469.818
2002-12-02,477.809
2002-12-03,471.377
2002-12-04,461.437
2002-12-05,455.21
2002-12-06,456.126
