Date,ISRAEL SMID GROWTH SMID (Small+Mid Cap)
2002-05-31,495.852
2002-06-28,447.103
2002-07-31,470.548
2002-08-30,460.077
2002-09-30,402.863
2002-10-31,391.243
2002-11-29,469.818
2002-12-31,434.3
2003-01-31,408.375
2003-02-28,417.076
2003-03-31,439.437
2003-04-30,523.999
2003-05-30,591.347
2003-06-30,629.127
2003-07-31,606.806
2003-08-29,611.707
2003-09-30,644.627
2003-10-31,734.837
2003-11-28,793.286
2003-12-31,794.067
2004-01-30,819.238
2004-02-27,813.283
2004-03-31,803.865
2004-04-30,723.187
2004-05-31,720.527
2004-06-30,745.108
2004-07-30,649.997
2004-08-31,610.986
2004-09-30,663.925
2004-10-29,658.585
2004-11-30,741.687
2004-12-31,799.66
2005-01-31,771.362
2005-02-28,786.523
2005-03-31,772.797
2005-04-29,761.955
2005-05-31,798.13
2005-06-30,744.134
2005-07-29,760.028
2005-08-31,772.639
2005-09-30,780.144
2005-10-31,767.443
2005-11-30,753.187
2005-12-30,773.637
2006-01-31,793.609
2006-02-28,758.689
2006-03-31,758.506
2006-04-28,808.056
2006-05-31,778.515
2006-06-30,731.19
2006-07-31,728.649
2006-08-31,773.752
2006-09-29,783.939
2006-10-31,833.613
2006-11-30,858.707
2006-12-29,834.331
2007-01-31,857.548
2007-02-28,903.905
2007-03-30,915.617
2007-04-30,991.707
2007-05-31,1000.0
2007-06-29,970.143
2007-07-31,962.798
2007-08-31,956.258
2007-09-28,1026.974
2007-10-31,1077.598
2007-11-30,1004.592
2007-12-31,1010.049
2008-01-31,932.207
2008-02-29,926.434
2008-03-31,861.472
2008-04-30,898.432
2008-05-30,977.35
2008-06-30,884.587
2008-07-31,819.481
2008-08-29,807.81
2008-09-30,735.531
2008-10-31,562.524
2008-11-28,473.225
2008-12-31,476.605
2009-01-30,516.823
2009-02-27,483.796
2009-03-31,521.912
2009-04-30,587.402
2009-05-29,668.683
2009-06-30,705.523
2009-07-31,823.753
2009-08-31,820.64
2009-09-30,854.911
2009-10-30,890.378
2009-11-30,904.385
2009-12-31,957.584
2010-01-29,984.731
2010-02-26,984.083
2010-03-31,1045.542
2010-04-30,1028.138
2010-05-31,875.841
2010-06-30,847.49
2010-07-30,912.046
2010-08-31,908.382
2010-09-30,1024.826
2010-10-29,1110.391
2010-11-30,1039.317
2010-12-31,1149.659
2011-01-31,1071.735
2011-02-28,1088.591
2011-03-31,1153.215
2011-04-29,1177.317
2011-05-31,1105.32
2011-06-30,1069.863
2011-07-29,1077.682
2011-08-31,927.174
2011-09-30,877.227
2011-10-31,953.281
2011-11-30,901.598
2011-12-30,885.116
2012-01-31,950.422
2012-02-29,903.272
2012-03-30,977.594
2012-04-30,1020.346
2012-05-31,948.035
2012-06-29,935.986
2012-07-31,1020.539
2012-08-31,1032.516
2012-09-28,1050.976
2012-10-31,998.181
2012-11-30,1060.508
