Date,ISRAEL SMID GROWTH SMID (Small+Mid Cap)
2002-05-31,489.655
2002-06-03,488.006
2002-06-04,487.97
2002-06-05,482.896
2002-06-06,474.211
2002-06-07,474.662
2002-06-10,473.363
2002-06-11,461.175
2002-06-12,458.67
2002-06-13,456.028
2002-06-14,454.953
2002-06-17,460.933
2002-06-18,458.956
2002-06-19,447.945
2002-06-20,432.866
2002-06-21,425.824
2002-06-24,419.798
2002-06-25,427.372
2002-06-26,424.338
2002-06-27,435.378
2002-06-28,441.55
2002-07-01,432.409
2002-07-02,423.417
2002-07-03,428.148
2002-07-04,428.02
2002-07-05,435.415
2002-07-08,433.65
2002-07-09,435.479
2002-07-10,438.545
2002-07-11,438.022
2002-07-12,440.8
2002-07-15,450.407
2002-07-16,452.576
2002-07-17,462.34
2002-07-18,461.093
2002-07-19,459.375
2002-07-22,453.542
2002-07-23,442.648
2002-07-24,440.003
2002-07-25,433.792
2002-07-26,433.842
2002-07-29,455.018
2002-07-30,461.475
2002-07-31,464.705
2002-08-01,454.269
2002-08-02,446.661
2002-08-05,431.475
2002-08-06,437.465
2002-08-07,440.72
2002-08-08,441.866
2002-08-09,443.471
2002-08-12,442.527
2002-08-13,432.829
2002-08-14,439.627
2002-08-15,443.971
2002-08-16,448.122
2002-08-19,466.84
2002-08-20,465.353
2002-08-21,473.898
2002-08-22,474.381
2002-08-23,467.51
2002-08-26,468.793
2002-08-27,466.919
2002-08-28,460.672
2002-08-29,456.063
2002-08-30,454.364
2002-09-02,447.142
2002-09-03,440.972
2002-09-04,445.587
2002-09-05,439.882
2002-09-06,443.912
2002-09-09,445.633
2002-09-10,448.633
2002-09-11,449.886
2002-09-12,442.28
2002-09-13,440.017
2002-09-16,442.173
2002-09-17,444.764
2002-09-18,432.466
2002-09-19,428.011
2002-09-20,424.38
2002-09-23,412.749
2002-09-24,406.75
2002-09-25,411.022
2002-09-26,410.167
2002-09-27,407.713
2002-09-30,398.023
2002-10-01,403.669
2002-10-02,396.47
2002-10-03,390.83
2002-10-04,387.287
2002-10-07,375.425
2002-10-08,372.436
2002-10-09,371.939
2002-10-10,377.48
2002-10-11,384.963
2002-10-14,379.185
2002-10-15,392.66
2002-10-16,381.512
2002-10-17,397.989
2002-10-18,401.574
2002-10-21,401.988
2002-10-22,391.264
2002-10-23,395.613
2002-10-24,397.634
2002-10-25,397.103
2002-10-28,386.479
2002-10-29,382.051
2002-10-30,389.258
2002-10-31,386.655
2002-11-01,390.064
2002-11-04,399.75
2002-11-05,400.725
2002-11-06,414.32
2002-11-07,410.39
2002-11-08,409.167
2002-11-11,407.043
2002-11-12,404.401
2002-11-13,405.512
2002-11-14,412.732
2002-11-15,414.012
2002-11-18,415.793
2002-11-19,413.961
2002-11-20,418.142
2002-11-21,432.195
2002-11-22,435.06
2002-11-25,444.745
2002-11-26,449.188
2002-11-27,467.425
2002-11-28,466.517
2002-11-29,464.309
2002-12-02,472.206
2002-12-03,465.849
2002-12-04,456.026
2002-12-05,449.872
2002-12-06,450.777
2002-12-09,440.275
2002-12-10,445.867
2002-12-11,449.627
2002-12-12,450.386
2002-12-13,449.648
2002-12-16,452.003
2002-12-17,445.414
2002-12-18,436.058
2002-12-19,438.633
2002-12-20,440.381
2002-12-23,435.994
2002-12-24,431.041
2002-12-25,430.42
2002-12-26,436.864
2002-12-27,433.275
2002-12-30,426.234
2002-12-31,429.304
2003-01-01,426.114
2003-01-02,429.744
2003-01-03,429.857
2003-01-06,431.626
2003-01-07,427.53
2003-01-08,418.927
2003-01-09,427.474
2003-01-10,427.525
2003-01-13,423.434
2003-01-14,421.26
2003-01-15,420.766
2003-01-16,424.018
2003-01-17,417.825
2003-01-20,408.955
2003-01-21,406.079
2003-01-22,403.541
2003-01-23,405.074
2003-01-24,400.802
2003-01-27,400.218
2003-01-28,401.553
2003-01-29,403.344
2003-01-30,401.721
2003-01-31,403.721
2003-02-03,398.666
2003-02-04,390.987
2003-02-05,391.225
2003-02-06,391.879
2003-02-07,386.989
2003-02-10,382.516
2003-02-11,386.838
2003-02-12,385.025
2003-02-13,376.463
2003-02-14,382.63
2003-02-17,391.633
2003-02-18,403.809
2003-02-19,399.133
2003-02-20,402.019
2003-02-21,404.758
2003-02-24,405.418
2003-02-25,401.128
2003-02-26,398.969
2003-02-27,408.894
2003-02-28,412.322
2003-03-03,415.194
2003-03-04,410.994
2003-03-05,405.817
2003-03-06,407.622
2003-03-07,406.145
2003-03-10,400.519
2003-03-11,400.228
2003-03-12,402.237
2003-03-13,410.684
2003-03-14,412.231
2003-03-17,421.305
2003-03-18,422.114
2003-03-19,430.921
2003-03-20,430.412
2003-03-21,438.057
2003-03-24,429.974
2003-03-25,438.011
2003-03-26,443.838
2003-03-27,439.91
2003-03-28,439.124
2003-03-31,434.451
2003-04-01,444.823
2003-04-02,457.032
2003-04-03,467.588
