Date,ISRAEL SMID GROWTH SMID (Small+Mid Cap)
2002-05-31,489.655
2002-06-28,441.55
2002-07-31,464.705
2002-08-30,454.364
2002-09-30,398.023
2002-10-31,386.655
2002-11-29,464.309
2002-12-31,429.304
2003-01-31,403.721
2003-02-28,412.322
2003-03-31,434.451
2003-04-30,518.237
2003-05-30,585.011
2003-06-30,622.489
2003-07-31,600.403
2003-08-29,605.252
2003-09-30,638.685
2003-10-31,728.064
2003-11-28,785.975
2003-12-31,786.872
2004-01-30,811.816
2004-02-27,805.915
2004-03-31,796.797
2004-04-30,719.018
2004-05-31,716.374
2004-06-30,741.094
2004-07-30,646.495
2004-08-31,608.044
2004-09-30,660.972
2004-10-29,655.655
2004-11-30,738.567
2004-12-31,796.327
2005-01-31,768.147
2005-02-28,783.383
2005-03-31,769.861
2005-04-29,759.17
2005-05-31,795.37
2005-06-30,741.624
2005-07-29,757.487
2005-08-31,770.12
2005-09-30,777.879
2005-10-31,765.214
2005-11-30,751.062
2005-12-30,771.584
2006-01-31,791.504
2006-02-28,756.676
2006-03-31,756.543
2006-04-28,806.423
2006-05-31,776.983
2006-06-30,729.911
2006-07-31,727.375
2006-08-31,772.537
2006-09-29,782.962
2006-10-31,832.573
2006-11-30,857.8
2006-12-29,833.45
2007-01-31,856.642
2007-02-28,903.353
2007-03-30,915.457
2007-04-30,991.685
2007-05-31,1000.0
2007-06-29,970.796
2007-07-31,963.446
2007-08-31,957.718
2007-09-28,1028.924
2007-10-31,1079.644
2007-11-30,1007.064
2007-12-31,1012.684
2008-01-31,934.64
2008-02-29,928.949
2008-03-31,864.226
2008-04-30,901.575
2008-05-30,981.804
2008-06-30,888.746
2008-07-31,823.393
2008-08-29,812.325
2008-09-30,739.716
2008-10-31,565.725
2008-11-28,476.552
2008-12-31,480.437
2009-01-30,521.049
2009-02-27,487.753
2009-03-31,527.129
2009-04-30,593.415
2009-05-29,675.528
2009-06-30,713.192
2009-07-31,832.72
2009-08-31,830.317
2009-09-30,865.252
2009-10-30,901.167
2009-11-30,915.405
2009-12-31,969.584
2010-01-29,997.388
2010-02-26,996.747
2010-03-31,1059.629
2010-04-30,1042.387
2010-05-31,889.094
2010-06-30,860.841
2010-07-30,926.414
2010-08-31,922.986
2010-09-30,1042.217
2010-10-29,1129.379
2010-11-30,1057.393
2010-12-31,1171.708
2011-01-31,1092.853
2011-02-28,1110.234
2011-03-31,1176.691
2011-04-29,1203.196
2011-05-31,1130.224
2011-06-30,1094.295
2011-07-29,1102.292
2011-08-31,948.619
2011-09-30,897.633
2011-10-31,975.457
2011-11-30,922.746
2011-12-30,906.799
2012-01-31,973.705
2012-02-29,925.888
2012-03-30,1002.409
2012-04-30,1047.116
2012-05-31,973.751
2012-06-29,961.642
2012-07-31,1048.513
2012-08-31,1061.734
2012-09-28,1080.839
2012-10-31,1026.656
2012-11-30,1091.327
2012-12-31,1051.555
2013-01-31,1036.012
2013-02-28,1058.35
2013-03-29,1108.033
2013-04-30,1110.821
2013-05-31,1130.721
2013-06-28,1094.824
2013-07-31,1144.863
2013-08-30,1109.065
2013-09-30,1207.43
2013-10-31,1214.757
2013-11-29,1262.323
2013-12-31,1312.508
2014-01-31,1252.047
2014-02-28,1299.815
2014-03-31,1342.521
2014-04-30,1329.413
2014-05-30,1320.059
2014-06-30,1317.712
2014-07-31,1300.049
2014-08-29,1267.849
2014-09-30,1279.525
2014-10-31,1176.897
2014-11-28,1185.47
2014-12-31,1181.224
2015-01-30,1155.526
2015-02-27,1242.004
2015-03-31,1310.587
2015-04-30,1376.979
2015-05-29,1364.185
2015-06-30,1387.246
2015-07-31,1429.221
2015-08-31,1341.046
2015-09-30,1291.789
2015-10-30,1368.14
2015-11-30,1365.593
2015-12-31,1347.481
2016-01-29,1301.389
2016-02-29,1321.312
2016-03-31,1401.294
2016-04-29,1430.782
2016-05-31,1432.363
2016-06-30,1390.706
2016-07-29,1500.563
2016-08-31,1502.123
2016-09-30,1470.556
2016-10-31,1438.897
2016-11-30,1484.326
2016-12-30,1480.402
2017-01-31,1560.912
2017-02-28,1648.264
2017-03-31,1676.709
2017-04-28,1745.411
2017-05-31,1806.58
2017-06-30,1817.121
2017-07-31,1789.11
2017-08-31,1848.324
2017-09-29,1906.287
2017-10-31,1963.509
2017-11-30,1977.439
2017-12-29,1999.487
2018-01-31,2104.076
2018-02-28,2083.112
2018-03-30,2033.113
2018-04-30,2037.573
2018-05-31,2140.17
2018-06-29,2105.044
2018-07-31,2142.284
2018-08-31,2343.024
2018-09-28,2352.823
2018-10-31,2162.136
2018-11-30,2245.972
2018-12-31,2139.889
2019-01-31,2282.742
2019-02-28,2422.57
2019-03-29,2429.998
2019-04-30,2621.644
2019-05-31,2626.94
2019-06-28,2677.774
2019-07-31,2885.352
2019-08-30,2768.697
2019-09-30,2775.763
2019-10-31,2851.293
2019-11-29,2941.372
2019-12-31,2965.395
2020-01-31,3152.274
2020-02-28,2904.218
2020-03-31,2384.082
2020-04-30,2768.173
2020-05-29,3130.686
2020-06-30,3198.234
2020-07-31,3529.027
2020-08-31,3740.009
2020-09-30,3537.571
2020-10-30,3521.469
2020-11-30,3822.338
2020-12-31,4284.833
2021-01-29,4241.299
2021-02-26,4150.176
2021-03-31,4019.038
2021-04-30,4311.869
2021-05-31,4219.909
2021-06-30,4419.332
2021-07-30,4563.914
2021-08-31,4697.043
2021-09-30,4717.263
2021-10-29,5003.592
2021-11-30,4985.599
2021-12-31,5175.67
2022-01-31,4577.438
2022-02-28,4472.027
2022-03-31,4457.89
2022-04-29,4039.72
2022-05-31,3698.791
2022-06-30,3468.662
2022-07-29,3719.137
2022-08-31,3848.342
2022-09-30,3415.836
2022-10-31,3505.219
2022-11-30,3469.988
2022-12-30,3180.077
2023-01-31,3320.61
2023-02-28,3092.0
2023-03-31,3124.749
2023-04-28,3051.957
2023-05-31,3098.141
2023-06-30,3150.711
2023-07-31,3400.066
2023-08-31,3210.833
2023-09-29,3000.29
2023-10-31,2594.791
2023-11-30,3102.158
2023-12-29,3371.493
2024-01-31,3426.654
2024-02-29,3741.273
2024-03-29,3777.698
2024-04-30,3444.343
2024-05-31,3559.007
2024-06-28,3583.301
2024-07-31,3559.094
2024-08-30,3783.445
2024-09-30,3776.629
2024-10-31,3812.974
2024-11-29,4190.052
2024-12-31,4185.442
2025-01-31,4481.187
2025-02-28,4271.646
2025-03-31,3857.21
2025-04-30,4076.942
2025-05-30,4320.174
2025-06-30,4759.493
2025-07-31,4647.556
2025-08-29,4751.0
2025-09-30,5126.432
2025-10-31,5238.665
2025-11-28,5078.313
2025-12-31,5533.624
2026-01-30,6089.413
