Date,EM (EMERGING MARKETS) MID CAP Mid Cap
1994-05-31,371.906
1994-06-30,369.303
1994-07-29,385.796
1994-08-31,434.638
1994-09-30,449.166
1994-10-31,444.946
1994-11-30,429.843
1994-12-30,413.434
1995-01-31,368.53
1995-02-28,376.801
1995-03-31,381.283
1995-04-28,380.794
1995-05-31,406.745
1995-06-30,407.813
1995-07-31,422.132
1995-08-31,410.663
1995-09-29,404.199
1995-10-31,392.391
1995-11-30,376.114
1995-12-29,392.104
1996-01-31,422.515
1996-02-29,419.626
1996-03-29,421.757
1996-04-30,436.76
1996-05-31,427.794
1996-06-28,430.15
1996-07-31,403.194
1996-08-30,410.292
1996-09-30,412.497
1996-10-31,398.122
1996-11-29,399.388
1996-12-31,398.3
1997-01-31,422.974
1997-02-28,446.899
1997-03-31,434.517
1997-04-30,425.64
1997-05-30,427.93
1997-06-30,440.87
1997-07-31,442.748
1997-08-29,390.964
1997-09-30,391.391
1997-10-31,329.802
1997-11-28,302.177
1997-12-31,298.63
1998-01-30,274.162
1998-02-27,302.878
1998-03-31,313.592
1998-04-30,310.694
1998-05-29,274.134
1998-06-30,242.978
1998-07-31,242.282
1998-08-31,182.971
1998-09-30,183.328
1998-10-30,197.673
1998-11-30,214.003
1998-12-31,211.668
1999-01-29,199.828
1999-02-26,202.771
1999-03-31,230.733
1999-04-30,261.772
1999-05-31,260.845
1999-06-30,283.121
1999-07-30,277.454
1999-08-31,278.081
1999-09-30,269.216
1999-10-29,272.645
1999-11-30,300.342
1999-12-31,339.864
2000-01-31,346.284
2000-02-29,344.477
2000-03-31,339.625
2000-04-28,303.909
2000-05-31,284.745
2000-06-30,289.386
2000-07-31,280.768
2000-08-31,286.131
2000-09-29,256.564
2000-10-31,232.26
2000-11-30,216.323
2000-12-29,217.981
2001-01-31,244.55
2001-02-28,229.404
2001-03-30,209.469
2001-04-30,214.274
2001-05-31,218.383
2001-06-29,214.949
2001-07-31,201.999
2001-08-31,206.33
2001-09-28,173.155
2001-10-31,180.729
2001-11-30,201.71
2001-12-31,219.12
2002-01-31,231.605
2002-02-28,237.18
2002-03-29,253.958
2002-04-30,255.571
2002-05-31,250.626
2002-06-28,232.897
2002-07-31,220.597
2002-08-30,222.548
2002-09-30,198.179
2002-10-31,208.367
2002-11-29,223.746
2002-12-31,218.077
2003-01-31,221.177
2003-02-28,217.427
2003-03-31,209.475
2003-04-30,226.549
2003-05-30,243.802
2003-06-30,258.953
2003-07-31,274.699
2003-08-29,290.062
2003-09-30,293.708
2003-10-31,323.159
2003-11-28,330.347
2003-12-31,352.372
2004-01-30,365.861
2004-02-27,389.065
2004-03-31,399.342
2004-04-30,370.666
2004-05-31,363.658
2004-06-30,374.285
2004-07-30,364.829
2004-08-31,378.134
2004-09-30,401.821
2004-10-29,416.804
2004-11-30,456.986
2004-12-31,483.891
2005-01-31,481.613
2005-02-28,521.755
2005-03-31,486.314
2005-04-29,471.563
2005-05-31,484.5
2005-06-30,496.245
2005-07-29,529.444
2005-08-31,525.881
2005-09-30,568.53
2005-10-31,529.775
2005-11-30,581.332
2005-12-30,624.405
2006-01-31,680.877
2006-02-28,686.044
2006-03-31,691.836
2006-04-28,746.941
2006-05-31,666.175
2006-06-30,650.775
2006-07-31,659.078
2006-08-31,678.321
2006-09-29,691.135
2006-10-31,733.149
2006-11-30,789.685
2006-12-29,826.48
2007-01-31,818.812
2007-02-28,829.972
2007-03-30,858.898
2007-04-30,919.009
2007-05-31,1000.0
2007-06-29,1038.967
2007-07-31,1099.351
2007-08-31,1064.071
2007-09-28,1171.528
2007-10-31,1296.438
2007-11-30,1183.421
2007-12-31,1194.447
2008-01-31,1028.593
2008-02-29,1102.13
2008-03-31,1036.768
2008-04-30,1105.557
2008-05-30,1103.7
2008-06-30,964.454
2008-07-31,964.935
2008-08-29,891.651
2008-09-30,720.726
2008-10-31,517.291
2008-11-28,470.195
2008-12-31,526.956
2009-01-30,492.927
2009-02-27,459.542
2009-03-31,532.483
2009-04-30,645.067
2009-05-29,754.955
2009-06-30,754.885
2009-07-31,852.108
2009-08-31,848.85
2009-09-30,921.685
2009-10-30,919.852
2009-11-30,965.856
2009-12-31,1024.305
2010-01-29,966.723
2010-02-26,975.118
2010-03-31,1049.71
2010-04-30,1065.891
2010-05-31,970.734
2010-06-30,984.768
2010-07-30,1072.066
2010-08-31,1066.605
2010-09-30,1195.255
2010-10-29,1227.736
2010-11-30,1190.145
2010-12-31,1249.33
2011-01-31,1206.387
2011-02-28,1165.715
2011-03-31,1243.066
2011-04-29,1296.439
2011-05-31,1271.933
2011-06-30,1254.206
2011-07-29,1259.478
2011-08-31,1146.95
2011-09-30,946.874
2011-10-31,1059.274
2011-11-30,972.327
2011-12-30,964.776
2012-01-31,1076.783
2012-02-29,1160.623
2012-03-30,1122.99
2012-04-30,1097.634
2012-05-31,993.754
2012-06-29,1023.24
2012-07-31,1031.449
2012-08-31,1046.526
2012-09-28,1106.562
2012-10-31,1093.095
2012-11-30,1109.544
2012-12-31,1168.964
2013-01-31,1175.74
2013-02-28,1177.331
2013-03-29,1152.835
2013-04-30,1164.834
2013-05-31,1141.482
2013-06-28,1064.548
2013-07-31,1078.726
2013-08-30,1048.755
2013-09-30,1115.156
2013-10-31,1165.057
2013-11-29,1149.824
2013-12-31,1139.195
2014-01-31,1067.834
2014-02-28,1111.202
2014-03-31,1147.406
2014-04-30,1153.939
2014-05-30,1181.888
2014-06-30,1213.599
2014-07-31,1227.493
2014-08-29,1259.758
2014-09-30,1179.518
2014-10-31,1176.062
2014-11-28,1161.385
2014-12-31,1113.566
2015-01-30,1129.072
2015-02-27,1156.322
2015-03-31,1145.182
2015-04-30,1239.655
2015-05-29,1196.468
2015-06-30,1150.077
2015-07-31,1090.263
2015-08-31,992.541
2015-09-30,969.108
2015-10-30,1028.097
2015-11-30,991.239
2015-12-31,969.372
2016-01-29,912.483
2016-02-29,905.399
2016-03-31,1020.358
2016-04-29,1032.865
2016-05-31,988.982
2016-06-30,1020.191
2016-07-29,1082.706
2016-08-31,1089.082
2016-09-30,1095.736
2016-10-31,1091.246
2016-11-30,1025.79
2016-12-30,1019.461
2017-01-31,1075.557
2017-02-28,1116.943
2017-03-31,1148.6
2017-04-28,1173.876
2017-05-31,1204.474
2017-06-30,1206.46
2017-07-31,1267.688
2017-08-31,1292.258
2017-09-29,1284.288
2017-10-31,1303.063
