Date,EM (EMERGING MARKETS) MID CAP Mid Cap
1994-05-31,382.992
1994-06-30,380.279
1994-07-29,397.167
1994-08-31,447.385
1994-09-30,462.299
1994-10-31,457.899
1994-11-30,442.316
1994-12-30,425.403
1995-01-31,379.135
1995-02-28,387.626
1995-03-31,392.154
1995-04-28,391.597
1995-05-31,418.169
1995-06-30,419.236
1995-07-31,433.841
1995-08-31,421.996
1995-09-29,415.273
1995-10-31,403.096
1995-11-30,386.361
1995-12-29,402.748
1996-01-31,433.928
1996-02-29,430.955
1996-03-29,433.038
1996-04-30,448.323
1996-05-31,438.987
1996-06-28,441.341
1996-07-31,413.602
1996-08-30,420.846
1996-09-30,423.068
1996-10-31,408.299
1996-11-29,409.587
1996-12-31,408.444
1997-01-31,433.652
1997-02-28,458.174
1997-03-31,445.426
1997-04-30,436.287
1997-05-30,438.415
1997-06-30,451.587
1997-07-31,453.426
1997-08-29,400.373
1997-09-30,400.796
1997-10-31,337.686
1997-11-28,309.384
1997-12-31,305.716
1998-01-30,280.633
1998-02-27,310.018
1998-03-31,320.944
1998-04-30,317.924
1998-05-29,280.452
1998-06-30,248.52
1998-07-31,247.777
1998-08-31,187.113
1998-09-30,187.466
1998-10-30,202.1
1998-11-30,218.774
1998-12-31,216.361
1999-01-29,204.197
1999-02-26,207.186
1999-03-31,235.706
1999-04-30,267.368
1999-05-31,266.34
1999-06-30,289.036
1999-07-30,283.194
1999-08-31,283.815
1999-09-30,274.758
1999-10-29,278.244
1999-11-30,306.48
1999-12-31,346.787
2000-01-31,353.284
2000-02-29,351.418
2000-03-31,346.308
2000-04-28,309.823
2000-05-31,290.214
2000-06-30,294.914
2000-07-31,286.097
2000-08-31,291.516
2000-09-29,261.369
2000-10-31,236.579
2000-11-30,220.338
2000-12-29,221.996
2001-01-31,249.007
2001-02-28,233.582
2001-03-30,213.194
2001-04-30,218.054
2001-05-31,222.112
2001-06-29,218.546
2001-07-31,205.302
2001-08-31,209.652
2001-09-28,175.919
2001-10-31,183.607
2001-11-30,204.905
2001-12-31,222.548
2002-01-31,235.21
2002-02-28,240.835
2002-03-29,257.818
2002-04-30,259.433
2002-05-31,254.349
2002-06-28,236.291
2002-07-31,223.703
2002-08-30,225.624
2002-09-30,200.885
2002-10-31,211.195
2002-11-29,226.78
2002-12-31,221.014
2003-01-31,224.151
2003-02-28,220.27
2003-03-31,212.164
2003-04-30,229.413
2003-05-30,246.858
2003-06-30,262.173
2003-07-31,277.954
2003-08-29,293.414
2003-09-30,297.057
2003-10-31,326.824
2003-11-28,334.073
2003-12-31,356.279
2004-01-30,369.798
