Date,EM (EMERGING MARKETS) MID CAP Mid Cap
2001-01-01,217.955
2001-01-02,217.73
2001-01-03,218.843
2001-01-04,225.445
2001-01-05,227.007
2001-01-08,227.835
2001-01-09,230.307
2001-01-10,229.911
2001-01-11,229.717
2001-01-12,230.823
2001-01-15,231.789
2001-01-16,232.242
2001-01-17,233.791
2001-01-18,235.302
2001-01-19,238.576
2001-01-22,240.687
2001-01-23,241.462
2001-01-24,241.253
2001-01-25,241.679
2001-01-26,240.821
2001-01-29,240.109
2001-01-30,241.481
2001-01-31,244.55
2001-02-01,243.533
2001-02-02,245.255
2001-02-05,242.436
2001-02-06,242.125
2001-02-07,238.469
2001-02-08,240.342
2001-02-09,240.861
2001-02-12,241.77
2001-02-13,242.642
2001-02-14,241.778
2001-02-15,243.326
2001-02-16,240.867
2001-02-19,238.21
2001-02-20,239.141
2001-02-21,234.19
2001-02-22,229.504
2001-02-23,228.171
2001-02-26,230.865
2001-02-27,230.206
2001-02-28,229.404
2001-03-01,228.87
2001-03-02,227.466
2001-03-05,228.368
2001-03-06,229.304
2001-03-07,229.802
2001-03-08,229.173
2001-03-09,226.749
2001-03-12,220.141
2001-03-13,217.393
2001-03-14,215.286
2001-03-15,215.601
2001-03-16,213.789
2001-03-19,212.016
2001-03-20,212.768
2001-03-21,211.597
2001-03-22,208.718
2001-03-23,210.072
2001-03-26,213.715
2001-03-27,213.408
2001-03-28,212.383
2001-03-29,210.203
2001-03-30,209.469
2001-04-02,205.527
2001-04-03,202.15
2001-04-04,201.347
2001-04-05,203.882
2001-04-06,204.437
2001-04-09,202.895
2001-04-10,203.329
2001-04-11,205.422
2001-04-12,206.561
2001-04-13,206.964
2001-04-16,205.956
2001-04-17,205.355
2001-04-18,210.307
2001-04-19,211.448
2001-04-20,209.878
2001-04-23,209.314
2001-04-24,210.301
2001-04-25,210.055
2001-04-26,211.182
2001-04-27,212.694
2001-04-30,214.274
2001-05-01,214.115
2001-05-02,215.331
2001-05-03,215.824
2001-05-04,215.292
