Date,EM (EMERGING MARKETS) MID CAP Mid Cap
2001-01-01,221.969
2001-01-02,221.736
2001-01-03,222.869
2001-01-04,229.592
2001-01-05,231.183
2001-01-08,232.0
2001-01-09,234.516
2001-01-10,234.113
2001-01-11,233.911
2001-01-12,235.036
2001-01-15,236.021
2001-01-16,236.481
2001-01-17,238.057
2001-01-18,239.596
2001-01-19,242.929
2001-01-22,245.078
2001-01-23,245.867
2001-01-24,245.654
2001-01-25,246.089
2001-01-26,245.215
2001-01-29,244.487
2001-01-30,245.881
2001-01-31,249.007
2001-02-01,247.971
2001-02-02,249.724
2001-02-05,246.854
2001-02-06,246.537
2001-02-07,242.815
2001-02-08,244.722
2001-02-09,245.251
2001-02-12,246.176
2001-02-13,247.064
2001-02-14,246.185
2001-02-15,247.759
2001-02-16,245.255
2001-02-19,242.55
2001-02-20,243.497
2001-02-21,238.456
2001-02-22,233.684
2001-02-23,232.327
2001-02-26,235.071
2001-02-27,234.4
2001-02-28,233.582
2001-03-01,233.039
2001-03-02,231.609
2001-03-05,232.528
2001-03-06,233.481
2001-03-07,233.972
2001-03-08,233.332
2001-03-09,230.864
2001-03-12,224.136
2001-03-13,221.338
2001-03-14,219.187
2001-03-15,219.507
2001-03-16,217.662
2001-03-19,215.85
2001-03-20,216.616
2001-03-21,215.411
2001-03-22,212.48
2001-03-23,213.851
2001-03-26,217.516
2001-03-27,217.203
2001-03-28,216.16
2001-03-29,213.941
2001-03-30,213.194
2001-04-02,209.18
2001-04-03,205.743
2001-04-04,204.92
2001-04-05,207.5
2001-04-06,208.065
2001-04-09,206.496
2001-04-10,206.936
2001-04-11,209.062
2001-04-12,210.219
2001-04-13,210.629
2001-04-16,209.6
2001-04-17,208.984
2001-04-18,214.023
2001-04-19,215.184
2001-04-20,213.586
2001-04-23,213.012
2001-04-24,214.015
2001-04-25,213.762
2001-04-26,214.909
2001-04-27,216.447
2001-04-30,218.054
2001-05-01,217.893
2001-05-02,219.111
2001-05-03,219.612
2001-05-04,219.061
2001-05-07,219.144
2001-05-08,218.182
2001-05-09,217.745
2001-05-10,218.068
2001-05-11,217.938
2001-05-14,216.93
2001-05-15,216.118
2001-05-16,216.848
2001-05-17,220.279
2001-05-18,221.183
2001-05-21,221.652
2001-05-22,223.037
2001-05-23,224.516
2001-05-24,225.597
2001-05-25,224.959
2001-05-28,224.515
