Date,EM (EMERGING MARKETS) GROWTH Standard (Large+Mid Cap)
2001-01-01,99.705
2001-01-02,99.473
2001-01-03,100.221
2001-01-04,104.209
2001-01-05,104.39
2001-01-08,103.85
2001-01-09,105.075
2001-01-10,104.63
2001-01-11,104.49
2001-01-12,105.757
2001-01-15,106.373
2001-01-16,107.076
2001-01-17,108.532
2001-01-18,110.007
2001-01-19,111.974
2001-01-22,111.616
2001-01-23,112.132
2001-01-24,111.688
2001-01-25,111.646
2001-01-26,111.052
2001-01-29,110.838
2001-01-30,112.274
2001-01-31,113.754
2001-02-01,113.199
2001-02-02,112.529
2001-02-05,110.542
2001-02-06,111.036
2001-02-07,109.024
2001-02-08,109.392
2001-02-09,109.135
2001-02-12,109.046
2001-02-13,109.506
2001-02-14,108.931
2001-02-15,110.534
2001-02-16,109.433
2001-02-19,108.383
2001-02-20,108.272
2001-02-21,105.082
2001-02-22,102.279
2001-02-23,101.541
2001-02-26,102.364
2001-02-27,101.975
2001-02-28,101.608
2001-03-01,100.612
2001-03-02,98.796
2001-03-05,99.725
2001-03-06,100.828
2001-03-07,101.518
2001-03-08,101.711
2001-03-09,100.448
2001-03-12,97.321
2001-03-13,96.818
2001-03-14,96.29
2001-03-15,96.271
2001-03-16,95.238
2001-03-19,94.285
2001-03-20,93.776
2001-03-21,93.796
2001-03-22,91.972
2001-03-23,92.551
2001-03-26,93.838
2001-03-27,93.552
2001-03-28,92.786
2001-03-29,90.665
2001-03-30,90.531
2001-04-02,89.003
2001-04-03,86.562
2001-04-04,84.912
2001-04-05,86.5
2001-04-06,87.989
2001-04-09,87.391
2001-04-10,88.653
2001-04-11,90.191
2001-04-12,91.095
2001-04-13,91.186
2001-04-16,90.329
2001-04-17,90.121
2001-04-18,93.233
2001-04-19,95.505
2001-04-20,93.85
2001-04-23,93.408
2001-04-24,93.148
2001-04-25,93.506
2001-04-26,94.525
2001-04-27,94.953
2001-04-30,96.276
2001-05-01,96.371
2001-05-02,97.867
2001-05-03,98.062
2001-05-04,97.153
2001-05-07,97.662
2001-05-08,97.472
2001-05-09,97.178
2001-05-10,96.985
2001-05-11,96.499
2001-05-14,95.253
2001-05-15,94.29
2001-05-16,94.753
2001-05-17,97.28
2001-05-18,97.571
2001-05-21,98.529
2001-05-22,99.139
2001-05-23,99.331
2001-05-24,98.614
2001-05-25,98.103
2001-05-28,98.189
2001-05-29,97.748
2001-05-30,96.539
2001-05-31,96.181
2001-06-01,96.064
2001-06-04,96.051
2001-06-05,95.212
2001-06-06,95.842
2001-06-07,96.333
2001-06-08,97.467
2001-06-11,96.69
2001-06-12,96.408
2001-06-13,96.286
2001-06-14,95.747
2001-06-15,94.954
2001-06-18,92.914
2001-06-19,93.028
2001-06-20,92.633
2001-06-21,93.273
2001-06-22,93.58
2001-06-25,93.219
2001-06-26,92.785
2001-06-27,92.887
2001-06-28,92.232
2001-06-29,93.564
2001-07-02,94.014
2001-07-03,93.439
2001-07-04,92.677
2001-07-05,92.036
2001-07-06,90.423
2001-07-09,89.566
2001-07-10,88.844
2001-07-11,86.992
2001-07-12,88.094
2001-07-13,87.555
2001-07-16,86.872
2001-07-17,87.057
2001-07-18,86.395
2001-07-19,86.823
2001-07-20,86.792
2001-07-23,86.568
2001-07-24,86.108
2001-07-25,86.578
2001-07-26,87.296
2001-07-27,87.734
2001-07-30,88.091
2001-07-31,88.853
2001-08-01,89.462
2001-08-02,90.38
2001-08-03,90.301
2001-08-06,89.589
2001-08-07,88.758
2001-08-08,88.748
2001-08-09,87.872
2001-08-10,88.267
2001-08-13,88.565
2001-08-14,89.684
2001-08-15,89.453
2001-08-16,88.507
2001-08-17,86.879
2001-08-20,85.707
2001-08-21,85.777
2001-08-22,85.673
2001-08-23,85.804
2001-08-24,85.813
2001-08-27,87.205
2001-08-28,87.067
2001-08-29,86.965
2001-08-30,86.268
2001-08-31,85.699
2001-09-03,85.053
2001-09-04,85.823
2001-09-05,84.962
2001-09-06,83.442
2001-09-07,83.262
2001-09-10,82.675
2001-09-11,80.046
2001-09-12,77.987
2001-09-13,76.787
2001-09-14,75.204
2001-09-17,74.128
2001-09-18,74.805
2001-09-19,75.146
2001-09-20,73.016
2001-09-21,71.048
2001-09-24,71.69
2001-09-25,70.99
2001-09-26,70.884
2001-09-27,70.656
2001-09-28,71.631
2001-10-01,71.228
2001-10-02,70.644
2001-10-03,70.35
2001-10-04,71.729
2001-10-05,72.032
2001-10-08,70.89
2001-10-09,72.545
2001-10-10,73.74
2001-10-11,76.238
2001-10-12,76.178
2001-10-15,75.574
2001-10-16,76.286
2001-10-17,76.862
2001-10-18,75.789
2001-10-19,76.042
2001-10-22,76.181
2001-10-23,77.002
2001-10-24,78.226
2001-10-25,78.073
2001-10-26,78.502
2001-10-29,78.489
2001-10-30,76.706
2001-10-31,76.883
2001-11-01,77.517
2001-11-02,78.087
2001-11-05,79.551
2001-11-06,80.013
2001-11-07,79.915
2001-11-08,81.201
2001-11-09,81.532
2001-11-12,81.169
2001-11-13,82.334
2001-11-14,83.756
2001-11-15,84.753
2001-11-16,84.904
2001-11-19,86.573
2001-11-20,84.91
2001-11-21,84.755
2001-11-22,85.229
2001-11-23,86.279
2001-11-26,87.583
2001-11-27,87.604
2001-11-28,85.614
2001-11-29,84.922
2001-11-30,85.105
2001-12-03,86.408
2001-12-04,87.712
2001-12-05,90.978
2001-12-06,92.546
2001-12-07,92.921
2001-12-10,91.371
2001-12-11,91.201
2001-12-12,92.808
2001-12-13,91.096
2001-12-14,90.324
2001-12-17,90.103
2001-12-18,90.478
2001-12-19,90.916
2001-12-20,90.917
2001-12-21,89.665
2001-12-24,90.156
2001-12-25,90.602
2001-12-26,90.795
2001-12-27,91.447
2001-12-28,92.796
2001-12-31,93.396
2002-01-01,93.384
2002-01-02,94.645
2002-01-03,95.494
2002-01-04,97.609
2002-01-07,98.466
2002-01-08,97.814
2002-01-09,97.486
2002-01-10,95.964
2002-01-11,95.031
2002-01-14,95.505
2002-01-15,94.106
2002-01-16,92.858
2002-01-17,93.357
2002-01-18,93.241
2002-01-21,93.97
2002-01-22,93.672
2002-01-23,94.368
2002-01-24,94.456
2002-01-25,94.8
2002-01-28,95.071
2002-01-29,94.766
2002-01-30,93.22
2002-01-31,94.476
2002-02-01,94.274
2002-02-04,94.012
2002-02-05,94.135
2002-02-06,94.579
2002-02-07,93.668
2002-02-08,93.948
2002-02-11,93.833
2002-02-12,94.228
2002-02-13,94.699
2002-02-14,96.419
2002-02-15,96.238
2002-02-18,96.422
2002-02-19,95.389
2002-02-20,94.054
2002-02-21,93.946
2002-02-22,93.785
2002-02-25,93.824
2002-02-26,94.239
2002-02-27,96.058
2002-02-28,95.402
2002-03-01,96.559
2002-03-04,99.402
2002-03-05,100.545
2002-03-06,101.14
2002-03-07,100.774
2002-03-08,100.198
2002-03-11,101.127
2002-03-12,100.899
2002-03-13,100.373
2002-03-14,100.415
2002-03-15,99.696
2002-03-18,100.157
2002-03-19,100.612
2002-03-20,101.067
2002-03-21,100.803
2002-03-22,101.395
2002-03-25,100.675
2002-03-26,100.872
2002-03-27,101.539
2002-03-28,101.868
2002-03-29,102.137
2002-04-01,102.091
2002-04-02,103.035
2002-04-03,102.354
2002-04-04,101.5
2002-04-05,102.077
2002-04-08,101.138
2002-04-09,101.0
2002-04-10,100.955
2002-04-11,101.022
2002-04-12,101.279
2002-04-15,102.282
2002-04-16,103.161
2002-04-17,105.167
2002-04-18,105.312
2002-04-19,104.611
2002-04-22,104.669
2002-04-23,105.419
2002-04-24,105.754
2002-04-25,104.549
2002-04-26,104.165
2002-04-29,102.571
2002-04-30,102.649
2002-05-01,102.594
2002-05-02,102.332
2002-05-03,102.326
2002-05-06,100.598
2002-05-07,101.103
2002-05-08,102.509
2002-05-09,101.994
2002-05-10,100.885
2002-05-13,100.956
2002-05-14,102.25
2002-05-15,103.274
2002-05-16,103.345
2002-05-17,104.859
2002-05-20,104.196
2002-05-21,102.988
2002-05-22,103.679
2002-05-23,102.845
2002-05-24,103.856
2002-05-27,103.468
2002-05-28,103.308
2002-05-29,102.591
2002-05-30,101.875
2002-05-31,100.153
2002-06-03,100.843
2002-06-04,100.816
2002-06-05,100.344
2002-06-06,99.859
2002-06-07,98.02
2002-06-10,98.632
2002-06-11,98.024
2002-06-12,97.338
2002-06-13,97.354
2002-06-14,96.61
2002-06-17,96.418
2002-06-18,96.862
2002-06-19,94.801
2002-06-20,93.724
2002-06-21,93.133
2002-06-24,92.51
2002-06-25,92.763
2002-06-26,89.584
2002-06-27,90.921
2002-06-28,92.666
2002-07-01,92.294
2002-07-02,91.749
2002-07-03,91.464
2002-07-04,92.799
2002-07-05,94.376
2002-07-08,95.268
2002-07-09,96.142
2002-07-10,94.752
2002-07-11,92.725
2002-07-12,94.955
2002-07-15,94.534
2002-07-16,93.709
2002-07-17,93.859
2002-07-18,94.039
2002-07-19,92.62
2002-07-22,89.484
2002-07-23,89.483
2002-07-24,87.066
2002-07-25,87.096
2002-07-26,84.093
2002-07-29,84.408
2002-07-30,85.74
2002-07-31,84.957
2002-08-01,84.522
2002-08-02,84.683
2002-08-05,82.001
2002-08-06,81.109
2002-08-07,83.308
2002-08-08,84.681
2002-08-09,85.101
2002-08-12,84.835
2002-08-13,85.058
2002-08-14,85.917
2002-08-15,86.609
2002-08-16,87.166
2002-08-19,87.456
2002-08-20,88.065
2002-08-21,88.292
2002-08-22,88.436
2002-08-23,88.032
2002-08-26,87.739
2002-08-27,87.738
2002-08-28,86.608
2002-08-29,86.199
2002-08-30,86.976
2002-09-02,86.94
2002-09-03,85.658
2002-09-04,85.109
2002-09-05,84.84
2002-09-06,84.918
2002-09-09,85.646
2002-09-10,86.917
2002-09-11,87.466
2002-09-12,87.618
2002-09-13,86.099
2002-09-16,84.65
2002-09-17,85.946
2002-09-18,83.926
2002-09-19,83.262
2002-09-20,82.927
2002-09-23,81.117
2002-09-24,80.564
2002-09-25,79.652
2002-09-26,80.278
2002-09-27,79.604
2002-09-30,78.441
2002-10-01,78.989
2002-10-02,79.271
2002-10-03,79.065
2002-10-04,79.543
2002-10-07,77.677
2002-10-08,77.646
2002-10-09,76.595
2002-10-10,75.161
2002-10-11,75.249
2002-10-14,76.227
2002-10-15,78.294
2002-10-16,79.071
2002-10-17,79.831
2002-10-18,81.364
2002-10-21,81.267
2002-10-22,80.604
2002-10-23,82.393
2002-10-24,82.558
2002-10-25,82.836
2002-10-28,84.047
2002-10-29,83.217
2002-10-30,82.811
2002-10-31,84.157
2002-11-01,83.927
2002-11-04,86.034
2002-11-05,85.552
2002-11-06,86.452
2002-11-07,87.138
2002-11-08,87.109
2002-11-11,85.754
2002-11-12,85.131
2002-11-13,84.888
2002-11-14,85.027
2002-11-15,86.889
2002-11-18,87.211
2002-11-19,86.567
2002-11-20,86.79
2002-11-21,88.302
2002-11-22,88.826
2002-11-25,89.545
2002-11-26,88.786
2002-11-27,88.931
2002-11-28,89.576
2002-11-29,89.895
2002-12-02,90.501
2002-12-03,90.799
2002-12-04,89.325
2002-12-05,89.209
2002-12-06,89.125
2002-12-09,89.539
2002-12-10,88.759
2002-12-11,88.658
2002-12-12,88.977
2002-12-13,88.734
2002-12-16,88.142
2002-12-17,88.785
2002-12-18,88.435
2002-12-19,88.603
2002-12-20,89.137
2002-12-23,88.357
2002-12-24,87.858
2002-12-25,87.793
2002-12-26,88.009
2002-12-27,87.5
2002-12-30,86.206
2002-12-31,86.172
2003-01-01,86.257
2003-01-02,86.7
2003-01-03,88.68
2003-01-06,89.899
2003-01-07,89.09
2003-01-08,89.29
2003-01-09,88.839
2003-01-10,89.144
2003-01-13,90.372
2003-01-14,90.244
2003-01-15,90.468
2003-01-16,89.915
2003-01-17,88.783
2003-01-20,88.316
2003-01-21,87.604
2003-01-22,86.751
2003-01-23,86.885
2003-01-24,85.987
2003-01-27,84.511
2003-01-28,84.77
2003-01-29,84.202
2003-01-30,84.41
2003-01-31,84.637
2003-02-03,85.008
2003-02-04,84.861
2003-02-05,84.737
2003-02-06,83.297
2003-02-07,82.194
2003-02-10,81.349
2003-02-11,81.839
2003-02-12,82.136
2003-02-13,80.91
2003-02-14,80.998
2003-02-17,83.335
2003-02-18,83.343
2003-02-19,83.171
2003-02-20,83.695
2003-02-21,83.939
2003-02-24,84.35
2003-02-25,82.545
2003-02-26,82.225
2003-02-27,82.207
2003-02-28,82.095
2003-03-03,83.202
2003-03-04,82.186
2003-03-05,81.056
2003-03-06,80.508
2003-03-07,80.212
2003-03-10,79.632
2003-03-11,79.108
2003-03-12,79.199
2003-03-13,79.763
2003-03-14,80.684
2003-03-17,79.228
2003-03-18,81.304
2003-03-19,81.377
2003-03-20,82.663
2003-03-21,83.012
2003-03-24,82.156
2003-03-25,81.634
2003-03-26,81.782
2003-03-27,81.4
2003-03-28,81.528
2003-03-31,79.97
2003-04-01,80.344
2003-04-02,80.888
2003-04-03,81.182
2003-04-04,82.103
2003-04-07,83.891
2003-04-08,83.504
2003-04-09,82.82
2003-04-10,82.622
2003-04-11,82.652
2003-04-14,82.983
2003-04-15,84.457
2003-04-16,85.689
2003-04-17,85.576
2003-04-18,86.702
2003-04-21,86.86
2003-04-22,85.803
2003-04-23,86.061
2003-04-24,84.955
2003-04-25,83.583
2003-04-28,83.986
2003-04-29,85.594
2003-04-30,86.069
2003-05-01,86.109
2003-05-02,86.744
2003-05-05,87.474
2003-05-06,87.518
2003-05-07,88.409
2003-05-08,87.893
2003-05-09,88.405
2003-05-12,89.377
2003-05-13,89.389
2003-05-14,89.041
2003-05-15,89.187
2003-05-16,88.364
2003-05-19,87.845
2003-05-20,87.614
2003-05-21,87.528
2003-05-22,87.877
