Date,EM (EMERGING MARKETS) GROWTH Standard (Large+Mid Cap)
1996-12-31,100.0
1997-01-31,105.716
1997-02-28,109.374
1997-03-31,106.52
1997-04-30,106.142
1997-05-30,109.569
1997-06-30,115.266
1997-07-31,116.836
1997-08-29,101.552
1997-09-30,104.06
1997-10-31,86.695
1997-11-28,84.659
1997-12-31,87.109
1998-01-30,82.313
1998-02-27,91.635
1998-03-31,93.871
1998-04-30,92.043
1998-05-29,80.347
1998-06-30,72.32
1998-07-31,75.446
1998-08-31,53.401
1998-09-30,55.755
1998-10-30,62.295
1998-11-30,66.523
1998-12-31,65.904
1999-01-29,66.285
1999-02-26,67.473
1999-03-31,74.658
1999-04-30,82.511
1999-05-31,82.845
1999-06-30,92.309
1999-07-30,90.538
1999-08-31,90.754
1999-09-30,87.976
1999-10-29,90.644
1999-11-30,100.014
1999-12-31,116.726
2000-01-31,118.61
2000-02-29,125.429
2000-03-31,125.79
2000-04-28,112.399
2000-05-31,106.963
2000-06-30,112.093
2000-07-31,102.698
2000-08-31,104.189
2000-09-29,94.953
2000-10-31,87.939
2000-11-30,79.406
2000-12-29,80.795
2001-01-31,91.922
2001-02-28,82.12
2001-03-30,73.181
2001-04-30,77.832
2001-05-31,77.777
2001-06-29,75.676
2001-07-31,71.886
2001-08-31,69.339
2001-09-28,57.957
2001-10-31,62.209
2001-11-30,68.864
2001-12-31,75.579
2002-01-31,76.464
2002-02-28,77.218
2002-03-29,82.678
2002-04-30,83.105
2002-05-31,81.105
2002-06-28,75.048
2002-07-31,68.835
2002-08-30,70.475
2002-09-30,63.561
2002-10-31,68.194
2002-11-29,72.844
2002-12-31,69.831
2003-01-31,68.592
2003-02-28,66.586
2003-03-31,64.866
2003-04-30,69.824
2003-05-30,74.254
2003-06-30,78.782
2003-07-31,84.403
2003-08-29,90.345
2003-09-30,90.991
2003-10-31,98.2
2003-11-28,98.788
2003-12-31,104.476
2004-01-30,108.642
2004-02-27,112.825
2004-03-31,114.026
2004-04-30,104.436
2004-05-31,102.527
2004-06-30,101.955
2004-07-30,99.325
2004-08-31,103.687
2004-09-30,108.949
2004-10-29,110.636
2004-11-30,120.389
2004-12-31,126.314
2005-01-31,127.2
2005-02-28,137.32
2005-03-31,128.777
2005-04-29,124.715
2005-05-31,130.316
2005-06-30,133.772
2005-07-29,143.633
2005-08-31,144.376
2005-09-30,157.413
2005-10-31,148.475
2005-11-30,161.303
2005-12-30,171.031
2006-01-31,190.671
2006-02-28,190.292
2006-03-31,191.143
2006-04-28,203.869
2006-05-31,181.835
2006-06-30,181.515
2006-07-31,184.679
2006-08-31,191.851
2006-09-29,193.376
2006-10-31,202.122
2006-11-30,217.26
2006-12-29,227.041
2007-01-31,225.098
2007-02-28,222.96
2007-03-30,230.872
2007-04-30,243.512
2007-05-31,252.657
2007-06-29,264.754
2007-07-31,278.252
2007-08-31,271.576
2007-09-28,301.95
2007-10-31,335.162
2007-11-30,310.86
2007-12-31,310.953
2008-01-31,265.207
2008-02-29,288.665
