Date,AUSTRIA MID VALUE Mid Cap
2001-01-01,1618.567
2001-01-02,1642.999
2001-01-03,1619.578
2001-01-04,1627.457
2001-01-05,1668.392
2001-01-08,1660.877
2001-01-09,1651.127
2001-01-10,1667.354
2001-01-11,1698.953
2001-01-12,1735.776
2001-01-15,1757.239
2001-01-16,1747.591
2001-01-17,1723.893
2001-01-18,1680.273
2001-01-19,1671.748
2001-01-22,1668.673
2001-01-23,1662.813
2001-01-24,1618.42
2001-01-25,1621.796
2001-01-26,1644.814
2001-01-29,1641.337
2001-01-30,1661.232
2001-01-31,1662.769
2001-02-01,1745.705
2001-02-02,1713.014
2001-02-05,1732.502
2001-02-06,1714.535
2001-02-07,1755.412
2001-02-08,1745.314
2001-02-09,1739.47
2001-02-12,1769.925
2001-02-13,1752.391
2001-02-14,1728.928
2001-02-15,1730.259
2001-02-16,1767.678
2001-02-19,1773.378
2001-02-20,1767.89
2001-02-21,1762.235
2001-02-22,1755.843
2001-02-23,1748.068
2001-02-26,1750.48
2001-02-27,1805.804
2001-02-28,1783.143
2001-03-01,1809.341
2001-03-02,1810.31
2001-03-05,1801.511
2001-03-06,1811.768
2001-03-07,1862.286
2001-03-08,1861.276
2001-03-09,1839.842
2001-03-12,1825.31
2001-03-13,1806.018
2001-03-14,1767.57
2001-03-15,1742.927
2001-03-16,1685.106
2001-03-19,1692.044
2001-03-20,1708.623
2001-03-21,1694.535
2001-03-22,1621.708
2001-03-23,1667.547
2001-03-26,1680.343
2001-03-27,1704.805
2001-03-28,1701.511
2001-03-29,1683.147
2001-03-30,1697.732
2001-04-02,1674.475
2001-04-03,1677.686
2001-04-04,1722.524
2001-04-05,1743.864
2001-04-06,1720.195
2001-04-09,1757.109
2001-04-10,1753.914
2001-04-11,1730.674
2001-04-12,1743.073
2001-04-13,1743.073
2001-04-16,1725.222
2001-04-17,1723.776
2001-04-18,1732.939
2001-04-19,1749.872
2001-04-20,1781.081
2001-04-23,1769.395
2001-04-24,1767.665
2001-04-25,1761.704
2001-04-26,1786.321
2001-04-27,1792.709
2001-04-30,1782.724
2001-05-01,1792.175
2001-05-02,1794.265
2001-05-03,1761.364
2001-05-04,1734.277
2001-05-07,1728.061
2001-05-08,1728.345
2001-05-09,1736.143
2001-05-10,1760.919
2001-05-11,1756.288
2001-05-14,1728.067
2001-05-15,1732.33
2001-05-16,1757.284
2001-05-17,1799.828
