Date,AUSTRIA MID VALUE Mid Cap
2001-01-01,1657.216
2001-01-02,1682.232
2001-01-03,1658.251
2001-01-04,1666.318
2001-01-05,1708.231
2001-01-08,1700.537
2001-01-09,1690.554
2001-01-10,1707.168
2001-01-11,1739.521
2001-01-12,1777.224
2001-01-15,1799.2
2001-01-16,1789.321
2001-01-17,1765.057
2001-01-18,1720.396
2001-01-19,1711.667
2001-01-22,1708.519
2001-01-23,1702.519
2001-01-24,1657.065
2001-01-25,1660.523
2001-01-26,1684.09
2001-01-29,1680.53
2001-01-30,1700.9
2001-01-31,1702.473
2001-02-01,1787.39
2001-02-02,1753.919
2001-02-05,1773.872
2001-02-06,1755.476
2001-02-07,1797.329
2001-02-08,1786.99
2001-02-09,1781.007
2001-02-12,1812.188
2001-02-13,1794.235
2001-02-14,1770.212
2001-02-15,1771.576
2001-02-16,1809.888
2001-02-19,1815.724
2001-02-20,1810.105
2001-02-21,1804.315
2001-02-22,1797.771
2001-02-23,1789.809
2001-02-26,1792.279
2001-02-27,1848.924
2001-02-28,1825.722
2001-03-01,1852.545
2001-03-02,1853.537
2001-03-05,1844.529
2001-03-06,1855.03
2001-03-07,1906.755
2001-03-08,1905.721
2001-03-09,1883.775
2001-03-12,1868.896
2001-03-13,1849.143
2001-03-14,1809.778
2001-03-15,1784.546
2001-03-16,1725.344
2001-03-19,1732.448
2001-03-20,1749.422
2001-03-21,1734.998
2001-03-22,1660.432
2001-03-23,1707.366
2001-03-26,1720.467
2001-03-27,1745.513
2001-03-28,1742.141
2001-03-29,1723.338
2001-03-30,1738.271
2001-04-02,1714.459
2001-04-03,1717.746
2001-04-04,1763.656
2001-04-05,1785.505
2001-04-06,1761.271
2001-04-09,1799.067
2001-04-10,1795.795
2001-04-11,1772.0
2001-04-12,1784.696
2001-04-13,1784.696
2001-04-16,1766.418
2001-04-17,1764.938
2001-04-18,1774.319
2001-04-19,1791.656
2001-04-20,1823.611
2001-04-23,1811.646
2001-04-24,1809.874
2001-04-25,1803.771
2001-04-26,1828.976
2001-04-27,1835.516
2001-04-30,1825.293
2001-05-01,1834.97
2001-05-02,1837.109
2001-05-03,1803.423
2001-05-04,1775.69
2001-05-07,1769.325
2001-05-08,1769.615
2001-05-09,1777.6
2001-05-10,1802.967
2001-05-11,1800.818
2001-05-14,1771.881
2001-05-15,1778.578
2001-05-16,1804.198
2001-05-17,1847.878
2001-05-18,1848.295
2001-05-21,1813.744
2001-05-22,1810.366
2001-05-23,1780.676
2001-05-24,1773.953
2001-05-25,1752.526
2001-05-28,1764.844
2001-05-29,1754.228
2001-05-30,1775.567
2001-05-31,1781.331
2001-06-01,1810.946
2001-06-04,1813.406
2001-06-05,1877.42
2001-06-06,1874.835
2001-06-07,1846.667
2001-06-08,1846.342
2001-06-11,1790.295
2001-06-12,1809.468
2001-06-13,1851.633
2001-06-14,1867.507
2001-06-15,1852.371
2001-06-18,1850.358
2001-06-19,1841.548
2001-06-20,1801.986
2001-06-21,1771.373
2001-06-22,1784.171
2001-06-25,1788.804
2001-06-26,1786.41
2001-06-27,1751.606
2001-06-28,1695.444
2001-06-29,1690.873
2001-07-02,1701.671
2001-07-03,1702.178
2001-07-04,1715.007
2001-07-05,1705.369
2001-07-06,1702.277
2001-07-09,1741.758
2001-07-10,1760.494
2001-07-11,1746.08
2001-07-12,1726.191
2001-07-13,1731.208
2001-07-16,1744.082
2001-07-17,1724.163
2001-07-18,1775.023
2001-07-19,1801.956
2001-07-20,1834.115
2001-07-23,1832.876
2001-07-24,1852.959
2001-07-25,1853.735
2001-07-26,1843.999
2001-07-27,1843.513
2001-07-30,1840.383
2001-07-31,1805.886
2001-08-01,1827.741
2001-08-02,1819.314
2001-08-03,1806.146
2001-08-06,1808.31
2001-08-07,1802.706
2001-08-08,1801.074
2001-08-09,1802.802
2001-08-10,1846.759
2001-08-13,1873.863
2001-08-14,1845.162
2001-08-15,1873.33
2001-08-16,1873.512
2001-08-17,1882.475
2001-08-20,1855.324
2001-08-21,1862.453
2001-08-22,1878.505
2001-08-23,1869.15
2001-08-24,1868.238
2001-08-27,1847.071
2001-08-28,1839.88
2001-08-29,1855.554
2001-08-30,1845.048
2001-08-31,1845.662
2001-09-03,1838.767
2001-09-04,1804.738
2001-09-05,1789.328
2001-09-06,1773.673
2001-09-07,1786.915
2001-09-10,1755.243
2001-09-11,1768.489
2001-09-12,1768.007
2001-09-13,1754.288
2001-09-14,1739.842
2001-09-17,1723.974
2001-09-18,1690.794
2001-09-19,1722.518
2001-09-20,1697.339
2001-09-21,1620.701
2001-09-24,1621.653
2001-09-25,1632.293
2001-09-26,1658.496
2001-09-27,1677.117
2001-09-28,1652.258
2001-10-01,1673.539
2001-10-02,1676.408
2001-10-03,1687.779
2001-10-04,1665.269
2001-10-05,1640.548
2001-10-08,1629.965
2001-10-09,1619.434
2001-10-10,1605.455
2001-10-11,1600.164
2001-10-12,1627.119
2001-10-15,1605.885
2001-10-16,1626.562
2001-10-17,1625.123
2001-10-18,1624.532
2001-10-19,1555.244
2001-10-22,1520.234
2001-10-23,1541.974
2001-10-24,1531.862
2001-10-25,1520.468
2001-10-26,1513.766
2001-10-29,1527.734
2001-10-30,1533.894
2001-10-31,1549.316
2001-11-01,1559.206
2001-11-02,1545.344
2001-11-05,1522.414
2001-11-06,1524.215
2001-11-07,1559.092
2001-11-08,1561.53
2001-11-09,1547.641
2001-11-12,1535.233
2001-11-13,1520.794
2001-11-14,1559.253
2001-11-15,1572.162
2001-11-16,1589.136
2001-11-19,1570.231
2001-11-20,1599.118
2001-11-21,1591.614
2001-11-22,1591.378
2001-11-23,1583.108
2001-11-26,1577.865
2001-11-27,1592.658
2001-11-28,1608.274
2001-11-29,1636.641
2001-11-30,1674.74
2001-12-03,1657.896
2001-12-04,1660.72
2001-12-05,1675.07
2001-12-06,1694.186
2001-12-07,1707.725
2001-12-10,1697.202
2001-12-11,1681.29
2001-12-12,1702.469
2001-12-13,1715.832
2001-12-14,1712.066
2001-12-17,1708.914
2001-12-18,1703.645
